Player,2012/2013 - Number of Injuries,2012/2013 - Games Missed,2013/2014 - Number of Injuries,2013/2014 - Games Missed,2014/2015 - Number of Injuries,2014/2015 - Games Missed,Total Number of Injuries (2012-2014),Total Games Missed (2012-2014),Age first concussion (2012-2014),Team(s) during concussion incidents 2012-2014,Roles during injuries,Current Age (approx.),Date of Birth,Biography,Wikipedia Url,Image
Jermaine Kearse,,,1,0,,,1,0,23.78,Seattle Seahawks,Linebacker,25,6/02/1990,"Jermaine Kearse (born February 6, 1990) is an American football wide receiver for the Seattle Seahawks of the National Football League (NFL). He was signed by the Seattle Seahawks as an undrafted free agent in 2012. Kearse played college football at University of Washington. ",http://en.wikipedia.org/wiki/Jermaine_Kearse,//upload.wikimedia.org/wikipedia/commons/5/5c/Jermaine_Kearse_2014.JPG
Jahleel Addae,,,,,1,1,1,1,24.75,San Diego Chargers,Safety,25,24/01/1990,"Jahleel Addae (born January 24, 1990) is an American football safety for the San Diego Chargers of the National Football League (NFL). He played college football for Central Michigan University where he was a captain and three-time All Mid-American Conference player. He was signed by the Chargers as an undrafted free agent in 2013. ",http://en.wikipedia.org/wiki/Jahleel_Addae,//upload.wikimedia.org/wikipedia/commons/a/aa/Jahleel_Addae.JPG
Ryan Griffin,,,1,1,,,1,1,23.83,Houston Texans,Tight End,25,11/01/1990,"Ryan Griffin (born January 11, 1990) is an American football tight end for the Houston Texans of the National Football League. ",http://en.wikipedia.org/wiki/Ryan_Griffin_(tight_end),http://www.usatodaysportsimages.com/image/thumb/250-225/7485506.jpg
Jeff Allen,1,0,,,,,1,0,22.81,Kansas City Chiefs,Guard,25,8/01/1990,"Jeff Allen (born January 8, 1990) is an American football offensive guard for the Kansas City Chiefs of the National Football League (NFL). He played college football at Illinois. In the 2012 NFL Draft, Allen was selected in round 2, pick 44 by the Kansas City Chiefs.",http://en.wikipedia.org/wiki/Jeff_Allen_(American_football),//upload.wikimedia.org/wikipedia/commons/8/86/Jeff_Allen_%28American_football%29.JPG
Trumaine Johnson,,,1,0,,,1,0,23.90,St. Louis Rams,Cornerback,25,1/01/1990,"Trumaine Johnson (born January 1, 1990) is an American football cornerback for the St. Louis Rams. He played college football at Montana. He was considered one of the best cornerback prospects for the 2012 NFL Draft. ",http://en.wikipedia.org/wiki/Trumaine_Johnson_(cornerback),//upload.wikimedia.org/wikipedia/commons/8/81/TrumainJohnson2013.jpg
Vince Williams,,,1,0,,,1,0,23.85,Pittsburgh Steelers,Linebacker,25,27/12/1989,"Vince Williams (born December 27, 1989) is an American football linebacker for the Pittsburgh Steelers of the National Football League. He was drafted by the Steelers in the sixth round of the 2013 NFL Draft after his college career at Florida State. His younger brother Karlos Williams still plays for the Seminoles.",http://en.wikipedia.org/wiki/Vince_Williams_(American_football),//upload.wikimedia.org/wikipedia/commons/1/10/Vince_Williams_American_Football_98_leaving_field_2013.jpg
Stephen Burton,,,2,12,,,2,12,23.78,Jacksonville Jaguars,Wide Receiver,25,11/12/1989,"Stephen Burton (born December 11, 1989) is a former American football wide receiver. He was drafted by the Minnesota Vikings in the seventh round of the 2011 NFL Draft. He played college football at West Texas A&M. On April 23, 2014, Burton retired due to concussion concern. ",http://en.wikipedia.org/wiki/Stephen_Burton,//upload.wikimedia.org/wikipedia/commons/a/ad/StephenBurton.PNG
Blidi Wreh-Wilson,,,,,1,1,1,1,24.81,Tennessee Titans,Cornerback,25,5/12/1989,"Blidi Bertrand Wreh-Wilson ( BLEE-dee RAY; born December 5, 1989) is an American football cornerback for the Tennessee Titans of the National Football League (NFL). He played college football at Connecticut. He was drafted by the Titans in the third round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Blidi_Wreh-Wilson,//upload.wikimedia.org/wikipedia/commons/2/22/Blidi_Wreh-Wilson.JPG
Asa Jackson,,,,,1,0,1,0,24.78,Baltimore Ravens,Cornerback,25,2/12/1989,"Asa Rashaan Webster Jackson (born December 2, 1989) is an American football cornerback and return specialist for the Baltimore Ravens of the National Football League (NFL). Jackson was born in Sacramento, California and attended Christian Brothers High School. He excelled while playing college football for Cal Poly. ",http://en.wikipedia.org/wiki/Asa_Jackson,//upload.wikimedia.org/wikipedia/commons/d/d3/Asa_Jackson_MT_Stadium_2012_Practice.jpg
Adrian Robinson,1,0,,,,,1,0,22.92,Pittsburgh Steelers,Linebacker,25,21/11/1989,"Adrian Robinson, Jr. (born November 21, 1989) is an American football linebacker. He was signed by the Pittsburgh Steelers as an undrafted free agent in 2012. He played college football at Temple University. ",http://en.wikipedia.org/wiki/Adrian_Robinson,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROB365259.png
Kendall Wright,,,1,0,,,1,0,23.84,Tennessee Titans,Wide Receiver,25,12/11/1989,"Kendall Wright (born November 12, 1989) is an American football wide receiver for the Tennessee Titans of the National Football League (NFL). He played college football at Baylor, where he is the career leader in receptions, yards, and touchdowns. He was drafted in the first round, 20th overall, of the 2012 NFL Draft by the Titans. ",http://en.wikipedia.org/wiki/Kendall_Wright,//upload.wikimedia.org/wikipedia/commons/8/88/Kendall_Wright.JPG
Kyle Rudolph,1,0,,,,,1,0,23.04,Minnesota Vikings,Tight End,25,9/11/1989,"Kyle Daniel Rudolph (born November 9, 1989) is an American football tight end for the Minnesota Vikings of the National Football League (NFL). Rudolph played college football for the University of Notre Dame, and was chosen by the Vikings in the second round of the 2011 NFL Draft. He was selected for the Pro Bowl following the 2012 NFL season.",http://en.wikipedia.org/wiki/Kyle_Rudolph,//upload.wikimedia.org/wikipedia/commons/2/2c/Kyle_Rudolph_Pro_Bowl_%28cropped%29.JPG
Dre Kirkpatrick,1,4,1,0,,,2,4,23.10,Cincinnati Bengals,Cornerback,25,26/10/1989,"D'Andre Lawan ""Dre"" Kirkpatrick (born October 26, 1989) is an American football cornerback for the Cincinnati Bengals of the National Football League (NFL). He was drafted by the Bengals in the first round of the 2012 NFL Draft. He played college football at Alabama. Kirkpatrick was rated as one of the top high school defensive backs in the country. He draws comparisons to Arizona Cardinals cornerback Antonio Cromartie. ",http://en.wikipedia.org/wiki/Dre_Kirkpatrick,//upload.wikimedia.org/wikipedia/commons/7/78/Dre_Kirkpatrick_Bengals_training_camp_2012.jpg
Johnathan Franklin,,,1,5,,,1,5,24.09,Green Bay Packers,Running Back,25,23/10/1989,"Johnathan A. Franklin (born October 23, 1989) is a former American football running back for the Green Bay Packers of the National Football League (NFL). Franklin played college football for the University of California, Los Angeles (UCLA), and received All-American recognition. He was drafted by the Green Bay Packers in the fourth round of the 2013 NFL Draft. After suffering a serious neck injury in his rookie season, he was told that his football career would end prematurely. On June 19, 2014, Franklin announced his retirement from the NFL. ",http://en.wikipedia.org/wiki/Johnathan_Franklin,//upload.wikimedia.org/wikipedia/commons/d/d4/Johnathan_Franklin.jpg
Muhammad Wilkerson,1,0,,,,,1,0,23.17,New York Jets,Defensive End,25,22/10/1989,"Muhammad Wilkerson (born October 22, 1989) is an American football defensive end for the New York Jets of the National Football League (NFL). He was drafted by the Jets in the first round of the 2011 NFL Draft. He played college football for Temple. ",http://en.wikipedia.org/wiki/Muhammad_Wilkerson,//upload.wikimedia.org/wikipedia/commons/1/1f/Muhammad_Wilkerson.jpg
Jarvis Jones,,,1,1,,,1,1,24,Pittsburgh Steelers,Linebacker,25,13/10/1989,"Jarvis Jerrell Jones (born October 13, 1989) nicknamed Dawg Bones, is an American football linebacker for the Pittsburgh Steelers of the National Football League (NFL). He played college football for the University of Georgia, and was recognized as a consensus All-American twice. Due to his penchant for bone-shattering tackles during his time at Georgia, Jones is sometimes referred to as ""Dawg Bones"" Jones. The Pittsburgh Steelers selected him in the first round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Jarvis_Jones,//upload.wikimedia.org/wikipedia/commons/d/d4/Jarvis_Jones.jpg
Will Rackley,,,1,2,,,1,2,24.04,Jacksonville Jaguars,Guard,25,11/10/1989,"William ""Will"" Rackley III (born October 11, 1989) is an American football offensive guard for the Baltimore Ravens of the National Football League. He was drafted by the Jacksonville Jaguars in the third round of the 2011 NFL Draft. He played college football at Lehigh University. ",http://en.wikipedia.org/wiki/Will_Rackley,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RAC584472.png
A.J. Jenkins,,,,,1,0,1,0,25,Kansas City Chiefs,Wide Receiver,25,8/09/1989,"Alfred Alonzo ""A. J."" Jenkins (born September 8, 1989 ) is an American football wide receiver for the Kansas City Chiefs of the National Football League (NFL). He played college football for the University of Illinois. He was drafted in the first round of the 2012 NFL Draft, 30th overall, by the San Francisco 49ers. ",http://en.wikipedia.org/wiki/A._J._Jenkins,//upload.wikimedia.org/wikipedia/commons/9/91/A.J._Jenkins.JPG
LaRon Byrd,1,2,,,,,1,2,23.27,Arizona Cardinals,Wide Receiver,25,18/08/1989,"LaRon Byrd (born on August 18, 1989) is an American football wide receiver for the Miami Dolphins. After going unselected in the 2012 NFL Draft, we was signed by the Arizona Cardinals in 2012. He played college football for the University of Miami. ",http://en.wikipedia.org/wiki/LaRon_Byrd,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15536.png
Matt Conrath,,,1,5,,,1,5,24.13,St. Louis Rams,Defensive Tackle,25,11/08/1989,"Matthew Conrath (born August 11, 1989) is an American football defensive tackle for the St. Louis Rams. In 2012, he signed with the St. Louis Rams as an undrafted free agent. He played college football at Virginia. ",http://en.wikipedia.org/wiki/Matthew_Conrath,//upload.wikimedia.org/wikipedia/commons/9/98/Mattconrath8-6-2013.jpg
Jon Baldwin,1,1,,,,,1,1,23.26,Kansas City Chiefs,Wide Receiver,25,10/08/1989,"Jonathan Dupree Baldwin (born August 10, 1989) is an American football wide receiver who is currently a free agent. He was drafted by the Kansas City Chiefs in the first round of the 2011 NFL Draft. He played college football at Pittsburgh. ",http://en.wikipedia.org/wiki/Jon_Baldwin,//upload.wikimedia.org/wikipedia/commons/6/6e/Jon_Baldwin.JPG
Niles Paul,,,,,1,0,1,0,25.13,Washington Redskins,Tight End,25,9/08/1989,"Niles Paul (born August 9, 1989) is an American football tight end for the Washington Redskins of the National Football League (NFL). He was selected in fifth round of the 2011 NFL Draft as a wide receiver. He played college football at the University of Nebraska–Lincoln. ",http://en.wikipedia.org/wiki/Niles_Paul,//upload.wikimedia.org/wikipedia/commons/0/0d/Niles_paul_2014.jpg
Isa Abdul-Quddus,1,1,,,,,1,1,23.31,New Orleans Saints,Safety,25,3/08/1989,"Isa Abdul-Quddus (born August 3, 1989) is an American football safety who is currently a member of the Detroit Lions of the National Football League. He was originally signed by the New Orleans Saints as an undrafted free agent in 2011. He played college football for Fordham University. ",http://en.wikipedia.org/wiki/Isa_Abdul-Quddus,//upload.wikimedia.org/wikipedia/commons/f/fc/Isa_Abdul-Quddus.jpg
Shea McClellin,1,1,,,,,1,1,23.28,Chicago Bears,Defensive End,25,1/08/1989,"Shea Keegan McClellin (born August 1, 1989) is an American football linebacker for the Chicago Bears of the National Football League. He played college football at Boise State. He was drafted in the first round (19th overall) of the 2012 NFL Draft by the Chicago Bears. ",http://en.wikipedia.org/wiki/Shea_McClellin,//upload.wikimedia.org/wikipedia/commons/b/b3/Tyrod_Taylor_scrambles_vs_Boise_State.jpg
K.J. Wright,1,1,,,,,1,1,23.29,Seattle Seahawks,Linebacker,25,23/07/1989,"Kenneth Bernard Wright, Jr. (born July 23, 1989) is an American football linebacker for the Seattle Seahawks of the National Football League (NFL). He was drafted by the Seahawks in the fourth round of the 2011 NFL Draft. He played college football at Mississippi State. ",http://en.wikipedia.org/wiki/K._J._Wright,//upload.wikimedia.org/wikipedia/commons/6/67/K._J._Wright.JPG
Rolando McClain,1,0,,,,,1,0,23.18,Oakland Raiders,Linebacker,25,14/07/1989,"Rolando Marquise McClain (born July 14, 1989) is an American football linebacker for the Dallas Cowboys of the National Football League (NFL). He played college football for the University of Alabama, where he was recognized as a unanimous All-American and the best college linebacker in the nation, and helped Alabama win the 2010 BCS National Championship. Drafted eighth overall by the Oakland Raiders in 2010, McClain played three seasons in the NFL, leading the Raiders in tackles in 2011. After various off-the-field incidents, however, he was cut by the Raiders in April 2013. Signed to one-year contract with the Baltimore Ravens, he retired from football in May 2013 at the age of 23. However, in July 2014, the Dallas Cowboys traded a 6th round draft pick in exchange for the technically retired McClain and a 7th round pick.",http://en.wikipedia.org/wiki/Rolando_McClain,//upload.wikimedia.org/wikipedia/commons/9/95/Rolando_McClain.JPG
Terrelle Pryor,,,1,1,,,1,1,24.26,Oakland Raiders,Quarterback,25,20/06/1989,"Terrelle Pryor (born June 20, 1989) is an American football quarterback who is currently a free agent. He was the starting quarterback for the Ohio State Buckeyes from 2008−2010. Considered the most recruited high school football-basketball athlete in southwestern Pennsylvania since Tom Clements, Pryor was widely regarded as the nation's top football prospect of 2008, and was named ""Junior of the Year"" by Rivals.com. Pryor had originally hoped to be a two-sport athlete, as he was also one of the nation's most heralded high school basketball players, but he later chose football. ",http://en.wikipedia.org/wiki/Terrelle_Pryor,//upload.wikimedia.org/wikipedia/commons/c/c1/Terrelle_Pryor_2014.JPG
Chris Harris,,,1,0,,,1,0,24.30,Denver Broncos,Cornerback,25,18/06/1989,"Christopher Harris, Jr. (born June 18, 1989) is an American football cornerback for the Denver Broncos of the National Football League. Harris played college football for the University of Kansas, earned Defensive Back Player of the Week and All-American Honorable Mention. Harris signed with the Denver Broncos as a free agent on July 27, 2011 and earned NFL All Rookie Team and Breakout Player of the Year accolades. Harris is known for his charitable activities and in 2012 started the Chris Harris Jr. Foundation to support his various charitable activities. ",http://en.wikipedia.org/wiki/Chris_Harris_(cornerback),//upload.wikimedia.org/wikipedia/commons/e/e8/Chris_Harris_%28cornerback%29_2012.JPG
Duke Ihenacho,,,1,0,,,1,0,24.54,Denver Broncos,Safety,25,16/06/1989,"Duke Uba Ihenacho (born June 16, 1989) is an American football safety for the Washington Redskins of the National Football League (NFL). He played college football at San Jose State. He signed with the Denver Broncos as an undrafted free agent after going unselected in the 2012 NFL Draft. ",http://en.wikipedia.org/wiki/Duke_Ihenacho,//upload.wikimedia.org/wikipedia/commons/c/c5/Duke_Ihenacho_Broncos.jpg
Demetri Goodson,,,,,1,0,1,0,25.23,Green Bay Packers,Cornerback,25,11/06/1989,"Demetri Q. Goodson (born June 11, 1989) is an American football cornerback for the Green Bay Packers of the National Football League. He was drafted by the Packers in the sixth round of the 2014 NFL Draft. He played college football at Baylor after three seasons of playing basketball at Gonzaga. He is the only player in NCAA history to start both an NCAA Tournament game and a BCS Bowl game. ",http://en.wikipedia.org/wiki/Demetri_Goodson,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16949.png
Emmanuel Lamur,,,,,1,1,1,1,25.29,Cincinnati Bengals,Linebacker,25,8/06/1989,"Emmanuel Albert Lamur (born June 8, 1989) is an American football linebacker for the Cincinnati Bengals of the National Football League (NFL). He was signed by the Bengals as an undrafted free agent in 2012. He played college football at Kansas State. ",http://en.wikipedia.org/wiki/Emmanuel_Lamur,//upload.wikimedia.org/wikipedia/commons/2/24/Emmanuel_Lamur.jpg
Prince Amukamara,,,1,0,,,1,0,24.26,New York Giants,Cornerback,25,6/06/1989,"Prince Kelechi Amukamara (born June 6, 1989) is an American football cornerback for the New York Giants of the National Football League (NFL). He played college football for the University of Nebraska, and earned unanimous All-American honors. He was drafted by the Giants in the first round of the 2011 NFL Draft, and was a member of the Giants' Super Bowl championship team as a rookie. ",http://en.wikipedia.org/wiki/Prince_Amukamara,//upload.wikimedia.org/wikipedia/commons/a/a6/Prince_Amukamara_2012_Shankbone.JPG
Cody Davis,,,,,1,1,1,1,25.39,St. Louis Rams,Safety,25,6/06/1989,"Cody Davis (born June 6, 1989) is an American football safety for the St. Louis Rams of the National Football League. He was signed as an undrafted free agent by the St. Louis Rams and played college football at the Texas Tech. ",http://en.wikipedia.org/wiki/Cody_Davis,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAV247918.png
Kamar Aiken,,,,,1,0,1,0,25.37,Baltimore Ravens,Wide Receiver,25,30/05/1989,"Kamar Aiken (born May 30, 1989) is an American football wide receiver who currently plays for the Baltimore Ravens. He was signed by the Buffalo Bills as an undrafted free agent in 2011. He played college football at Central Florida. ",http://en.wikipedia.org/wiki/Kamar_Aiken,http://blogs.orlandoweekly.com/wp-content/uploads/2013/01/kamar-aiken.jpg
Ezekial Ansah,,,1,0,,,1,0,24.28,Detroit Lions,Defensive End,25,29/05/1989,"Ezekiel Nana ""Ziggy"" Ansah (born May 29, 1989) is a Ghanaian player of American football who plays defensive end for the Detroit Lions of the National Football League (NFL). Ansah played college football for Brigham Young University (BYU). The Detroit Lions picked him the first round (5th overall) of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Ezekiel_Ansah,//upload.wikimedia.org/wikipedia/commons/d/d4/Ezekiel_Ansah_2014.jpg
Bill Bentley,1,1,1,1,,,2,2,23.32,Detroit Lions,Cornerback,26,16/05/1989,"Dwight ""Bill"" Bentley (born May 16, 1989) is an American football cornerback for the Detroit Lions of the National Football League (NFL). He was drafted in the third round, 85th overall in the 2012 NFL Draft. He played college football at Louisiana-Lafayette. ",http://en.wikipedia.org/wiki/Bill_Bentley_(American_football),//upload.wikimedia.org/wikipedia/commons/7/7a/Detroit_Lions_cornerback_Bill_Bentley_2.jpg
Josh Thomas,,,1,1,,,1,1,24.37,Carolina Panthers,Cornerback,26,3/05/1989,"Josh Thomas (born May 3, 1989) is an American football cornerback for the New York Jets of the National Football League (NFL). He was drafted by the Dallas Cowboys in the fifth round of the 2011 NFL Draft. He played college football at Buffalo. ",http://en.wikipedia.org/wiki/Josh_Thomas_(cornerback),//upload.wikimedia.org/wikipedia/commons/5/5f/Josh_Thomas_%28cornerback%29_2012.jpg
Brandon Bostick,,,1,1,,,1,1,24.56,Green Bay Packers,Tight End,26,3/05/1989,"Brandon Bostick (born May 3, 1989) is an American football tight end for the Green Bay Packers of the National Football League (NFL). He played college football for Newberry College. He was signed by the Packers as an undrafted free agent in 2012. He recorded his first NFL touchdown catch on 11.10.2013 vs the Philadelphia Eagles, on a 22 yard pass from Scott Tolzien. The score was also Tolzien's first career touchdown pass. ",http://en.wikipedia.org/wiki/Brandon_Bostick,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BOS614141.png
Buster Skrine,1,0,,,,,1,0,23.56,Cleveland Browns,Cornerback,26,26/04/1989,"Darryl Frank Skrine (born April 26, 1989) is an American football cornerback for the Cleveland Browns. He played college football for the University of Tennessee at Chattanooga, where he was twice named to the First Team All- Southern Conference. He was selected with the 137th pick in the fifth round of the 2011 NFL Draft by the Cleveland Browns. Skrine was given the nickname ""Buster"" from his grandmother because his father also shares the same first name. ",http://en.wikipedia.org/wiki/Buster_Skrine,http://www.rantsports.com/nfl/files/2014/11/busterskrine.jpg
Billy Winn,1,0,,,,,1,0,23.42,Cleveland Browns,Defensive Tackle,26,15/04/1989,"Billy Winn (born April 15, 1989) is an American football defensive end for the Cleveland Browns of the National Football League (NFL). He played college football at Boise State. He was considered one of the best defensive tackle prospects for the 2012 NFL Draft. ",http://en.wikipedia.org/wiki/Billy_Winn_(American_football),//upload.wikimedia.org/wikipedia/commons/f/fb/Billy_Wynn.jpg
J.R. Sweezy,,,1,1,,,1,1,24.69,Seattle Seahawks,Guard,26,8/04/1989,"Justin Ross ""J. R."" Sweezy (born April 8, 1989) is an American football offensive guard for the Seattle Seahawks of the National Football League (NFL). He was selected in the seventh round, 225th overall, by the Seahawks in the 2012 NFL Draft. He played college football at NC State. ",http://en.wikipedia.org/wiki/J._R._Sweezy,//upload.wikimedia.org/wikipedia/commons/b/bd/J._R._Sweezy_blocking_a_Raider.jpg
James Carpenter,1,0,,,,,1,0,23.62,Seattle Seahawks,Guard,26,22/03/1989,"James Carpenter (born March 22, 1989) also known as Big James is an American football offensive guard for the Seattle Seahawks of the National Football League (NFL). He was drafted by the Seahawks as the 25th overall pick in the 2011 NFL Draft. He played college football for Alabama. ",http://en.wikipedia.org/wiki/James_Carpenter_(American_football),//upload.wikimedia.org/wikipedia/commons/e/e6/James_Carpenter.jpg
Jeff Maehl,,,1,0,,,1,0,24.71,Philadelphia Eagles,Wide Receiver,26,16/03/1989,"Jeffrey David ""Jeff"" Maehl (born March 16, 1989) is an American football wide receiver for the Philadelphia Eagles of the National Football League (NFL). He was signed by the Houston Texans as an undrafted free agent in 2011.",http://en.wikipedia.org/wiki/Jeff_Maehl,//upload.wikimedia.org/wikipedia/commons/4/41/Jeff_Maehl.JPG
Josh Bush,1,0,,,,,1,0,23.52,New York Jets,Safety,26,5/03/1989,"Joshua B. Bush (born March 5, 1989) is an American football free safety who is currently a free agent. He was drafted by the New York Jets in the sixth round of the 2012 NFL Draft. He played college football at Wake Forest. ",http://en.wikipedia.org/wiki/Josh_Bush,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15113.png
Mason Foster,,,1,1,,,1,1,24.72,Tampa Bay Buccaneers,Linebacker,26,1/03/1989,"Mason Foster (born March 1, 1989) is an American football linebacker for the Tampa Bay Buccaneers of the National Football League. He was drafted by the Buccaneers in the third round of the 2011 NFL Draft. He played college football at Washington. ",http://en.wikipedia.org/wiki/Mason_Foster,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14023.png
Carlos Dunlap,,,2,0,,,2,0,24.53,Cincinnati Bengals,Defensive End,26,28/02/1989,"Carlos Dunlap (born February 28, 1989) is an American football defensive end for the Cincinnati Bengals of the National Football League (NFL). He played college football for the University of Florida, and was a key member of the Florida Gators team that won the 2009 national championship. He was then drafted by the Bengals in the second round of the 2010 NFL Draft. ",http://en.wikipedia.org/wiki/Carlos_Dunlap,//upload.wikimedia.org/wikipedia/commons/0/0b/Carlos_Dunlap.jpg
Christopher Conte,,,,,2,0,2,0,25.54,Chicago Bears,Safety,26,23/02/1989,"Christopher Michael Conte (born February 23, 1989) is an American football free safety for the Chicago Bears of the National Football League (NFL). He was drafted by the Bears in the third round of the 2011 NFL Draft. He played college football at California. He is the grandson of the actor Richard Conte. ",http://en.wikipedia.org/wiki/Chris_Conte,//upload.wikimedia.org/wikipedia/commons/7/79/Chris_Conte_at_2009_Cal_Fan_Appreciation_Day.JPG
Deonte Thompson,,,1,0,,,1,0,24.62,Baltimore Ravens,Wide Receiver,26,14/02/1989,"Deonte Thompson (born February 14, 1989) is an American football wide receiver for the Baltimore Ravens of the National Football League (NFL). He played college football for the University of Florida, where he was a member of a BCS National Championship team. Thompson was signed by the Ravens as an undrafted free agent in 2012.",http://en.wikipedia.org/wiki/Deonte_Thompson,//upload.wikimedia.org/wikipedia/commons/6/6d/Deonte_Thmopson_MT_Stadium_2012_Practice.jpg
Keith Tandy,,,1,0,,,1,0,24.68,Tampa Bay Buccaneers,Safety,26,12/02/1989,"Keith Tandy (born February 12, 1989) is an American football Free Safety for the Tampa Bay Buccaneers. He was selected in the 6th round by the Bucs out of West Virginia University. ",http://en.wikipedia.org/wiki/Keith_Tandy,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TAN126893.png
Harrison Smith,1,0,,,,,1,0,23.81,Minnesota Vikings,Safety,26,2/02/1989,"Harrison Smith (born February 2, 1989) is an American football safety for the Minnesota Vikings of the National Football League. He was drafted in the first round, 29th overall of the 2012 NFL Draft. He played college football for Notre Dame. ",http://en.wikipedia.org/wiki/Harrison_Smith_(American_football),//upload.wikimedia.org/wikipedia/commons/f/f8/Harrison_Smith_of_Vikings_in_2012.jpg
Torrey Smith,1,0,,,,,1,0,23.89,Baltimore Ravens,Wide Receiver,26,26/01/1989,"James Torrey Smith (born January 26, 1989) is an American football wide receiver for the Baltimore Ravens in the National Football League (NFL). He was selected by the Ravens in the second round of the 2011 NFL Draft. Smith attended Stafford Senior High School in Stafford County, Virginia, where he played basketball and football. He accepted a scholarship to the University of Maryland, and redshirted his first year. In 2008, he set the Atlantic Coast Conference single-season kickoff return record with 1,089 yards after a 99-yard touchdown in the 2008 Humanitarian Bowl. He ended the year with 24 catches for 336 yards and two touchdowns. In 2009, he surpassed his own mark and re-set the ACC single-season kickoff return record at 1,309 yards. That season, he amassed 2,129 all-purpose yards, the second-highest all-time mark for an ACC player. He earned many All-ACC honors following the season. A panel of scouts considered Smith a potential third- or fourth-round selection for the 2010 NFL Draft, but he decided to return to Maryland for his junior season. In 2010, Smith was named to the Paul Hornung Award and Biletnikoff Award watchlists before the season. That season, he set the ACC career kickoff return record. Smith chose to forgo his senior season to enter the 2011 NFL Draft, where the Baltimore Ravens selected him in the second round with the 58th overall pick.",http://en.wikipedia.org/wiki/Torrey_Smith,//upload.wikimedia.org/wikipedia/commons/a/ab/Torrey_Smith_and_2013_Superbowl_trophy.jpg
Justin Houston,,,1,0,,,1,0,24.71,Kansas City Chiefs,Linebacker,26,21/01/1989,"Justin Donovan Houston (born January 21, 1989) is an American football outside linebacker for the Kansas City Chiefs of the National Football League (NFL). He was drafted by the Chiefs in the third round of the 2011 NFL Draft. He played college football at Georgia and earned All-American honors.",http://en.wikipedia.org/wiki/Justin_Houston,//upload.wikimedia.org/wikipedia/commons/f/f7/Justin_Houston_%28cropped%29.jpg
Nick Foles,,,1,1,,,1,1,24.75,Philadelphia Eagles,Quarterback,26,20/01/1989,"Nicholas Edward ""Nick"" Foles (born January 20, 1989) is an American football quarterback for the Philadelphia Eagles of the National Football League (NFL). He was drafted by the Eagles in the third round of the 2012 NFL Draft. He played college football at Arizona. ",http://en.wikipedia.org/wiki/Nick_Foles,//upload.wikimedia.org/wikipedia/commons/b/b8/Nick_Foles_calling_play_in_2012.jpg
Menelik Watson,,,,,1,0,1,0,25.88,Oakland Raiders,Offensive Tackle,26,22/12/1988,Menelik Watson (born 22 December 1988) is an English American football offensive tackle for the Oakland Raiders of the National Football League (NFL). Watson played college football for Florida State University. The Oakland Raiders chose him in the second round of the 2013 NFL Draft. ,http://en.wikipedia.org/wiki/Menelik_Watson,http://news.bbcimg.co.uk/media/images/66659000/jpg/_66659891_71menelilkwatson.jpg
Omar Bolden,1,0,1,0,1,1,3,1,23.91,Denver Broncos,"Cornerback, Safety",26,20/12/1988,"Omar Bolden (born December 20, 1988) is an American football safety for the Denver Broncos of the National Football League (NFL). He played college football for Arizona State University, where he was considered one of the top cornerback prospects of his class. Despite sitting out the 2011 season with a torn ACL, Bolden was drafted in the fourth round of the 2012 NFL Draft by the Broncos.",http://en.wikipedia.org/wiki/Omar_Bolden,//upload.wikimedia.org/wikipedia/commons/9/94/Omar_Bolden.JPG
Coty Sensabaugh,,,1,0,,,1,0,24.89,Tennessee Titans,Cornerback,26,15/11/1988,"Coty Sensabaugh (born November 15, 1988) is an American football cornerback for the Tennessee Titans of the National Football League (NFL). He played college football at Clemson University and before attended Dobyns-Bennett High School. He was selected by the Titans with the 115th overall pick in the fourth round of the 2012 NFL Draft. ",http://en.wikipedia.org/wiki/Coty_Sensabaugh,//upload.wikimedia.org/wikipedia/commons/e/ea/Coty_Sensabaugh.JPG
Will Johnson,1,0,,,,,1,0,24.05,Pittsburgh Steelers,Full Back,26,14/11/1988,"William Christopher Johnson is a American football fullback who is currently playing for the Pittsburgh Steelers of the National Football League. After college graduation in 2011, Johnson sat out an entire year prior to being granted permission to participate in WVU’s 2012 Pro Day. He was signed by the Steelers organization as an undrafted free agent in March 2012, after his second consecutive Pro Day appearance.",http://en.wikipedia.org/wiki/Will_Johnson_(American_football),//upload.wikimedia.org/wikipedia/commons/5/5c/Will_Johnson_American_Football_46_blocking_on_a_punt_2013.jpg
