Winner,http://upload.wikimedia.org/wikipedia/commons/6/6e/Kailash_Satyarthi.jpg,Known For,Field,Gender,Place of Birth,Country of Birth,Short Description,Description,Year of Birth,Age of Nobel Win,Universities,Country represented for Nobel Prize,Image,DBpedia Link,Profile
Woodrow Wilson,1919 - Peace,,,Male,"Staunton, Virginia, United States",United States of America,,"Thomas Woodrow Wilson (December 28, 1856 – February 3, 1924) was the 28th President of the United States from 1913 to 1921 and leader of the Progressive Movement. He served as President of Princeton University from 1902 to 1910 and was Governor of New Jersey from 1911 to 1913. He led his Democratic Party to win control of both the White House and Congress in 1912.",1856,63,"Johns Hopkins University, Princeton University, Davidson College, University of Virginia",United States of America,http://upload.wikimedia.org/wikipedia/commons/2/2d/President_Woodrow_Wilson_portrait_December_2_1912.jpg,http://dbpedia.org/page/Woodrow_Wilson,http://en.wikipedia.org/wiki/Woodrow_Wilson
Johannes Stark,1919 - Physics,Stark effect,,Male,"Freihung, Germany",Germany,,"Johannes Stark (15 April 1874 – 21 June 1957) was a German physicist, and Physics Nobel Prize laureate who was closely involved with the Deutsche Physik movement under the Nazi regime.",1874,45,Ludwig Maximilian University of Munich,Germany,http://upload.wikimedia.org/wikipedia/commons/1/1d/Johannes_Stark.jpg,http://dbpedia.org/page/Johannes_Stark,http://en.wikipedia.org/wiki/Johannes_Stark
Walther Nernst,1920 - Chemestry,"Nernst glower, Nernst equation, Nernst heat theorem, Third law of thermodynamics, Reversal potential, Nernst effect, Nernst lamp, Nernst–Planck equation",,Male,"Pomerania, Wąbrzeźno, Germany",Germany,German Scientist,"Walther Hermann Nernst, ForMemRS (25 June 1864 – 18 November 1941) was a German physicist who is known for his theories behind the calculation of chemical affinity as embodied in the third law of thermodynamics, for which he won the 1920 Nobel Prize in chemistry. Nernst helped establish the modern field of physical chemistry and contributed to electrochemistry, thermodynamics and solid state physics. He is also known for developing the Nernst equation.",1864,56,"Humboldt University of Berlin, University of Würzburg, University of Zurich, University of Graz",Germany,http://upload.wikimedia.org/wikipedia/commons/d/d5/Walther_Nernst_SI.jpg,http://dbpedia.org/page/Walther_Nernst,http://en.wikipedia.org/wiki/Walther_Nernst
Knut Hamsun,1920 - Literature,,,Male,"Lom, Norway",Norway,Norwegian Writer,"Knut Hamsun (August 4, 1859 – February 19, 1952) was a Norwegian author, who was awarded the Nobel Prize in Literature in 1920. Hamsun's work spans more than 70 years and shows variation with regard to the subject, perspective and environment. He published more than 20 novels, a collection of poetry, some short stories and plays, a travelogue, and some essays.",1859,61,,Norway,http://upload.wikimedia.org/wikipedia/commons/4/41/Hamsun_bldsa_HA0341.jpg,http://dbpedia.org/page/Knut_Hamsun,http://en.wikipedia.org/wiki/Knut_Hamsun
August Krogh,1920 - Medicine / Physiology,Krogh's principle,,Male,,,Danish Physiologist,"Schack August Steenberg Krogh ForMemRS (November 15, 1874 – September 13, 1949) was a Danish professor at the department of zoophysiology at the University of Copenhagen from 1916-1945. He contributed a number of fundamental discoveries within several fields of physiology, and is famous for developing the Krogh Principle. ",1874,46,,Denmark,http://upload.wikimedia.org/wikipedia/commons/7/7e/August_Krogh_Bain_32006.jpg,http://dbpedia.org/page/August_Krogh,http://en.wikipedia.org/wiki/August_Krogh
Léon Bourgeois,1920 - Peace,,,Male,"Paris, France",France,,"Léon Victor Auguste Bourgeois ( French: [leɔ̃ buʁʒwa]; 21 May 1851 – 29 September 1925) was a French statesman. His ideas influenced the Radical Party regarding a wide range of issues. He promoted progressive taxation such as progressive income taxes and social insurance schemes, along with economic equality, expanded educational opportunities, and cooperatives. In foreign policy, he called for a strong League of Nations, and the maintenance of peace through compulsory arbitration, controlled disarmament, economic sanctions, and perhaps an international military force.",1851,69,,France,http://upload.wikimedia.org/wikipedia/commons//d/df/Bourgeoi.jpg,http://dbpedia.org/page/L%C3%A9on_Bourgeois,http://en.wikipedia.org/wiki/L%C3%A9on_Bourgeois
Charles Édouard Guillaume,1920 - Physics,"Elinvar, Invar",,Male,"Fleurier, Switzerland",Switzerland,,"Charles Édouard Guillaume (15 February 1861, Fleurier, Switzerland – 13 May 1938, Sèvres, France) was a Swiss physicist who received the Nobel Prize in Physics in 1920 in recognition of the service he had rendered to precision measurements in physics by his discovery of anomalies in nickel steel alloys.",1861,59,ETH Zurich,Switzerland,http://upload.wikimedia.org/wikipedia/commons/5/51/Guillaume_1920.jpg,http://dbpedia.org/page/Charles_%C3%89douard_Guillaume,http://en.wikipedia.org/wiki/Charles_%C3%89douard_Guillaume
Frederick Soddy,1921 - Chemestry,"Nuclear transmutation of radioelements, Radioisotopes, Coining the term isotope, Thermoeconomics, Ergosophy, Radioactive displacement law of Fajans and Soddy, Soddy's hexlet, Soddy circles","Radiochemistry, Economics",Male,"Eastbourne, United Kingdom",United Kingdom,British Chemist,"Frederick Soddy FRS (2 September 1877 – 22 September 1956) was an English radiochemist who explained, with Ernest Rutherford, that radioactivity is due to the transmutation of elements, now known to involve nuclear reactions. He also proved the existence of isotopes of certain radioactive elements. ",1877,44,"University of Oxford, Aberystwyth University",United Kingdom,http://upload.wikimedia.org/wikipedia/commons/5/5c/Frederick_Soddy.jpg,http://dbpedia.org/page/Frederick_Soddy,http://en.wikipedia.org/wiki/Frederick_Soddy
Anatole France,1921 - Literature,,,Male,"Paris, France",France,French Novelist,"Anatole France ( pronounced: [anatɔl fʁɑ̃s]; born François-Anatole Thibault, [frɑ̃swa anatɔl tibo]; 16 April 1844 – 12 October 1924) was a French poet, journalist, and novelist. He was born in Paris, and died in Saint-Cyr-sur-Loire. He was a successful novelist, with several best-sellers. Ironic and skeptical, he was considered in his day the ideal French man of letters. He was a member of the Académie française, and won the 1921 Nobel Prize for Literature ""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament"".",1844,77,,France,http://upload.wikimedia.org/wikipedia/commons/c/c1/Anatole_France_young_years.jpg,http://dbpedia.org/page/Anatole_France,http://en.wikipedia.org/wiki/Anatole_France
Christian Lous Lange,1921 - Peace,,,Male,,,Norwegian Historian And Political Scientist,"Christian Lous Lange (17 September 1869 – 11 December 1938) was a Norwegian historian, teacher, and political scientist. He was one of the world's foremost exponents of the theory and practice of internationalism.",1869,52,,Norway,http://upload.wikimedia.org/wikipedia/commons/c/c2/Christian_Lous_Lange.jpg,http://dbpedia.org/page/Christian_Lous_Lange,http://en.wikipedia.org/wiki/Christian_Lous_Lange
Hjalmar Branting,1921 - Peace,,,Male,"Stockholm, Sweden",Sweden,Prime Minister Of Sweden,"Karl Hjalmar Branting(help·info) (23 November 1860 – 24 February 1925) was a Swedish politician. He was the leader of the Swedish Social Democratic Party (1907–1925), and Prime Minister during three separate periods (1920, 1921–1923, and 1924–1925). When Branting came to power in 1920, he was the first Social Democratic Prime Minister of Sweden. When he took office for a second term after the general election of 1921, he became the first socialist politician in Europe to do so following elections with universal suffrage.In 1921, Sweden's Prime Minister Hjalmar Branting shared the Peace Prize with the Norwegian secretary-general of the Inter-Parliamentary Union, Christian Lange.",1860,61,,Sweden,http://upload.wikimedia.org/wikipedia/commons/6/6a/Hjalmar_branting_stor_bild.jpg,http://dbpedia.org/page/Hjalmar_Branting,http://en.wikipedia.org/wiki/Hjalmar_Branting
Albert Einstein,1921 - Physics,"General relativity and special relativity, Photoelectric effect, Mass-energy equivalence, Theory of Brownian Motion, Einstein field equations, Bose–Einstein statistics, Bose–Einstein condensate, Bose–Einstein correlations, Unified Field Theory, EPR paradox",,Male,"Ulm, Germany",Germany,,"Albert Einstein ( /ˈælbərtˈaɪnstaɪn/; German: [ˈalbɐt ˈaɪnʃtaɪn]; 14 March 1879 – 18 April 1955) was a German-born theoretical physicist and philosopher of science. He developed the general theory of relativity, one of the two pillars of modern physics (alongside quantum mechanics ). He is best known in popular culture for his mass–energy equivalence formula E = mc2 (which has been dubbed ""the world's most famous equation""). He received the 1921 Nobel Prize in Physics ""for his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect "". The latter was pivotal in establishing quantum theory.",1879,42,"ETH Zurich, University of Zurich","Germany, Switzerland",http://upload.wikimedia.org/wikipedia/commons/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg,http://dbpedia.org/page/Albert_Einstein,http://en.wikipedia.org/wiki/Albert_Einstein
Francis William Aston,1922 - Chemestry,"Mass spectrometry, Whole number rule",,Male,"Birmingham, Harborne, United Kingdom",United Kingdom,British Chemist,"Francis William Aston FRS (1 September 1877 – 20 November 1945) was a British chemist and physicist who won the 1922 Nobel Prize in Chemistry for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole number rule. and Fellow of Trinity College, Cambridge. ",1877,45,"University of Cambridge, University of Birmingham",United Kingdom,http://upload.wikimedia.org/wikipedia/commons//c/c6/Francis_William_Aston.jpg,http://dbpedia.org/page/Francis_William_Aston,http://en.wikipedia.org/wiki/Francis_William_Aston
Jacinto Benavente,1922 - Literature,,,Male,"Madrid, Spain",Spain,,"Jacinto Benavente y Martínez (12 August 1866 – 14 July 1954) was one of the foremost Spanish dramatists of the 20th century. He was awarded the Nobel Prize for Literature in 1922 ""for the happy manner in which he has continued the illustrious traditions of the Spanish drama"".",1866,56,,Spain,http://upload.wikimedia.org/wikipedia/commons/9/96/Jacinto_Benavente_y_Martinez.jpg,http://dbpedia.org/page/Jacinto_Benavente,http://en.wikipedia.org/wiki/Jacinto_Benavente
Otto Fritz Meyerhof,1922 - Medicine / Physiology,Oxygen consumption and the metabolism of lactic acid in the muscle,"Physics, Biochemistry",Male,"Hanover, Germany",Germany,German Biochemist,"Otto Fritz Meyerhof ForMemRS (April 12, 1884 – October 6, 1951) was a German physician and biochemist. ",1884,38,"Heidelberg University, University of Strasbourg",Germany,http://upload.wikimedia.org/wikipedia/commons/0/05/Otto_Fritz_Meyerhof.jpg,http://dbpedia.org/page/Otto_Fritz_Meyerhof,http://en.wikipedia.org/wiki/Otto_Fritz_Meyerhof
Archibald Hill,1922 - Medicine / Physiology,"Hill equation, Hill's muscle model, Founding biophysics, Mechanical work in muscles","Physiology, Biophysics",Male,"Bristol, England, United Kingdom",United Kingdom,Physiologist And Biophysicist,"Archibald Vivian Hill, CH, OBE, FRS (26 September 1886 – 3 June 1977), known as A. V. Hill, was an English physiologist, one of the founders of the diverse disciplines of biophysics and operations research. He shared the 1922 Nobel Prize in Physiology or Medicine for his elucidation of the production of heat and mechanical work in muscles. ",1886,36,University of Cambridge,United Kingdom,http://upload.wikimedia.org/wikipedia/commons/c/c9/Archibald_Vivian_Hill.jpg,http://dbpedia.org/page/Archibald_Hill,http://en.wikipedia.org/wiki/Archibald_Hill
Fridtjof Nansen,1922 - Peace,,,Male,"Store Frøen, Christiania, Norway",Norway,Norwegian Explorer,"Fridtjof Nansen ( /ˈfrɪd.tjɒfˈnænsən/ FRID-choff NAN-sən; 10 October 1861 – 13 May 1930) was a Norwegian explorer, scientist, diplomat, humanitarian and Nobel Peace Prize laureate. In his youth a champion skier and ice skater, he led the team that made the first crossing of the Greenland interior in 1888, and won international fame after reaching a record northern latitude of 86°14′ during his North Pole expedition of 1893–96. Although he retired from exploration after his return to Norway, his techniques of polar travel and his innovations in equipment and clothing influenced a generation of subsequent Arctic and Antarctic expeditions.",1861,61,,Norway,http://upload.wikimedia.org/wikipedia/commons/9/9b/Fridtjof_Nansen_LOC_03377u-3.jpg,http://dbpedia.org/page/Fridtjof_Nansen,http://en.wikipedia.org/wiki/Fridtjof_Nansen
Niels Bohr,1922 - Physics,,,Male,"Copenhagen, Denmark",Denmark,,"Niels Henrik David Bohr ( Danish: [ˈnels ˈboɐ̯ˀ]; 7 October 1885 – 18 November 1962) was a Danish physicist who made foundational contributions to understanding atomic structure and quantum theory, for which he received the Nobel Prize in Physics in 1922. Bohr was also a philosopher and a promoter of scientific research. ",1885,37,University of Copenhagen,Denmark,http://upload.wikimedia.org/wikipedia/commons/6/6d/Niels_Bohr.jpg,http://dbpedia.org/page/Niels_Bohr,http://en.wikipedia.org/wiki/Niels_Bohr
Fritz Pregl,1923 - Chemestry,Microelemental analysis,,Male,"Ljubljana, Slovenia",Slovenia,Austrian Chemist,"Fritz Pregl (in Slovene also Friderik Pregl) (3 September 1869 – 13 December 1930), was a Slovenian and Austrian chemist and physician from a mixed Slovene - German -speaking background. He won the Nobel Prize in Chemistry in 1923 for making important contributions to quantitative organic microanalysis, one of which was the improvement of the combustion train technique for elemental analysis.",1869,54,University of Graz,"Austria, Slovenia",http://upload.wikimedia.org/wikipedia/commons/1/1d/Fritz_Pregl.jpg,http://dbpedia.org/page/Fritz_Pregl,http://en.wikipedia.org/wiki/Fritz_Pregl
W. B. Yeats,1923 - Literature,,,Male,"County Dublin, Sandymount, Ireland",Ireland,Irish Poet And Playwright,"William Butler Yeats ( /ˈjeɪts/; 13 June 1865 – 28 January 1939) was an Irish poet and one of the foremost figures of 20th century literature. A pillar of both the Irish and British literary establishments, in his later years he served as an Irish Senator for two terms. Yeats was a driving force behind the Irish Literary Revival and, along with Lady Gregory, Edward Martyn, and others, founded the Abbey Theatre, where he served as its chief during its early years. In 1923 he was awarded the Nobel Prize in Literature as the first Irishman so honoured for what the Nobel Committee described as ""inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation."" Yeats is generally considered one of the few writers who completed their greatest works after being awarded the Nobel Prize; such works include The Tower (1928) and The Winding Stair and Other Poems (1929). Yeats was a very good friend of American expatriate poet and Bollingen Prize laureate Ezra Pound. Yeats wrote the introduction for Rabindranath Tagore s Gitanjali, which was published by the India Society. ",1865,58,,Ireland,http:http://upload.wikimedia.org/wikipedia/commons/6/62/Yeats_Boughton.jpg,http://dbpedia.org/page/W._B._Yeats,http://en.wikipedia.org/wiki/W._B._Yeats
Frederick Banting,1923 - Medicine / Physiology,Insulin,,Male,"Alliston, Canada",Canada,Medical Scientist,"Sir Frederick Grant Banting, KBE, MC, FRS, FRSC (November 14, 1891 – February 21, 1941) was a Canadian medical scientist, doctor, painter and Nobel laureate noted as the first person that used insulin on humans. ",1891,32,University of Toronto,Canada,http://upload.wikimedia.org/wikipedia/commons/0/05/Fredrick_banting.jpg,http://dbpedia.org/page/Frederick_Banting,http://en.wikipedia.org/wiki/Frederick_Banting
John James Rickard Macleod,1923 - Medicine / Physiology,Insulin,Medicine,Male,"Perthshire, Scotland, Clunie, United Kingdom",United Kingdom,Scottish Physician And Physiologist,"John James Rickard Macleod, FRS (6 September 1876 – 16 March 1935) was a Scottish biochemist and physiologist. He devoted his career to diverse topics in physiology and biochemistry, but was chiefly interested in carbohydrate metabolism. He is noted for his role in the discovery and isolation of insulin during his tenure as a lecturer at the University of Toronto, for which he and Frederick Banting received the 1923 Nobel prize in Physiology or Medicine. Awarding the prize to Macleod was controversial at the time, because according to Banting's version of events, Macleod's role in the discovery was negligible. It was not until decades after the events that an independent review acknowledged a far greater role than was attributed to him at first. ",1876,47,University of Aberdeen,United Kingdom,http://upload.wikimedia.org/wikipedia/commons/5/56/J.J.R._Macleod_ca._1928.png,http://dbpedia.org/page/John_James_Rickard_Macleod,http://en.wikipedia.org/wiki/John_James_Rickard_Macleod
Robert Andrews Millikan,1923 - Physics,"Charge of the electron, Cosmic rays",,Male,"Morrison, Illinois, United States",United States of America,,"Robert A. Millikan (March 22, 1868 – December 19, 1953) was an American experimental physicist honored with the Nobel Prize for Physics in 1923 for his measurement of the elementary electronic charge and for his work on the photoelectric effect.",1868,55,"Columbia University, Oberlin College",United States of America,http://upload.wikimedia.org/wikipedia/commons/8/88/Robert_Andrews_Millikan.jpg,http://dbpedia.org/page/Robert_Andrews_Millikan,http://en.wikipedia.org/wiki/Robert_Andrews_Millikan
Władysław Reymont,1924 - Literature,,,Male,"Radomsko, Poland",Poland,Polish Novelist,"Władysław Stanisław Reymont (May 7, 1867 – December 5, 1925) was a Polish novelist and the 1924 laureate of the Nobel Prize in Literature. His best-known work is the award-winning four-volume novel Chłopi (The Peasants).",1867,57,,Poland,http://upload.wikimedia.org/wikipedia/commons/a/a1/Wladyslaw_Reymont_1924.jpg,http://dbpedia.org/page/W%C5%82adys%C5%82aw_Reymont,http://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_Reymont
Willem Einthoven,1924 - Medicine / Physiology,Electrocardiography,,Male,"Semarang, Indonesia",Indonesia,Dutch Physiologist,Willem Einthoven (21 May 1860 – 29 September 1927) was a Dutch doctor and physiologist. He invented the first practical electrocardiogram (ECG or EKG) in 1903 and received the Nobel Prize in Medicine in 1924 for it.,1860,64,Utrecht University,Netherlands,http://upload.wikimedia.org/wikipedia/commons/4/49/Willem_Einthoven.jpg,http://dbpedia.org/page/Willem_Einthoven,http://en.wikipedia.org/wiki/Willem_Einthoven
Manne Siegbahn,1924 - Physics,,,Male,"Örebro, Sweden",Sweden,,"Karl Manne Georg Siegbahn ForMemRS (3 December 1886 – 26 September 1978) was a Swedish physicist who was awarded the Nobel Prize in Physics in 1924 ""for his discoveries and research in the field of X-ray spectroscopy "". ",1886,38,Lund University,Sweden,http://upload.wikimedia.org/wikipedia/commons/e/eb/1924_Karl_Manne_Siegbahn.jpg,http://dbpedia.org/page/Manne_Siegbahn,http://en.wikipedia.org/wiki/Manne_Siegbahn
Richard Adolf Zsigmondy,1925 - Chemestry,,,Male,"Vienna, Austria",Austria,Austrian Chemist,"Richard Adolf Zsigmondy (1 April 1865 – 23 September 1929) was an Austrian - Hungarian chemist. He was known for his research in colloids, for which he was awarded the Nobel Prize in chemistry in 1925. The crater Zsigmondy on the Moon is named in his honour.",1865,60,"Ludwig Maximilian University of Munich, Vienna University of Technology","Austria, Hungary",http://upload.wikimedia.org/wikipedia/en9/9b/Richard_Adolf_Zsigmondy.jpg,http://dbpedia.org/page/Richard_Adolf_Zsigmondy,http://en.wikipedia.org/wiki/Richard_Adolf_Zsigmondy
George Bernard Shaw,1925 - Literature,,,Male,"Dublin, Ireland",Ireland,"Irish Playwright, Critic, And Political Activist","George Bernard Shaw (26 July 1856 – 2 November 1950) was an Irish playwright and a co-founder of the London School of Economics. Although his first profitable writing was music and literary criticism, in which capacity he wrote many highly articulate pieces of journalism, his main talent was for drama, and he wrote more than 60 plays. He was also an essayist, novelist and short story writer. Nearly all his writings address prevailing social problems with a vein of comedy which makes their stark themes more palatable. Issues which engaged Shaw's attention included education, marriage, religion, government, health care, and class privilege.",1856,69,,Ireland,http://upload.wikimedia.org/wikipedia/commons/f/f2/George_Bernard_Shaw_1936.jpg,http://dbpedia.org/page/George_Bernard_Shaw,http://en.wikipedia.org/wiki/George_Bernard_Shaw
Austen Chamberlain,1925 - Peace,,,Male,"Birmingham, United Kingdom",United Kingdom,British Politician,"Sir Joseph Austen Chamberlain KG (16 October 1863 – 17 March 1937) was a British statesman, recipient of the Nobel Peace Prize, and half-brother of Neville Chamberlain.",1863,62,,United Kingdom,http://upload.wikimedia.org/wikipedia/commons/7/7f/Laszlo_-_The_Rt._Hon._Sir_Austen_Chamberlain.jpg,http://dbpedia.org/page/Austen_Chamberlain,http://en.wikipedia.org/wiki/Austen_Chamberlain
Charles G. Dawes,1925 - Peace,,,Male,"Ohio, Marietta, Ohio, United States",United States of America,"United States Army, General Officer","Charles Gates Dawes (August 27, 1865 – April 23, 1951) was an American banker and politician who was the 30th Vice President of the United States (1925–1929). For his work on the Dawes Plan for World War I reparations he was a cowinner of the Nobel Peace Prize in 1925. Dawes served in the First World War, was the Comptroller of the Currency, the first director of the Bureau of the Budget, and, in later life, the Ambassador to the United Kingdom.",1865,60,"University of Cincinnati, Marietta College",United States of America,http://upload.wikimedia.org/wikipedia/commons/9/9a/Chas_G_Dawes-H%26E.jpg,http://dbpedia.org/page/Charles_G._Dawes,http://en.wikipedia.org/wiki/Charles_G._Dawes
Gustav Ludwig Hertz,1925 - Physics,,,Male,"Hamburg, Germany",Germany,German Physicist,"Gustav Ludwig Hertz (22 July 1887 – 30 October 1975) was a German experimental physicist and Nobel Prize winner, and a nephew of Heinrich Rudolf Hertz.",1887,38,Humboldt University of Berlin,Germany,http://upload.wikimedia.org/wikipedia/commons/5/51/Gustav_Hertz.jpg,http://dbpedia.org/page/Gustav_Ludwig_Hertz,http://en.wikipedia.org/wiki/Gustav_Ludwig_Hertz
James Franck,1925 - Physics,"Franck–Hertz experiment, Franck–Condon principle",,Male,"Hamburg, Germany",Germany,,James Franck (26 August 1882 – 21 May 1964) was a German physicist and Nobel laureate.,1882,43,"Heidelberg University, Humboldt University of Berlin",Germany,http://upload.wikimedia.org/wikipedia/commons/6/6c/James_Franck.jpg,http://dbpedia.org/page/James_Franck,http://en.wikipedia.org/wiki/James_Franck
Theodor Svedberg,1926 - Chemestry,"Colloid, Ultracentrifuge",,Male,"Valbo, Sweden",Sweden,Swedish Chemist,"Theodor (""The"") Svedberg (30 August 1884 – 25 February 1971) was a Swedish chemist and Nobel laureate, active at Uppsala University.",1884,42,Uppsala University,Sweden,http://upload.wikimedia.org/wikipedia/commons/9/92/The-svedberg-1.jpg,http://dbpedia.org/page/Theodor_Svedberg,http://en.wikipedia.org/wiki/Theodor_Svedberg
Grazia Deledda,1926 - Literature,,,Female,"Nuoro, Italy",Italy,Italian Writer,"Grazia Deledda (27 September 1871 – 15 August 1936) was an Italian writer who received the Nobel Prize for Literature in 1926 ""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general"". She was the first Italian woman to receive this honor. ",1871,55,,Italy,http://upload.wikimedia.org/wikipedia/commons/c/c7/Grazia_Deledda_1926.jpg,http://dbpedia.org/page/Grazia_Deledda,http://en.wikipedia.org/wiki/Grazia_Deledda
Johannes Fibiger,1926 - Medicine / Physiology,Cancer research,,Male,"Silkeborg, Denmark",Denmark,Danish Physician,"Johannes Andreas Grib Fibiger (23 April 1867 – 30 January 1928) was a Danish scientist, physician, and professor of pathological anatomy who won the 1926 Nobel Prize in Physiology or Medicine. Fibiger had claimed to find an organism he called Spiroptera carcinoma that caused cancer in mice and rats. He received a Nobel prize for this discovery. Later, it was shown that this specific organism was not the primary cause of the tumors. Moreover, Katsusaburo Yamagiwa, only two years later in 1915 successfully induced squamous cell carcinoma by painting crude coal tar on the inner surface of rabbits' ears. Yamagiwa's work has become the primary basis for this line of research. Because of this, some consider Fibiger's Nobel Prize to be undeserved particularly because Yamagiwa did not receive the prize. Encyclopædia Britannica s guide to Nobel Prizes in cancer research mentions Yamagiwa's work as a milestone without mentioning Fibiger. ",1867,59,,Denmark,http://upload.wikimedia.org/wikipedia/commons/4/43/J_Fibiger.jpg,http://dbpedia.org/page/Johannes_Fibiger,http://en.wikipedia.org/wiki/Johannes_Fibiger
Gustav Stresemann,1926 - Peace,,,Male,"Berlin, Germany",Germany,German Politician,"Gustav Stresemann(help·info) (May 10, 1878 – October 3, 1929) was a German politician and statesman who served as Chancellor in 1923 (for a brief period of 102 days) and Foreign Minister 1923–1929, during the Weimar Republic. He was co-laureate of the Nobel Peace Prize in 1926.",1878,48,,Germany,http://upload.wikimedia.org/wikipedia/commons/2/2b/Bundesarchiv_Bild_146-1989-040-27%2C_Gustav_Stresemann.jpg,http://dbpedia.org/page/Gustav_Stresemann,http://en.wikipedia.org/wiki/Gustav_Stresemann
Aristide Briand,1926 - Peace,,,Male,"Nantes, France",France,,Aristide Briand ( French: [a.ʁis.tid bʁi.jɑ̃]; 28 March 1862 – 7 March 1932) was a French statesman who served eleven terms as Prime Minister of France during the French Third Republic and was a co-laureate of the 1926 Nobel Peace Prize.,1862,64,,France,http://upload.wikimedia.org/wikipedia/commons/c/c1/Aristide_Briand_07.jpg,http://dbpedia.org/page/Aristide_Briand,http://en.wikipedia.org/wiki/Aristide_Briand
Jean Baptiste Perrin,1926 - Physics,Nature of cathode rays,,Male,"Lille, France",France,,"Jean Baptiste Perrin ForMemRS (30 September 1870 – 17 April 1942) was a French physicist who, in his studies of the Brownian motion of minute particles suspended in liquids, verified Albert Einstein ’s explanation of this phenomenon and thereby confirmed the atomic nature of matter. For this achievement he was honoured with the Nobel Prize for Physics in 1926. ",1870,56,École Normale Supérieure,France,http://upload.wikimedia.org/wikipedia/commons/e/e6/Jean_Perrin_1926.jpg,http://dbpedia.org/page/Jean_Baptiste_Perrin,http://en.wikipedia.org/wiki/Jean_Baptiste_Perrin
Heinrich Otto Wieland,1927 - Chemestry,Bile acid,,Male,"Pforzheim, Germany",Germany,,"Heinrich Otto Wieland (4 June 1877 – 5 August 1957) was a German chemist. He won the 1927 Nobel Prize in Chemistry for his research into the bile acids. In 1901 Wieland received his doctorate at the University of Munich while studying under Johannes Thiele. In 1904 he completed his habilitation, then continued to teach at the university and starting in 1907 was a consultant for Boehringer-Ingelheim. In 1914 he became associate professor for special topics in organic chemistry, and director of the Organic Division of the State Laboratory in Munich. From 1917 to 1918 Wieland worked in the service of the (KWI) Kaiser Wilhelm Institute for Physical Chemistry and Elektrochemistry in Dahlem then led by Fritz Haber as an alternative to regular military service. There he was involved in weapons research for instance finding new synthetic routes for mustard gas. He is also credited with the first synthesis of Adamsite.",1877,50,Ludwig Maximilian University of Munich,Germany,http://upload.wikimedia.org/wikipedia/commons/0/07/Heinrich_Wieland.jpg,http://dbpedia.org/page/Heinrich_Otto_Wieland,http://en.wikipedia.org/wiki/Heinrich_Otto_Wieland
Henri Bergson,1927 - Literature,,,Male,"Paris, France",France,Philosopher,"Henri-Louis Bergson ( French: [bɛʁksɔn]; 18 October 1859 – 4 January 1941) was a major French philosopher, influential especially in the first half of the 20th century. Bergson convinced many thinkers that the processes of immediate experience and intuition are more significant than abstract rationalism and science for understanding reality.",1859,68,,France,http://upload.wikimedia.org/wikipedia/en/2/22/Bergson-Nobel-photo.jpg,http://dbpedia.org/page/Henri_Bergson,http://en.wikipedia.org/wiki/Henri_Bergson
Julius Wagner-Jauregg,1927 - Medicine / Physiology,History of malaria,,Male,"Wels, Austria",Austria,Austrian Neuroscientist,"Julius Wagner-Jauregg (7 March 1857 – 27 September 1940) was an Austrian physician, who won the Nobel Prize in Physiology or Medicine in 1927. His Nobel award was ""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica "". Even though his first wife was Jewish, later in life he supported Nazism, and became anti-Semitic and advocate of eugenics, which degraded his public recognition. ",1857,70,University of Vienna,Austria,http://upload.wikimedia.org/wikipedia/commons/b/bc/Julius_Wagner-Jauregg.jpg,http://dbpedia.org/page/Julius_Wagner-Jauregg,http://en.wikipedia.org/wiki/Julius_Wagner-Jauregg
Ludwig Quidde,1927 - Peace,,,Male,"Bremen, Germany",Germany,German Politician,"Ludwig Quidde (March 23, 1858, Bremen – March 4, 1941) was a German pacifist who is mainly remembered today for his acerbic criticism of German Emperor Wilhelm II. Quidde's long career spanned four different eras of German history: that of Bismarck (up to 1890); the Hohenzollern Empire under Wilhelm II (1888–1918); the Weimar Republic (1918–1933); and, finally, Nazi Germany. In 1927, he was awarded the Nobel Peace Prize.",1858,69,,Germany,http://upload.wikimedia.org/wikipedia/commons/1/17/Ludwig_Quidde_nobel.jpg,http://dbpedia.org/page/Ludwig_Quidde,http://en.wikipedia.org/wiki/Ludwig_Quidde
