Rank,Name,Sport,Total Pay,Salary/Winnings,Endorsements,Nation,Gender,Year of birth,Birth Date,Place of Birth,Height (cm),Wikipedia Page,dbpedia Page,Image,Description
94,Jairus Byrd,Football,"$18,000,000","$17,900,000","$100,000",United States,Male,1986,7/10/1986,"San Diego, California, United States",178,http://en.wikipedia.org/wiki/Jairus_Byrd,dbpedia.org/resource/Jairus_Byrd,http://commons.wikimedia.org/wiki/Special:FilePath/Jairus_Byrd.jpg?width=300,"Jairus Keelon Byrd (born October 7, 1986) is an American football free safety for the New Orleans Saints of the National Football League (NFL). He played college football for the University of Oregon . He was drafted by the Buffalo Bills in the second round of the 2009 NFL Draft . He is a three-time Pro Bowl selection."
70,Jason Peters,Football,"$20,750,000","$20,700,000","$50,000",United States,Male,1982,22/01/1982,"Queen City, Texas, United States",193,http://en.wikipedia.org/wiki/Jason_Peters,dbpedia.org/resource/Jason_Peters,,"Jason Raynard Peters (born January 22, 1982) is an American football offensive tackle for the Philadelphia Eagles of the National Football League (NFL). He played college football for the University of Arkansas, and was signed by the Buffalo Bills as an undrafted free agent in 2004, originally as a tight end . Peters was selected to the Pro Bowl in 2007 through 2011 ."
97,Jayson Werth,Baseball,"$17,500,000","$17,300,000","$200,000",United States,Male,1979,20/05/1979,"Springfield, Illinois",196,http://en.wikipedia.org/wiki/Jayson_Werth,dbpedia.org/resource/Jayson_Werth,http://commons.wikimedia.org/wiki/Special:FilePath/WER_4003_Jayson_Werth.jpg?width=300,"Jayson Richard Gowan Werth (born May 20, 1979) is an American Major League Baseball outfielder for the Washington Nationals . He has previously played for the Toronto Blue Jays, Los Angeles Dodgers, and Philadelphia Phillies . He bats and throws right-handed."
86,Jeff Gordon,Racing,"$18,700,000","$13,700,000","$5,000,000",United States,Male,1971,4/08/1971,"Vallejo, California, United States",150,http://en.wikipedia.org/wiki/Jeff_Gordon,dbpedia.org/resource/Jeff_Gordon,http://commons.wikimedia.org/wiki/Special:FilePath/Jeff_Gordon_Closeup_2012.jpg?width=300,"Jeffery Michael "" Jeff "" Gordon (born August 4, 1971) is an American professional stock car racing driver. He drives the No. 24 Chevrolet SS for Hendrick Motorsports in the NASCAR Sprint Cup Series ."
42,Jimmie Johnson,Racing,"$23,500,000","$17,000,000","$6,500,000",United States,Male,1975,17/09/1975,"El Cajon, California, United States",165,http://en.wikipedia.org/wiki/Jimmie_Johnson,dbpedia.org/resource/Jimmie_Johnson,"http://commons.wikimedia.org/wiki/Special:FilePath/Jimmie_Johnson,_Richmond_2011_(cropped).jpg?width=300","Jimmie Kenneth Johnson (born September 17, 1975) is an American stock car racing driver and a six-time champion in the NASCAR Sprint Cup Series . He drives the No. 48 Lowe's / Kobalt Tools Chevrolet SS for Hendrick Motorsports ."
52,Joe Johnson,Basketball,"$22,500,000","$21,500,000","$1,000,000",United States,Male,1981,29/06/1981,"Little Rock, Arkansas",201,http://en.wikipedia.org/wiki/Joe_Johnson_(basketball),dbpedia.org/resource/Joe_Johnson_(basketball),http://commons.wikimedia.org/wiki/Special:FilePath/Joe_Johnson_Brooklyn_Nets.jpg?width=300,"Joe Marcus Johnson (born June 29, 1981) is an American professional basketball player who currently plays for the Brooklyn Nets of the National Basketball Association (NBA). The 6'7"" swingman played high school basketball for Little Rock Central High School and college basketball for the University of Arkansas . After two years with Arkansas, he declared for the 2001 NBA draft, where he was drafted 10th overall by the Boston Celtics . The seven-time NBA All-Star has also played for the Phoenix Suns and the Atlanta Hawks, while having also represented the United States national team ."
48,Johan Santana,Baseball,"$22,900,000","$22,500,000","$400,000",Venezuela,Male,1979,13/03/1979,"Mérida, Venezuela",183,http://en.wikipedia.org/wiki/Johan_Santana,dbpedia.org/resource/Johan_Santana,"http://commons.wikimedia.org/wiki/Special:FilePath/Johan_Santana_on_May_5,_2012.jpg?width=300","Johan Alexander Santana Araque ( /ˈjoʊhɑːnsænˈtænə/; born March 13, 1979) is a Venezuelan Major League Baseball starting pitcher with the Baltimore Orioles . Santana pitched for the Minnesota Twins from 2000 to 2007 and for the New York Mets from 2008 to 2012. In June 2014 Santana tore his Achilles tendon ending his attempt at a comeback. A two-time Cy Young Award winner with the Twins, Santana is a four-time All-Star and earned a pitching triple crown in 2006. On June 1, 2012, Santana threw the first no-hitter in New York Mets franchise history against the St. Louis Cardinals ."
18,Matthew Stafford,Football,"$33,000,000","$31,500,000","$1,500,000",United States,Male,1988,7/02/1988,"Tampa, Florida, United States",188,http://en.wikipedia.org/wiki/Matthew_Stafford,dbpedia.org/resource/Matthew_Stafford,http://commons.wikimedia.org/wiki/Special:FilePath/Matt_Stafford_2009_cropped.jpg?width=300,"John Matthew Stafford (born February 7, 1988) is an American football quarterback for the Detroit Lions of the National Football League (NFL). He was drafted by the Detroit Lions first overall in the 2009 NFL Draft . He played college football for the University of Georgia . He is the 4th quarterback in NFL history to throw over 5,000 yards in a single season, including one of three in the 2011 NFL season ( Drew Brees and Tom Brady )."
77,Albert Pujols,Baseball,"$20,300,000","$18,300,000","$2,000,000",Dominican Republic,Male,1980,16/01/1980,Santo Domingo,190,http://en.wikipedia.org/wiki/Albert_Pujols,dbpedia.org/resource/Albert_Pujols,"http://commons.wikimedia.org/wiki/Special:FilePath/Albert_Pujols_on_April_14,_2012.jpg?width=300","José Alberto Pujols Alcántara (born January 16, 1980), better known as Albert Pujols ( Spanish pronunciation: [ˈalβert puˈxols] ), is a Dominican-American baseball first baseman for the Los Angeles Angels of Anaheim of Major League Baseball (MLB). He stands 6 ft 3 in (1.91 m) tall, weighs 230 pounds (100 kg), and bats and throws right-handed . He previously played 11 seasons for the St. Louis Cardinals . He is the only player in major league history to record a batting average of at least .300 with at least 30 home runs and 100 runs batted in (RBIs) in his first 10 seasons. He also is the first player to accumulate at least 500 doubles in his first 12 seasons. Pujols leads all active players in doubles, with 561."
32,Miguel Cabrera,Baseball,"$24,600,000","$22,600,000","$2,000,000",Venezuela,Male,1983,18/04/1983,"Venezuela, Maracay",193,http://en.wikipedia.org/wiki/Miguel_Cabrera,dbpedia.org/resource/Miguel_Cabrera,http://commons.wikimedia.org/wiki/Special:FilePath/Miguel_Cabrera.jpg?width=300,"José Miguel Cabrera Torres (born April 18, 1983), commonly known as Miguel Cabrera and nicknamed ""Miggy"", is a Venezuelan professional baseball first baseman who plays for the Detroit Tigers of Major League Baseball (MLB). He bats and throws right-handed. He formerly played left field, right field, and for most of his career, third base . He currently spends the majority of his playing time at first base . Cabrera is a nine-time All-Star, having been selected to both the National League and American League (AL) All-Star teams. He progressed through the Florida Marlins minor league system, before being called up from the Double-A Carolina Mudcats in June 2003. Cabrera went on to help the Marlins win the 2003 World Series as their clean-up hitter."
31,Joe Mauer,Baseball,"$24,800,000","$23,000,000","$1,800,000",United States,Male,1983,19/04/1983,"Saint Paul, Minnesota",196,http://en.wikipedia.org/wiki/Joe_Mauer,dbpedia.org/resource/Joe_Mauer,http://en.wikipedia.org/wiki/Special:FilePath/AAAA8040_Joe_Mauer.jpg?width=300,"Joseph ""Joe"" Patrick Mauer (born April 19, 1983) is an American baseball catcher and first baseman in Major League Baseball (MLB) for the Minnesota Twins . He is the only catcher in MLB history to win three batting titles, and the only catcher to ever win a batting title in the American League . He also won three consecutive Gold Glove awards (2008–2010), and the 2009 American League (AL) Most Valuable Player (MVP) Award . "
62,Joe Haden,Football,"$21,350,000","$21,200,000","$150,000",United States,Male,1989,14/04/1989,"Fort Washington, Maryland, United States",180,http://en.wikipedia.org/wiki/Joe_Haden,dbpedia.org/resource/Joe_Haden,http://commons.wikimedia.org/wiki/Special:FilePath/Joe_Haden_dressed_up.jpg?width=300,"Joseph Walter Haden III (born April 14, 1989) is an American football cornerback for the Cleveland Browns of the National Football League (NFL). He played college football for the University of Florida, was recognized as a unanimous All-American, and was a member of a BCS National Championship team. He was selected by the Browns in the first round of the 2010 NFL Draft ."
69,Julius Peppers,Football,"$20,800,000","$20,400,000","$400,000",United States,Male,1980,18/01/1980,"Wilson, North Carolina, United States",201,http://en.wikipedia.org/wiki/Julius_Peppers,dbpedia.org/resource/Julius_Peppers,http://commons.wikimedia.org/wiki/Special:FilePath/Julius_Peppers_(cropped).JPG?width=300,"Julius Frazier Peppers (born January 18, 1980) is an American football player for the Green Bay Packers of the National Football League (NFL). He played college football for the University of North Carolina, and was recognized as a unanimous All-American . The Carolina Panthers selected him with the second overall pick in the 2002 NFL Draft, where he played his first eight seasons before playing four seasons with the Chicago Bears and then signing with Green Bay Packers for the 2014 season. Peppers will be used mostly as a pass rushing outside linebacker but will also be used as a defensive end in the Packers 3-4 defense . "
70,Justin Verlander,Baseball,"$20,700,000","$20,200,000","$500,000",United States,Male,1983,20/02/1983,"Manakin-Sabot, Virginia",196,http://en.wikipedia.org/wiki/Justin_Verlander,dbpedia.org/resource/Justin_Verlander,http://commons.wikimedia.org/wiki/Special:FilePath/Justin_Verlander_2013.jpg?width=300,"Justin Brooks Verlander (born February 20, 1983) is an American professional baseball pitcher for the Detroit Tigers of Major League Baseball (MLB)."
20,Kevin Durant,Basketball,"$31,900,000","$17,900,000","$14,000,000",United States,Male,1988,29/09/1988,"Washington, D.C.",206,http://en.wikipedia.org/wiki/Kevin_Durant,dbpedia.org/resource/Kevin_Durant,http://commons.wikimedia.org/wiki/Special:FilePath/Kevin_Durant_Feb_2014.jpg?width=300,"Kevin Wayne Durant (born September 29, 1988) is an American professional basketball player with the Oklahoma City Thunder of the National Basketball Association (NBA). Standing at 6 ft 9 in (2.06 m) and weighing 240 pounds (109 kg), he has played the small forward and power forward positions for the Thunder, formerly the Seattle SuperSonics . Durant has won an NBA Most Valuable Player Award, four NBA scoring titles, the NBA Rookie of the Year Award, and an Olympic gold medal . He has also been selected to five All-NBA teams and five All-Star teams."
5,Kobe Bryant,Basketball,"$61,500,000","$30,500,000","$31,000,000",United States,Male,1978,23/08/1978,Philadelphia,198,http://en.wikipedia.org/wiki/Kobe_Bryant,dbpedia.org/resource/Kobe_Bryant,http://commons.wikimedia.org/wiki/Special:FilePath/Kobe_Bryant_smiling_on_the_bench_USA_vs_GBR_2012.jpg?width=300,"Kobe Bean Bryant (born August 23, 1978) is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA). He entered the NBA directly from high school, and has played for the Lakers his entire career, winning five NBA championships . Bryant is a 16-time All-Star, 15-time member of the All-NBA Team, and 12-time member of the All-Defensive team . As of March 2013 , he ranks third and fourth on the league's all-time postseason scoring and all-time regular season scoring lists, respectively."
89,Larry Fitzgerald,Football,"$18,500,000","$17,000,000","$1,500,000",United States,Male,1983,31/08/1983,Minneapolis,191,http://en.wikipedia.org/wiki/Larry_Fitzgerald,dbpedia.org/resource/Larry_Fitzgerald,http://commons.wikimedia.org/wiki/Special:FilePath/Larry_Fitzgerald_060621-F-0782R-007_0T3TE_crop.jpg?width=300,"Larry Darnell Fitzgerald, Jr. (born August 31, 1983) is an American football wide receiver for the Arizona Cardinals of the National Football League (NFL). He played college football for the University of Pittsburgh, and earned unanimous All-American honors. The Arizona Cardinals chose Fitzgerald with the third overall pick in the 2004 NFL Draft, and he has played his entire professional career for the team. He has been selected for the Pro Bowl seven times, and currently ranks fifth all-time in NFL history in receiving yards per game for a career (76.0 yards per game), behind Calvin Johnson, Andre Johnson, Torry Holt, and Marvin Harrison . On November 24, 2013, at 30 years and 85 days of age, he became the youngest NFL receiver to reach 11,000 career receiving yards, surpassing the previous record-holder, Randy Moss . He agreed to an eight-year, $120 million contract extension on August 20, 2011. "
3,LeBron James,Basketball,"$72,300,000","$19,300,000","$53,000,000",United States,Male,1984,30/12/1984,"Akron, Ohio",203,http://en.wikipedia.org/wiki/LeBron_James,dbpedia.org/resource/LeBron_James,http://commons.wikimedia.org/wiki/Special:FilePath/LeBron_James_vs_Washington_3-30-11.jpg?width=300,"LeBron Raymone James ( /ləˈbrɒn/; born December 30, 1984) is an American professional basketball player for the Cleveland Cavaliers of the National Basketball Association (NBA). Standing at 6 ft 8 in (2.03 m) and weighing 250 lb (113 kg), he has started at the small forward and power forward positions. James has won two NBA championships, four NBA Most Valuable Player Awards, two NBA Finals MVP Awards, two Olympic gold medals, an NBA scoring title, and the NBA Rookie of the Year Award . He has also been selected to ten NBA All-Star teams, ten All-NBA teams, and six All-Defensive teams, and is the Cavaliers' all-time leading scorer ."
19,Lewis Hamilton,Racing,"$32,000,000","$29,000,000","$3,000,000",England,Male,1985,7/01/1985,"Stevenage, Hertfordshire, England, United Kingdom",174,http://en.wikipedia.org/wiki/Lewis_Hamilton,dbpedia.org/resource/Lewis_Hamilton,http://commons.wikimedia.org/wiki/Special:FilePath/Hamilton_2008_Singapore_GP_1.jpg?width=300,"Lewis Carl Davidson Hamilton, MBE (born 7 January 1985) is a British Formula One racing driver from England, currently racing for the Mercedes AMG team. He is the 2008 Formula One World Champion ."
41,Li Na,Tennis,"$23,600,000","$5,600,000","$18,000,000",China,Female,1982,26/02/1982,"Wuhan, Hubei, China",172,http://en.wikipedia.org/wiki/Li_Na,dbpedia.org/resource/Li_Na,http://commons.wikimedia.org/wiki/Special:FilePath/Li_Na_Photo_by_Sascha_Grabow.jpg?width=300,"Li Na (born 26 February, 1982) is a former Chinese professional tennis player, who achieved a career-best ranking of world No. 2 on the WTA Tour on 17 February 2014, but retired from the sport seven months later due to chronic and worsening knee injuries. Over the course of her career, Li won nine WTA singles titles, including two Grand Slam singles titles at the 2011 French Open and 2014 Australian Open . Li's rise to prominence came after her victory at the former event, which made her the first and only Grand Slam singles champion from Asia. Prior to this, she had already become the first player representing an Asian country to appear in a Grand Slam singles final, a milestone she achieved at the 2011 Australian Open . Li was also the runner-up at the 2013 Australian Open and 2013 WTA Tour Championships, a three-time quarterfinalist at Wimbledon and a semifinalist at the 2008 Beijing Olympic Games and 2013 US Open . Among her other most notable accolades, she was the first Chinese player to win a WTA tour title at the Guangzhou International Women's Open in 2004, the first to reach a Grand Slam singles quarterfinal at the 2006 Wimbledon Championships, and the first to break into the world's top 10. Her feats have sparked a major population growth of tennis players in Asia, earning her the reputation as the region's tennis pioneer and trailblazer."
4,Lionel Messi,Soccer,"$64,700,000","$41,700,000","$23,000,000",Argentina,Male,1987,24/06/1987,"Rosario, Santa Fe, Argentina",169,http://en.wikipedia.org/wiki/Lionel_Messi,dbpedia.org/resource/Lionel_Messi,http://commons.wikimedia.org/wiki/Special:FilePath/Lionel_Messi_Player_of_the_Year_2011.jpg?width=300,"Lionel Andrés ""Leo"" Messi Cuccittini ( Spanish pronunciation: [ljoˈnel anˈdɾes ˈmesi] (listen); born 24 June 1987), is an Argentine professional footballer who plays as a forward for Spanish club FC Barcelona and captains the Argentina national team ."
100,Luis Suárez,Soccer,"$17,300,000","$13,300,000","$4,000,000",Uruguay,Male,1987,24/01/1987,"Salto, Uruguay",181,http://en.wikipedia.org/wiki/Luis_Su%C3%A1rez,dbpedia.org/resource/Luis_Su%C3%A1rez,http://commons.wikimedia.org/wiki/Special:FilePath/Luis_Suárez_vs._Netherlands_(cropped).jpg?width=300,Luis Alberto Suárez Díaz ( American Spanish: [ˈlwis ˈswaɾes]; born 24 January 1987) is a Uruguayan professional footballer who plays for Spanish club FC Barcelona and the Uruguayan national team as a striker .
22,Mahendra Singh Dhoni,Cricket,"$30,000,000","$4,000,000","$26,000,000",India,Male,1981,7/07/1981,"Ranchi, Bihar, India",175,http://en.wikipedia.org/wiki/Mahendra_Singh_Dhoni,dbpedia.org/resource/Mahendra_Singh_Dhoni,http://commons.wikimedia.org/wiki/Special:FilePath/Dhoni_at_Reebok_event.jpg?width=300,"Mahendra Singh Dhoni ( pronunciation(help·info), commonly known as M. S. Dhoni; born 7 July 1981) is an Indian cricketer and the current captain of the Indian national cricket team . He is an attacking right-handed middle-order batsman and wicket-keeper . He is widely regarded as one of the greatest finishers in limited-overs cricket. He made his One Day International (ODI) debut in December 2004 against Bangladesh, and played his first Test a year later against Sri Lanka ."
34,Maria Sharapova,Tennis,"$24,400,000","$2,400,000","$22,000,000",Russia,Female,1987,19/04/1987,"Nyagan, Russia",188,http://en.wikipedia.org/wiki/Maria_Sharapova,dbpedia.org/resource/Maria_Sharapova,"http://commons.wikimedia.org/wiki/Special:FilePath/Maria_Sharapova,_December_2008.jpg?width=300","Maria Yuryevna Sharapova ( Russian: Мари́я Ю́рьевна Шара́пова; IPA: [mˠɐˈrʲijə jʉrʲjɪvnə ʂɐˈrapəvə] (listen); born 19 April 1987) is a Russian professional tennis player who as of October 6, 2014 is ranked world No. 2 by the Women's Tennis Association (WTA) and is the top Russian player. A United States resident since 1994, Sharapova has won 33 WTA singles titles, including five Grand Slam singles titles. She has also won the year-end WTA Tour Championships in 2004 . The WTA has ranked Sharapova world No. 1 in singles on five separate occasions, for a total of 21 weeks. She became the world No. 1 for the first time on August 22, 2005, and last held the ranking for the fifth time for four weeks from June 11, 2012 to July 8, 2012. She has been in nine Grand Slam finals with a record of 5–4 with her most recent Grand Slam coming at the 2014 French Open where she won her second French Open title and fifth Grand Slam title overall."
50,Mark Teixeira,Baseball,"$22,700,000","$22,500,000","$200,000",United States,Male,1980,11/04/1980,"Annapolis, Maryland",191,http://en.wikipedia.org/wiki/Mark_Teixeira,dbpedia.org/resource/Mark_Teixeira,http://commons.wikimedia.org/wiki/Special:FilePath/Mark_Teixeira_basepaths_2011.jpg?width=300,"Mark Charles Teixeira ( /teɪˈʃɛrə/ tay-SHERR-ə; born April 11, 1980) is an American Major League Baseball first baseman for the New York Yankees . Before playing in the MLB, he played college baseball at Georgia Tech, where in 2001 he won the Dick Howser Trophy as the national collegiate baseball player of the year."
51,Matt Kemp,Baseball,"$22,600,000","$21,800,000","$800,000",United States,Male,1984,23/09/1984,"Midwest City, Oklahoma",193,http://en.wikipedia.org/wiki/Matt_Kemp,dbpedia.org/resource/Matt_Kemp,"http://commons.wikimedia.org/wiki/Special:FilePath/Matt_Kemp_on_April_20,_2013.jpg?width=300","Matthew Ryan ""Matt"" Kemp (born September 23, 1984) is an American professional baseball player. An outfielder, Kemp plays in Major League Baseball (MLB) for the Los Angeles Dodgers . He made his MLB debut with the Dodgers in 2006."
10,Matt Ryan,Football,"$43,800,000","$42,000,000","$1,800,000",United States,Male,1985,17/05/1985,"Exton, Pennsylvania, United States",193,http://en.wikipedia.org/wiki/Matt_Ryan,dbpedia.org/resource/Matt_Ryan,http://commons.wikimedia.org/wiki/Special:FilePath/Matt_Ryan_training_camp_2013.jpg?width=300,"Matthew Thomas ""Matt"" Ryan (born May 17, 1985) is an American football quarterback for the Atlanta Falcons of the National Football League (NFL). He was drafted in the first round as the third overall pick in the 2008 NFL Draft after playing college football for Boston College ."
75,Matt Cain,Baseball,"$20,400,000","$20,000,000","$400,000",United States,Male,1984,1/10/1984,"Dothan, Alabama",190,http://en.wikipedia.org/wiki/Matt_Cain,dbpedia.org/resource/Matt_Cain,http://commons.wikimedia.org/wiki/Special:FilePath/Matt_Cain.jpg?width=300,"Matthew Thomas Cain (born October 1, 1984), nicknamed The Horse, Big Daddy, and Big Sugar, is an American professional baseball starting pitcher for the San Francisco Giants of Major League Baseball (MLB). Cain is 6 feet 3 inches (1.91 m) tall and weighs 235 pounds (107 kg). He bats and throws right-handed. Cain throws five pitches: a four-seam fastball, a two-seam fastball, a slider, a curveball, and a changeup ."
99,Matt Holliday,Baseball,"$17,400,000","$17,200,000","$200,000",United States,Male,1980,15/01/1980,"Stillwater, Oklahoma",193,http://en.wikipedia.org/wiki/Matt_Holliday,dbpedia.org/resource/Matt_Holliday,http://commons.wikimedia.org/wiki/Special:FilePath/Mattholiday2013pictureprofile.jpg?width=300,"Matthew Thomas Holliday (born January 15, 1980) is an American professional baseball left fielder for the St. Louis Cardinals of Major League Baseball (MLB). The Colorado Rockies selected him in the seventh round of the 1998 Major League Baseball Draft out of Stillwater High School in Oklahoma . Holliday made his major league debut with the Rockies in 2004, where he played until being traded to the Oakland Athletics after the 2008 season. He played part of the 2009 season for Oakland and was traded to the Cardinals that year. He re-signed with the Cardinals after becoming a free agent and is under contract through 2017."
89,Mesut Özil,Soccer,"$18,500,000","$12,500,000","$6,000,000",Germany,Male,1988,15/10/1988,"Gelsenkirchen, Germany",181,http://en.wikipedia.org/wiki/Mesut_%C3%96zil,dbpedia.org/resource/Mesut_%C3%96zil,http://commons.wikimedia.org/wiki/Special:FilePath/Mesut_Özil_(9881761465)_Cropped.jpg?width=300,"Mesut Özil ( German pronunciation: [ˈmeːzut ˈøːzil], Turkish: [me̞ˈsut ˈø̞zil]; born 15 October 1988) is a German professional footballer who plays for English club Arsenal and the German national team . Özil has been a youth national team member since 2006, and a member of the German national team since 2009. He gained international attention during the 2010 FIFA World Cup and was nominated for the Golden Ball Award, which is awarded to the tournament's best player. Özil started his senior career at hometown club Schalke in the Bundesliga in 2006, transferred to Werder Bremen in 2008 and was signed by Real Madrid in August 2010 following his break-out performance at the FIFA World Cup with Germany. On transfer deadline day of summer 2013, he moved to Arsenal for a club-record fee of £42.5 million. The transfer makes him the most expensive German football player of all time."
16,Neymar,Soccer,"$33,600,000","$17,600,000","$16,000,000",Brazil,Male,1992,5/02/1992,"Mogi das Cruzes, Brazil",175,http://en.wikipedia.org/wiki/Neymar,dbpedia.org/resource/Neymar,http://commons.wikimedia.org/wiki/Special:FilePath/Neymargoldenball.jpg?width=300,"Neymar da Silva Santos Júnior ( Portuguese pronunciation: [nejˈmaʁ dɐ ˈsiwvɐ ˈsɐ̃tus ˈʒũɲoʁ]; born 5 February 1992), commonly known as Neymar or Neymar Jr., is a Brazilian professional footballer who plays for Spanish club FC Barcelona and is the captain for the Brazil national team . He plays as a forward or winger ."
17,Novak Djokovic,Tennis,"$33,100,000","$12,100,000","$21,000,000",Serbia,Male,1987,22/05/1987,"Belgrade, Serbia",188,http://en.wikipedia.org/wiki/Novak_Djokovic,dbpedia.org/resource/Novak_Djokovic,http://commons.wikimedia.org/wiki/Special:FilePath/Novak_Djokovic_Hopman_Cup_2011_(cropped).jpg?width=300,"Novak Djokovic ( Serbian: Novak Đoković, Новак Ђоковић, pronounced [nôʋaːk d͡ʑôːkoʋit͡ɕ] (listen); born 22 May 1987) is a Serbian professional tennis player who is currently ranked World No. 1 by the Association of Tennis Professionals (ATP). He is considered one of the greatest tennis players of all time. "
57,Pau Gasol,Basketball,"$21,800,000","$19,300,000","$2,500,000",Spain,Male,1980,6/07/1980,"Barcelona, Spain",213,http://en.wikipedia.org/wiki/Pau_Gasol,dbpedia.org/resource/Pau_Gasol,http://commons.wikimedia.org/wiki/Special:FilePath/Pau_Gasol_boxout.jpg?width=300,"Pau Gasol Sáez ( Catalan pronunciation: [ˈpaw ɣəˈzɔɫ], Spanish pronunciation: [ˈpau ɣaˈsol]; born July 6, 1980) is a Spanish professional basketball player who currently plays for the Chicago Bulls of the National Basketball Association (NBA). He is a four-time All-Star, and a three-time All-NBA selection, once on the second team and twice on the third team. He has won two NBA championships, both with the Los Angeles Lakers . He was the NBA Rookie of the Year in 2002 with the Memphis Grizzlies, the only non-American NBA player to win that award."
26,Peyton Manning,Football,"$27,100,000","$15,100,000","$12,000,000",United States,Male,1976,24/03/1976,New Orleans,196,http://en.wikipedia.org/wiki/Peyton_Manning,dbpedia.org/resource/Peyton_Manning,http://commons.wikimedia.org/wiki/Special:FilePath/Peyton_Manning_(cropped).jpg?width=300,"Peyton Williams Manning (born March 24, 1976) is an American football quarterback for the Denver Broncos of the National Football League (NFL). A five-time league MVP, he played for the Indianapolis Colts for 14 seasons from 1998 to 2011. He is a son of former NFL quarterback Archie Manning and an elder brother of New York Giants quarterback Eli Manning ."
8,Phil Mickelson,Golf,"$53,200,000","$5,200,000","$48,000,000",United States,Male,1970,16/06/1970,"San Diego, California, United States",190,http://en.wikipedia.org/wiki/Phil_Mickelson,dbpedia.org/resource/Phil_Mickelson,"http://commons.wikimedia.org/wiki/Special:FilePath/Phil_Mickelson_@_2008_US_Open,_Torrey_Pines,_San_Diego,_CA.jpg?width=300","Philip Alfred Mickelson (born June 16, 1970) is an American professional golfer . He has won 42 events on the PGA Tour, including five major championships: three Masters titles ( 2004, 2006, 2010 ), a PGA Championship ( 2005 ), and an Open Championship ( 2013 ). "
39,Prince Fielder,Baseball,"$23,900,000","$23,500,000","$400,000",United States,Male,1984,9/05/1984,"Ontario, California",183,http://en.wikipedia.org/wiki/Prince_Fielder,dbpedia.org/resource/Prince_Fielder,"http://commons.wikimedia.org/wiki/Special:FilePath/Prince_Fielder_on_July_13,_2012.jpg?width=300","Prince Semien Fielder (born May 9, 1984) is an American professional baseball player for the Texas Rangers of Major League Baseball . He has also played for the Milwaukee Brewers and Detroit Tigers ."
15,Radamel Falcao,Soccer,"$35,400,000","$32,400,000","$3,000,000",Colombia,Male,1986,10/02/1986,"Santa Marta, Colombia",177,http://en.wikipedia.org/wiki/Radamel_Falcao,dbpedia.org/resource/Radamel_Falcao,http://commons.wikimedia.org/wiki/Special:FilePath/Radamel-falcao.jpg?width=300,"Radamel Falcao García Zárate ( Spanish pronunciation: [raðaˈmel falˈkao]; 10 February 1986), simply known as Radamel Falcao, Falcao García or Falcao in South America, is a Colombian footballer who plays as a striker for Manchester United on loan from AS Monaco, and the Colombia national football team . He is sometimes nicknamed El Tigre (Spanish for The Tiger ) and King of the Europa League . "
9,Rafael Nadal,Tennis,"$44,500,000","$14,500,000","$30,000,000",Spain,Male,1986,3/06/1986,"Manacor, Balearic Islands, Spain",185,http://en.wikipedia.org/wiki/Rafael_Nadal,dbpedia.org/resource/Rafael_Nadal,http://commons.wikimedia.org/wiki/Special:FilePath/Nadal_Japan_Open_2011.jpg?width=300,"Rafael "" Rafa "" Nadal Parera ( Catalan: [rəfəˈɛɫ nəˈðaɫ pəˈɾeɾə], Spanish: [rafaˈel naˈðal paˈɾeɾa]; born 3 June 1986) is a Spanish professional tennis player currently ranked world No. 3. He is widely regarded as the finest clay court player in history and has been nicknamed ""The King of Clay."" His evolution into an all-court threat has established him as one of the best ever all-rounders in tennis, with some – including former world No. 1 Andre Agassi – considering Nadal to be the greatest player of all time. "
28,Dale Earnhardt Jr.,Racing,"$25,900,000","$14,900,000","$11,000,000",United States,Male,1974,10/10/1974,"Kannapolis, North Carolina, United States",165,"http://en.wikipedia.org/wiki/Dale_Earnhardt,_Jr.","dbpedia.org/resource/Dale_Earnhardt,_Jr.",http://commons.wikimedia.org/wiki/Special:FilePath/Dale_Jr_-_Pocono_400_2012.jpg?width=300,"Ralph Dale Earnhardt Jr. (born October 10, 1974) is an American stock car racing driver and team owner. He is the son of NASCAR Hall of Famer Dale Earnhardt Sr. He is also the grandson of both NASCAR driver Ralph Earnhardt and stock car fabricator Robert Gee, the half-brother of former driver Kerry Earnhardt, the uncle of driver Jeffrey Earnhardt, the stepson of Teresa Earnhardt and the older half-brother of Taylor Earnhardt-Putnam."
81,Robin van Persie,Soccer,"$19,500,000","$16,500,000","$3,000,000",Netherlands,Male,1983,6/08/1983,"Rotterdam, Netherlands",183,http://en.wikipedia.org/wiki/Robin_van_Persie,dbpedia.org/resource/Robin_van_Persie,http://commons.wikimedia.org/wiki/Special:FilePath/Robin_van_Persie_ManUtd_(cropped).jpg?width=300,"Robin van Persie ( Dutch pronunciation: [ˈrɔbɪn vɑn ˈpɛrsi] (listen); born 6 August 1983) is a Dutch footballer who plays as a striker for Manchester United and is the captain of the Netherlands national team . He is a youth product of Feyenoord . Having joined Arsenal in 2004, Van Persie became the club captain on 16 August 2011, one year before he joined rivals Manchester United. He is recognised as one of the best strikers in the world. His playing style and ability have drawn comparison to Dutch legend Marco van Basten . "
