ID,Profile,Agency Lobbied,Year,Total Number of Clients,Number of reports listing agency
2003 - National Endowment for the Arts,http://www.opensecrets.org//lobby/agencysum.php?id=206&year=2003,National Endowment for the Arts,2003,11,17
2014 - Overseas Private Investment Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=203&year=2014,Overseas Private Investment Corporation,2014,11,18
2008 - Bureau of Labor Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=169&year=2008,Bureau of Labor Statistics,2008,11,18
2004 - Library of Congress,http://www.opensecrets.org//lobby/agencysum.php?id=007&year=2004,Library of Congress,2004,11,18
2002 - Pension Benefit Guaranty Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=085&year=2002,Pension Benefit Guaranty Corporation,2002,11,18
2014 - Bureau of Alcohol Tobacco & Firearms,http://www.opensecrets.org//lobby/agencysum.php?id=182&year=2014,Bureau of Alcohol Tobacco & Firearms,2014,11,19
2003 - Corp for National & Community Service,http://www.opensecrets.org//lobby/agencysum.php?id=047&year=2003,Corp for National & Community Service,2003,11,19
2003 - Farm Credit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=052&year=2003,Farm Credit Administration,2003,11,20
2011 - US Secret Service,http://www.opensecrets.org//lobby/agencysum.php?id=191&year=2011,US Secret Service,2011,11,21
2010 - Government Printing Office,http://www.opensecrets.org//lobby/agencysum.php?id=006&year=2010,Government Printing Office,2010,11,21
2014 - Postal Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=086&year=2014,Postal Regulatory Commission,2014,11,22
2008 - Defense Information Systems Agency,http://www.opensecrets.org//lobby/agencysum.php?id=119&year=2008,Defense Information Systems Agency,2008,11,22
2009 - National Institute of Justice,http://www.opensecrets.org//lobby/agencysum.php?id=159&year=2009,National Institute of Justice,2009,11,23
2004 - National Credit Union Administration,http://www.opensecrets.org//lobby/agencysum.php?id=071&year=2004,National Credit Union Administration,2004,11,23
2014 - Alcohol & Tobacco Tax & Trade Bureau,http://www.opensecrets.org//lobby/agencysum.php?id=233&year=2014,Alcohol & Tobacco Tax & Trade Bureau,2014,11,24
2012 - Veterans' Employment & Training Service,http://www.opensecrets.org//lobby/agencysum.php?id=170&year=2012,Veterans' Employment & Training Service,2012,11,26
2006 - National Credit Union Administration,http://www.opensecrets.org//lobby/agencysum.php?id=071&year=2006,National Credit Union Administration,2006,11,26
2010 - Office of Juvenile Justice & Delinq Prev,http://www.opensecrets.org//lobby/agencysum.php?id=160&year=2010,Office of Juvenile Justice & Delinq Prev,2010,11,27
2009 - National Geospatial-Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=126&year=2009,National Geospatial-Intelligence Agency,2009,11,27
2010 - Defense Field Activities,http://www.opensecrets.org//lobby/agencysum.php?id=028&year=2010,Defense Field Activities,2010,11,29
2012 - Risk Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=243&year=2012,Risk Management Agency,2012,11,30
2010 - Veterans' Employment & Training Service,http://www.opensecrets.org//lobby/agencysum.php?id=170&year=2010,Veterans' Employment & Training Service,2010,11,30
2013 - AMTRAK,http://www.opensecrets.org//lobby/agencysum.php?id=075&year=2013,AMTRAK,2013,11,32
2009 - Risk Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=243&year=2009,Risk Management Agency,2009,11,33
2008 - Overseas Private Investment Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=203&year=2008,Overseas Private Investment Corporation,2008,11,33
2011 - Defense Field Activities,http://www.opensecrets.org//lobby/agencysum.php?id=028&year=2011,Defense Field Activities,2011,11,34
2009 - Farm Credit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=052&year=2009,Farm Credit Administration,2009,11,34
2008 - Federal Maritime Commission,http://www.opensecrets.org//lobby/agencysum.php?id=059&year=2008,Federal Maritime Commission,2008,11,36
2005 - Centers for Disease Control & Prevention,http://www.opensecrets.org//lobby/agencysum.php?id=134&year=2005,Centers for Disease Control & Prevention,2005,110,162
2000 - Dept of Veterans Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=042&year=2000,Dept of Veterans Affairs,2000,110,163
2007 - National Aeronautics & Space Admin,http://www.opensecrets.org//lobby/agencysum.php?id=068&year=2007,National Aeronautics & Space Admin,2007,110,194
2010 - Federal Deposit Insurance Commission,http://www.opensecrets.org//lobby/agencysum.php?id=054&year=2010,Federal Deposit Insurance Commission,2010,110,295
2011 - Transportation Security Administration,http://www.opensecrets.org//lobby/agencysum.php?id=204&year=2011,Transportation Security Administration,2011,110,342
2010 - Bureau of Reclamation,http://www.opensecrets.org//lobby/agencysum.php?id=149&year=2010,Bureau of Reclamation,2010,110,371
2005 - US House of Representatives,http://www.opensecrets.org//lobby/agencysum.php?id=002&year=2005,US House of Representatives,2005,11021,29941
2002 - Dept of the Treasury,http://www.opensecrets.org//lobby/agencysum.php?id=041&year=2002,Dept of the Treasury,2002,1107,2102
2003 - Securities & Exchange Commission,http://www.opensecrets.org//lobby/agencysum.php?id=088&year=2003,Securities & Exchange Commission,2003,111,238
2013 - Economic Development Administration,http://www.opensecrets.org//lobby/agencysum.php?id=108&year=2013,Economic Development Administration,2013,111,342
2007 - Dept of Health & Human Services,http://www.opensecrets.org//lobby/agencysum.php?id=034&year=2007,Dept of Health & Human Services,2007,1113,2327
2005 - US Customs Service,http://www.opensecrets.org//lobby/agencysum.php?id=184&year=2005,US Customs Service,2005,112,168
2008 - US Coast Guard,http://www.opensecrets.org//lobby/agencysum.php?id=171&year=2008,US Coast Guard,2008,112,322
2002 - Dept of Commerce,http://www.opensecrets.org//lobby/agencysum.php?id=024&year=2002,Dept of Commerce,2002,1124,1989
2005 - Dept of Health & Human Services,http://www.opensecrets.org//lobby/agencysum.php?id=034&year=2005,Dept of Health & Human Services,2005,1126,2339
2009 - Dept of Energy,http://www.opensecrets.org//lobby/agencysum.php?id=033&year=2009,Dept of Energy,2009,1127,3426
2010 - Federal Energy Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=197&year=2010,Federal Energy Regulatory Commission,2010,113,346
2012 - Bureau of Indian Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=146&year=2012,Bureau of Indian Affairs,2012,113,379
2002 - Dept of Transportation,http://www.opensecrets.org//lobby/agencysum.php?id=040&year=2002,Dept of Transportation,2002,1130,2034
2006 - US Senate,http://www.opensecrets.org//lobby/agencysum.php?id=001&year=2006,US Senate,2006,11325,30689
2009 - Dept of Health & Human Services,http://www.opensecrets.org//lobby/agencysum.php?id=034&year=2009,Dept of Health & Human Services,2009,1133,3857
2011 - US Senate,http://www.opensecrets.org//lobby/agencysum.php?id=001&year=2011,US Senate,2011,11390,58545
2006 - Transportation Security Administration,http://www.opensecrets.org//lobby/agencysum.php?id=204&year=2006,Transportation Security Administration,2006,114,179
2003 - US Customs Service,http://www.opensecrets.org//lobby/agencysum.php?id=184&year=2003,US Customs Service,2003,114,193
2014 - Office of Science & Technology Policy,http://www.opensecrets.org//lobby/agencysum.php?id=021&year=2014,Office of Science & Technology Policy,2014,114,197
2012 - Federal Deposit Insurance Commission,http://www.opensecrets.org//lobby/agencysum.php?id=054&year=2012,Federal Deposit Insurance Commission,2012,114,342
2010 - Vice President's Office,http://www.opensecrets.org//lobby/agencysum.php?id=010&year=2010,Vice President's Office,2010,114,386
2006 - US House of Representatives,http://www.opensecrets.org//lobby/agencysum.php?id=002&year=2006,US House of Representatives,2006,11420,30836
2011 - US House of Representatives,http://www.opensecrets.org//lobby/agencysum.php?id=002&year=2011,US House of Representatives,2011,11491,59293
2010 - Federal Highway Administration,http://www.opensecrets.org//lobby/agencysum.php?id=173&year=2010,Federal Highway Administration,2010,115,364
2006 - Dept of Health & Human Services,http://www.opensecrets.org//lobby/agencysum.php?id=034&year=2006,Dept of Health & Human Services,2006,1159,2427
1999 - Council on Environmental Quality,http://www.opensecrets.org//lobby/agencysum.php?id=015&year=1999,Council on Environmental Quality,1999,116,198
2014 - Dept of Navy,http://www.opensecrets.org//lobby/agencysum.php?id=031&year=2014,Dept of Navy,2014,116,223
2011 - Office of Science & Technology Policy,http://www.opensecrets.org//lobby/agencysum.php?id=021&year=2011,Office of Science & Technology Policy,2011,116,320
2003 - Dept of Defense,http://www.opensecrets.org//lobby/agencysum.php?id=025&year=2003,Dept of Defense,2003,1160,4636
2005 - Federal Emergency Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=056&year=2005,Federal Emergency Management Agency,2005,117,167
1998 - Federal Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=064&year=1998,Federal Trade Commission,1998,117,202
2014 - Federal Transit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=176&year=2014,Federal Transit Administration,2014,117,215
2012 - Bureau of Land Management,http://www.opensecrets.org//lobby/agencysum.php?id=148&year=2012,Bureau of Land Management,2012,117,329
2012 - US Fish & Wildlife Service,http://www.opensecrets.org//lobby/agencysum.php?id=142&year=2012,US Fish & Wildlife Service,2012,117,331
2014 - Federal Reserve System,http://www.opensecrets.org//lobby/agencysum.php?id=062&year=2014,Federal Reserve System,2014,118,220
2009 - General Accounting Office,http://www.opensecrets.org//lobby/agencysum.php?id=005&year=2009,General Accounting Office,2009,118,298
2008 - Federal Transit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=176&year=2008,Federal Transit Administration,2008,118,352
2011 - Bureau of Indian Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=146&year=2011,Bureau of Indian Affairs,2011,118,380
2009 - Federal Transit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=176&year=2009,Federal Transit Administration,2009,118,380
2013 - Bureau of Reclamation,http://www.opensecrets.org//lobby/agencysum.php?id=149&year=2013,Bureau of Reclamation,2013,118,386
2012 - Bureau of Reclamation,http://www.opensecrets.org//lobby/agencysum.php?id=149&year=2012,Bureau of Reclamation,2012,118,392
2007 - US Senate,http://www.opensecrets.org//lobby/agencysum.php?id=001&year=2007,US Senate,2007,11808,32216
2011 - Dept of Health & Human Services,http://www.opensecrets.org//lobby/agencysum.php?id=034&year=2011,Dept of Health & Human Services,2011,1181,4336
2000 - US Agency for International Development,http://www.opensecrets.org//lobby/agencysum.php?id=196&year=2000,US Agency for International Development,2000,119,171
2001 - Dept of Veterans Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=042&year=2001,Dept of Veterans Affairs,2001,119,176
2003 - Transportation Security Administration,http://www.opensecrets.org//lobby/agencysum.php?id=204&year=2003,Transportation Security Administration,2003,119,187
2000 - Council on Environmental Quality,http://www.opensecrets.org//lobby/agencysum.php?id=015&year=2000,Council on Environmental Quality,2000,119,191
2004 - Transportation Security Administration,http://www.opensecrets.org//lobby/agencysum.php?id=204&year=2004,Transportation Security Administration,2004,119,195
2004 - Federal Energy Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=197&year=2004,Federal Energy Regulatory Commission,2004,119,236
2013 - Bureau of Land Management,http://www.opensecrets.org//lobby/agencysum.php?id=148&year=2013,Bureau of Land Management,2013,119,353
2009 - Federal Energy Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=197&year=2009,Federal Energy Regulatory Commission,2009,119,399
2007 - US House of Representatives,http://www.opensecrets.org//lobby/agencysum.php?id=002&year=2007,US House of Representatives,2007,11912,32498
2005 - Natl Inst on Alcohol Abuse & Alcoholism,http://www.opensecrets.org//lobby/agencysum.php?id=193&year=2005,Natl Inst on Alcohol Abuse & Alcoholism,2005,12,13
2001 - Pension Benefit Guaranty Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=085&year=2001,Pension Benefit Guaranty Corporation,2001,12,13
2005 - National Security Agency,http://www.opensecrets.org//lobby/agencysum.php?id=127&year=2005,National Security Agency,2005,12,14
2003 - Institute of Museum & Library Services,http://www.opensecrets.org//lobby/agencysum.php?id=209&year=2003,Institute of Museum & Library Services,2003,12,14
1998 - Central Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=044&year=1998,Central Intelligence Agency,1998,12,14
2002 - US Geological Survey,http://www.opensecrets.org//lobby/agencysum.php?id=144&year=2002,US Geological Survey,2002,12,15
2006 - Farm Credit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=052&year=2006,Farm Credit Administration,2006,12,16
2006 - Trade & Development Agency,http://www.opensecrets.org//lobby/agencysum.php?id=093&year=2006,Trade & Development Agency,2006,12,16
2001 - Agency for Health Care Policy & Research,http://www.opensecrets.org//lobby/agencysum.php?id=132&year=2001,Agency for Health Care Policy & Research,2001,12,16
1998 - Panama Canal Commission,http://www.opensecrets.org//lobby/agencysum.php?id=083&year=1998,Panama Canal Commission,1998,12,16
2014 - Office of Juvenile Justice & Delinq Prev,http://www.opensecrets.org//lobby/agencysum.php?id=160&year=2014,Office of Juvenile Justice & Delinq Prev,2014,12,17
1998 - Economic Development Administration,http://www.opensecrets.org//lobby/agencysum.php?id=108&year=1998,Economic Development Administration,1998,12,17
2014 - Bureau of Prisons,http://www.opensecrets.org//lobby/agencysum.php?id=151&year=2014,Bureau of Prisons,2014,12,18
2007 - National Archives & Records Admin,http://www.opensecrets.org//lobby/agencysum.php?id=069&year=2007,National Archives & Records Admin,2007,12,19
2013 - Federal Election Commission,http://www.opensecrets.org//lobby/agencysum.php?id=055&year=2013,Federal Election Commission,2013,12,20
2008 - Corp for National & Community Service,http://www.opensecrets.org//lobby/agencysum.php?id=047&year=2008,Corp for National & Community Service,2008,12,20
1998 - Farm Credit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=052&year=1998,Farm Credit Administration,1998,12,20
2014 - Farm Credit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=052&year=2014,Farm Credit Administration,2014,12,21
2009 - Bureau of Prisons,http://www.opensecrets.org//lobby/agencysum.php?id=151&year=2009,Bureau of Prisons,2009,12,21
2008 - Pension Benefit Guaranty Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=085&year=2008,Pension Benefit Guaranty Corporation,2008,12,22
2004 - US Geological Survey,http://www.opensecrets.org//lobby/agencysum.php?id=144&year=2004,US Geological Survey,2004,12,24
2009 - Office of National AIDS Policy,http://www.opensecrets.org//lobby/agencysum.php?id=238&year=2009,Office of National AIDS Policy,2009,12,26
2011 - Office of Juvenile Justice & Delinq Prev,http://www.opensecrets.org//lobby/agencysum.php?id=160&year=2011,Office of Juvenile Justice & Delinq Prev,2011,12,28
2009 - Faith-Based & Community Initiatives,http://www.opensecrets.org//lobby/agencysum.php?id=202&year=2009,Faith-Based & Community Initiatives,2009,12,28
2009 - Natl Inst on Alcohol Abuse & Alcoholism,http://www.opensecrets.org//lobby/agencysum.php?id=193&year=2009,Natl Inst on Alcohol Abuse & Alcoholism,2009,12,28
2012 - Bureau of Alcohol Tobacco & Firearms,http://www.opensecrets.org//lobby/agencysum.php?id=182&year=2012,Bureau of Alcohol Tobacco & Firearms,2012,12,29
2012 - National Geospatial-Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=126&year=2012,National Geospatial-Intelligence Agency,2012,12,31
2009 - Defense Field Activities,http://www.opensecrets.org//lobby/agencysum.php?id=028&year=2009,Defense Field Activities,2009,12,31
2012 - Joint Chiefs of Staff,http://www.opensecrets.org//lobby/agencysum.php?id=027&year=2012,Joint Chiefs of Staff,2012,12,32
2008 - Defense Field Activities,http://www.opensecrets.org//lobby/agencysum.php?id=028&year=2008,Defense Field Activities,2008,12,32
2010 - Bureau of Alcohol Tobacco & Firearms,http://www.opensecrets.org//lobby/agencysum.php?id=182&year=2010,Bureau of Alcohol Tobacco & Firearms,2010,12,33
2010 - Office of National AIDS Policy,http://www.opensecrets.org//lobby/agencysum.php?id=238&year=2010,Office of National AIDS Policy,2010,12,33
2013 - Bureau of Prisons,http://www.opensecrets.org//lobby/agencysum.php?id=151&year=2013,Bureau of Prisons,2013,12,34
2013 - Risk Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=243&year=2013,Risk Management Agency,2013,12,34
2009 - Institute of Museum & Library Services,http://www.opensecrets.org//lobby/agencysum.php?id=209&year=2009,Institute of Museum & Library Services,2009,12,34
2009 - Mine Safety & Health Administration,http://www.opensecrets.org//lobby/agencysum.php?id=168&year=2009,Mine Safety & Health Administration,2009,12,35
2010 - Risk Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=243&year=2010,Risk Management Agency,2010,12,36
2008 - Ballistic Missile Defense Organization,http://www.opensecrets.org//lobby/agencysum.php?id=115&year=2008,Ballistic Missile Defense Organization,2008,12,38
2013 - Farm Credit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=052&year=2013,Farm Credit Administration,2013,12,41
2012 - Office of Thrift Supervision,http://www.opensecrets.org//lobby/agencysum.php?id=192&year=2012,Office of Thrift Supervision,2012,12,47
2012 - National Credit Union Administration,http://www.opensecrets.org//lobby/agencysum.php?id=071&year=2012,National Credit Union Administration,2012,12,56
2007 - Federal Reserve System,http://www.opensecrets.org//lobby/agencysum.php?id=062&year=2007,Federal Reserve System,2007,120,189
1998 - Vice President's Office,http://www.opensecrets.org//lobby/agencysum.php?id=010&year=1998,Vice President's Office,1998,120,197
2013 - General Accounting Office,http://www.opensecrets.org//lobby/agencysum.php?id=005&year=2013,General Accounting Office,2013,120,310
2009 - Federal Deposit Insurance Commission,http://www.opensecrets.org//lobby/agencysum.php?id=054&year=2009,Federal Deposit Insurance Commission,2009,120,310
2008 - Bureau of Indian Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=146&year=2008,Bureau of Indian Affairs,2008,120,347
2013 - US Fish & Wildlife Service,http://www.opensecrets.org//lobby/agencysum.php?id=142&year=2013,US Fish & Wildlife Service,2013,120,356
2008 - US Senate,http://www.opensecrets.org//lobby/agencysum.php?id=001&year=2008,US Senate,2008,12030,60095
2010 - Dept of Health & Human Services,http://www.opensecrets.org//lobby/agencysum.php?id=034&year=2010,Dept of Health & Human Services,2010,1208,4211
2006 - National Aeronautics & Space Admin,http://www.opensecrets.org//lobby/agencysum.php?id=068&year=2006,National Aeronautics & Space Admin,2006,121,213
2007 - Federal Energy Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=197&year=2007,Federal Energy Regulatory Commission,2007,121,243
2009 - Vice President's Office,http://www.opensecrets.org//lobby/agencysum.php?id=010&year=2009,Vice President's Office,2009,121,328
2002 - Dept of Health & Human Services,http://www.opensecrets.org//lobby/agencysum.php?id=034&year=2002,Dept of Health & Human Services,2002,1210,2225
2011 - Dept of Defense,http://www.opensecrets.org//lobby/agencysum.php?id=025&year=2011,Dept of Defense,2011,1212,3912
2008 - US House of Representatives,http://www.opensecrets.org//lobby/agencysum.php?id=002&year=2008,US House of Representatives,2008,12170,60736
2003 - Federal Emergency Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=056&year=2003,Federal Emergency Management Agency,2003,122,211
2011 - General Accounting Office,http://www.opensecrets.org//lobby/agencysum.php?id=005&year=2011,General Accounting Office,2011,122,311
1999 - Army Corps of Engineers,http://www.opensecrets.org//lobby/agencysum.php?id=200&year=1999,Army Corps of Engineers,1999,123,132
2006 - Federal Energy Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=197&year=2006,Federal Energy Regulatory Commission,2006,123,238
2004 - Securities & Exchange Commission,http://www.opensecrets.org//lobby/agencysum.php?id=088&year=2004,Securities & Exchange Commission,2004,123,271
2011 - Bureau of Reclamation,http://www.opensecrets.org//lobby/agencysum.php?id=149&year=2011,Bureau of Reclamation,2011,123,385
2005 - Small Business Administration,http://www.opensecrets.org//lobby/agencysum.php?id=090&year=2005,Small Business Administration,2005,124,208
2014 - Federal Highway Administration,http://www.opensecrets.org//lobby/agencysum.php?id=173&year=2014,Federal Highway Administration,2014,124,214
2003 - Federal Energy Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=197&year=2003,Federal Energy Regulatory Commission,2003,124,239
2006 - Securities & Exchange Commission,http://www.opensecrets.org//lobby/agencysum.php?id=088&year=2006,Securities & Exchange Commission,2006,124,240
2011 - Federal Deposit Insurance Commission,http://www.opensecrets.org//lobby/agencysum.php?id=054&year=2011,Federal Deposit Insurance Commission,2011,124,372
2002 - Dept of Defense,http://www.opensecrets.org//lobby/agencysum.php?id=025&year=2002,Dept of Defense,2002,1243,4667
1999 - Federal Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=064&year=1999,Federal Trade Commission,1999,125,213
2005 - Federal Energy Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=197&year=2005,Federal Energy Regulatory Commission,2005,125,227
2014 - Dept of Army,http://www.opensecrets.org//lobby/agencysum.php?id=030&year=2014,Dept of Army,2014,125,230
2010 - Transportation Security Administration,http://www.opensecrets.org//lobby/agencysum.php?id=204&year=2010,Transportation Security Administration,2010,125,391
2004 - Dept of Defense,http://www.opensecrets.org//lobby/agencysum.php?id=025&year=2004,Dept of Defense,2004,1256,5197
2006 - Council on Environmental Quality,http://www.opensecrets.org//lobby/agencysum.php?id=015&year=2006,Council on Environmental Quality,2006,126,195
2006 - Federal Emergency Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=056&year=2006,Federal Emergency Management Agency,2006,126,204
2002 - Council on Environmental Quality,http://www.opensecrets.org//lobby/agencysum.php?id=015&year=2002,Council on Environmental Quality,2002,127,199
1998 - Council on Environmental Quality,http://www.opensecrets.org//lobby/agencysum.php?id=015&year=1998,Council on Environmental Quality,1998,127,199
2006 - National Oceanic & Atmospheric Admin,http://www.opensecrets.org//lobby/agencysum.php?id=111&year=2006,National Oceanic & Atmospheric Admin,2006,127,204
2007 - Small Business Administration,http://www.opensecrets.org//lobby/agencysum.php?id=090&year=2007,Small Business Administration,2007,127,218
2010 - Office of Science & Technology Policy,http://www.opensecrets.org//lobby/agencysum.php?id=021&year=2010,Office of Science & Technology Policy,2010,127,332
2012 - Federal Transit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=176&year=2012,Federal Transit Administration,2012,127,429
2010 - US Senate,http://www.opensecrets.org//lobby/agencysum.php?id=001&year=2010,US Senate,2010,12798,64554
2000 - US Customs Service,http://www.opensecrets.org//lobby/agencysum.php?id=184&year=2000,US Customs Service,2000,128,188
2007 - US Agency for International Development,http://www.opensecrets.org//lobby/agencysum.php?id=196&year=2007,US Agency for International Development,2007,128,227
2001 - Dept of Army,http://www.opensecrets.org//lobby/agencysum.php?id=030&year=2001,Dept of Army,2001,129,200
2002 - Dept of Navy,http://www.opensecrets.org//lobby/agencysum.php?id=031&year=2002,Dept of Navy,2002,129,211
2003 - National Aeronautics & Space Admin,http://www.opensecrets.org//lobby/agencysum.php?id=068&year=2003,National Aeronautics & Space Admin,2003,129,232
2010 - National Security Council,http://www.opensecrets.org//lobby/agencysum.php?id=016&year=2010,National Security Council,2010,129,367
2009 - US Agency for International Development,http://www.opensecrets.org//lobby/agencysum.php?id=196&year=2009,US Agency for International Development,2009,129,400
2010 - US House of Representatives,http://www.opensecrets.org//lobby/agencysum.php?id=002&year=2010,US House of Representatives,2010,12905,64858
2005 - ACCESS Board,http://www.opensecrets.org//lobby/agencysum.php?id=199&year=2005,ACCESS Board,2005,13,13
2001 - Administration for Children & Families,http://www.opensecrets.org//lobby/agencysum.php?id=131&year=2001,Administration for Children & Families,2001,13,14
2004 - Trade & Development Agency,http://www.opensecrets.org//lobby/agencysum.php?id=093&year=2004,Trade & Development Agency,2004,13,16
2007 - Government Printing Office,http://www.opensecrets.org//lobby/agencysum.php?id=006&year=2007,Government Printing Office,2007,13,17
2001 - Equal Employment Opportunity Commission,http://www.opensecrets.org//lobby/agencysum.php?id=050&year=2001,Equal Employment Opportunity Commission,2001,13,18
1998 - Natl Inst on Alcohol Abuse & Alcoholism,http://www.opensecrets.org//lobby/agencysum.php?id=193&year=1998,Natl Inst on Alcohol Abuse & Alcoholism,1998,13,18
2014 - Risk Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=243&year=2014,Risk Management Agency,2014,13,19
2005 - Farm Credit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=052&year=2005,Farm Credit Administration,2005,13,19
2014 - Corp for National & Community Service,http://www.opensecrets.org//lobby/agencysum.php?id=047&year=2014,Corp for National & Community Service,2014,13,20
2003 - Minerals Management Service,http://www.opensecrets.org//lobby/agencysum.php?id=147&year=2003,Minerals Management Service,2003,13,20
2002 - Minerals Management Service,http://www.opensecrets.org//lobby/agencysum.php?id=147&year=2002,Minerals Management Service,2002,13,20
1999 - Federal Election Commission,http://www.opensecrets.org//lobby/agencysum.php?id=055&year=1999,Federal Election Commission,1999,13,20
2014 - Bureau of Justice Assistance,http://www.opensecrets.org//lobby/agencysum.php?id=157&year=2014,Bureau of Justice Assistance,2014,13,21
2005 - Council of Economic Advisers,http://www.opensecrets.org//lobby/agencysum.php?id=014&year=2005,Council of Economic Advisers,2005,13,22
2011 - Bureau of Prisons,http://www.opensecrets.org//lobby/agencysum.php?id=151&year=2011,Bureau of Prisons,2011,13,23
2010 - US Secret Service,http://www.opensecrets.org//lobby/agencysum.php?id=191&year=2010,US Secret Service,2010,13,23
1999 - Congressional Budget Office,http://www.opensecrets.org//lobby/agencysum.php?id=008&year=1999,Congressional Budget Office,1999,13,23
2010 - Bureau of Labor Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=169&year=2010,Bureau of Labor Statistics,2010,13,25
2006 - Federal Maritime Commission,http://www.opensecrets.org//lobby/agencysum.php?id=059&year=2006,Federal Maritime Commission,2006,13,25
2013 - Natl Inst of Mental Health,http://www.opensecrets.org//lobby/agencysum.php?id=220&year=2013,Natl Inst of Mental Health,2013,13,26
2009 - Ballistic Missile Defense Organization,http://www.opensecrets.org//lobby/agencysum.php?id=115&year=2009,Ballistic Missile Defense Organization,2009,13,26
1998 - Pension Benefit Guaranty Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=085&year=1998,Pension Benefit Guaranty Corporation,1998,13,26
2011 - National Archives & Records Admin,http://www.opensecrets.org//lobby/agencysum.php?id=069&year=2011,National Archives & Records Admin,2011,13,29
2009 - National Endowment for the Humanities,http://www.opensecrets.org//lobby/agencysum.php?id=219&year=2009,National Endowment for the Humanities,2009,13,29
1999 - Federal Housing Finance Board,http://www.opensecrets.org//lobby/agencysum.php?id=057&year=1999,Federal Housing Finance Board,1999,13,29
2008 - National Endowment for the Humanities,http://www.opensecrets.org//lobby/agencysum.php?id=219&year=2008,National Endowment for the Humanities,2008,13,31
2013 - Employment & Training Administration,http://www.opensecrets.org//lobby/agencysum.php?id=244&year=2013,Employment & Training Administration,2013,13,32
2012 - Minerals Management Service,http://www.opensecrets.org//lobby/agencysum.php?id=147&year=2012,Minerals Management Service,2012,13,36
2013 - Administration on Aging,http://www.opensecrets.org//lobby/agencysum.php?id=130&year=2013,Administration on Aging,2013,13,37
2013 - Bureau of the Census,http://www.opensecrets.org//lobby/agencysum.php?id=105&year=2013,Bureau of the Census,2013,13,37
2012 - Trade & Development Agency,http://www.opensecrets.org//lobby/agencysum.php?id=093&year=2012,Trade & Development Agency,2012,13,37
2011 - Risk Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=243&year=2011,Risk Management Agency,2011,13,37
2008 - Natl Inst on Alcohol Abuse & Alcoholism,http://www.opensecrets.org//lobby/agencysum.php?id=193&year=2008,Natl Inst on Alcohol Abuse & Alcoholism,2008,13,39
2013 - Mine Safety & Health Administration,http://www.opensecrets.org//lobby/agencysum.php?id=168&year=2013,Mine Safety & Health Administration,2013,13,41
2012 - Bureau of the Census,http://www.opensecrets.org//lobby/agencysum.php?id=105&year=2012,Bureau of the Census,2012,13,41
2008 - Mine Safety & Health Administration,http://www.opensecrets.org//lobby/agencysum.php?id=168&year=2008,Mine Safety & Health Administration,2008,13,42
