Video Game,Profile,Descritpion,Release Year,Users' Review (stars),Image,Genre,Theme,Platform Manufacturer(s),Platform(s),Developers
Dragon's Lair,http://www.giantbomb.com/dragons-lair/3030-23/,"Known as the granddaddy of the ""Quick Time Event"", Dragon's Lair is an interactive cartoon that lets players help guide the actions of brave knight Dirk the Daring, as he ventures through the dangerous castle of Singe the Dragon in order to rescue his beloved princess Daphne.",1983,4.5,http://static.giantbomb.com/uploads/scale_small/0/3413/213636-dragon_s_lair.jpg,"Action, Adventure, Puzzle","Fantasy, Medieval","Sega, Nintendo, Amstrad, Atari, Commodore, Sinclair Research, Apple, Sony, 3DO, Phillips, Microsoft, Arcade, PC, RDI Video Systems, Android","Amiga, Game Boy, Game Gear, Super Nintendo Entertainment System, Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum, Mac, PlayStation 2, Nintendo Entertainment System, 3DO, CD-i, Jaguar, Sega CD, Xbox, Wii, Nintendo DS, Game Boy Color, Arcade, Xbox 360 Games Store, PlayStation Network (PS3), PC, iPhone, DSiWare, RDI Halcyon, PlayStation Network (PSP), Android","Digital Leisure, The Code Monkeys, RDI Video Systems, Digital Eclipse Software, Code Mystics"
Elite Beat Agents,http://www.giantbomb.com/elite-beat-agents/3030-11982/,"Elite Beat Agents is a rhythm game for the Nintendo DS developed by iNiS Corp. and published by Nintendo. It is a spiritual sequel to the Japanese only Osu! Tatakae! Ouendan, and uses many of the same touch screen based gameplay mechanics.",2006,4.29,http://static.giantbomb.com/uploads/scale_small/8/87790/2092587-box_eba.png,Music/Rhythm,"Comedy, Anime, Superhero",Nintendo,Nintendo DS,"iNiS, Nintendo"
Escape From Hell,http://www.giantbomb.com/escape-from-hell/3030-5100/,"You must find your way out of Hell in this, the last game to use the game engine created for Wasteland.",1990,,http://static.giantbomb.com/uploads/scale_small/8/86736/1340249-escape_from_hell.jpg,"Adventure, Role-Playing","Horror, Comedy",PC,PC,Electronic Arts
Escape from the Planet of the Robot Monsters,http://www.giantbomb.com/escape-from-the-planet-of-the-robot-monsters/3030-19516/,"Lots of beautiful girls have been abducted to Planet X and are being forced to create an evil robot army by the evil reptilions. It's your job as a member of the interplanetary SWAT team, to power up your laser pistols and save the world.",1990,,http://static.giantbomb.com/uploads/scale_small/0/1131/407270-eprm1.gif,"Action, Shooter, Platformer","Sci-Fi, Comedy","Atari, Commodore, Sinclair Research, Arcade, PC","Amiga, Atari ST, Commodore 64, ZX Spectrum, Arcade, PC",Tengen
Esper Dream,http://www.giantbomb.com/esper-dream/3030-22551/,Esper Dream is a role-playing game developed and published by Konami for the Famicom Disk System and Wii Virtual Console platforms. It is the first game in the Esper Dream series.,1987,,http://static.giantbomb.com/uploads/scale_small/0/2898/399876-esper_dream.jpg,Role-Playing,Abstract,Nintendo,"Wii Shop, Famicom Disk System",Konami
Fairy Well,http://www.giantbomb.com/fairy-well/3030-46120/,Guide your fairy through a labyrinth and rescue a princess in this homebrew game.,2013,,http://static.giantbomb.com/uploads/scale_small/16/164924/2625334-5516736498-fairy.png,Action,Fantasy,Commodore,Commodore 64,Wide Pixel Games
Fallout 2,http://www.giantbomb.com/fallout-2/3030-5559/,Fallout 2 is the sequel to the critically acclaimed post-apocalyptic RPG.,1998,4.5,http://static.giantbomb.com/uploads/scale_small/3/30036/1285936-fallout2front.jpg,Role-Playing,"Sci-Fi, Alternate Historical, Comedy, Post-Apocalyptic","Apple, PC","Mac, PC","Black Isle Studios, Zenimax Media"
Fat Princess,http://www.giantbomb.com/fat-princess/3030-21184/,The controversial Fat Princess sees the endless battle of red vs. blue comes to a fight between two kingdoms who have kidnapped each other's princess and are stuffing her with cake to make her rescue more difficult.,2009,4.18,http://static.giantbomb.com/uploads/scale_small/0/5150/1100414-fatprincesslogo.jpg,"Action, Strategy, Real-Time Strategy, Brawler","Fantasy, Comedy, Medieval",Sony,"PlayStation 3, PlayStation Network (PS3)","Darkstar, Titan Studios, SCE Santa Monica Studio"
Fat Princess: Fistful of Cake,http://www.giantbomb.com/fat-princess-fistful-of-cake/3030-26875/,"A version of Fat Princess for the PSP, enhanced with added levels and modes.",2010,3.33,http://static.giantbomb.com/uploads/scale_small/0/9253/1308379-fatprincessfoc_us_psp_front.jpg,"Action, Strategy","Comedy, Medieval",Sony,"PlayStation Portable, PlayStation Network (PSP)","SuperVillain Studios, SCE Santa Monica Studio"
Final Fantasy I & II: Dawn of Souls,http://www.giantbomb.com/final-fantasy-i-ii-dawn-of-souls/3030-17928/,Final Fantasy I &amp; II: Dawn of Souls features enhanced remakes of Final Fantasy I &amp; II as well as new dungeons to explore.,1994,3.5,http://static.giantbomb.com/uploads/scale_small/8/87790/1814642-box_ffdos.png,"Role-Playing, Compilation",Fantasy,Nintendo,"Game Boy Advance, Nintendo Entertainment System",Square Enix
Final Fantasy VIII,http://www.giantbomb.com/final-fantasy-viii/3030-12277/,"Final Fantasy VIII featured many new ideas for the Final Fantasy franchise, including: a subplot with a different main character, more realistic character designs, level-scaled enemy encounters, and the replacement of MP and most equipment with a system of card drawing and junctioning.",1999,4,http://static.giantbomb.com/uploads/scale_small/0/9253/634071-final_fantasy_viii_us_pc_front.jpg,Role-Playing,"Fantasy, Sci-Fi, Anime","Sony, PC","PlayStation, PlayStation Network (PS3), PC","Squaresoft, Square Visual Works"
Final Fight,http://www.giantbomb.com/final-fight/3030-6722/,"Final Fight is a classic beat-em-up game developed by Capcom featuring a memorable cast of characters including the first and only mustachioed ex pro-wrestler turned mayor, Mike Haggar.",1989,4,http://static.giantbomb.com/uploads/scale_small/0/1614/787377-final_fight_ami_uk.jpg,"Action, Brawler","Crime, Martial Arts","Amstrad, Atari, Commodore, Sinclair Research, Sony, Sega, Microsoft, Arcade, Nintendo, PC, Sharp, Apple","Amiga, Game Boy Advance, Super Nintendo Entertainment System, Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum, PlayStation Portable, PlayStation 2, Sega CD, Xbox, Arcade, Wii Shop, PC, Sharp X68000, iPhone",Capcom
Final Fight: Double Impact,http://www.giantbomb.com/final-fight-double-impact/3030-29287/,The original arcade versions of Final Fight and Magic Sword are collected in this downloadable release.,2008,4,http://static.giantbomb.com/uploads/scale_small/8/87790/1841436-box_ffdi.png,Brawler,Crime,"Microsoft, Sony","Xbox 360 Games Store, PlayStation Network (PS3)","Proper Games, FATHOM"
Fire Emblem: Ankoku Ryu to Hikari no Tsurugi,http://www.giantbomb.com/fire-emblem-ankoku-ryu-to-hikari-no-tsurugi/3030-20805/,"The first game in the Fire Emblem series, released only in Japan for the Famicom. It was a landmark in console strategy RPGs, establishing many of the genre's common gameplay elements.",1990,,http://static.giantbomb.com/uploads/scale_small/0/348/183929-414px_fe1box.jpg,"Strategy, Role-Playing",Fantasy,Nintendo,"Nintendo Entertainment System, Wii Shop, Nintendo 3DS eShop",Intelligent Systems
Fire Emblem: Path of Radiance,http://www.giantbomb.com/fire-emblem-path-of-radiance/3030-222/,Fire Emblem: Path of Radiance serves as the first incarnation of the Fire Emblem franchise to embrace the realm of the third dimension while continuing the series' focus on turn based combat in a medieval setting.,2005,4.5,http://static.giantbomb.com/uploads/scale_small/8/87790/2103130-box_fepor.png,"Strategy, Role-Playing","Fantasy, Anime",Nintendo,GameCube,"Intelligent Systems, Nintendo"
Flying Hamster,http://www.giantbomb.com/flying-hamster/3030-29687/,Side-scrolling shooter staring Newton the Flying Hamster.,2010,,http://static.giantbomb.com/uploads/scale_small/9/93770/2494058-master_ep4178-pcsb00240_00-theflyinghamster_dan.png,"Action, Shoot 'Em Up",Comedy,"Sony, Apple","PlayStation Network (PS3), iPhone, PlayStation Network (PSP), PlayStation Network (Vita)",The Game Atelier
Fragile Dreams: Farewell Ruins of the Moon,http://www.giantbomb.com/fragile-dreams-farewell-ruins-of-the-moon/3030-21406/,"After the end of the world, a young boy explores a deserted Tokyo, searching for other people who still live in the dead world, as well as trying to find out what exactly caused the end of society as we know it.",2009,3.67,http://static.giantbomb.com/uploads/scale_small/8/82063/2552782-fragiledreamsclean.jpg,"Action, Adventure, Role-Playing","Sci-Fi, Anime, Post-Apocalyptic",Nintendo,Wii,tri-Crescendo
Frobot,http://www.giantbomb.com/frobot/3030-26698/,A puzzle game in which you control a robot with an afro.,2010,,http://static.giantbomb.com/uploads/scale_small/0/1992/1515775-frobot.jpg,"Action, Adventure",Sci-Fi,"Nintendo, PC","Wii Shop, PC",Fugazo
Ganso Jajamaru-kun,http://www.giantbomb.com/ganso-jajamarukun/3030-45318/,Ganso Jajamaru-kun is an enhanced remake of the original Jajamaru-kun game,1999,,http://static.giantbomb.com/uploads/scale_small/16/164924/2598006-9839654621-57662.jpg,"Action, Platformer",Fantasy,Bandai,WonderSwan,TOSE
Garfield: Saving Arlene,http://www.giantbomb.com/garfield-saving-arlene/3030-2839/,,2006,,http://static.giantbomb.com/uploads/scale_small/0/4647/839373-930195_73773_front.jpg,Action,,"Sony, PC","PlayStation 2, PC",EKO Software
Gdleen,http://www.giantbomb.com/gdleen/3030-33729/,"The first RPG to ever be released on the Super Famicom, which is loosely based on an anime OVA of the same name.",1991,,http://static.giantbomb.com/uploads/scale_small/9/97089/1676156-cover.png,Role-Playing,"Fantasy, Sci-Fi",Nintendo,Super Nintendo Entertainment System,Jorudan
Ghouls 'N Ghosts,http://www.giantbomb.com/ghouls-n-ghosts/3030-12381/,Ghouls 'n Ghosts is an action-platformer where Knight Arthur sets out on a quest to rescue captured souls from Lucifer (Loki). Ghouls 'n Ghosts is the sequel to Ghost'n Goblins.,1989,5,http://static.giantbomb.com/uploads/scale_small/9/93770/2370583-genesis_ghoulsnghosts.jpg,"Action, Platformer","Horror, Fantasy","Sega, Amstrad, Atari, Commodore, Sinclair Research, Sony, Arcade, Nintendo, Sharp, NEC","Amiga, Genesis, Sega Master System, Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum, PlayStation, Saturn, Arcade, Wii Shop, Sharp X68000, SuperGrafx",Capcom
Giants: Citizen Kabuto,http://www.giantbomb.com/giants-citizen-kabuto/3030-13629/,"Take control of one of three radically different factions and lay waste to your enemies with advanced technology, powerful magic, or raw brute strength.",2000,4,http://static.giantbomb.com/uploads/scale_small/1/17172/1388310-giants_citizen_kabuto_box_cover.jpg,"Action, Strategy, Driving/Racing","Sci-Fi, Comedy","Apple, Sony, PC","Mac, PlayStation 2, PC",Planet Moon Studios
Ginga Ninkyouden,http://www.giantbomb.com/ginga-ninkyouden/3030-48388/,Ginga Ninkyouden is an action-brawler from Jaleco. It is known for its many (unlicensed?) cameos from throughout Japanese pop culture.,1987,,http://static.giantbomb.com/uploads/scale_small/16/164924/2708969-7973089465-gn12..jpg,"Action, Brawler","Comedy, Anime",Arcade,Arcade,Jaleco
Golden Axe III,http://www.giantbomb.com/golden-axe-iii/3030-16414/,Golden Axe III is the third game in the Golden Axe line of fantasy beat 'em ups.,1993,,http://static.giantbomb.com/uploads/scale_small/9/93770/2370589-genesis_goldenaxe3_jp.jpg,Brawler,"Fantasy, Martial Arts","Sega, Nintendo, PC","Genesis, Wii Shop, PC",
Goodbye Deponia,http://www.giantbomb.com/goodbye-deponia/3030-40835/,The final game in the Deponia trilogy.,2013,4,http://static.giantbomb.com/uploads/scale_small/8/81005/2562645-91bway-full._sl1500_.jpg,Adventure,"Sci-Fi, Comedy","Apple, PC","Mac, PC",Daedalic Entertainment
Guacamelee!,http://www.giantbomb.com/guacamelee/3030-37673/,Guacamelee! is a side-scrolling Metroidvania style game featuring a luchador on a quest through dual worlds to save El Presidente's daughter.,2013,4.56,http://static.giantbomb.com/uploads/scale_small/9/93770/2421392-guacamelee_key_art_final.jpg,"Action, Brawler, Platformer",Comedy,"Apple, Microsoft, Sony, PC, Nintendo, Linux","Mac, Xbox 360 Games Store, PlayStation Network (PS3), PC, Wii U, PlayStation Network (Vita), Xbox One, PlayStation 4, Linux","DrinkBox Studios, Broken Rules"
Gunman Clive,http://www.giantbomb.com/gunman-clive/3030-38186/,Gunman Clive is a western side-scrolling platformer/shooter for iOS platforms and the 3DS eShop. It has a simple-color sketch aesthetic and takes design inspiration from NES-era titles such as Mega Man and Contra.,2012,3,http://static.giantbomb.com/uploads/scale_small/9/93770/2389890-boxshotbig.png,"Action, Shooter, Platformer","Sci-Fi, Western","PC, Apple, Android, Nintendo","PC, iPhone, iPad, Android, Nintendo 3DS eShop",Horberg Productions
Hugo III: Jungle of Doom,http://www.giantbomb.com/hugo-iii-jungle-of-doom/3030-5736/,Hugo must risk life and limb in a dangerous jungle to save the lovely Penelope from a poisonous death.,,,http://static.giantbomb.com/uploads/scale_small/0/8960/1717177-hugo_iii_cover.jpg,Adventure,,PC,PC,Gray Design Associates
Hugo's House of Horrors,http://www.giantbomb.com/hugos-house-of-horrors/3030-1917/,"Hugo's House of Horrors is a classic DOS adventure game developed by Gray Design Associates. After the beautiful Penelope is kidnapped by fiendish ghouls and taken to a haunted house, her boyfriend Hugo must enter the spooky home and rescue her!",1990,,http://static.giantbomb.com/uploads/scale_small/0/8960/1717168-hugocover.jpg,"Adventure, Puzzle",Horror,PC,PC,Gray Design Associates
Hunchback,http://www.giantbomb.com/hunchback/3030-13831/,"As Quasimodo, the hunchback of Notre-Dame, players must ring bells while avoiding myriad obstacles.",1984,,http://static.giantbomb.com/uploads/scale_small/5/57793/1362066-764_1.jpg,"Action, Platformer",,"Amstrad, Microsoft, Sinclair Research, Commodore, Dragon Data, Arcade, PC","Amstrad CPC, Commodore 64, MSX, ZX Spectrum, VIC-20, Dragon 32/64, Arcade, PC",Century Electronics
Hyrule Warriors,http://www.giantbomb.com/hyrule-warriors/3030-44782/,"Omega Force, Team Ninja and Nintendo team up for this crossover between the Zelda franchise and the long-running Warriors hack-n-slash series. The game pits Link and friends against hordes of familiar enemies in the signature Warriors fashion.",2014,3,http://static.giantbomb.com/uploads/scale_small/8/82063/2679258-hwboxupdate.jpg,Action,Fantasy,Nintendo,Wii U,"Team Ninja, Omega Force"
Indiana Jones and the Fate of Atlantis,http://www.giantbomb.com/indiana-jones-and-the-fate-of-atlantis/3030-3633/,Indiana Jones follows an ancient medallion around the world to discover the secret of Atlantis before the Nazis can wield its terrible power in this classic LucasArts point-and-click adventure.,1992,4,http://static.giantbomb.com/uploads/scale_small/0/4364/217929-indiana_jones_atlantis_1.jpg,Adventure,"Alternate Historical, World War II","Commodore, Apple, PC, Fujitsu","Amiga, Mac, PC, FM Towns",LucasArts Entertainment Company
Island Peril,http://www.giantbomb.com/island-peril/3030-779/,"A light-hearted FPS for DOS, in which the player must adventure across an island as protagonist Dick Danger to rescue their girlfriend, Samantha ""Sweet-Cheeks"" Smith, from an antagonist known as ""Evil Boss"".",1995,,,"Action, Shooter",Crime,PC,PC,Electric Fantasies
Jackie Chan's Action Kung Fu,http://www.giantbomb.com/jackie-chans-action-kung-fu/3030-5129/,Jackie Chan's Action Kung Fu is an action game released by and developed by Hudson Soft for the Nintendo Entertainment System featuring the famous martial artist Jackie Chan,1990,,http://static.giantbomb.com/uploads/scale_small/9/93770/2361884-nes_jackiechansactionkingfu.jpg,"Action, Platformer","Fantasy, Martial Arts","NEC, Nintendo","Nintendo Entertainment System, TurboGrafx-16",Nowpro
Jazz Jackrabbit,http://www.giantbomb.com/jazz-jackrabbit/3030-7634/,"Jazz Jackrabbit is a platform game developed by Epic MegaGames (now known as Epic Games). It was released in 1994 for the PC. Jazz Jackrabbit was created by Cliff Bleszinski and Arjan Brussee, and inspired by classic console games such as Super Mario Bros and Sonic The Hedgehog.",1994,,http://static.giantbomb.com/uploads/scale_small/0/4816/210003-68_2.jpg,"Action, Shooter, Platformer",Fantasy,PC,PC,Epic Games
Karateka,http://www.giantbomb.com/karateka/3030-39501/,"A downloadable remake of Karateka; developed by the original creator Jordan Mechner, alongside Liquid Entertainment.",2012,,http://static.giantbomb.com/uploads/scale_small/9/93770/2363157-cover.png,"Fighting, Action, Adventure",Martial Arts,"Apple, Microsoft, Sony, PC","Xbox 360 Games Store, PlayStation Network (PS3), PC, iPhone, iPad",Liquid Entertainment
Kid Icarus,http://www.giantbomb.com/kid-icarus/3030-15154/,"Kid Icarus is a 2D platformer released on the Nintendo Entertainment System, famed for its blending together of elements from The Legend of Zelda, Super Mario Bros. and Metroid.",1986,2.33,http://static.giantbomb.com/uploads/scale_small/9/93770/2361921-nes_kidicarus.jpg,"Action, Platformer",Fantasy,Nintendo,"Game Boy Advance, Nintendo Entertainment System, Wii Shop, Famicom Disk System, Nintendo 3DS eShop, Wii U","Nintendo, Arika"
King Kong 2: Ikari no Megaton Punch,http://www.giantbomb.com/king-kong-2-ikari-no-megaton-punch/3030-32435/,King Kong 2: Ikari no Megaton Punch (怒りのメガトンパンチ/Megaton Punch of Fury) was only released in Japan for the Famicom. It is very loosely based off of the 1986 film King Kong Lives.,1986,,http://static.giantbomb.com/uploads/scale_small/3/31839/1478210-200px_king_kong_2___ikari_no_megaton_punch_coverart.png,"Action, Adventure","Horror, Fantasy, Sci-Fi",Nintendo,Nintendo Entertainment System,Konami
King's Knight,http://www.giantbomb.com/kings-knight/3030-16827/,King's Knight is a top-down vertically-scrolling shooter and was the first North American release under the Squaresoft label.,1986,,http://static.giantbomb.com/uploads/scale_small/9/93770/2361925-nes_kingsknight.jpg,"Action, Role-Playing","Fantasy, Medieval","Microsoft, Nintendo","MSX, Nintendo Entertainment System, Wii Shop",Squaresoft
King's Quest II: Romancing the Throne,http://www.giantbomb.com/kings-quest-ii-romancing-the-throne/3030-14195/,"After seeing a damsel in distress in a magic mirror, King Graham sets out on a quest to find her.",1985,,http://static.giantbomb.com/uploads/scale_small/1/15568/627431-box_kq2.jpg,Adventure,"Fantasy, Medieval","Commodore, Atari, Apple, PC","Amiga, Apple II, Atari ST, Apple IIgs, PC",Sierra
King's Quest III: To Heir is Human,http://www.giantbomb.com/kings-quest-iii-to-heir-is-human/3030-1256/,To Heir is Human is the third title in Sierra-Online's King's Quest series. The story has moved away from King Graham and onto the adventures of Gwydion and follows his quest to return to Daventry.,1986,,http://static.giantbomb.com/uploads/scale_small/1/15568/627430-box_kq3.jpg,Adventure,"Fantasy, Medieval","Commodore, Atari, Apple, PC","Amiga, Apple II, Atari ST, Apple IIgs, PC",Sierra
King's Quest V: Absence Makes the Heart Go Yonder,http://www.giantbomb.com/kings-quest-v-absence-makes-the-heart-go-yonder/3030-16771/,"The evil wizard Mordack has taken the castle and royal family of Daventry, and are holding them prisoner. As the only member of the royal family left behind, King Graham must help his family and return the castle.",1990,,http://static.giantbomb.com/uploads/scale_small/1/15693/1367183-kings_quest_5_blue_box_a.jpg,Adventure,"Fantasy, Medieval","Commodore, Apple, Nintendo, PC, Fujitsu, NEC","Amiga, Mac, Nintendo Entertainment System, PC, FM Towns, NEC PC-9801",Sierra
"King's Quest VI: Heir Today, Gone Tomorrow",http://www.giantbomb.com/kings-quest-vi-heir-today-gone-tomorrow/3030-2240/,Cassima's trapped in the castle and needs your help.,1992,5,http://static.giantbomb.com/uploads/scale_small/1/15693/1367191-kings_quest_6_a_front.jpg,Adventure,"Fantasy, Medieval","Commodore, Apple, PC","Amiga, Mac, PC",Sierra
Kingdom Hearts,http://www.giantbomb.com/kingdom-hearts/3030-10983/,A unique mix of Disney and Square Enix characters join spiky-haired hero Sora on his epic journey to save multiple worlds from the evil of the Heartless and find his lost friends Riku and Kairi.,2002,4.21,http://static.giantbomb.com/uploads/scale_small/8/87790/1897536-box_khearts.png,"Role-Playing, Action, Adventure","Fantasy, Comedy",Sony,PlayStation 2,"Squaresoft, Disney Interactive, Square Visual Works"
Kingdom Hearts II,http://www.giantbomb.com/kingdom-hearts-ii/3030-4763/,"Kingdom Hearts II is the third installment in the Kingdom Hearts franchise following after Kingdom Hearts: Chain of Memories, known for its successful combination of Disney and Final Fantasy franchises into a believable plot.",2005,4.48,http://static.giantbomb.com/uploads/scale_small/8/87790/2179485-box_kh2.png,"Role-Playing, Action, Adventure",Fantasy,Sony,PlayStation 2,"Square Enix, Square Visual Works"
Kong,http://www.giantbomb.com/kong/3030-45094/,"Kong (also known popularly as ""Kong 64"") is a Donkey Kong clone for Commodore 64. It is infamous for its bizarre cover art.",1983,,http://static.giantbomb.com/uploads/scale_small/16/164924/2590081-4118984391-cover.jpg,Platformer,,Commodore,Commodore 64,Anirog Software
Kung-Fu Master,http://www.giantbomb.com/kung-fu-master/3030-5996/,"Help Thomas save his girlfriend, Sylvia, as he battles minions and dragons over five side-scrolling, action packed levels, Kung-Fu style. Based on the Jackie Chan movie Wheels on Meals, Kung-Fu Master (Spartan X in Japan) is often credited for creating the beat 'em up genre.",1984,,http://static.giantbomb.com/uploads/scale_small/13/139866/2438277-12002801.jpg,"Action, Brawler",Martial Arts,"Amstrad, Apple, Commodore, Microsoft, Sinclair Research, Nintendo, Atari, Arcade","Amstrad CPC, Apple II, Commodore 64, MSX, ZX Spectrum, Nintendo Entertainment System, Atari 2600, Atari 7800, Arcade, iPad",Irem
L.A. Noire,http://www.giantbomb.com/la-noire/3030-21500/,L.A. Noire is a detective thriller developed by Team Bondi in Australia and published by Rockstar Games.,2011,4.11,http://static.giantbomb.com/uploads/scale_small/4/49957/1807787-la_noire_box_art.jpg,"Action, Shooter, Brawler","Crime, Civil War","Microsoft, Sony, PC","Xbox 360, PlayStation 3, Xbox 360 Games Store, PlayStation Network (PS3), PC","Team Bondi, Rockstar Leeds"
Laplace no Ma,http://www.giantbomb.com/laplace-no-ma/3030-10041/,"Laplace no Ma (literally ""Laplace's Demon"") is a Japanese video game released in 1987. You must investigate the death of two boys who were found near the entrance of a mansion.",1987,,http://static.giantbomb.com/uploads/scale_small/0/7465/1033453-laplace_no_ma_cover.jpg,"Adventure, Role-Playing",Horror,"Nintendo, NEC, SNK, PC","Super Nintendo Entertainment System, TurboGrafx-CD, Neo Geo CD, PC, NEC PC-8801, NEC PC-9801",Group SNE
Lesbian Spider-Queens of Mars,http://www.giantbomb.com/lesbian-spider-queens-of-mars/3030-37857/,In the deliberately offensive Lesbian Spider-Queens of Mars you take the role as the titular evil Queen with the mission to recapture your freed slaves.,,,http://static.giantbomb.com/uploads/scale_small/6/66643/2165716-lesbianspiderqueenofmars.png,Shooter,Adult,"Apple, PC, Browser","Mac, PC, Browser",
Liquid Kids,http://www.giantbomb.com/liquid-kids/3030-18305/,Help Hipopo save his friends from the clutches of the Fire Devil!,1990,,http://static.giantbomb.com/uploads/scale_small/0/9261/308780-liquidkidscover.jpg,"Action, Adventure, Platformer",,"Commodore, Sega, NEC, Arcade","Amiga, Saturn, TurboGrafx-16, Arcade",Taito Corporation
Lock's Quest,http://www.giantbomb.com/locks-quest/3030-21064/,"Lock's Quest is a tower defense game for the NDS from 5th Cell Media, featuring real-time strategy, RPG and action game mechanics.",2008,,http://static.giantbomb.com/uploads/scale_small/8/82063/2267440-229650-lq_ds_fob_rgb.jpg,"Strategy, Role-Playing, Real-Time Strategy",,Nintendo,Nintendo DS,5th Cell Media
Lunar 2: Eternal Blue Complete,http://www.giantbomb.com/lunar-2-eternal-blue-complete/3030-4248/,Lunar 2: Eternal Blue Complete is the sequel to Lunar: Sliver Star Story. The game features a brand new cast of characters and takes place 1000 years after the events of the original game.,1999,4,http://static.giantbomb.com/uploads/scale_small/8/87790/2375801-box_lunar2ebc.png,Role-Playing,"Fantasy, Anime","Sony, Sega","PlayStation, Saturn","Game Arts, Vanguard Works"
Lunar: Eternal Blue,http://www.giantbomb.com/lunar-eternal-blue/3030-14733/,Lunar: Eternal Blue follows the story of Hiro and Ruby as they attempt to help the Blue Star inhabitant Lucia finish her 'mission'.,1994,,http://static.giantbomb.com/uploads/scale_small/8/87790/2375803-box_lunareb.png,"Adventure, Role-Playing",Fantasy,Sega,Sega CD,"Game Arts, Studio Alex, Vanguard Works"
Lunar: Silver Star Harmony,http://www.giantbomb.com/lunar-silver-star-harmony/3030-26422/,A remake of Lunar: The Silver Star on the PSP.,2009,4,http://static.giantbomb.com/uploads/scale_small/8/87790/2375805-box_lunarssh.png,Role-Playing,"Fantasy, Anime",Sony,"PlayStation Portable, PlayStation Network (PSP)",Game Arts
Lunar: Silver Star Story Complete,http://www.giantbomb.com/lunar-silver-star-story-complete/3030-17767/,A young boy and his friends must embark on an epic journey of friendship and love across the planet of Lunar.,1996,5,http://static.giantbomb.com/uploads/scale_small/8/87790/2375806-box_lunarsssc.png,Role-Playing,Fantasy,"Sony, Sega, PC","PlayStation, Saturn, PC","Game Arts, Japan Art Media"
Lunar: The Silver Star,http://www.giantbomb.com/lunar-the-silver-star/3030-13562/,"The first game in the Lunar series, and the second highest selling Sega CD game of all time, Lunar tells a story of love, betrayal, and redemption.",1992,,http://static.giantbomb.com/uploads/scale_small/8/87790/2375807-box_lunartss.png,"Adventure, Role-Playing",Fantasy,"Sega, Apple","Sega CD, iPhone","Game Arts, Studio Alex"
MadWorld,http://www.giantbomb.com/madworld/3030-21173/,"MadWorld is an artistically stylized over the top action game for the Wii created by Platinum Games. The main character, Jack, must compete in a kill or be killed TV show called Death Watch and gains points for the most brutal kills he can pull off.",2009,3.7,http://static.giantbomb.com/uploads/scale_small/8/82063/2527791-madworldboxclean.jpg,"Fighting, Brawler","Horror, Anime, Game Show",Nintendo,Wii,PlatinumGames
Maniac Mansion,http://www.giantbomb.com/maniac-mansion/3030-2037/,"Maniac Mansion is a graphic adventure game originally released in 1987 by Lucasfilm Games. When the innocent Sandy is kidnapped by the maniacal Dr. Fred, it's up to her boyfriend Dave and his friends to her from certain death!",1987,5,http://static.giantbomb.com/uploads/scale_small/0/4938/609469-maniac_mansion_box_front_6570x8262.jpg,Adventure,"Horror, Sci-Fi, Comedy","Apple, Atari, Commodore, Nintendo, PC","Amiga, Apple II, Atari ST, Commodore 64, Nintendo Entertainment System, PC",LucasArts Entertainment Company
Mario & Luigi: Dream Team,http://www.giantbomb.com/mario-luigi-dream-team/3030-41569/,The fourth entry in the Mario and Luigi RPG series has Mario traversing dreams within Luigi's mind. Players will have to interact with Luigi on the bottom screen to provoke certain events within his dreams.,2013,1,http://static.giantbomb.com/uploads/scale_small/8/82063/2491700-mldreamteam.png,Role-Playing,"Fantasy, Comedy",Nintendo,"Nintendo 3DS, Nintendo 3DS eShop","AlphaDream, Good Feel"
Mario vs. Donkey Kong: Mini-Land Mayhem,http://www.giantbomb.com/mario-vs-donkey-kong-mini-land-mayhem/3030-31742/,"Control a cadre of Mario miniatures to battle Mario's nemesis, Donkey Kong. It's more focused on creating a path this time.",2010,3,http://static.giantbomb.com/uploads/scale_small/8/87790/2211867-box_mvdkmlm.png,"Action, Adventure, Puzzle, Action, Adventure",,Nintendo,Nintendo DS,"NStorm, Nintendo, Nintendo"
Menace Beach,http://www.giantbomb.com/menace-beach/3030-11825/,An unlicensed NES game known mainly for being converted and rereleased as a Christian game under the title Sunday Funday.,1990,,http://static.giantbomb.com/uploads/scale_small/0/3413/220388-menace_beach_1.jpg,Action,,Nintendo,Nintendo Entertainment System,Color Dreams
Mendel Palace,http://www.giantbomb.com/mendel-palace/3030-6410/,A puzzle game where you move tiles to push enemies into walls and blocks. Beware the dreaded respawn tile!,1989,,http://static.giantbomb.com/uploads/scale_small/9/93770/2362058-nes_mendelpalace.jpg,Puzzle,Abstract,Nintendo,"Nintendo Entertainment System, Wii U",Game Freak
Metal Gear Solid,http://www.giantbomb.com/metal-gear-solid/3030-21227/,"Originally titled Metal Gear Solid: Ghost Babel, Metal Gear Solid is a Game Boy Color spinoff of the popular stealth action game, Metal Gear Solid.",2000,,http://static.giantbomb.com/uploads/scale_small/8/87790/1789942-box_mgsgbc.png,"Action, Strategy, Adventure","Espionage, Modern Military",Nintendo,Game Boy Color,Konami
