Character,Series,Description,Profile,Image
Athena Asamiya,"The King of Fighters, SNK vs. Capcom","This article is for the KOF character. For the SNK goddess, see Athena (video game).Athena Asamiya (麻宮 アテナ, Asamiya Atena) is a character originally from the former SNK's video game Psycho Soldier and a descendant of Princess Athena from the earlier Athena game. She later appears in The King of Fighters series of fighting games as a female fighter character and has appeared in each of its thirteen editions. She was also given her own RPG game Athena: Awakening from the Ordinary Life in 1999 released only in Japan for the Sony PlayStation.",http://en.wikipedia.org/wiki/Athena_Asamiya,//upload.wikimedia.org/wikipedia/en/thumb/2/23/Athena_Asamiya.png/175px-Athena_Asamiya.png
Cammy (Street Fighter),Street Fighter,"Cammy (キャミィ,Kyamī?), also known by full name Cammy White (キャミィ ホワイト Kyami Howaito) and codenamed Killer Bee (キラービー Kiraa Bii) in Street Fighter Alpha 3, is a video game character in the Street Fighter fighting game series and the second female fighter to appear in the series, after Chun-Li. She debuted in 1993 as one of the four new characters in Super Street Fighter II: The New Challengers. She has also been featured in the Street Fighter Alpha games, first as a secret character and then as a playable character. The games explore her backstory as one of the evil M. Bison s deadliest assassins or ""dolls"" turned an amnesiac MI6 operative for the British government.",http://en.wikipedia.org/wiki/Cammy,//upload.wikimedia.org/wikipedia/en/2/27/Cammy_%28Street_Fighter_character%29.png
Christie (Dead or Alive),Dead or Alive,"Christie (クリスティ, Kurisuti) is a player character in the Dead or Alive fighting game series by Team Ninja and Tecmo (Tecmo Koei). She was introduced in Dead or Alive 3 in 2001. As of 2013, Christie is the oldest female fighter in the series.",http://en.wikipedia.org/wiki/Christie_(Dead_or_Alive),//upload.wikimedia.org/wikipedia/en/2/27/Christie_%28Dead_or_Alive%29.png
Sheeva,Mortal Kombat,"Sheeva is a fictional character in the Mortal Kombat fighting game series created by Ed Boon and John Tobias. Making her first appearance in Mortal Kombat 3 (1995), she is of the multilimbed Shokan species from the otherworldly realm of Outworld, like Goro and Kintaro. She has served as the personal protector of Outworld emperor Shao Kahn's queen, Sindel, while harboring a bitter hatred for Motaro, who is of the Shokan's sworn enemies, the Centaurians. In the 2011 reboot, her role in the storyline is that of Kahn's bodyguard and jailer, holding Sonya Blade and Kitana captive on separate occasions.Created as a stop motion-animated figurine like Goro and Kintaro, Sheeva was added into the MK series due to fan requests for a playable version of Goro. However, out of all the characters from the first generation of games, she has featured the least in the overall series continuity to date, only appearing as a playable in two additional titles after MK3 and its upgrades (Ultimate Mortal Kombat 3 and Mortal Kombat Trilogy) in addition to small roles in alternative Mortal Kombat-related media, while appearing on no official merchandise. Reception to the character has been mixed in terms of her presence in the series and her finishing moves.",http://en.wikipedia.org/wiki/Sheeva,//upload.wikimedia.org/wikipedia/en/3/3e/SheevaMK2011.png
Julia Chang,Tekken,"Julia Chang (Japanese: ジュリア・チャン, Hepburn: Juria Chan) is a character in the Tekken series of fighting games by Namco, where she was introduced in Tekken 3 in 1997. Julia is an adopted daughter of a Native American fighter named Michelle Chang and her storyline typically involves saving her tribe's forest.An alternative version of the character is a masked female lucha libre wrestler known as Jaycee (ジェイシー, Jeishī), or just J.C., appearing incognito in Tekken Tag Tournament 2.",http://en.wikipedia.org/wiki/Julia_Chang,//upload.wikimedia.org/wikipedia/en/4/40/Julia-Chang.png
Avatar (Ultima),Ultima,"The Avatar is the main player character and protagonist in the Ultima series of video games by Origin Systems. The character was first introduced as ""The Stranger"" in the 1980 role-playing video game Ultima I: The First Age of Darkness.",http://en.wikipedia.org/wiki/Avatar_(Ultima),//upload.wikimedia.org/wikipedia/en/4/44/Avatar_Ultima_6.jpg
KOS-MOS,Xenosaga,"KOS-MOS (Japanese: コスモス) (Kosmos Obey Strategical Multiple Operation System) is a video game character from the Xenosaga role-playing video game series. She is an armored gynoid developed by the interstellar conglomerate Vector Industries. She is made entirely of mechanical parts and nanomachines. The basic tenet to which she adheres is based on logic, probability, and completion of her mission above all else. She also unconditionally protects Shion Uzuki, her co-creator. KOS-MOS is also a major character in the anime Xenosaga: The Animation and appears in several crossover video games.",http://en.wikipedia.org/wiki/KOS-MOS,//upload.wikimedia.org/wikipedia/en/4/48/KOS-MOS_Xenosaga_3.png
Shion Uzuki,Xenosaga,"Shion Uzuki (シオン・ウヅキ, Shion Uzuki) is the protagonist of the Xenosaga trilogy for the PlayStation 2. In addition, she was in the mobile game Pied Piper, Xenosaga I & II, Xenosaga Freaks, as well as the anime Xenosaga the Animation.",http://en.wikipedia.org/wiki/Shion_Uzuki,//upload.wikimedia.org/wikipedia/en/5/5c/Shion.png
Meryl Silverburgh (Metal Gear),Metal Gear,"Meryl Silverburgh (メリル・シルバーバーグ, Meriru Shirubābāgu?) is a video game character in the Metal Gear series by Hideo Kojima. She was originally a character from the 1994 Konami adventure game Policenauts, which was directed by Hideo Kojima. After her original appearance, she was redesigned and reintroduced in Metal Gear Solid as Solid Snake s sidekick and love interest .",http://en.wikipedia.org/wiki/Meryl_Silverburgh,//upload.wikimedia.org/wikipedia/en/8/86/Meryl_Silverburgh.png
Joanna Dark,Perfect Dark,"Joanna Dark is a fictional character and protagonist of the Perfect Dark fictional universe, created by Rare. She made her debut in the Nintendo 64 first-person shooter Perfect Dark and is a player character in all the games of the series. Outside of video games, Joanna also appears as the lead character in all the Perfect Dark novels and comic books. Joanna is an operative for the fictional Carrington Institute, where she was given the code name ""Perfect Dark"" in honor of her flawless performance in training tests.Joanna Dark was originally devised by video game designer Martin Hollis, who found inspiration in a number of fictional heroines such as FBI agent Dana Scully from television series The X-Files, and the eponymous femme fatale of the film Nikita, among others. Her Perfect Dark Zero model was redesigned by manga artist Wil Overton. Joanna Dark is among Rare's most well known characters and is also featured in several ""top lists"" by the gaming media.",http://en.wikipedia.org/wiki/Joanna_Dark,//upload.wikimedia.org/wikipedia/en/9/91/Joanna_dark_N64_render.png
Zero,Drakengard,"Zero (ゼロ,Zero?) is the main protagonist and playable character of the 2013 action role-playing game Drakengard 3, the third main entry in the Drakengard series, developed by Access Games and published by Square Enix. She also appeared in the arcade game Lord of Vermilion III. Zero is an Intoner, one of a race of god-like beings who control magic through their singing abilities. In trying to destroy the flower which gave birth to her powers and tried to use her to destroy humanity, she sets out to kill clones spawned by the flower to carry out its mission, referred to as her sisters.",http://en.wikipedia.org/wiki/Zero_(Drakengard),//upload.wikimedia.org/wikipedia/en/9/93/Zero_DG3_official_concept_art.jpg
Sarah Bryant (Virtua Fighter),Virtua Fighter,"Sarah Bryant (サラ・ブライアント,Sara Buraianto?) is a fictional character in Virtua Fighter series of fighting games by Sega. Sarah is a college student from San Francisco that has debuted in the original Virtua Fighter. She has made several guest and cameo appearances in other games, notably in Tecmo Koei s Dead or Alive 5 as a playable character.",http://en.wikipedia.org/wiki/Sarah_Bryant_(Virtua_Fighter),//upload.wikimedia.org/wikipedia/en/9/9e/Sarah_Bryant_%28Virtua_Fighter%29.png
Nilin (Remember Me),Remember Me,"Nilin is a fictional character and the main protagonist of the dystopian action-adventure video game Remember Me, designed by Dontnod Entertainment and published by Capcom in 2013. Born as Nilin Cartier-Wells, she is an amnesiac freedom fighter recruited by a mysterious man named Edge to bring down Memorize, the corporation that created the memory-altering technology known as Sensen. During her mission, she must recover her stolen memories and expose the crimes committed by Memorize before finally setting out to bring them down.Nilin was created by the game's creative director Jean-Maxime Moris, who conceived her as a believable character who would not be over-sexualised or ineffectual when compared to both other female characters and male characters in other games. The character has received mixed reviews. On the one hand, the character has been praised as breaking away from many stereotypes attached to female characters in video games. Others criticized her as being poorly portrayed and characterized, while a few saw her as reinforcing some of the genre's less desirable traits for such characters.",http://en.wikipedia.org/wiki/Nilin_(Remember_Me),//upload.wikimedia.org/wikipedia/en/a/a0/Nilin_%28Remember_Me%29.png
Princess Daphne,Dragon's Lair,"Princess Daphne (formerly Ocean Monarch, Ocean Odyssey, Switzerland, Daphne, Akrotiri Express, Port Sydney) is a medium-sized cruise ship currently in service in the Mediterranean. Her sister ship is Lisboa, built as the Port Melbourne.",http://en.wikipedia.org/wiki/Princess_Daphne_(character),//upload.wikimedia.org/wikipedia/en/b/b6/Princess_Daphne_with_Dirk.png
GlaDOS,Portal,"GLaDOS ( G enetic L ifeform a nd Disk Operating System ) is a fictional artificially intelligent computer system and the main antagonist in the game Portal as well as the first half of its sequel, Portal 2. She was created by Erik Wolpaw and Kim Swift and is voiced by Ellen McLain. She is responsible for testing and maintenance in Aperture Science research facility in both video games. While she initially appears to simply be a voice to guide and aid the player, her words and actions become increasingly malicious until she makes her intentions clear. The game reveals that she is corrupted and used a neurotoxin to kill the scientists in the lab before the events of Portal. She is destroyed at the end of the first title by the player-character Chell but is revealed to have survived in the credits song "" Still Alive "".",http://en.wikipedia.org/wiki/GLaDOS,//upload.wikimedia.org/wikipedia/en/b/bf/Glados.png
Kasumi (Dead or Alive),Dead or Alive,"Kasumi (Japanese: かすみ, also written as 霞, meaning ""mist"") is a player character and the lead protagonist in the Dead or Alive fighting game series by Team Ninja and Tecmo (Tecmo Koei). Kasumi has served as the main character of the Dead or Alive franchise since its premiere in 1996; she was the official protagonist in the first two main games in the series. She is also a main character in the film DOA: Dead or Alive in which she was portrayed by Devon Aoki. According to the games' canon, Kasumi, also known as ""the Kunoichi of Destiny"", is a teenage female ninja skilled in the Tenjin Mon (天神門) style of Mugen Tenshin (霧幻天神流) ninjutsu. In the games' storyline, Kasumi leaves her clan and becomes an outcast, and she is pursued by her younger half-sister Ayane. There are two Dead or Alive boss characters Alpha-152 (アルファ・イチゴーニ, Arufa Ichi-gō-ni) and Kasumi Alpha (カスミα （アルファ）, Kasumi Arufa) who are clones of her.Kasumi is a symbol of the Dead or Alive franchise and is the personal favourite of Team Ninja's founder and the series' creator Tomonobu Itagaki. She has been the subject of various merchandise and was used to promote the Xbox consoles in Japan. Kasumi has become a popular sex symbol in video game culture and an iconic ninja character and has attracted controversy involving sexualization and the use of underage female characters in video games.",http://en.wikipedia.org/wiki/Kasumi_(Dead_or_Alive),//upload.wikimedia.org/wikipedia/en/c/c0/Kasumi_%28Dead_or_Alive%29.png
Kitana (Mortal Kombat),Mortal Kombat,"Kitana (also known as Princess Kitana and Lady Kitana ) is a fictional character from the Mortal Kombat media franchise, where she was introduced as one of new player characters in the fighting game Mortal Kombat II in 1993. Since then, Kitana appeared in a majority of Mortal Kombat series' video games and its other media, including the films Mortal Kombat and Mortal Kombat: Annihilation, and the series Mortal Kombat: Defenders of the Realm, Mortal Kombat: Konquest and Mortal Kombat: Legacy, becoming one of the most popular and recognisable elements of the franchise.",http://en.wikipedia.org/wiki/Kitana,//upload.wikimedia.org/wikipedia/en/d/d0/Kitana.png
Nina Williams,Tekken,"Nina Williams (Japanese: ニーナ・ウィリアムズ, Hepburn: Nīna Wiriamuzu) is a fictional character from Namco's Tekken fighting game series. A cold-blooded Irish assassin, Nina made her first appearance in Tekken, the original game in the series, and is one of three playable characters (the others being Paul Phoenix and Heihachi Mishima), and the only female character to appear in every installment in the series. She also starred in her own spin-off game, Death by Degrees.Nina has an unstable and often violent relationship with her younger sister, Anna Williams, who is frequently her arch-rival in the series. She is known for her fast and lethal fighting style, based loosely on the fighting arts hapkido and koppojutsu, among others. The character was mostly very well received, often regarded as one of the best Tekken characters as well as one of the most attractive and stylish female characters in gaming.",http://en.wikipedia.org/wiki/Nina_Williams,//upload.wikimedia.org/wikipedia/en/d/d1/Nina-williams.png
Michelle Chang (Tekken),Tekken,"Michelle Chang (ミシェール・チャン, Mishēru Chan) is a fictional character in the Tekken series of fighting games by Namco, where she was introduced in the original Tekken in 1994. She is the adoptive mother of Julia Chang and an unwilling target of Ganryu's affections.",http://en.wikipedia.org/wiki/Michelle_Chang_(Tekken),//upload.wikimedia.org/wikipedia/en/d/d5/Michelle_Chang_%28Tekken%29.png
Poison (Final Fight),"Final Fight, Street Fighter","Poison (ポイズン, Poizun) is a fictional character in the Final Fight and Street Fighter series of video games. Created by Akira Yasuda for Capcom, Poison first appeared in Final Fight alongside a similar character, Roxy, later appearing in Capcom-produced games, media and merchandise related to the Street Fighter franchise. She is voiced by Atsuko Tanaka since the Street Fighter III series, and Masae Yumi in SNK vs. Capcom: SVC Chaos.Originally conceived as a female thug in Final Fight and part of the game's antagonist group, Mad Gear, concerns during the game's development about reactions from North American audiences to fighting women, resulted in the character being re-imagined as a futanari. However, that was not considered satisfactory and both Poison and her palette swap Roxy were replaced by the male characters ""Billy"" and ""Sid"", and have been for every subsequent North American port of the title on Nintendo consoles and handhelds. After the Final Fight series she later appeared alongside wrestler Hugo, acting as his manager, with her schemes revolving around finding a tag team partner for him or developing their own wrestling organization. Poison was also to appear in both Capcom Fighting All-Stars and Final Fight: Streetwise; however, the former was canceled, and she was omitted from the latter as development progressed. Following those aborted attempts, she ended up appearing as a playable character on Street Fighter X Tekken. She will also be added to Ultra Street Fighter IV.The character's status as potentially futanari or transgender, consciously left ambiguous by the developers, has remained a topic of frequent debate by both fans and media alike.",http://en.wikipedia.org/wiki/Poison_(Final_Fight),//upload.wikimedia.org/wikipedia/en/d/d7/Poison_SF.png
Chun-Li (Street Fighter),Street Fighter,"Chun-Li (春麗, also チュン・リー,Chun Rī?, simplified Chinese: 春丽; traditional Chinese: 春麗; pinyin: Chūn Lì) is a player character from the Street Fighter fighting game franchise created by Capcom. The first female fighter introduced into the Street Fighter canon, she is depicted in the games' storyline as an expert martial artist and Interpol officer who restlessly seeks revenge for the death of her father at the hands of the nefarious M. Bison, leader of the Shadaloo crime syndicate.",http://en.wikipedia.org/wiki/Chun-Li,//upload.wikimedia.org/wikipedia/en/f/f4/Chun-Li_tatsunoko.png
Ayu Tsukimiya,Kanon,"Ayu Tsukimiya (月宮 あゆ, Tsukimiya Ayu) is a fictional character and the main heroine in Key's adult visual novel Kanon, followed closely by Nayuki Minase who is the only Kanon heroine to appear with Ayu on three of the official game covers released by Key. Ayu was created by Naoki Hisaya who wrote her scenario for the visual novel, and designed by Itaru Hinoue. Hisaya commented on how he thought Ayu was the one character in Kanon that he felt he grasped the best, but noted it was very difficult to write her character due to Ayu being primarily energetic. After Hinoue drew wings on Ayu's backpack, Hisaya suggested that they remove them due to spoiler reasons, and while Hinoue went along with it at the time, the wings were later included once again.Yuichi Aizawa, the protagonist of Kanon, meets a lively seventeen-year-old Ayu on the day after he moves to the city depicted in the game. As the story progresses, Yuichi discovers that she is trying to find something she lost, but she cannot remember what it is; Yuichi tries to help her in her search, but with no initial success. One of her most defining characteristics is the repeated utterance of her catch phrase ""ugū"" (うぐぅ) which she mutters as an expression of various negative emotions such as frustration, anger, and fear. Her favorite food is taiyaki, and is seen eating the confection many times throughout Kanon.The main focus of both Kanon anime is Ayu, who has also appeared in all of Kanon's adaptations, and has been incorporated into numerous dōjin games. Ayu makes a cameo appearance in the second episode of the Air anime series along with Nayuki, and Makoto Sawatari from Kanon. Her voice actresses are Yui Horie in the Japanese versions of the visual novel and anime, and Brittney Karbowski in the English version of Kyoto Animation's Kanon anime, who also voiced Ayu during her cameo in Air. A leitmotif named ""Hidamari no Machi"" (日溜りの街, lit. ""A Sunny City"") is associated with Ayu which is played in Kanon numerous times during scenes which involve her, and is also used in a similar fashion throughout Kyoto Animation's Kanon anime. In a review by Anime News Network, Ayu is described as a character that ""persists on a degree of earnest cuteness that will endear her to some viewers.""",http://en.wikipedia.org/wiki/Ayu_Tsukimiya,//upload.wikimedia.org/wikipedia/en/f/f9/Ayu_Tsukimiya_Key.jpg
Hsien-Ko,Darkstalkers,"Hsien-Ko (Japanese: ヒシェンコー,Hepburn: Hishenkō?) ( Chinese : 何仙姑 ; pinyin : hé xiān gū ), known in Japan as Lei-Lei (レイレイ,Rei-Rei?), is a fictional character from Capcom s Darkstalkers fighting game franchise. She was introduced in Night Warriors: Darkstalkers' Revenge in 1995. Her character is based off vampires of Chinese folklore known as jiāngshī, into which she was transformed when she was magically merged with her twin sister Mei-Ling ( Chinese : 美玲 ; pinyin : měi líng ), known in Japan as Lin-Lin (リンリン,Rin-Rin?). Together, they fight to free the cursed spirit of their dead mother and to destroy the monsters preying on the people of China.",http://en.wikipedia.org/wiki/Hsien-Ko,//upload.wikimedia.org/wikipedia/en/thumb/0/00/Hsien-Ko_%28Darkstalkers%29.png/250px-Hsien-Ko_%28Darkstalkers%29.png
Sakura Kasugano,Street Fighter,"Sakura Kasugano (春日野 さくら, Kasugano Sakura) is a player character in the Street Fighter series of fighting games. She was introduced in the arcade version of Street Fighter Alpha 2 in 1996.Sakura is portrayed in the series as a young Japanese schoolgirl who idolizes Ryu, whom she wants to be trained by. The character has also appeared in several other Capcom and crossover games and was received positively by the critics and gamers alike.",http://en.wikipedia.org/wiki/Sakura_Kasugano,//upload.wikimedia.org/wikipedia/en/thumb/0/01/Sakura_Kasugano.png/235px-Sakura_Kasugano.png
Black Orchid (Killer Instinct),Killer Instinct,"Black Orchid (written as ""B. Orchid"" or just ""Orchid"" in the games) is a player character in the Killer Instinct fighting game series created by Rare. Introduced as the only female character in the original Killer Instinct in 1994, Orchid has appeared in every entry in the series to date. A mysterious spy and fighter, she is one of the de-facto protagonists of the series, along with her brother Jago, and is arguably the most famous and best received Killer Instinct character.",http://en.wikipedia.org/wiki/Black_Orchid_(Killer_Instinct),//upload.wikimedia.org/wikipedia/en/thumb/0/02/Orchid_%28Killer_Instinct%29.png/225px-Orchid_%28Killer_Instinct%29.png
Navi (The Legend of Zelda),The Legend of Zelda,"Navi (ナビィ, Nabi) (voice actress: Kaori Mizuhashi) is a fairy who is Link's ""navigator"" throughout The Legend of Zelda: Ocarina of Time.",http://en.wikipedia.org/wiki/Navi_(The_Legend_of_Zelda),//upload.wikimedia.org/wikipedia/en/thumb/0/04/Navi_%28The_Legend_of_Zelda%29.png/230px-Navi_%28The_Legend_of_Zelda%29.png
Sniper Wolf,Metal Gear,"Sniper Wolf (Japanese: スナイパー・ウルフ, Hepburn: Sunaipā Urufu') is a fictional character from Konami's Metal Gear series. Created by Hideo Kojima and designed by Yoji Shinkawa, she appears in the 1998 stealth game Metal Gear Solid (as well as its 2004 remake, Metal Gear Solid: The Twin Snakes) as one of the game bosses opposing the protagonist Solid Snake and his ally Meryl Silverburgh. The character is a ruthless and skilled sniper belonging to the renegade U.S. military special operations group FOXHOUND. ""Sniper Wolf"" is a nom de guerre pseudonym and her real name is undisclosed. She is of Iraqi Kurdish origin and her backstory is connected to the series' chief protagonist/antagonist character Big Boss, who had rescued her in Iraq when she was a child. Sniper Wolf is widely regarded as one of the most popular characters in this game as well as in the entire Metal Gear series, as well as one of the top female antagonists in all video gaming.",http://en.wikipedia.org/wiki/Sniper_Wolf,//upload.wikimedia.org/wikipedia/en/thumb/0/06/Sniper_Wolf.png/234px-Sniper_Wolf.png
Ivy Valentine,Soul,"Isabella Valentine (イザベラ・バレンタイン, Izabera Barentain), commonly called Ivy (アイヴィー, Aivī), is a fictional character in the Soul series of video games. Created by Namco's Project Soul division, she first appeared in the original Soulcalibur and its subsequent sequels, later appearing in various merchandise related to the series. She was voiced in Japanese by Yumi Tōma until replaced by Kanako Tōjo starting with Soulcalibur Legends; in English, she was voiced by Renee Hewitt in Soulcalibur II and Lani Minella for the remainder of the series.The illegitimate daughter of undead pirate Cervantes de Leon, Ivy was raised by a noble family until her father became obsessed with the cursed sword, Soul Edge, leading to his death and later her mother's. Desiring to destroy the sword, she creates a segmented, animated blade, only to become Soul Edge's pawn and learn that it intends to use her as its next host. After an attack by Cervantes results in the loss of her soul, Ivy uses a temporary artificial one to keep herself alive, and continues after the blade.Since her introduction, Ivy has been well received, considered both an attractive and strong female character by various sources, and called one of the most beautiful female characters in video games by sources such as IGN. She's also been featured on various top ten lists regarding either subject such as Spike TV and Team Xbox, as well as G4tv's Video Game Vixens. Scholastic studies have examined the character in the context of the series and video games in general, as well as when compared to other video game related sex symbols such as Lara Croft. Her role as a sex symbol has also been discussed by said sources and the media. Some, such as MSNBC, argue that her appearance goes ""too far"", while others such as The Escapist feel it helps to define her character.",http://en.wikipedia.org/wiki/Ivy_Valentine,//upload.wikimedia.org/wikipedia/en/thumb/0/0e/Ivy_Valentine.png/170px-Ivy_Valentine.png
Jade (Beyond Good & Evil),Beyond Good & Evil,"Jade is a fictional character and the main protagonist of the action-adventure video game Beyond Good & Evil. She is a photo-journalist, and was created by Ubisoft developer Michel Ancel, with the goal of creating a character resembling a real person, rather than a ""sexy action woman."" In Beyond Good & Evil, she and her ally Pey'j, a half-pig half-human, work together to both rescue orphans they were taking care of and expose governmental corruption.Since appearing in Beyond Good & Evil, Jade has been met with very a positive reception and has been included on several lists of top female video game characters. She has been compared to other such characters, including Alyx Vance from Half-Life 2, Kendra Midori from the Avatar video game, and others.",http://en.wikipedia.org/wiki/Jade_(Beyond_Good_%26_Evil),//upload.wikimedia.org/wikipedia/en/thumb/1/17/Jade-Beyond_Good_%26_Evil.png/250px-Jade-Beyond_Good_%26_Evil.png
Jun Kazama (character),Tekken,"Jun Kazama (風間 準,Kazama Jun?) is a fictional character from the Tekken fighting game series, who has made her debut in Tekken 2, her only canonical appearance to date. Following an ambiguous relationship with Kazuya Mishima, she became the mother of Jin Kazama, both of whom are main characters in the series. She is also related to Asuka Kazama and her father.",http://en.wikipedia.org/wiki/Jun_Kazama,//upload.wikimedia.org/wikipedia/en/thumb/2/20/Jun_Kazama_%28TTT2%29.png/175px-Jun_Kazama_%28TTT2%29.png
Makoto (Street Fighter),Street Fighter,"Makoto (まこと, Makoto) is a fictional character from the Street Fighter fighting game series, where she is a young fighter from Tosa and a Rindōkan Karate master from Japan. She first appeared in Street Fighter III: 3rd Strike, returning in Super Street Fighter IV. Since her introduction, Makoto has been received generally positively.Makoto wears a white dougi and a yellow hachimaki around her neck, intended to demonstrate her speed and trajectory. Voiced by Makoto Tsumura in Japanese, Makoto speaks in Tosa dialect, which was accomplished by the development team hiring a professional to supervise the sound development. In 3rd Strike, her father Masaru (マサル) was the former master of the Rindōkan karate dojo. However, after his death, attendance dwindled, and with her brother pursuing a career in business, she is forced to increase the dojo's popularity.",http://en.wikipedia.org/wiki/Makoto_(Street_Fighter),//upload.wikimedia.org/wikipedia/en/thumb/2/20/Makoto.png/250px-Makoto.png
Samus Aran,Metroid,"Samus Aran (Japanese: サムス・アラン, Hepburn: Samusu Aran) is a fictional character and the protagonist of the Metroid science fiction action game series by Nintendo.Introduced in the 1986 video game Metroid, Samus Aran is an ex-Galactic Federation soldier who turned into an intergalactic bounty hunter, usually fitted with a powered armor suit with weapons that include directed energy weapons and missiles. Throughout the series, she executes missions given to her by the Galactic Federation while hunting the antagonistic Space Pirates and their leader, Ridley, along with the parasitic energy-draining organisms called Metroids. Samus has appeared in all Metroid video games and has also been featured in media outside of the series, including the comic book version of Captain N: The Game Master and the Super Smash Bros. series.She is well known as one of the earliest female protagonists in video game history and remains a popular character over a quarter-century after her first appearance.",http://en.wikipedia.org/wiki/Samus_Aran,//upload.wikimedia.org/wikipedia/en/thumb/2/21/Metroidprime3_1.png/225px-Metroidprime3_1.png
Sophitia Alexandra,Soul,"Sophitia Alexandra (ソフィーティア・アレクサンドル,Sofītia Arekusandoru?, Greek: Σοφιτια Αλεξανδρα), better known as just Sophitia, is a fictional character in the Soul series of video games. Created by Namco s Project Soul division, she first appeared in Soul Edge and its subsequent sequels, as well as appearing in various merchandise related to the series.",http://en.wikipedia.org/wiki/Sophitia,//upload.wikimedia.org/wikipedia/en/thumb/2/23/Sophitia.png/225px-Sophitia.png
Terra Branford (Final Fantasy),Final Fantasy,"Terra Branford, known as Tina Branford (ティナ・ブランフォード,Tina Buranfōdo?) in Japanese media, is a character in the Final Fantasy series of role-playing video games published by Square Enix. Designed by Yoshitaka Amano and Tetsuya Nomura for the main series installment Final Fantasy VI, she also appeared in the spin-off fighting games Dissidia Final Fantasy and Dissidia 012 Final Fantasy, and made small appearances in several other games in and outside the Final Fantasy series.",http://en.wikipedia.org/wiki/Terra_Branford,//upload.wikimedia.org/wikipedia/en/thumb/2/23/Terra_Branford_N.png/225px-Terra_Branford_N.png
Alyx Vance,Half-Life,"Alyx Vance is a non-player character in Valve's 2004 first-person shooter video game Half-Life 2, and its following episodes: Half-Life 2: Episode One and Half-Life 2: Episode Two. Alyx is portrayed as a young woman in her mid-twenties of Afro-Asian descent, and is a prominent figure in the human resistance against the rule of the alien race called the Combine and their human representative, Dr. Breen. She is a close friend and ally of the player's character, Gordon Freeman.",http://en.wikipedia.org/wiki/Alyx_Vance,//upload.wikimedia.org/wikipedia/en/thumb/2/2b/Alyx_Vance.png/240px-Alyx_Vance.png
I-No,Guilty Gear,"I-No (Japanese: イノ, Hepburn: Ino) is a fictional character in Arc System Works's Guilty Gear video game series. She first appeared in the 2002 video game Guilty Gear X2 as a boss. In the series, I-No is a servant of That Man—the series' main antagonist. She fights with an electric guitar, and she also wears a pointed witch's hat that can fire projectiles.Video game reviewers have commented on her sex appeal, with some of them also remarking her winning pose as well as her clothes and electric guitar. Her fighting abilities and the difficulty to defeat her as a boss have also been noted by the critics.",http://en.wikipedia.org/wiki/I-No,//upload.wikimedia.org/wikipedia/en/thumb/2/2f/I_No_Guilty_Gear.png/200px-I_No_Guilty_Gear.png
Rebecca Chambers,Resident Evil,"Rebecca Chambers (レベッカ・チェンバース, Rebekka Chenbāsu) is a fictional character in the Resident Evil horror video game franchise by Capcom. She was introduced as a supporting character in the original Resident Evil in 1996 and became the main protagonist of the prequel game Resident Evil Zero in 2003. In the first Resident Evil, Rebecca is a young officer with the fictitious Special Tactics And Rescue Service police unit and is trapped in a zombie-infested mansion. Zero depicts the events before that ordeal, during which she is separated from her team and forced to partner with escaped convict Billy Coen to survive similar circumstances. Both stories were revisited and expanded upon in Resident Evil: The Umbrella Chronicles with a scenario set in between. Rebecca appears in several other games and is one of the heroes of the Resident Evil novel series that includes novelizations of earlier series materials as well as original stories.",http://en.wikipedia.org/wiki/Rebecca_Chambers_(character),//upload.wikimedia.org/wikipedia/en/thumb/3/31/Rebecca_Chambers_Resident_Evil_0.png/220px-Rebecca_Chambers_Resident_Evil_0.png
Madison Paige,Heavy Rain,"Madison Paige is a fictional character in the 2010 video game Heavy Rain. Within Heavy Rain, she is presented as a female photographer and journalist who suffers from chronic insomnia. She is one of four played protagonists in the game, and begins investigating the ""Origami Killer"", a serial killer who targets children and drowns them in rainwater. At certain points she may be killed and eliminated from play.Judi Beecher serves as her voice actress and facial motion capture, while the character is modelled after Jacqui Ainsley who also provides the motion capture for her body. In addition to the main game, the character is also the star of the downloadable prequel The Taxidermist, wherein she is instead voiced by Barbara Scaff.The character has received a generally positive reception, with Game Informer's Megan Marie praising her character design as well as appearing on ""top character"" lists. Criticism fell on her shower scene, forced strip-tease, and possible sex scene with Ethan Mars (another of the game's protagonists), in the last case for looking unrealistic. The strip-tease scene was defended by Heavy Rain lead writer David Cage, who believed it succeeded in making the player ""uncomfortable"". IGN's Mike Thomsen voiced concern over her heavy sexualization.",http://en.wikipedia.org/wiki/Madison_Paige,//upload.wikimedia.org/wikipedia/en/thumb/3/35/Madison_Paige.png/220px-Madison_Paige.png
Elena (Street Fighter),Street Fighter,"Elena (エレナ, Erena) is a fictional character in the Street Fighter fighting game series. She first appeared in Street Fighter III: New Generation, and appeared in several revisions of it, including Street Fighter III: 2nd Impact, and Street Fighter III: 3rd Strike. She is a member of a small tribe from the African savannah and is an expert in the fighting style of capoeira which entails only the use of one's legs to fight.",http://en.wikipedia.org/wiki/Elena_(Street_Fighter),//upload.wikimedia.org/wikipedia/en/thumb/3/37/Elena_Street_Fighter.png/210px-Elena_Street_Fighter.png
