Id,Game,Series,Country,Details,Ban Category,Ban Status,Wikipedia Profile,Image,Summary,Developer,Publisher,Genre,Homepage
EA Sports MMA - Denmark,EA Sports MMA,EA Sports,Denmark,"This game was not released in Denmark because of a law prohibiting marketing for energy drinks, which EA chose not to remove from the game.",Marketing of Illegal Products,Active,https://en.wikipedia.org/wiki/EA_Sports_MMA,//upload.wikimedia.org/wikipedia/en/thumb/1/15/EA_Sports_MMA_%28game_box_art%29.png/256px-EA_Sports_MMA_%28game_box_art%29.png,"EA Sports MMA is a fighting video game which was published by EA Sports and developed by EA Tiburon from 2008 to 2010. It was released for the PlayStation 3 and Xbox 360 on October 19, 2010 in North America and October 22, 2010 everywhere else. Online services have been shut down since April 13, 2012 for the PlayStation 3 and Xbox 360.",Electronic Arts,Electronic Arts,Sports,http://mma.easports.com/home.action
EverQuest - Brazil,EverQuest,EverQuest,Brazil,Banned because of X18+ references.,,Active,https://en.wikipedia.org/wiki/EverQuest,//upload.wikimedia.org/wikipedia/en/d/d2/EverQuest_Coverart.png,"EverQuest is a 3D fantasy-themed massively multiplayer online role-playing game (MMORPG) that was released on March 16, 1999. The original design is credited to Brad McQuaid, Steve Clover, and Bill Trost. It was developed by Sony's 989 Studios and its early-1999 spin-off Verant Interactive, and published by Sony Online Entertainment (SOE).Since its acquisition of Verant in late 1999, SOE develops, runs, and distributes EverQuest. EverQuest's development is ongoing, and the twentieth expansion, Call of the Forsaken, launched October 8, 2013. Additional subscription options of EverQuest, free-to-play Bronze Level, and a one-time fee Silver Level, were made available in March 2012.EverQuest has earned numerous awards, including 1999 GameSpot Game of the Year and a 2007 Technology & Engineering Emmy Award.",Sony Online Entertainment,Sony,Role-playing,http://www.everquest.com
Fallout IV: New Vegas - United Arab Emirates,Fallout IV: New Vegas,Fallout,United Arab Emirates,Banned likely due to gambling and sexual themes.,Gambling|Sex and Nudity,Active,https://en.wikipedia.org/wiki/Fallout:_New_Vegas,//upload.wikimedia.org/wikipedia/en/3/34/Fallout_New_Vegas.jpg,"Fallout: New Vegas is an action role-playing video game in the Fallout video game series. The game was developed by Obsidian Entertainment and published in October 2010 by Bethesda Softworks for Microsoft Windows, PlayStation 3 and Xbox 360. Downloadable content and expanded re-editions followed in 2010-2012.The game is based in a post-apocalyptic, open world environment around the area of Nevada, California, and Arizona. The player takes control of the character known as the Courier, who is hired by a delivery service to take an unknown package across the Mojave Desert to Las Vegas Strip but is intercepted, shot in the head, and left for dead by a mysterious man who steals the package. After being found by a friendly local robot, Victor, and healed by a man named Doc Mitchell, the Courier is thrust back into the desert to seek revenge and recover the stolen package. By doing this, the player becomes caught between various factions competing for control over the desert and its most valuable asset, the Hoover Dam, ultimately coming to shape the future of its inhabitants.Even though it directly succeeds Fallout 3 in order of Fallout game releases, offers a similar action role-playing experience, and shares its engine and some legacy content with Fallout 3, New Vegas is not a direct sequel. It marks the return of some elements found in Fallout 2. The game was a critical and commercial success, shipping more than five million copies altogether.",Obsidian Entertainment,Bethesda Softworks|Namco Bandai Games,Action|Role-playing,http://fallout.bethsoft.com/eng/games/fnv-overview.html
Football Manager 2005 - China,Football Manager 2005,Football Manager,China,Banned for recognizing Tibet as an independent country. An edited version globally was later released.,Ideological and/or Religious Reasons,Censored Version Released,https://en.wikipedia.org/wiki/Football_Manager_2005,//upload.wikimedia.org/wikipedia/en/thumb/2/2a/Fm2005cover.jpg/256px-Fm2005cover.jpg,"Football Manager 2005 is a game in the Football Manager computer game series. It was developed by Sports Interactive and released on November 5, 2004, published by Sega.On the 12th February 2004, after splitting from publishers Eidos Interactive it was announced that Sports Interactive, producers of the Championship Manager game, had acquired the brand and would henceforth release their games under the ""Football Manager"" name, whilst the Championship Manager series will go on, but no longer be related to Sports Interactive.Commonly known as ""FM 2005"", it competed directly with Championship Manager 5 the severely delayed, and widely slated effort from Eidos-funded Beautiful Game Studios.Football Manager 2005 included an updated user interface, a refined game engine, updated database and competition rules, pre and post-match information, international player news, cup summary news, 2D clips from agents, coach reports on squads, job centre for non-playing positions, mutual contract termination, enhanced player loan options, manager ""mind games"" and various other features.Football Manager 2005 was released in the UK on November 4, 2004 - closely followed by releases in many other countries around the world - and it became the 5th fastest selling PC game of all time (according to Eurogamer). The Macintosh version of the game comes on the same dual format disk as the PC version, so its sales are also included.",Sports Interactive,Sega,Sports|Simulation,http://www.footballmanager.net
God of War (series) - Saudi Arabia,God of War (series),God of War,Saudi Arabia,"Banned due to the presence of interactive sex scenes, partial nudity and sexual themes as well as the word ""God"" in the title.",Sex and Nudity|Ideological and/or Religious Reasons,Active,https://en.wikipedia.org/wiki/God_of_War_(series),//upload.wikimedia.org/wikipedia/en/thumb/5/56/God_of_War_logo.png/220px-God_of_War_logo.png,"God of War is an action-adventure video game series loosely based on Greek mythology. Debuting in 2005, the series has become a flagship title for the PlayStation brand, consisting of seven games across multiple platforms. The main trilogy and its prequel—God of War I, II, III, and Ascension—were developed by Sony's Santa Monica Studio and published by Sony Computer Entertainment (SCE) for the PlayStation 2 (PS2) and PlayStation 3 (PS3) video game consoles. Ready at Dawn developed the PlayStation Portable (PSP) installments—Chains of Olympus and Ghost of Sparta—which were also published by Sony Computer Entertainment. Capcom published both PS2 installments and Chains of Olympus in Japan. The mobile phone Java ME installment—Betrayal—was developed by Javaground and Sony Online Entertainment's Los Angeles division, and published by Sony Pictures Digital.In addition to the individual games, two collections featuring remastered versions of both PS2 installments—God of War Collection—and both PSP installments—God of War: Origins Collection—have been released on the PS3 by Bluepoint Games and Ready at Dawn, respectively. Another collection—God of War Saga—was released on August 28, 2012, for the PS3 and features God of War I, II, III, Chains of Olympus, and Ghost of Sparta. With the exception of the mobile phone game, God of War: Betrayal, every installment in the series has been released on the PlayStation 3 and each main installment was released in the month of March. As of June 2012, the series has sold more than 21 million copies worldwide.The series has also expanded into a franchise and now includes other media, including a comic book series—God of War (2010–11)—and two novels—God of War (2010) and God of War II (2013). A film adaptation of the original installment has been in development since 2005. Merchandise promoting the series has also been produced, including artwork, clothing, and toys.The central character of the series is Kratos, a Spartan warrior tricked into killing his wife and child by his former master, the God of War Ares. Kratos eventually kills Ares at the behest of the goddess Athena and takes his place as the new God of War, but is still haunted by the nightmares of his past. Kratos is eventually betrayed by Zeus, the King of the Olympian Gods. Revealed to be a demigod and the son of Zeus, Kratos now seeks revenge against the gods for their machinations. What follows is a series of attempts to free himself from the influence of the gods and the Titans and exact revenge. Each game chapter forms part of a saga with vengeance as a central theme.",Bluepoint|Ready at Dawn|SCE Santa Monica Studio|Javaground/SOE-LA,Sony|Capcom|Sony,Music,http://www.godofwar.com
God of War (series) - United Arab Emirates,God of War (series),God of War,United Arab Emirates,"Banned likely due to high impact of violence, gore, and cruelty.",Graphic Violence and Cruelty,Active,https://en.wikipedia.org/wiki/God_of_War_(series),//upload.wikimedia.org/wikipedia/en/thumb/5/56/God_of_War_logo.png/220px-God_of_War_logo.png,"God of War is an action-adventure video game series loosely based on Greek mythology. Debuting in 2005, the series has become a flagship title for the PlayStation brand, consisting of seven games across multiple platforms. The main trilogy and its prequel—God of War I, II, III, and Ascension—were developed by Sony's Santa Monica Studio and published by Sony Computer Entertainment (SCE) for the PlayStation 2 (PS2) and PlayStation 3 (PS3) video game consoles. Ready at Dawn developed the PlayStation Portable (PSP) installments—Chains of Olympus and Ghost of Sparta—which were also published by Sony Computer Entertainment. Capcom published both PS2 installments and Chains of Olympus in Japan. The mobile phone Java ME installment—Betrayal—was developed by Javaground and Sony Online Entertainment's Los Angeles division, and published by Sony Pictures Digital.In addition to the individual games, two collections featuring remastered versions of both PS2 installments—God of War Collection—and both PSP installments—God of War: Origins Collection—have been released on the PS3 by Bluepoint Games and Ready at Dawn, respectively. Another collection—God of War Saga—was released on August 28, 2012, for the PS3 and features God of War I, II, III, Chains of Olympus, and Ghost of Sparta. With the exception of the mobile phone game, God of War: Betrayal, every installment in the series has been released on the PlayStation 3 and each main installment was released in the month of March. As of June 2012, the series has sold more than 21 million copies worldwide.The series has also expanded into a franchise and now includes other media, including a comic book series—God of War (2010–11)—and two novels—God of War (2010) and God of War II (2013). A film adaptation of the original installment has been in development since 2005. Merchandise promoting the series has also been produced, including artwork, clothing, and toys.The central character of the series is Kratos, a Spartan warrior tricked into killing his wife and child by his former master, the God of War Ares. Kratos eventually kills Ares at the behest of the goddess Athena and takes his place as the new God of War, but is still haunted by the nightmares of his past. Kratos is eventually betrayed by Zeus, the King of the Olympian Gods. Revealed to be a demigod and the son of Zeus, Kratos now seeks revenge against the gods for their machinations. What follows is a series of attempts to free himself from the influence of the gods and the Titans and exact revenge. Each game chapter forms part of a saga with vengeance as a central theme.",Bluepoint|Ready at Dawn|SCE Santa Monica Studio|Javaground/SOE-LA,Sony|Capcom|Sony,Music,http://www.godofwar.com
Grand Theft Auto (series) - Brazil,Grand Theft Auto (series),Grand Teft Auto,Brazil,"Was banned because of high impact violence. This is only to the original GTA, and is no longer banned (save for the music-related Barueri ban of Episodes from Liberty City)",Graphic Violence and Cruelty,Ban Lifted,https://en.wikipedia.org/wiki/Grand_Theft_Auto_(series),//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Grand_Theft_Auto_logo_series.svg/250px-Grand_Theft_Auto_logo_series.svg.png,"Grand Theft Auto is a video game series created by David Jones and Mike Dailly then later by brothers Dan and Sam Houser, and game designer Zachary Clarke. It is primarily developed by British video game developer Rockstar North (formerly DMA Design), and published by Rockstar Games. The name of the series is derived from a term referring to motor vehicle theft.Most games in the series are set in fictional locales modeled on American cities, usually either Liberty City, Vice City, or San Andreas, which are stand-ins for New York City, Miami, and Southern California, respectively. The first 2D titles encompassed three fictional cities, while 3D and HD titles tend to emphasize a single city and its outlying areas. Gameplay focuses on an open world where the player can choose missions to progress an overall story, as well as engaging in side activities, all consisting of action-adventure, driving, third-person shooting, occasional role-playing, stealth, and racing elements. The series has gained controversy for its adult nature and violent themes. The series focuses around many different protagonists who attempt to rise through the ranks of the criminal underworld, although their motives for doing so vary in each game. The antagonists are commonly characters who have betrayed the protagonist or his organisation, or characters who have the most impact impeding the protagonist's progress.Video game developer DMA Design began the series in 1997; as of 2014 it has eleven stand-alone games and four expansion packs. The third chronological title, Grand Theft Auto III, was widely acclaimed, as it brought the series to a 3D setting and more immersive experience, and is considered a landmark title that has subsequently influenced many other open world action games and led to the label ""Grand Theft Auto clone"" on similar games. Subsequent titles would follow and build upon the concept established in Grand Theft Auto III. Film and music veterans have voiced characters, including Ray Liotta, Burt Reynolds, Dennis Hopper, Samuel L. Jackson, Debbie Harry, Phil Collins, Axl Rose, and Peter Fonda. The series has been critically acclaimed and commercially successful, having sold more than 150 million units, as of September 2013.",Rockstar,Rockstar Games|Capcom,Crime|Open world|Role-playing|Action|Adventure,http://www.rockstargames.com/grandtheftauto/
Grand Theft Auto (series) - Malaysia,Grand Theft Auto (series),Grand Teft Auto,Malaysia,,,Active,https://en.wikipedia.org/wiki/Grand_Theft_Auto_(series),//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Grand_Theft_Auto_logo_series.svg/250px-Grand_Theft_Auto_logo_series.svg.png,"Grand Theft Auto is a video game series created by David Jones and Mike Dailly then later by brothers Dan and Sam Houser, and game designer Zachary Clarke. It is primarily developed by British video game developer Rockstar North (formerly DMA Design), and published by Rockstar Games. The name of the series is derived from a term referring to motor vehicle theft.Most games in the series are set in fictional locales modeled on American cities, usually either Liberty City, Vice City, or San Andreas, which are stand-ins for New York City, Miami, and Southern California, respectively. The first 2D titles encompassed three fictional cities, while 3D and HD titles tend to emphasize a single city and its outlying areas. Gameplay focuses on an open world where the player can choose missions to progress an overall story, as well as engaging in side activities, all consisting of action-adventure, driving, third-person shooting, occasional role-playing, stealth, and racing elements. The series has gained controversy for its adult nature and violent themes. The series focuses around many different protagonists who attempt to rise through the ranks of the criminal underworld, although their motives for doing so vary in each game. The antagonists are commonly characters who have betrayed the protagonist or his organisation, or characters who have the most impact impeding the protagonist's progress.Video game developer DMA Design began the series in 1997; as of 2014 it has eleven stand-alone games and four expansion packs. The third chronological title, Grand Theft Auto III, was widely acclaimed, as it brought the series to a 3D setting and more immersive experience, and is considered a landmark title that has subsequently influenced many other open world action games and led to the label ""Grand Theft Auto clone"" on similar games. Subsequent titles would follow and build upon the concept established in Grand Theft Auto III. Film and music veterans have voiced characters, including Ray Liotta, Burt Reynolds, Dennis Hopper, Samuel L. Jackson, Debbie Harry, Phil Collins, Axl Rose, and Peter Fonda. The series has been critically acclaimed and commercially successful, having sold more than 150 million units, as of September 2013.",Rockstar,Rockstar Games|Capcom,Crime|Open world|Role-playing|Action|Adventure,http://www.rockstargames.com/grandtheftauto/
Grand Theft Auto (series) - Saudi Arabia,Grand Theft Auto (series),Grand Teft Auto,Saudi Arabia,"Partial ban, available in stores for about $100",,Partial Ban,https://en.wikipedia.org/wiki/Grand_Theft_Auto_(series),//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Grand_Theft_Auto_logo_series.svg/250px-Grand_Theft_Auto_logo_series.svg.png,"Grand Theft Auto is a video game series created by David Jones and Mike Dailly then later by brothers Dan and Sam Houser, and game designer Zachary Clarke. It is primarily developed by British video game developer Rockstar North (formerly DMA Design), and published by Rockstar Games. The name of the series is derived from a term referring to motor vehicle theft.Most games in the series are set in fictional locales modeled on American cities, usually either Liberty City, Vice City, or San Andreas, which are stand-ins for New York City, Miami, and Southern California, respectively. The first 2D titles encompassed three fictional cities, while 3D and HD titles tend to emphasize a single city and its outlying areas. Gameplay focuses on an open world where the player can choose missions to progress an overall story, as well as engaging in side activities, all consisting of action-adventure, driving, third-person shooting, occasional role-playing, stealth, and racing elements. The series has gained controversy for its adult nature and violent themes. The series focuses around many different protagonists who attempt to rise through the ranks of the criminal underworld, although their motives for doing so vary in each game. The antagonists are commonly characters who have betrayed the protagonist or his organisation, or characters who have the most impact impeding the protagonist's progress.Video game developer DMA Design began the series in 1997; as of 2014 it has eleven stand-alone games and four expansion packs. The third chronological title, Grand Theft Auto III, was widely acclaimed, as it brought the series to a 3D setting and more immersive experience, and is considered a landmark title that has subsequently influenced many other open world action games and led to the label ""Grand Theft Auto clone"" on similar games. Subsequent titles would follow and build upon the concept established in Grand Theft Auto III. Film and music veterans have voiced characters, including Ray Liotta, Burt Reynolds, Dennis Hopper, Samuel L. Jackson, Debbie Harry, Phil Collins, Axl Rose, and Peter Fonda. The series has been critically acclaimed and commercially successful, having sold more than 150 million units, as of September 2013.",Rockstar,Rockstar Games|Capcom,Crime|Open world|Role-playing|Action|Adventure,http://www.rockstargames.com/grandtheftauto/
Grand Theft Auto (series) on PC - Saudi Arabia,Grand Theft Auto (series) on PC,Grand Teft Auto,Saudi Arabia,"Only GTA V is available on Steam , to be released on March 2015 .",,Active,https://en.wikipedia.org/wiki/Grand_Theft_Auto_(series),//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Grand_Theft_Auto_logo_series.svg/250px-Grand_Theft_Auto_logo_series.svg.png,"Grand Theft Auto is a video game series created by David Jones and Mike Dailly then later by brothers Dan and Sam Houser, and game designer Zachary Clarke. It is primarily developed by British video game developer Rockstar North (formerly DMA Design), and published by Rockstar Games. The name of the series is derived from a term referring to motor vehicle theft.Most games in the series are set in fictional locales modeled on American cities, usually either Liberty City, Vice City, or San Andreas, which are stand-ins for New York City, Miami, and Southern California, respectively. The first 2D titles encompassed three fictional cities, while 3D and HD titles tend to emphasize a single city and its outlying areas. Gameplay focuses on an open world where the player can choose missions to progress an overall story, as well as engaging in side activities, all consisting of action-adventure, driving, third-person shooting, occasional role-playing, stealth, and racing elements. The series has gained controversy for its adult nature and violent themes. The series focuses around many different protagonists who attempt to rise through the ranks of the criminal underworld, although their motives for doing so vary in each game. The antagonists are commonly characters who have betrayed the protagonist or his organisation, or characters who have the most impact impeding the protagonist's progress.Video game developer DMA Design began the series in 1997; as of 2014 it has eleven stand-alone games and four expansion packs. The third chronological title, Grand Theft Auto III, was widely acclaimed, as it brought the series to a 3D setting and more immersive experience, and is considered a landmark title that has subsequently influenced many other open world action games and led to the label ""Grand Theft Auto clone"" on similar games. Subsequent titles would follow and build upon the concept established in Grand Theft Auto III. Film and music veterans have voiced characters, including Ray Liotta, Burt Reynolds, Dennis Hopper, Samuel L. Jackson, Debbie Harry, Phil Collins, Axl Rose, and Peter Fonda. The series has been critically acclaimed and commercially successful, having sold more than 150 million units, as of September 2013.",Rockstar,Rockstar Games|Capcom,Crime|Open world|Role-playing|Action|Adventure,http://www.rockstargames.com/grandtheftauto/
Grand Theft Auto (series) - Thailand,Grand Theft Auto (series),Grand Teft Auto,Thailand,because of an 18-year old Thai player who killed a taxi-driver similar to the gameplay in GTA,Graphic Violence and Cruelty,Active,https://en.wikipedia.org/wiki/Grand_Theft_Auto_(series),//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Grand_Theft_Auto_logo_series.svg/250px-Grand_Theft_Auto_logo_series.svg.png,"Grand Theft Auto is a video game series created by David Jones and Mike Dailly then later by brothers Dan and Sam Houser, and game designer Zachary Clarke. It is primarily developed by British video game developer Rockstar North (formerly DMA Design), and published by Rockstar Games. The name of the series is derived from a term referring to motor vehicle theft.Most games in the series are set in fictional locales modeled on American cities, usually either Liberty City, Vice City, or San Andreas, which are stand-ins for New York City, Miami, and Southern California, respectively. The first 2D titles encompassed three fictional cities, while 3D and HD titles tend to emphasize a single city and its outlying areas. Gameplay focuses on an open world where the player can choose missions to progress an overall story, as well as engaging in side activities, all consisting of action-adventure, driving, third-person shooting, occasional role-playing, stealth, and racing elements. The series has gained controversy for its adult nature and violent themes. The series focuses around many different protagonists who attempt to rise through the ranks of the criminal underworld, although their motives for doing so vary in each game. The antagonists are commonly characters who have betrayed the protagonist or his organisation, or characters who have the most impact impeding the protagonist's progress.Video game developer DMA Design began the series in 1997; as of 2014 it has eleven stand-alone games and four expansion packs. The third chronological title, Grand Theft Auto III, was widely acclaimed, as it brought the series to a 3D setting and more immersive experience, and is considered a landmark title that has subsequently influenced many other open world action games and led to the label ""Grand Theft Auto clone"" on similar games. Subsequent titles would follow and build upon the concept established in Grand Theft Auto III. Film and music veterans have voiced characters, including Ray Liotta, Burt Reynolds, Dennis Hopper, Samuel L. Jackson, Debbie Harry, Phil Collins, Axl Rose, and Peter Fonda. The series has been critically acclaimed and commercially successful, having sold more than 150 million units, as of September 2013.",Rockstar,Rockstar Games|Capcom,Crime|Open world|Role-playing|Action|Adventure,http://www.rockstargames.com/grandtheftauto/
Grand Theft Auto (series) - United Arab Emirates,Grand Theft Auto (series),Grand Teft Auto,United Arab Emirates,"Banned likely due to high impact of violence and cruelty. Prior to Vice City, earlier titles were sold normally.",Graphic Violence and Cruelty,Active,https://en.wikipedia.org/wiki/Grand_Theft_Auto_(series),//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Grand_Theft_Auto_logo_series.svg/250px-Grand_Theft_Auto_logo_series.svg.png,"Grand Theft Auto is a video game series created by David Jones and Mike Dailly then later by brothers Dan and Sam Houser, and game designer Zachary Clarke. It is primarily developed by British video game developer Rockstar North (formerly DMA Design), and published by Rockstar Games. The name of the series is derived from a term referring to motor vehicle theft.Most games in the series are set in fictional locales modeled on American cities, usually either Liberty City, Vice City, or San Andreas, which are stand-ins for New York City, Miami, and Southern California, respectively. The first 2D titles encompassed three fictional cities, while 3D and HD titles tend to emphasize a single city and its outlying areas. Gameplay focuses on an open world where the player can choose missions to progress an overall story, as well as engaging in side activities, all consisting of action-adventure, driving, third-person shooting, occasional role-playing, stealth, and racing elements. The series has gained controversy for its adult nature and violent themes. The series focuses around many different protagonists who attempt to rise through the ranks of the criminal underworld, although their motives for doing so vary in each game. The antagonists are commonly characters who have betrayed the protagonist or his organisation, or characters who have the most impact impeding the protagonist's progress.Video game developer DMA Design began the series in 1997; as of 2014 it has eleven stand-alone games and four expansion packs. The third chronological title, Grand Theft Auto III, was widely acclaimed, as it brought the series to a 3D setting and more immersive experience, and is considered a landmark title that has subsequently influenced many other open world action games and led to the label ""Grand Theft Auto clone"" on similar games. Subsequent titles would follow and build upon the concept established in Grand Theft Auto III. Film and music veterans have voiced characters, including Ray Liotta, Burt Reynolds, Dennis Hopper, Samuel L. Jackson, Debbie Harry, Phil Collins, Axl Rose, and Peter Fonda. The series has been critically acclaimed and commercially successful, having sold more than 150 million units, as of September 2013.",Rockstar,Rockstar Games|Capcom,Crime|Open world|Role-playing|Action|Adventure,http://www.rockstargames.com/grandtheftauto/
Grand Theft Auto III - South Korea,Grand Theft Auto III,Grand Teft Auto,South Korea,Banned by the KMRB because of violence and cruelty. Later lifted by the GRB.,Graphic Violence and Cruelty,Ban Lifted,https://en.wikipedia.org/wiki/Grand_Theft_Auto_III,//upload.wikimedia.org/wikipedia/en/thumb/b/be/GTA3boxcover.jpg/250px-GTA3boxcover.jpg,"Grand Theft Auto III is an open world action-adventure video game developed by DMA Design and published by Rockstar Games. It was released on 21 October 2001 for the PlayStation 2 console, on 20 May 2002 for Microsoft Windows, and on 31 October 2003 for the Xbox console. It is the fifth title in the Grand Theft Auto series, and the first main entry since Grand Theft Auto 2 in 1999.Grand Theft Auto III is played from a third-person perspective in an open world environment, allowing the player to interact with the game world at their leisure. The game is set within the fictional city of Liberty City, which is heavily based on New York City. The single-player story follows Claude, a bank robber who is left for dead by his girlfriend, and quickly becomes entangled in a world of gangs, crime, and corruption.Upon its release, the game was acclaimed by many reviewers who praised its concept and gameplay, which was coupled with the use of a 3D game engine for the first time in the series. It became the best-selling video game of 2001, and has sold over 17 million copies as of 2011. The game is cited as a landmark in video games for its far-reaching influence within the industry. The success of Grand Theft Auto III was a significant factor in the series' subsequent popularity; as of 2008, five prequels set before the events of Grand Theft Auto III have been released, particularly Grand Theft Auto: Liberty City Stories which revisits the Liberty City setting just three years prior. Grand Theft Auto III's violent and sexual content has also been the source of public concern and controversy.Its successor, Grand Theft Auto: Vice City, was released on 22 October 2002, and also received critical acclaim. In December 2011, in celebration of the game's tenth anniversary, a mobile version of Grand Theft Auto III was released for iOS and Android. The game has also been ported to various other platforms and services, such as Mac OS X and the PlayStation Network.",DMA Design,Rockstar Games,Action|Adventure,http://www.rockstargames.com/grandtheftauto3/
Grand Theft Auto V - Saudi Arabia,Grand Theft Auto V,Grand Teft Auto,Saudi Arabia,"Partial ban, available in stores for about $100",,Partial Ban,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,//upload.wikimedia.org/wikipedia/en/a/a5/Grand_Theft_Auto_V.png,"Grand Theft Auto V is an open world, action-adventure video game developed by Rockstar North and published by Rockstar Games. It was released on 17 September 2013 for the PlayStation 3 and Xbox 360. The game is the first main entry in the Grand Theft Auto series since Grand Theft Auto IV was released in 2008. Set within the fictional state of San Andreas, based on Southern California, the single-player story follows three criminals and their efforts to perform a number of heists while under pressure from a government agency. The open world design lets players freely roam San Andreas, which includes open countryside and the fictional city of Los Santos, based on Los Angeles.The game is played from a third-person perspective and its world is navigated on-foot or by vehicle. Players control the three lead protagonists throughout the single-player mode, switching between them both during and outside of missions. The story is framed by the heist sequences, and many of the missions have shooting and driving gameplay. The player character's criminal activities may incite a response from law enforcement agencies, measured by a ""wanted"" system that governs the aggression of their response. Grand Theft Auto Online, the online multiplayer mode, lets up to 16 players explore the open world and engage in cooperative or competitive game matches.Development began in 2009, soon after the release of Grand Theft Auto IV. The development team envisioned Grand Theft Auto V as a spiritual successor to many of their previous projects, such as Red Dead Redemption and Max Payne 3. The game's use of three lead protagonists is a break from series tradition—a design choice from the developers to innovate on the core structure of its predecessors. As part of their research for the open world, the developers conducted field research around California throughout development and captured footage for the design team. Development duties were shared between many of Rockstar's studios worldwide.As one of the last titles to be released for the seventh generation of video game consoles, Grand Theft Auto V was widely anticipated preceding its release. At release, it was acclaimed by many reviewers, with praise particularly directed at the multiple protagonist design and open-ended gameplay. Critics were polarised by a scene depicting torture and the game's treatment of women. Some labelled the game inherently violent and misogynistic. Grand Theft Auto V broke industry sales records and became the fastest-selling entertainment product in history, earning US$800 million in its first day and US$1 billion in its first three days. It won year-end accolades, including Game of the Year awards from several gaming publications.",Rockstar,Rockstar Games,Action|Adventure,http://www.rockstargames.com/V/
Grand Theft Auto: Episodes from Liberty City - Brazil,Grand Theft Auto: Episodes from Liberty City,Grand Teft Auto,Brazil,Banned because it uses music by the Brazilian composer Hamilton da Silva Lourenço without correct permissions.,Copyright Infrigment,Active,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_Episodes_from_Liberty_City,//upload.wikimedia.org/wikipedia/en/thumb/c/cc/Grand_Theft_Auto_IV_Episodes_From_Liberty_City.jpg/256px-Grand_Theft_Auto_IV_Episodes_From_Liberty_City.jpg,"Grand Theft Auto: Episodes from Liberty City is a standalone compilation of the episodes for the 2008 video game Grand Theft Auto IV. Created by Rockstar North in the United Kingdom, it contains both The Lost and Damned and The Ballad of Gay Tony on one disc. It was released alongside the DLC release of The Ballad of Gay Tony on 29 October, 2009 for the Xbox 360 and released on 13 April, 2010 for Microsoft Windows and PlayStation 3. Unlike the downloadable versions of the episodes, the compilation does not require a copy of Grand Theft Auto IV to play, nor is an Xbox Live or PlayStation Network account necessary (except for multiplayer). The content is also played straight from the disc, and does not need to be installed on a hard drive to play, like various other disc-based expansions for other Xbox 360 games that have been released in the past. Available exclusively on the Episodes from Liberty City disc are three new in-game radio stations – Vice City FM, RamJam FM and Self-Actualization FM.",Rockstar,Rockstar Games,Action|Adventure,http://www.rockstargames.com/episodesfromlibertycity/
Grand Theft Auto: Vice City - South Korea,Grand Theft Auto: Vice City,Grand Teft Auto,South Korea,Banned by the KMRB because of violence and cruelty. Later lifted by the GRB.,Graphic Violence and Cruelty,Ban Lifted,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_Vice_City,//upload.wikimedia.org/wikipedia/en/thumb/c/ce/Vice-city-cover.jpg/250px-Vice-city-cover.jpg,"Grand Theft Auto: Vice City is an open world action-adventure video game developed by Rockstar North and published by Rockstar Games. It was released on 27 October 2002 for the PlayStation 2 console, on 12 May 2003 for Microsoft Windows, and on 31 October 2003 for the Xbox console. It is the sixth title in the Grand Theft Auto series, and the first main entry since Grand Theft Auto III in 2001.Grand Theft Auto: Vice City is played from a third-person perspective in an open world environment, allowing the player to interact with the game world at their leisure. The game is set in 1986 within the fictional city of Vice City, which is heavily based on Miami and draws inspiration from 1980's American culture. The single-player story follows Tommy Vercetti, a Mafia hitman who is released from prison. After his involvement in a drug deal gone wrong, Tommy seeks out those responsible while building a criminal empire and seizing power from other criminal organisations in the city.Upon its release, the game was acclaimed by many reviewers who praised the music and gameplay, which uses a tweaked version of the game engine used in its predecessor. It became the best-selling video game of 2002, and has sold over 20 million copies as of 2011; until July 2006, it was the best-selling PlayStation 2 game of all time. The game is cited as a landmark in video games for its far-reaching influence within the industry. The success of Vice City led to the creation of a prequel, Grand Theft Auto: Vice City Stories (2006), which revisits the Vice City setting just two years prior. Vice City's violent and sexual content has also been the source of public concern and controversy.Its successor, Grand Theft Auto: San Andreas, was released on 26 October 2004, and also received critical acclaim. In December 2012, in celebration of the game's tenth anniversary, a mobile version of Vice City was released for iOS and Android. The game has also been ported to various other platforms and services, such as Mac OS X and the PlayStation Network.",Rockstar,Capcom|Rockstar Games,Action|Adventure,http://www.rockstargames.com/vicecity/
