Facility,Duplicates note,Owner / Operator of Facility,Address,State,Coordinates,Total Penalties,Last Penalty Amount,Clean Air Act Compliance,Clean Water Act Compliance,Resource Conservation and Recovery Act Compliance,Safe Drinking Water Act Compliance,Significant Noncompliance,Quarters in Noncompliance
City Of Fortuna - Municipal Wastewater Plant,,City of Fortuna,"180 Dinsmore DrFortuna, Ca 95540",California,"40.59095682700047, -124.1578730059997","$475,182",$0,,Noncompliance,,,No,11
City of Unalaska Wastewater Treatment Plant,,City of Unalaska,"Wastewater Treatment PlantUnalaska, Ak 99685",Alaska,"53.87101817400048, -166.53383822399974","$340,000","$340,000",,"Significant Noncompliance Category I, Effluent violations of monthly average limits",,,Yes,12
Classic Plating,,Classic Plating,"2985 E Miraloma Ave Ste UAnaheim, Ca 92806",California,"33.85674706700047, -117.86513715099971","$1,616,870","$1,616,870",,,Significant Violation,,Yes,12
Clean Harbors - Aragonite,,Clean Harbors,"11600 North Aptus RoadGrantsville, Ut 84029",Utah,"40.596939471000496, -112.4565993169997","$722,662","$39,900",No Violation,,Noncompliance,,No,12
Clean Harbors - El Dorado,,Clean Harbors,"309 American CircleEl Dorado, Ar 71730",Arkansas,"33.206514177000486, -92.62907364699964","$679,988","$581,236",No Violation,Noncompliance,No Violation,,No,12
Clean Harbors - Environmental Services,,Clean Harbors,"2247 S Hwy 71Kimball, Ne 69145",Nebraska,"41.15272127700047, -103.66335365899965","$301,200","$150,000",No Violation,Noncompliance,Significant Violation,No Violation,Yes,12
Clean Harbors - Storage & Treatment Facility,,Clean Harbors,"1 Hill AvenueBraintree, Ma 02184",Massachusetts,"42.23621005600046, -70.97489819099962","$1,309,000","$650,000",No Violation,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",No Violation,,Yes,11
Clow Water Systems,,Clow Water Systems,"2266 S. 6th St.Coshocton, Oh 43812",Ohio,"40.24534659200049, -81.86280510299969","$1,138,531","$139,679","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Coffeyville Resources Refining & Marketing,,Coffeyville Resources,"400 North Linden StreetCoffeyville, Ks 67337",Kansas,"37.04649103900044, -95.60520235499968","$1,829,368","$1,829,368","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Colorado Interstate Gas - Natural Buttes,,Colorado Interstate Gas,"Sect 24, T9s, R21eVernal, Ut 84078",Utah,"40.44988710600046, -109.53864569899969","$987,757","$987,757",Noncompliance,,No Violation,,No,12
Columbia Energy Center,,Columbia Energy Center,"W8375 Murray RdPardeeville, Wi 53954",Wisconsin,"43.487777329000494, -89.41793344899969","$2,450,000","$2,450,000","Addressed Violation, EPA Lead Enforcement",Unknown,No Violation,,Yes,12
Con Edison - 59th St. Station,,Consolidated Edison,"850 12th AvenueManhattan, Ny 10019",New York,"40.77222458600045, -73.99355400299964","$1,000,000","$1,000,000",No Violation,Noncompliance,No Violation,,No,12
Con Edison - 74th St. Station,,Consolidated Edison,"503 E 74th StreetManhattan, Ny 10021",New York,"40.76779692800045, -73.95185002299962","$1,000,000","$1,000,000",No Violation,Noncompliance,No Violation,,No,10
Con Edison - Company Headquarters,,Consolidated Edison,"4 Irving PlaceNew York, Ny 10003",New York,"40.73414448300048, -73.98861171399966","$1,016,875","$16,875",No Violation,Noncompliance,No Violation,,No,12
Conemaugh Power Plant,,GenOn Energy,"1442 Power Plant RoadNew Florence, Pa 15944",Pennsylvania,"40.38818393600047, -79.05664595499968","$502,500","$500,000",No Violation,Noncompliance,No Violation,,No,7
Coney Island Water Pollution Control Plant,,City of New York City,"2591 Knapp Street At Avenue ZBrooklyn, Ny 11235",New York,"40.59051556600048, -73.93219409999966","$717,000","$100,000",No Violation,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",No Violation,,Yes,12
Congress Development,,Congress Development,"4100 FrontageHillside, Il 60162",Illinois,"41.87406693800045, -87.89977965799966","$1,000,000","$1,000,000",No Violation,Noncompliance,No Violation,,No,11
ConocoPhillips - Bayway Refinery,,ConocoPhillips,"1400 Park AveLinden, Nj 07036",New Jersey,"40.64062943100049, -74.21913735499965","$346,444","$346,444",No Violation,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,12
Constellation - Mystic Generating Station,,Constellation (now Exelon),"173 Alford StCharlestown, Ma 02129",Massachusetts,"42.39211905500048, -71.06916586599965","$1,000,000","$1,000,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Corning Wastewater Treatment Plant,,City of Corning,"25010 Gardner Ferry RdCorning, Ca 96021",California,"39.91392645400049, -122.10255781399968","$1,003,000","$3,000",,Noncompliance,,,No,12
Cottage Bakery,,Cottage Bakery,"40 E Neuharth DrLodi, Ca 95240",California,"38.10939239300046, -121.27069923499971","$312,500","$312,500","Addressed Violation, EPA Lead Enforcement",,,,Yes,12
Crescent City Wastewater Treatment Facility,,City of Crescent City,"277 BatteryCrescent City, Ca 95531",California,"41.747207982000475, -124.20148357199969","$360,000","$186,000",,Noncompliance,,,No,12
Cumberland River Coal,,Arch Coal,"Us Hwy 119Oven Fork, Ky 40823",Kentucky,"36.974296653000465, -82.97756222399966","$826,777",$110,,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,3
Dairyland Power Coop Power Plant,,Dairyland Power,"1420 S Main StAlma, Wi 54610",Wisconsin,"44.3113917440005, -91.91015328399965","$950,000","$950,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Dairyland Power Coop Power Plant - Genoa,,Dairyland Power,"S4651 State Rd 35Genoa, Wi 54632",Wisconsin,"43.55591644800046, -91.22868245899969","$950,000","$950,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Danny Priess,,Danny Priess,"5876 Rr 386Fredonia, Tx 76842",Texas,"30.895823966000478, -99.12766926499967","$308,000","$308,000",,,Noncompliance,,No,12
Dekalb Metal Finishing,,Dekalb Metal Finishing,"625 W. 15th St.Auburn, In 46706",Indiana,"41.362383562000446, -85.06508038399966","$300,000","$100,000",,,Noncompliance,,No,12
Delek - Tyler Refinery,,Delek,"1702 E. Commerce St.Tyler, Tx 75702",Texas,"32.355387238000446, -95.27841436799969","$624,000","$624,000","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,No Violation,,Yes,12
Delta Fuels,,Delta Fuels,"1820 Front StToledo, Oh 43605",Ohio,"41.6587850140005, -83.50535863199968","$961,499","$582,499",No Violation,Unknown,Noncompliance,,No,12
Discovery Bay Wastewater Treatment Plant,,Town of Discovery Bay,"Highway 4 And Channel RoadDiscovery Bay, Ca 94514",California,"37.85872569600048, -121.6306395849997","$1,250,500","$19,500",,Noncompliance,,,No,11
Doe Run - Buick Mine and Mill,,Doe Run,"Highway KkBoss, Mo 65440",Missouri,"37.63191640800045, -91.21827760799965","$7,000,000","$7,000,000",No Violation,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",Significant Violation,No Violation,Yes,12
Doe Run - Fletcher Mine And Mill,,Doe Run,"Highway TtBunker, Mo 63629",Missouri,"37.46009751000048, -91.24815821099969","$7,000,000","$7,000,000",No Violation,Noncompliance,No Violation,No Violation,No,12
Doe Run - Glover Smelter,,Doe Run,"Route 1 &amp; Highway 49Annapolis, Mo 63620",Missouri,"37.38224804700047, -90.53921842299968","$7,000,000","$7,000,000",,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",Noncompliance,No Violation,Yes,12
Doe Run - Herculaneum Smelter,,Doe Run,"881 Main StreetHerculaneum, Mo 63048",Missouri,"38.26063141800046, -90.37802996299968","$7,000,000","$7,000,000","Addressed Violation, State/Local Lead Enforcement",Noncompliance,Significant Violation,,Yes,12
Doe Run - Sweetwater Mine/mill,,Doe Run,"1382 Sweetwater Mine RdEllington, Mo 63638",Missouri,"37.23429626400048, -90.97025600399968","$7,000,000","$7,000,000",No Violation,Noncompliance,No Violation,No Violation,No,7
Doe Run - Viburnum Facility,,Doe Run,"Iron County Road 1Viburnum, Mo 65566",Missouri,"37.72035899500048, -91.13313722499964","$7,000,000","$7,000,000",,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",,,Yes,12
Doe Run - West Fork Mine And Mill,,Doe Run,"6854 Hwy KkBunker, Mo 63629",Missouri,"37.46009751000048, -91.24815821099969","$7,000,000","$7,000,000",No Violation,Noncompliance,No Violation,Noncompliance,No,12
Dominion - Energy Brayton Point Power Plant,,Dominion,"1 Brayton Point RdSomerset, Ma 02725",Massachusetts,"41.71116048900046, -71.19130905199967","$1,400,000","$1,400,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Dominion - Kincaid Generation,,Dominion,"West Route 104Kincaid, Il 62540",Illinois,"39.58517427100048, -89.41157957399969","$2,000,000","$2,000,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,Noncompliance,Yes,12
Dos Rios Water Recycling Center,,San Antonio Water System,"3495 Valley RdSan Antonio, Tx 78221",Texas,"29.23833674500048, -98.43124163699969","$2,600,000","$2,600,000",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Dover Chemical,,Dover Chemical,"3676 Davis Road North WestDover, Oh 44622",Ohio,"40.532025089000456, -81.49334091899965","$2,078,000","$1,400,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Dover Chemical - Hammond Works,,Dover Chemical,"3000 Sheffield AveHammond, In 46327",Indiana,"41.65907193200047, -87.51280350599967","$1,400,000","$1,400,000",Unknown,,Noncompliance,,No,12
Dupont - Belle Plant,,Dupont,"901 W Du Pont AveBelle, Wv 25015",West Virginia,"38.241916578000485, -81.55004614899968","$2,288,020","$18,200",No Violation,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,10
Dupont - Chambers Works,,Dupont,"Route 130Deepwater, Nj 08023",New Jersey,"39.68329778500049, -75.49079589499968","$783,000",$0,"Addressed Violation, State/Local Lead Enforcement","Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",Significant Violation,Noncompliance,Yes,12
Dupont - Chattanooga Plant,,Dupont,"4501 N Access RdChattanooga, Tn 37415",Tennessee,"35.11132615700046, -85.24940053499967","$550,000","$550,000",Noncompliance,Noncompliance,No Violation,No Violation,No,12
Dupont - Edgemoor Titanium Oxide Plant,,Dupont,"104 Hay RdEdgemoor, De 19809",Delaware,"39.74688751000048, -75.50615491299965","$500,000","$500,000",No Violation,Noncompliance,No Violation,,No,12
Dupont - Kinston Plant,,Dupont,"4693 Hwy 11 NKinston, Nc 28502",North Carolina,"35.260190811000484, -77.57927927299966","$656,744",$493,No Violation,Noncompliance,No Violation,,No,9
Dupont - Washington Works,,Dupont,"8480 Dupont RdWashington, Wv 26181",West Virginia,"39.26518251100049, -81.66717388899968","$800,000","$800,000","Addressed Violation, EPA Lead Enforcement","Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,,Yes,12
Durand Glass Manufacturing,,Durand Glass Manufacturing,"901 South Wade BoulevardMillville, Nj 08332",New Jersey,"39.38367982300048, -75.01628871199966","$300,000","$300,000","Addressed Violation, EPA Lead Enforcement",,Noncompliance,,Yes,12
East Bank Wastewater Treatment Plant,,City of New Orleans,"6501 Florida AvenueNew Orleans, La 70117",Louisiana,"29.974126903000467, -89.99970875599968","$1,500,000","$1,500,000",,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,12
East Kentucky Power Cooperative - Dale Plant,,East Kentucky Power Cooperative,"Highway 1924Ford, Ky 40391",Kentucky,"37.89362240300045, -84.26021181299967","$30,684,571","$30,684,571","Addressed Violation, State/Local Lead Enforcement","Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,12
Eastern Ohio Regional Wastewater Authority,,Eastern Ohio Regional Wastewater Authority,"6000 North Guernsey St.Bellaire, Oh 43906",Ohio,"40.044670892000454, -80.73277274299966","$1,200,000","$1,200,000",,Noncompliance,,,No,12
Eastman Chemical Company,,Eastman Chemical,"State Highway 837West Elizabeth, Pa 15088",Pennsylvania,"40.2714708040005, -79.89823397899966","$727,000","$632,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Eastside Wastewater Treatment Plant,,City of Evansville,"1500 Waterworks RdEvansville, In 47713",Indiana,"37.95638828300048, -87.57204005199969","$491,200","$1,200",,Noncompliance,No Violation,,No,7
Edgeboro Disposal - Riverfront Restoration & Stabilization,,Edgeboro Disposal,"39 Edgeboro RoadEast Brunswick, Nj 08816",New Jersey,"40.46818406700049, -74.39676216399965","$2,080,150","$1,330,150","Addressed Violation, EPA Lead Enforcement",Unknown,No Violation,,Yes,12
Edgewater Generating Station,,Wisconsin Power & Light,"3739 Lakeshore DriveSheboygan, Wi 53081",Wisconsin,"43.71770175000046, -87.71029308699968","$2,450,000","$2,450,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
El Dorado Chemical,,El Dorado Chemical,"4500 N West Ave.El Dorado, Ar 71730",Arkansas,"33.26501967100046, -92.66453356299968","$578,125","$478,125","Addressed Violation, EPA Lead Enforcement","Significant Noncompliance Category I, Effluent violations of monthly average limits",No Violation,No Violation,Yes,12
Equilon Enterprises - DBA Shell Oil Products US,,Equilon Enterprises,"11842 River RoadSaint Rose, La 70087",Louisiana,"29.940402821000475, -90.32500088299969","$644,730","$70,000","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,No Violation,,Yes,12
Equilon Enterprises - Hartford Terminal,,Equilon Enterprises,"220 E HawthorneHartford, Il 62048",Illinois,"38.833502927000495, -90.08935058399965","$354,540","$354,540",No Violation,Noncompliance,No Violation,,No,11
Erie Coke,,Erie Coke,"Foot Of East AvenueErie, Pa 16512",Pennsylvania,"42.1217279060005, -80.08286709699968","$300,000","$300,000","Addressed Violation, EPA Lead Enforcement",No Violation,Significant Violation,,Yes,12
ESSROC - Intalcementi Group,,ESSROC,"1826 S Queen StMartinsburg, Wv 25401",West Virginia,"39.4432924460005, -77.96859718099967","$512,789","$512,789",Noncompliance,No Violation,No Violation,,No,12
ESSROC - San Juan,,ESSROC,"Pr-2 Km 26.7Dorado, Pr 00646",Puerto Rico,"18.405442778000463, -66.29610271799964","$395,506","$118,081",No Violation,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",No Violation,,Yes,11
Exelon - Braidwood Generating Station,,Exelon,"35100 S Route 53Braceville, Il 60407",Illinois,"41.24483663900048, -88.23588715599965","$608,000","$608,000",No Violation,Noncompliance,No Violation,No Violation,No,10
Exide Technologies -  Frisco Recycling Center,,Exide Technologies,"7471 South 5th StreetFrisco, Tx 75034",Texas,"33.14230814500047, -96.82487796399965","$1,188,478","$592,868",No Violation,Unknown,Significant Violation,,Yes,12
ExxonMobil,,ExxonMobil,"Intersection Highway 1 And 97 3 WestPort Allen, La 70767",Louisiana,"30.482913748000442, -91.26089776699968","$300,000","$300,000",No Violation,Noncompliance,No Violation,,No,11
ExxonMobil - Baton Rouge Refinery And Chemical Plant,,ExxonMobil,"4045 Scenic HwyBaton Rouge, La 70805",Louisiana,"30.485838801000455, -91.16915272099965","$300,000",$0,"Addressed Violation, State/Local Lead Enforcement",Noncompliance,Significant Violation,,Yes,12
ExxonMobil - Chemical Baton Rouge Chemical Plant,,ExxonMobil,"4999 Scenic HighwayBaton Rouge, La 70805",Louisiana,"30.49524948600049, -91.16972194799968","$300,000","$300,000","Addressed Violation, State/Local Lead Enforcement",Noncompliance,Noncompliance,,Yes,12
ExxonMobil - Chemical Resin Finishing Plant,,ExxonMobil,"12480 Scenic HighwayBaton Rouge, La 70807",Louisiana,"30.559924760000456, -91.20209299999965","$300,000","$300,000",Noncompliance,Noncompliance,No Violation,,No,7
ExxonMobil - Saipan Terminal,,ExxonMobil,"Puerto Rico, Tanapag HarborSaipan, Mp 96950",Puerto Rico,"18.2491398,-66.6280365","$2,403,443","$2,403,443","Addressed Violation, EPA Lead Enforcement",,,,Yes,12
F: Alaska Packer,,Trident Seafoods,"UnknownAleutian Islands, Ak 00000",Alaska,"52.0968126,-173.5005556","$2,500,000","$2,500,000",,Noncompliance,,,No,12
F: Bountiful,,Trident Seafoods,"UnknownBering Sea, Ak 00000",Alaska,"58.6305764,-177.5098659","$2,500,000","$2,500,000",,Noncompliance,,,No,12
F: Seattle Enterprise,,Trident Seafoods,"UnknownBering Sea, Ak 00000",Alaska,"58.6305764,-177.5098659","$2,500,000","$2,500,000",,Noncompliance,,,No,12
F/V Aleutian Falcon,,Trident Seafoods,"C/o Peninsula Air, Pouch 705Bering Sea, Ak 00000",Alaska,"53.8898,-166.5422","$2,500,000","$2,500,000",,Noncompliance,,,No,12
Fenton Wastewater Treatment Plant,,Metropolitan St. Louis Sewer District,"75 Opps LaneFenton, Mo 63026",Missouri,"38.511572673000444, -90.43089843699966","$1,200,000","$1,200,000",No Violation,Noncompliance,,,No,12
Firstenergy - Bruce Mansfield Power Station,,FirstEnergy,"128 Ferry Hill RoadShippingport, Pa 15077",Pennsylvania,"40.63013488100046, -80.42408088899964","$371,000","$371,000",No Violation,Noncompliance,No Violation,No Violation,No,1
Firstenergy - Re Burger Plant,,FirstEnergy,"57246 Ferry Landing RoadShadyside, Oh 43947",Ohio,"39.91478981500046, -80.76002612599967","$8,500,000","$8,500,000","Addressed Violation, EPA Lead Enforcement",,No Violation,,Yes,12
Flint Hills Resources - Port Arthur,,Flint Hills Resources,"4241 Savannah AvePort Arthur, Tx 77640",Texas,"29.903378253000483, -93.9669236259997","$350,000",,"Unaddressed Violation, State/Local Lead Enforcement",No Violation,No Violation,,Yes,12
Formosa Plastics - Louisiana,,Formosa Plastics,"Gulf States RoadBaton Rouge, La 70805",Louisiana,"30.487271789000488, -91.14968735099967","$3,389,000","$2,800,000","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,Significant Violation,,Yes,12
Formosa Plastics - Texas,,Formosa Plastics,"201 Formosa DrivePoint Comfort, Tx 77978",Texas,"28.67940190100046, -96.55999695499969","$2,922,740","$2,800,000","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,Significant Violation,,Yes,12
Frank E. Ratts Generating Station,,Hoosier Energy,"6825 Blackburn RdPetersburg, In 47567",Indiana,"38.52228232100049, -87.26195172499968","$950,000","$950,000",No Violation,Noncompliance,No Violation,,No,8
Frontier Refining,,Frontier Refining,"2700 East 5th StreetCheyenne, Wy 82007",Wyoming,"41.12925540100048, -104.79226927199966","$964,918","$64,918","Addressed Violation, State/Local Lead Enforcement",,No Violation,,Yes,12
Fv Probilof,,Trident Seafoods,"UnknownBering Sea, Ak 00000",Alaska,"58.6305764,-177.5098659","$2,500,000","$2,500,000",,Noncompliance,,,No,12
Gallagher Generating Station,,Duke Energy,"30 Jackson StNew Albany, In 47150",Indiana,"38.27090530300046, -85.83570889899966","$1,750,000","$1,750,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Gateway Energy & Coke,,Gateway Energy & Coke,"2585 Edwardsville RdGranite City, Il 62040",Illinois,"38.69717892600045, -90.12603880099965","$1,995,000",,"Addressed Violation, State/Local Lead Enforcement",No Violation,No Violation,,Yes,12
General Environmental Management,,General Environmental Management,"2655 Transport RoadCleveland, Oh 44115",Ohio,"41.4862423350005, -81.67162311399966","$6,075,800","$6,075,800",Noncompliance,,Noncompliance,,No,12
Goshen Wastewater Treatment Plant,,Township of West Goshen,"Route 17 &amp; Fletcher StreetGoshen, Ny 10924",New York,"41.39418715000045, -74.33122689799967","$332,750","$332,750",,Noncompliance,,,No,8
Grand Glaize Wastewater Power Plant,,Metropolitan St. Louis Sewer District,"1000 Grand Glaize ParkwayValley Park, Mo 63088",Missouri,"38.55324063800049, -90.47323346399969","$1,200,000","$1,200,000",No Violation,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,11
Great Falls Wastewater Treatment Plant,,Veolia Water,"1600 6th St NeGreat Falls, Mt 59404",Montana,"47.5213056660005, -111.29962088599967","$645,750","$645,000",No Violation,Noncompliance,No Violation,,No,7
Great Lakes Chemical Central,,Great Lakes Chemical,"2226 Haynesville HighwayEl Dorado, Ar 71730",Arkansas,"33.185627027000464, -92.70061706399969","$482,000","$7,000",Unknown,"Significant Noncompliance Category I, Effluent violations of monthly average limits",Noncompliance,No Violation,Yes,12
Green World Cleaners,,Green World Cleaners,"47-38 34th StreetLong Island City, Ny 11101",New York,"40.741297903000486, -73.93143504599965","$380,086","$190,043",No Violation,,Significant Violation,,Yes,12
Gulf Chemical And Metallurgical Freeport,,Gulf Chemical And Metallurgical,"302 Midway RoadFreeport, Tx 77541",Texas,"28.955165513000452, -95.33696440299968","$7,500,000","$7,500,000","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,Noncompliance,,Yes,12
H. B. Mellott Estate - Hancock Quarry,,H. B. Mellott Estate,"5100 Creek RoadHancock, Md 21750",Maryland,"39.711130341000455, -78.20250292999964","$307,112","$307,112",,Noncompliance,,,No,11
Halna / Hydro Aluminum,,Halna / Hydro Aluminum,"200 Riviera BlvdSaint Augustine, Fl 32086",Florida,"29.785881755000446, -81.31067890099968","$482,633","$310,000",No Violation,No Violation,Noncompliance,,No,1
Hamilton County - BD of Comm Addyston,,Hamilton County,"1600 Gest StreetCincinnati, Oh 45204",Ohio,"39.1075178480005, -84.54555914799965","$1,210,000",$0,,No Violation,Noncompliance,,No,8
Harsco Metals ECR,,Harsco Metals ECR,"3210 Watling StEast Chicago, In 46312",Indiana,"41.654264613000464, -87.44666944399967","$3,504,249","$3,500,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Haverhill Coke Company,,Haverhill Coke,"2446 Gallia PikeFranklin Furnace, Oh 45629",Ohio,"38.597488385000474, -82.83996971299968","$1,995,000",,"Addressed Violation, EPA Lead Enforcement",,,,Yes,12
Heresite Protective Coatings,,Heresite Protective Coatings,"822 S. 14th St.Manitowoc, Wi 54220",Wisconsin,"44.09191527900049, -87.66618771499964","$591,591","$197,137",Noncompliance,,Significant Violation,,Yes,12
Heritage Crystal Clean,,Heritage Crystal Clean,"2250 Point Blvd Ste 250Elgin, Il 60123",Illinois,"42.08199507900048, -88.33246534799969","$395,166",$0,,,Noncompliance,,No,12
Hess - Port Reading Refinery,,Hess,"750 Cliff RdPort Reading, Nj 07064",New Jersey,"40.56997871300047, -74.24615603499967","$858,000","$850,000",No Violation,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,11
Holcim Cement,,Holcim Cement,"1260 Security RoadHagerstown, Md 21742",Maryland,"39.65001747400049, -77.68790054699963","$700,000","$700,000","Addressed Violation, EPA Lead Enforcement",Unknown,No Violation,,Yes,12
Holly Refining & Marketing - Tulsa East Refinery,,Holly Refining & Marketing,"902 West 25th StreetTulsa, Ok 74107",Oklahoma,"36.12620297500047, -96.00012073299968","$435,500","$30,000","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,No Violation,,Yes,12
Holly Refining & Marketing - Tulsa West Refinery,,Holly Refining & Marketing,"1700 South Union StreetTulsa, Ok 74107",Oklahoma,"36.13754249300047, -96.01149025199965","$695,000","$695,000","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,Noncompliance,,Yes,12
Honeywell International,,Honeywell International,"2768 Us Highway 45 NorthMetropolis, Il 62960",Illinois,"37.18387682100047, -88.72447908199968","$788,675","$98,675",No Violation,"Significant Noncompliance Category I, Effluent violations of monthly average limits",Significant Violation,,Yes,12
Honeywell International - Baton Rouge Plant,,Honeywell International,"2966 Lupine AvenueBaton Rouge, La 70805",Louisiana,"30.473481731000447, -91.18299853899964","$654,675","$98,675",Noncompliance,No Violation,Noncompliance,,No,11
Honeywell International - Hopewell Plant,,Honeywell International,"905 East Randolph RoadHopewell, Va 23860",Virginia,"37.294585622000454, -77.26827362399968","$3,143,808","$31,263","Addressed Violation, State/Local Lead Enforcement",Noncompliance,No Violation,,Yes,12
Honouliuli Wastewater Treatment Plant,,City of Honolulu,"91-1501 Geiger RdEwa Beach, Hi 96706",Hawaii,"21.333069763000424, -158.02458908999975","$2,550,000","$2,550,000",No Violation,Noncompliance,,,No,12
Hoosier Energy - Merom Generating Station,,Hoosier Energy,"5500 Sr 54 WSullivan, In 47882",Indiana,"39.095479371000465, -87.40887659199967","$950,000","$950,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,,,Yes,12
Houston Refining,,Houston Refining,"12000 Lawndale AvenueHouston, Tx 77017",Texas,"29.70835277700047, -95.24329857999965","$652,500","$22,500","Unaddressed Violation, State/Local Lead Enforcement",No Violation,Noncompliance,,Yes,12
Hovensa,,Hovensa,"1 Estate HopeChristiansted, Vi 00820",Virgin Islands,"17.743302989000426, -64.70630656299966","$5,480,000","$5,375,000","Addressed Violation, EPA Lead Enforcement","Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,No Violation,Yes,12
HRSD - Atlantic Sewage Treatment Plant,,Hampton Roads Sanitation District,"645 Firefall DriveVirginia Beach, Va 23454",Virginia,"36.77351341700046, -75.97479712999967","$900,000","$900,000",No Violation,Noncompliance,No Violation,,No,2
Humacao Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 198, Km 28.3Humacao, Pr 00791",Puerto Rico,"18.151090707000435, -65.82538568199965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",No Violation,,Yes,10
Hunts Point Water Pollution Control Plant,,City of New York City,"Coster Street And Ryawa AvenueBronx, Ny 10474",New York,"40.80481340500046, -73.88489986299965","$340,000","$100,000",No Violation,Noncompliance,No Violation,,No,12
Hyundai-Kia America Technical Center,,Hyundai-Kia,"6800 Geddes RoadSuperior Township, Mi 48198",Michigan,"42.2748524860005, -83.62538952499966","$420,000","$210,000","Addressed Violation, State/Local Lead Enforcement",,No Violation,,Yes,12
IMCO Recycling Of Ohio,,IMCO Recycling of Ohio,"7335 Newport Rd. S.E.Uhrichsville, Oh 44683",Ohio,"40.36884930800045, -81.34653675899966","$1,601,724","$1,601,724",Noncompliance,,No Violation,,No,5
Indiana & Michigan Power Company - Tanners Creek Plant,,Indiana & Michigan Power Company,"800 Aep DrLawrenceburg, In 47025",Indiana,"39.15111716600046, -84.86323780399965","$8,025,000","$8,025,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,No Violation,Yes,12
Indianapolis Belmont Wastewater Treatment Plant,,City of Indianapolis,"2700 S BelmontIndianapolis, In 46221",Indiana,"39.73280710400047, -86.19402730399969","$1,117,800","$1,117,800",No Violation,Noncompliance,No Violation,,No,12
INEOS ABS,,INEOS ABS,"356 Three Rivers ParkwayAddyston, Oh 45001",Ohio,"39.14186254100048, -84.72134415799968","$3,100,000","$3,100,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
International Petroleum Corporation,,International Petroleum,"505 South Market StreetWilmington, De 19801",Delaware,"39.73127910500045, -75.55625610999965","$435,452","$300,000",No Violation,,Significant Violation,,Yes,12
Invista S.A.R.L.,,Invista S.A.R.L.,"2695 Old Bloomington Road NorthVictoria, Tx 77905",Texas,"28.688751605000448, -96.94198206099969","$500,000","$500,000","Unaddressed Violation, State/Local Lead Enforcement",No Violation,No Violation,,Yes,12
Invista S.A.R.L. - Orange Site,,Invista S.A.R.L.,"3055a Fm 1006Orange, Tx 77630",Texas,"30.056851286000438, -93.75825023299967","$563,000","$63,000","Unaddressed Violation, State/Local Lead Enforcement",,,,Yes,12
