ID,Traded Currencies,Percentage of Market,Source,Volume (17 Oct. '14),Price,Volume (%)
Poloniex - Cinni / Bitcoin,"Cinni, Bitcoin",0.00%,Poloniex,$4,$0.00,3.27 %
Crypto-Trade - Cinni / US Dollar,"Cinni, US Dollar",0.00%,Crypto-Trade,$0,$0.14,0.00 %
Poloniex - Clams / Bitcoin,"Clams, Bitcoin",0.00%,Poloniex,$55,$0.26,100.00 %
Bittrex - CleanWaterCoin / Bitcoin,"CleanWaterCoin, Bitcoin",0.00%,Bittrex,$3,$0.00,100.00 %
BTER - ClearingHouse / Bitcoin,"ClearingHouse, Bitcoin",0.00%,BTER,$402,$0.00,100.00 %
AllCoin - CloakCoin / Bitcoin,"CloakCoin, Bitcoin",0.03%,AllCoin,$5,$0.03,0.04 %
Bittrex - CloakCoin / Bitcoin,"CloakCoin, Bitcoin",0.03%,Bittrex,"$1,232",$0.03,11.25 %
Coin-Swap - CloakCoin / Bitcoin,"CloakCoin, Bitcoin",0.03%,Coin-Swap,$0,$0.06,0.00 %
Coins-E - CloakCoin / Bitcoin,"CloakCoin, Bitcoin",0.03%,Coins-E,$0,$0,0.00 %
Cryptsy - CloakCoin / Bitcoin,"CloakCoin, Bitcoin",0.03%,Cryptsy,"$9,590",$0.03,87.55 %
Bittrex - CloakCoin / BlackCoin,"CloakCoin, BlackCoin",0.03%,Bittrex,$0,$0.04,0.00 %
Cryptsy - CloakCoin / Litecoin,"CloakCoin, Litecoin",0.03%,Cryptsy,$126,$0.03,1.15 %
Cryptsy - CloakCoin / Ripple,"CloakCoin, Ripple",0.03%,Cryptsy,$0,$0.03,0.00 %
Bittrex - CoCoCoin / Bitcoin,"CoCoCoin, Bitcoin",0.00%,Bittrex,$27,$0.00,100.00 %
Bittrex - CoffeeCoin / Bitcoin,"CoffeeCoin, Bitcoin",0.00%,Bittrex,$132,$0.00,99.98 %
Bleutrade - CoffeeCoin / Bitcoin,"CoffeeCoin, Bitcoin",0.00%,Bleutrade,$0,$0.00,0.02 %
SwissCEX - Coin / Bitcoin,"Coin, Bitcoin",O,SwissCEX,$2,$0.00,100.00 %
BTER - Coin2.1 / Bitcoin,"Coin2.1, Bitcoin",0.00%,BTER,$9,$0.00,99.42 %
Poloniex - Coin2.1 / Bitcoin,"Coin2.1, Bitcoin",0.00%,Poloniex,$0,$0.00,0.58 %
Bittrex - CoinmarketsCoin / Bitcoin,"CoinmarketsCoin, Bitcoin",0.00%,Bittrex,$486,$0.01,96.83 %
Cryptsy - CoinmarketsCoin / Bitcoin,"CoinmarketsCoin, Bitcoin",0.00%,Cryptsy,$16,$0.01,3.17 %
Poloniex - Coinomat / Bitcoin,"Coinomat, Bitcoin",0.00%,Poloniex,$3,$0.15,0.96 %
Nxt Asset Exchange - Coinomat / Nxt,"Coinomat, Nxt",0.00%,Nxt Asset Exchange,$275,$0.16,99.04 %
Cryptsy - Colossuscoin / Litecoin,"Colossuscoin, Litecoin",0.00%,Cryptsy,$8,$0.00,89.99 %
Cryptsy - Colossuscoin / Ripple,"Colossuscoin, Ripple",0.00%,Cryptsy,$1,$0.00,10.01 %
BTER - CommunityCoin / Bitcoin,"CommunityCoin, Bitcoin",0.00%,BTER,$1,$0.00,91.91 %
Cryptsy - CommunityCoin / Bitcoin,"CommunityCoin, Bitcoin",0.00%,Cryptsy,$0,$0.00,8.09 %
Cryptsy - ConcealCoin / Bitcoin,"ConcealCoin, Bitcoin",0.00%,Cryptsy,$0,$0.00,100.00 %
Bittrex - Conspiracycoin / Bitcoin,"Conspiracycoin, Bitcoin",0.00%,Bittrex,$64,$0.00,89.43 %
Poloniex - Conspiracycoin / Bitcoin,"Conspiracycoin, Bitcoin",0.00%,Poloniex,$8,$0.00,10.57 %
Cryptsy - ContinuumCoin / Litecoin,"ContinuumCoin, Litecoin",0.00%,Cryptsy,$0,$0,100.00 %
AllCoin - CoolCoin / Bitcoin,"CoolCoin, Bitcoin",0.00%,AllCoin,$0,$0.00,0.00 %
Cryptsy - CoolCoin / Bitcoin,"CoolCoin, Bitcoin",0.00%,Cryptsy,$1,$0.00,100.00 %
Crypto-Trade - Copperlark / Bitcoin,"Copperlark, Bitcoin",0.01%,Crypto-Trade,$0,$0.01,0.00 %
Cryptsy - Copperlark / Bitcoin,"Copperlark, Bitcoin",0.01%,Cryptsy,$99,$0.01,3.60 %
mcxNOW - Copperlark / Bitcoin,"Copperlark, Bitcoin",0.01%,mcxNOW,$63,$0.01,2.27 %
UpBit - Copperlark / Bitcoin,"Copperlark, Bitcoin",0.01%,UpBit,$8,$0.01,0.31 %
UpBit - Copperlark / Dogecoin,"Copperlark, Dogecoin",0.01%,UpBit,$2,$0.01,0.06 %
UpBit - Copperlark / Euro,"Copperlark, Euro",0.01%,UpBit,$0,$0.01,0.00 %
UpBit - Copperlark / Russian Ruble,"Copperlark, Russian Ruble",0.01%,UpBit,"$2,556",$0.01,92.89 %
Crypto-Trade - Copperlark / US Dollar,"Copperlark, US Dollar",0.01%,Crypto-Trade,$10,$0.02,0.37 %
UpBit - Copperlark / US Dollar,"Copperlark, US Dollar",0.01%,UpBit,$14,$0.01,0.49 %
SwissCEX - CorgiCoin / Dogecoin,"CorgiCoin, Dogecoin",0.00%,SwissCEX,$2,$0.00,37.40 %
SwissCEX - CorgiCoin / Litecoin,"CorgiCoin, Litecoin",0.00%,SwissCEX,$3,$0,62.60 %
BTER - Counterparty / Bitcoin,"Counterparty, Bitcoin",0.01%,BTER,"$2,925",$3.63,71.89 %
Counterparty DEX - Counterparty / Bitcoin,"Counterparty, Bitcoin",0.01%,Counterparty DEX,$170,$3.74,4.18 %
MasterXchange - Counterparty / Bitcoin,"Counterparty, Bitcoin",0.01%,MasterXchange,$0,$4.03,0.00 %
Melotic - Counterparty / Bitcoin,"Counterparty, Bitcoin",0.01%,Melotic,$254,$3.71,6.25 %
Poloniex - Counterparty / Bitcoin,"Counterparty, Bitcoin",0.01%,Poloniex,$684,$3.72,16.80 %
BTER - Counterparty / Chinese Yuan,"Counterparty, Chinese Yuan",0.01%,BTER,$36,$3.52,0.88 %
BTER - Counterparty / Nxt,"Counterparty, Nxt",0.01%,BTER,$0,$4.49,0.00 %
BTER - Counterparty / US Dollar,"Counterparty, US Dollar",0.01%,BTER,$0,$4.00,0.00 %
Bittrex - CrackCoin / Bitcoin,"CrackCoin, Bitcoin",0.00%,Bittrex,$11,$0.00,65.74 %
C-CEX - CrackCoin / Bitcoin,"CrackCoin, Bitcoin",0.00%,C-CEX,$0,$0.00,2.61 %
Coin-Swap - CrackCoin / Bitcoin,"CrackCoin, Bitcoin",0.00%,Coin-Swap,$0,$0.00,0.00 %
Cryptsy - CrackCoin / Bitcoin,"CrackCoin, Bitcoin",0.00%,Cryptsy,$6,$0.00,31.65 %
Coins-E - CraftCoin / Bitcoin,"CraftCoin, Bitcoin",0.00%,Coins-E,$0,$0.01,0.00 %
Cryptsy - CraftCoin / Bitcoin,"CraftCoin, Bitcoin",0.00%,Cryptsy,$12,$0.01,100.00 %
Bittrex - CraigsCoin / Bitcoin,"CraigsCoin, Bitcoin",0.00%,Bittrex,$609,$0.00,98.15 %
Cryptsy - CraigsCoin / Bitcoin,"CraigsCoin, Bitcoin",0.00%,Cryptsy,$12,$0.00,1.85 %
Cryptsy - CraigsCoin / Ripple,"CraigsCoin, Ripple",0.00%,Cryptsy,$0,$0.00,0.00 %
AllCoin - Credits / Bitcoin,"Credits, Bitcoin",0.00%,AllCoin,$0,$0.00,0.00 %
NIX-E - CRTCoin / Bitcoin,"CRTCoin, Bitcoin",0.00%,NIX-E,$121,$0.09,48.95 %
NIX-E - CRTCoin / US Dollar,"CRTCoin, US Dollar",0.00%,NIX-E,$126,$0.07,51.05 %
Bittrex - CryptCoin / Bitcoin,"CryptCoin, Bitcoin",0.00%,Bittrex,$505,$0.01,53.65 %
Coins-E - CryptCoin / Bitcoin,"CryptCoin, Bitcoin",0.00%,Coins-E,$0,$0,0.00 %
Cryptsy - CryptCoin / Bitcoin,"CryptCoin, Bitcoin",0.00%,Cryptsy,$397,$0.01,42.16 %
Poloniex - CryptCoin / Bitcoin,"CryptCoin, Bitcoin",0.00%,Poloniex,$18,$0.01,1.93 %
Cryptsy - CryptCoin / Litecoin,"CryptCoin, Litecoin",0.00%,Cryptsy,$21,$0.01,2.26 %
BTER - Crypti / Bitcoin,"Crypti, Bitcoin",0.00%,BTER,$839,$0.00,96.90 %
Cryptsy - Crypti / Bitcoin,"Crypti, Bitcoin",0.00%,Cryptsy,$27,$0.00,3.10 %
Poloniex - Crypti / Bitcoin,"Crypti, Bitcoin",0.00%,Poloniex,$0,$0.00,0.00 %
BTER - CryptoBuk / Bitcoin,"CryptoBuk, Bitcoin",0.00%,BTER,$0,$0.02,0.00 %
Cryptsy - CryptoBuk / Bitcoin,"CryptoBuk, Bitcoin",0.00%,Cryptsy,$0,$0.01,0.00 %
C-CEX - CryptoEscudo / Bitcoin,"CryptoEscudo, Bitcoin",0.00%,C-CEX,$7,$0.00,100.00 %
Coins-E - Cryptogenic Bullion / Bitcoin,"Cryptogenic Bullion, Bitcoin",0.00%,Coins-E,$0,$0.08,0.00 %
Cryptex - Cryptogenic Bullion / Bitcoin,"Cryptogenic Bullion, Bitcoin",0.00%,Cryptex,$0,$0.13,0.00 %
Crypto-Trade - Cryptogenic Bullion / Bitcoin,"Cryptogenic Bullion, Bitcoin",0.00%,Crypto-Trade,$0,$0.15,0.07 %
Cryptsy - Cryptogenic Bullion / Bitcoin,"Cryptogenic Bullion, Bitcoin",0.00%,Cryptsy,$29,$0.12,73.02 %
Vault of Satoshi - Cryptogenic Bullion / Canadian Dollars,"Cryptogenic Bullion, Canadian Dollars",0.00%,Vault of Satoshi,$0,$0.40,0.00 %
Cryptsy - Cryptogenic Bullion / Litecoin,"Cryptogenic Bullion, Litecoin",0.00%,Cryptsy,$11,$0.13,26.91 %
Crypto-Trade - Cryptogenic Bullion / US Dollar,"Cryptogenic Bullion, US Dollar",0.00%,Crypto-Trade,$0,$0.05,0.00 %
AllCoin - Cryptographic Anomaly / Bitcoin,"Cryptographic Anomaly, Bitcoin",0.00%,AllCoin,$0,$0.01,0.00 %
Poloniex - Cryptographic Anomaly / Bitcoin,"Cryptographic Anomaly, Bitcoin",0.00%,Poloniex,$0,$0.03,100.00 %
BTC - Cryptonite / Bitcoin,"Cryptonite, Bitcoin",0.00%,BTC,$7,$0.00,3.33 %
BTER - Cryptonite / Bitcoin,"Cryptonite, Bitcoin",0.00%,BTER,$128,$0.00,64.24 %
C-CEX - Cryptonite / Bitcoin,"Cryptonite, Bitcoin",0.00%,C-CEX,$4,$0.00,2.18 %
Poloniex - Cryptonite / Bitcoin,"Cryptonite, Bitcoin",0.00%,Poloniex,$60,$0.00,30.25 %
Bittrex - CureCoin / Bitcoin,"CureCoin, Bitcoin",0.00%,Bittrex,$20,$0.01,52.35 %
Poloniex - CureCoin / Bitcoin,"CureCoin, Bitcoin",0.00%,Poloniex,$18,$0.01,47.65 %
Bittrex - DarkCash / Bitcoin,"DarkCash, Bitcoin",0.00%,Bittrex,$3,$0.00,19.49 %
BTER - DarkCash / Bitcoin,"DarkCash, Bitcoin",0.00%,BTER,$2,$0.00,11.12 %
Cryptsy - DarkCash / Bitcoin,"DarkCash, Bitcoin",0.00%,Cryptsy,$11,$0.00,69.39 %
Poloniex - DarkCash / Bitcoin,"DarkCash, Bitcoin",0.00%,Poloniex,$0,$0.00,0.00 %
AllCoin - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,AllCoin,$99,$1.99,0.18 %
Bitfinex - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,Bitfinex,"$10,223",$2.16,18.43 %
Bittrex - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,Bittrex,"$5,820",$2.18,10.49 %
BTER - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,BTER,"$3,856",$2.17,6.95 %
Cryptsy - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,Cryptsy,"$31,828",$2.20,57.38 %
Melotic - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,Melotic,$149,$2.29,0.27 %
Poloniex - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,Poloniex,$852,$2.19,1.54 %
BTER - Darkcoin / Chinese Yuan,"Darkcoin, Chinese Yuan",0.16%,BTER,"$1,366",$2.19,2.46 %
Cryptsy - Darkcoin / Litecoin,"Darkcoin, Litecoin",0.16%,Cryptsy,$535,$2.14,0.96 %
Bitfinex - Darkcoin / US Dollar,"Darkcoin, US Dollar",0.16%,Bitfinex,$676,$2.15,1.22 %
Bittrex - DarkNote / Bitcoin,"DarkNote, Bitcoin",0.03%,Bittrex,$87,$0.00,0.77 %
HitBTC - DarkNote / Bitcoin,"DarkNote, Bitcoin",0.03%,HitBTC,"$9,543",$0.00,84.40 %
Poloniex - DarkNote / Bitcoin,"DarkNote, Bitcoin",0.03%,Poloniex,"$1,674",$0.00,14.80 %
Poloniex - DarkNote / Monero,"DarkNote, Monero",0.03%,Poloniex,$3,$0.00,0.03 %
C-CEX - Darkpeer / Bitcoin,"Darkpeer, Bitcoin",0.00%,C-CEX,$17,$0.00,79.87 %
Coin-Swap - Darkpeer / Bitcoin,"Darkpeer, Bitcoin",0.00%,Coin-Swap,$4,$0.00,20.13 %
Bittrex - DarkToken / Bitcoin,"DarkToken, Bitcoin",0.00%,Bittrex,$57,$0.00,95.31 %
C-CEX - DarkToken / Bitcoin,"DarkToken, Bitcoin",0.00%,C-CEX,$2,$0.00,3.14 %
Cryptsy - DarkToken / Bitcoin,"DarkToken, Bitcoin",0.00%,Cryptsy,$1,$0.00,1.55 %
Poloniex - Dashcoin / Monero,"Dashcoin, Monero",0.00%,Poloniex,$154,$0.00,100.00 %
BTER - Datacoin / Bitcoin,"Datacoin, Bitcoin",0.00%,BTER,$0,$0.01,0.00 %
Coins-E - Datacoin / Bitcoin,"Datacoin, Bitcoin",0.00%,Coins-E,$0,$0.00,0.00 %
BTER - Datacoin / Chinese Yuan,"Datacoin, Chinese Yuan",0.00%,BTER,$15,$0.02,100.00 %
Bittrex - Deepcoin / Bitcoin,"Deepcoin, Bitcoin",0.00%,Bittrex,$13,$0.00,86.41 %
Bleutrade - Deepcoin / Bitcoin,"Deepcoin, Bitcoin",0.00%,Bleutrade,$1,$0.00,9.20 %
C-CEX - Deepcoin / Bitcoin,"Deepcoin, Bitcoin",0.00%,C-CEX,$1,$0.00,4.39 %
AllCoin - Denarius / Bitcoin,"Denarius, Bitcoin",0.00%,AllCoin,$2,$0.00,100.00 %
Coins-E - Deutsche eMark / Bitcoin,"Deutsche eMark, Bitcoin",0.00%,Coins-E,$20,$0.01,2.00 %
Cryptsy - Deutsche eMark / Bitcoin,"Deutsche eMark, Bitcoin",0.00%,Cryptsy,$991,$0.00,98.00 %
Crypto-Trade - Devcoin / Bitcoin,"Devcoin, Bitcoin",0.00%,Crypto-Trade,$0,$0.00,0.00 %
Cryptsy - Devcoin / Bitcoin,"Devcoin, Bitcoin",0.00%,Cryptsy,$38,$0.00,24.25 %
mcxNOW - Devcoin / Bitcoin,"Devcoin, Bitcoin",0.00%,mcxNOW,$0,$0.00,0.00 %
Vircurex - Devcoin / Bitcoin,"Devcoin, Bitcoin",0.00%,Vircurex,$109,$0.00,70.27 %
BTER - Devcoin / Chinese Yuan,"Devcoin, Chinese Yuan",0.00%,BTER,$0,$0.00,0.00 %
BTER - Devcoin / Litecoin,"Devcoin, Litecoin",0.00%,BTER,$0,$0.00,0.00 %
Cryptsy - Devcoin / Litecoin,"Devcoin, Litecoin",0.00%,Cryptsy,$8,$0.00,5.48 %
Cryptsy - Diamond / Bitcoin,"Diamond, Bitcoin",0.01%,Cryptsy,"$1,925",$0.19,99.12 %
useCryptos - Diamond / Bitcoin,"Diamond, Bitcoin",0.01%,useCryptos,$17,$0.19,0.88 %
Bittrex - DigiByte / Bitcoin,"DigiByte, Bitcoin",0.00%,Bittrex,$124,$0.00,12.87 %
Cryptsy - DigiByte / Bitcoin,"DigiByte, Bitcoin",0.00%,Cryptsy,$838,$0.00,87.13 %
AllCoin - Digit / Bitcoin,"Digit, Bitcoin",0.00%,AllCoin,$6,$0.00,100.00 %
Bittrex - Digitalcoin / Bitcoin,"Digitalcoin, Bitcoin",0.00%,Bittrex,$8,$0.01,4.58 %
BTER - Digitalcoin / Bitcoin,"Digitalcoin, Bitcoin",0.00%,BTER,$7,$0.01,3.70 %
Crypto-Trade - Digitalcoin / Bitcoin,"Digitalcoin, Bitcoin",0.00%,Crypto-Trade,$0,$0.01,0.00 %
Cryptsy - Digitalcoin / Bitcoin,"Digitalcoin, Bitcoin",0.00%,Cryptsy,$153,$0.01,82.55 %
SwissCEX - Digitalcoin / Bitcoin,"Digitalcoin, Bitcoin",0.00%,SwissCEX,$0,$0.01,0.03 %
Vircurex - Digitalcoin / Bitcoin,"Digitalcoin, Bitcoin",0.00%,Vircurex,$0,$0.01,0.02 %
Vault of Satoshi - Digitalcoin / Canadian Dollars,"Digitalcoin, Canadian Dollars",0.00%,Vault of Satoshi,$0,$0.08,0.00 %
BTC - Digitalcoin / Chinese Yuan,"Digitalcoin, Chinese Yuan",0.00%,BTC,$4,$0.01,2.00 %
BTER - Digitalcoin / Chinese Yuan,"Digitalcoin, Chinese Yuan",0.00%,BTER,$0,$0.14,0.00 %
Cryptsy - Digitalcoin / Litecoin,"Digitalcoin, Litecoin",0.00%,Cryptsy,$13,$0.01,7.12 %
C-CEX - DigitalPrice / Bitcoin,"DigitalPrice, Bitcoin",0.00%,C-CEX,$237,$0.04,100.00 %
Bittrex - Dimecoin / Litecoin,"Dimecoin, Litecoin",0.00%,Bittrex,$0,$0,0.00 %
Cryptsy - Dimecoin / Litecoin,"Dimecoin, Litecoin",0.00%,Cryptsy,$304,$0,100.00 %
Atomic Trade - Dirac / Bitcoin,"Dirac, Bitcoin",0.00%,Atomic Trade,$8,$0.12,3.08 %
Bittrex - Dirac / Bitcoin,"Dirac, Bitcoin",0.00%,Bittrex,$261,$0.13,96.75 %
Bittrex - Dirac / BlackCoin,"Dirac, BlackCoin",0.00%,Bittrex,$0,$0.14,0.17 %
AllCoin - DNotes / Bitcoin,"DNotes, Bitcoin",0.01%,AllCoin,"$1,223",$0.01,43.97 %
C-CEX - DNotes / Bitcoin,"DNotes, Bitcoin",0.01%,C-CEX,$75,$0.01,2.69 %
Poloniex - DNotes / Bitcoin,"DNotes, Bitcoin",0.01%,Poloniex,"$1,483",$0.01,53.34 %
Coin-Swap - Dobbscoin / Bitcoin,"Dobbscoin, Bitcoin",0.00%,Coin-Swap,$0,$0.00,100.00 %
Bittrex - Dogecoin / Bitcoin,"Dogecoin, Bitcoin",0.79%,Bittrex,"$4,887",$0.00,1.78 %
BTER - Dogecoin / Bitcoin,"Dogecoin, Bitcoin",0.79%,BTER,"$23,453",$0.00,8.53 %
Cryptsy - Dogecoin / Bitcoin,"Dogecoin, Bitcoin",0.79%,Cryptsy,"$54,444",$0.00,19.80 %
HitBTC - Dogecoin / Bitcoin,"Dogecoin, Bitcoin",0.79%,HitBTC,"$1,221",$0.00,0.44 %
Kraken - Dogecoin / Bitcoin,"Dogecoin, Bitcoin",0.79%,Kraken,"$1,684",$0.00,0.61 %
Poloniex - Dogecoin / Bitcoin,"Dogecoin, Bitcoin",0.79%,Poloniex,"$1,416",$0.00,0.52 %
BTC - Dogecoin / Chinese Yuan (1),"Dogecoin, Chinese Yuan",0.79%,BTC,"$100,267",$0.00,36.47 %
BTC - Dogecoin / Chinese Yuan (2),"Dogecoin, Chinese Yuan",0.79%,BTC,"$53,560",$0.00,19.48 %
BTER - Dogecoin / Chinese Yuan,"Dogecoin, Chinese Yuan",0.79%,BTER,"$27,041",$0.00,9.84 %
Exmo - Dogecoin / Old Russian Ruble,"Dogecoin, Old Russian Ruble",0.79%,Exmo,"$1,373",$0.00,0.50 %
Poloniex - Dogeparty / Bitcoin,"Dogeparty, Bitcoin",0.00%,Poloniex,$213,$0.10,100.00 %
Bleutrade - Donationcoin / Bitcoin,"Donationcoin, Bitcoin",0.00%,Bleutrade,$2,$0.00,91.25 %
SwissCEX - Donationcoin / Bitcoin,"Donationcoin, Bitcoin",0.00%,SwissCEX,$0,$0.00,8.75 %
AllCoin - DopeCoin / Bitcoin,"DopeCoin, Bitcoin",0.12%,AllCoin,"$14,009",$0.00,35.07 %
C-CEX - DopeCoin / Bitcoin,"DopeCoin, Bitcoin",0.12%,C-CEX,"$25,942",$0.00,64.93 %
C-CEX - DoSCoin / Bitcoin,"DoSCoin, Bitcoin",0.00%,C-CEX,$0,$0.00,100.00 %
Cryptsy - Doubloons / Litecoin,"Doubloons, Litecoin",0.00%,Cryptsy,$11,$0.00,100.00 %
BTC - EarthCoin / Bitcoin,"EarthCoin, Bitcoin",0.00%,BTC,$15,$0.00,12.69 %
Cryptsy - EarthCoin / Bitcoin,"EarthCoin, Bitcoin",0.00%,Cryptsy,$102,$0.00,84.70 %
SwissCEX - EarthCoin / Bitcoin,"EarthCoin, Bitcoin",0.00%,SwissCEX,$1,$0.00,0.99 %
Cryptsy - EarthCoin / Litecoin,"EarthCoin, Litecoin",0.00%,Cryptsy,$1,$0.00,0.44 %
Cryptsy - EarthCoin / Ripple,"EarthCoin, Ripple",0.00%,Cryptsy,$1,$0.00,1.18 %
Poloniex - EBTCoin / Bitcoin,"EBTCoin, Bitcoin",0.00%,Poloniex,$6,$0.00,100.00 %
AllCoin - ECCoin / Litecoin,"ECCoin, Litecoin",0.00%,AllCoin,$60,$0.00,52.59 %
Ask Coin - ECCoin / Litecoin,"ECCoin, Litecoin",0.00%,Ask Coin,$0,$0,0.00 %
SwissCEX - ECCoin / Litecoin,"ECCoin, Litecoin",0.00%,SwissCEX,$54,$0.00,47.41 %
AllCoin - Einsteinium / Bitcoin,"Einsteinium, Bitcoin",0.00%,AllCoin,$0,$0.00,0.00 %
Cryptsy - Einsteinium / Bitcoin,"Einsteinium, Bitcoin",0.00%,Cryptsy,$33,$0.00,37.43 %
Poloniex - Einsteinium / Bitcoin,"Einsteinium, Bitcoin",0.00%,Poloniex,$55,$0.00,62.57 %
AllCoin - eKita / Bitcoin,"eKita, Bitcoin",0.00%,AllCoin,$0,$0.00,0.00 %
AllCoin - Ekrona / Bitcoin,"Ekrona, Bitcoin",0.00%,AllCoin,$6,$0.00,100.00 %
Coins-E - Elacoin / Bitcoin,"Elacoin, Bitcoin",0.00%,Coins-E,$0,$0.03,0.00 %
Cryptsy - Elacoin / Bitcoin,"Elacoin, Bitcoin",0.00%,Cryptsy,$205,$0.02,100.00 %
Atomic Trade - Electron / Bitcoin,"Electron, Bitcoin",0.00%,Atomic Trade,$5,$0.00,11.76 %
Bittrex - Electron / Bitcoin,"Electron, Bitcoin",0.00%,Bittrex,$38,$0.00,88.24 %
Bittrex - Electronic Gulden / Bitcoin,"Electronic Gulden, Bitcoin",0.00%,Bittrex,$720,$0.00,100.00 %
Coins-E - ElephantCoin / Bitcoin,"ElephantCoin, Bitcoin",0.00%,Coins-E,$0,$0.00,0.00 %
Cryptsy - ElephantCoin / Litecoin,"ElephantCoin, Litecoin",0.00%,Cryptsy,$0,$0.00,0.00 %
Coins-E - Emerald Crypto / Bitcoin,"Emerald Crypto, Bitcoin",0.00%,Coins-E,$0,$0.00,0.00 %
Cryptsy - Emerald Crypto / Bitcoin,"Emerald Crypto, Bitcoin",0.00%,Cryptsy,$7,$0.00,100.00 %
Coin-Swap - EmerCoin / Bitcoin,"EmerCoin, Bitcoin",0.00%,Coin-Swap,$832,$0.01,100.00 %
Cryptex - EmerCoin / Bitcoin,"EmerCoin, Bitcoin",0.00%,Cryptex,$0,$0.00,0.00 %
SwissCEX - Emucoin / Dogecoin,"Emucoin, Dogecoin",0.00%,SwissCEX,$2,$0.00,99.98 %
SwissCEX - Emucoin / Litecoin,"Emucoin, Litecoin",0.00%,SwissCEX,$0,$0,0.02 %
Bittrex - Energycoin / Bitcoin,"Energycoin, Bitcoin",0.00%,Bittrex,$955,$0.00,100.00 %
Bittrex - ESportsCoin / Bitcoin,"ESportsCoin, Bitcoin",0.03%,Bittrex,"$10,014",$0.00,100.00 %
Bittrex - Ethancoin / Bitcoin,"Ethancoin, Bitcoin",0.00%,Bittrex,$291,$0.00,100.00 %
C-CEX - Ethancoin / Bitcoin,"Ethancoin, Bitcoin",0.00%,C-CEX,$0,$0.00,0.00 %
Bittrex - Ethercoin / Bitcoin,"Ethercoin, Bitcoin",0.01%,Bittrex,"$4,172",$0.71,100.00 %
Bittrex - eUtopium / Bitcoin,"eUtopium, Bitcoin",0.00%,Bittrex,$1,$0.01,100.00 %
Bittrex - ExclusiveCoin / Bitcoin,"ExclusiveCoin, Bitcoin",0.00%,Bittrex,$63,$0.00,100.00 %
Cryptsy - Execoin / Bitcoin,"Execoin, Bitcoin",0.00%,Cryptsy,$145,$0.00,99.97 %
Poloniex - Execoin / Bitcoin,"Execoin, Bitcoin",0.00%,Poloniex,$0,$0.00,0.03 %
BTER - Extremecoin / Bitcoin,"Extremecoin, Bitcoin",0.00%,BTER,$8,$0.01,49.20 %
BTER - Extremecoin / Chinese Yuan,"Extremecoin, Chinese Yuan",0.00%,BTER,$8,$0.01,50.80 %
Cryptsy - EZCoin / Bitcoin,"EZCoin, Bitcoin",0.00%,Cryptsy,$5,$0.00,51.69 %
Cryptsy - EZCoin / Litecoin,"EZCoin, Litecoin",0.00%,Cryptsy,$5,$0.00,48.31 %
SwissCEX - FAILCoin / Dogecoin,"FAILCoin, Dogecoin",0.00%,SwissCEX,$0,$0.00,0.23 %
SwissCEX - FAILCoin / Litecoin,"FAILCoin, Litecoin",0.00%,SwissCEX,$7,$0,99.77 %
HitBTC - Fantomcoin / Bitcoin,"Fantomcoin, Bitcoin",0.00%,HitBTC,$14,$0.00,100.00 %
Cryptsy - Fastcoin / Bitcoin,"Fastcoin, Bitcoin",0.00%,Cryptsy,$34,$0.00,64.16 %
Cryptsy - Fastcoin / Litecoin,"Fastcoin, Litecoin",0.00%,Cryptsy,$19,$0.00,35.84 %
Atomic Trade - Feathercoin / Bitcoin,"Feathercoin, Bitcoin",0.04%,Atomic Trade,$92,$0.31,0.75 %
BTC-E - Feathercoin / Bitcoin,"Feathercoin, Bitcoin",0.04%,BTC-E,"$9,997",$0.03,81.53 %
BTER - Feathercoin / Bitcoin,"Feathercoin, Bitcoin",0.04%,BTER,$27,$0.04,0.22 %
Cryptsy - Feathercoin / Bitcoin,"Feathercoin, Bitcoin",0.04%,Cryptsy,"$1,499",$0.03,12.22 %
NIX-E - Feathercoin / Bitcoin,"Feathercoin, Bitcoin",0.04%,NIX-E,$2,$0.02,0.02 %
Bittylicious - Feathercoin / British Pound,"Feathercoin, British Pound",0.04%,Bittylicious,$41,$0.04,0.34 %
Vault of Satoshi - Feathercoin / Canadian Dollars,"Feathercoin, Canadian Dollars",0.04%,Vault of Satoshi,$2,$0.03,0.02 %
BTER - Feathercoin / Chinese Yuan,"Feathercoin, Chinese Yuan",0.04%,BTER,$22,$0.03,0.18 %
Cryptsy - Feathercoin / Litecoin,"Feathercoin, Litecoin",0.04%,Cryptsy,$548,$0.03,4.47 %
Cryptsy - Feathercoin / US Dollar,"Feathercoin, US Dollar",0.04%,Cryptsy,$31,$0.03,0.25 %
BTER - FedoraCoin / Chinese Yuan,"FedoraCoin, Chinese Yuan",0.00%,BTER,$151,$0.00,12.99 %
AllCoin - FedoraCoin / Dogecoin,"FedoraCoin, Dogecoin",0.00%,AllCoin,$0,$0.00,0.01 %
