Name,Image,Type,Status,Symbol,Platform,Market Capitalization,Price,Available suppy,Volume (17 Oct. '14),More Information,Profile
GameCoin,https://coinmarketcap.com/static/img/coins/16x16/gamecoin.png,Cryptocurrency,Minable,GME,,Unknown,$0.00,Unknown,Low,http://game-coin.org/,https://coinmarketcap.com/currencies/gamecoin/
GamersCoin,https://coinmarketcap.com/static/img/coins/16x16/gamerscoin.png,Cryptocurrency,Minable,GMC,,"$2,239",$0.00,"30,825,650",Low,http://gamers-coin.org,https://coinmarketcap.com/currencies/gamerscoin/
GBCoin,https://coinmarketcap.com/static/img/coins/16x16/gbcoin.png,Cryptocurrency,Minable,GBC,,$174,$0.00,"2,276,260",Low,http://gbcoinfoundation.org/,https://coinmarketcap.com/currencies/gbcoin/
FuelCoin,https://coinmarketcap.com/static/img/coins/16x16/fuelcoin.png,Cryptocurrency,"Minable, Premined",FC2,,"$77,492",$0.00,"50,047,628",$110,http://getfuelco.in,https://coinmarketcap.com/currencies/fuelcoin/
Global Denomination,https://coinmarketcap.com/static/img/coins/16x16/global-denomination.png,Cryptocurrency,Minable,GDN,,"$1,493",$0.00,"6,400,160",Low,http://globaldenomination.org/,https://coinmarketcap.com/currencies/global-denomination/
Forexcoin,https://coinmarketcap.com/static/img/coins/16x16/forexcoin.png,Cryptocurrency,Minable,FRX,,$953,$0.00,"5,830,052,550",Unknown,http://globalforexcoin.com,https://coinmarketcap.com/currencies/forexcoin/
GrandCoin,https://coinmarketcap.com/static/img/coins/16x16/grandcoin.png,Cryptocurrency,Minable,GDC,,"$20,206",$0.00,"406,548,474",$12,http://grandcoin.org/,https://coinmarketcap.com/currencies/grandcoin/
Heavycoin,https://coinmarketcap.com/static/img/coins/16x16/heavycoin.png,Cryptocurrency,Minable,HVC,,"$32,380",$0.00,"88,222,844",Low,http://heavycoin.github.io/,https://coinmarketcap.com/currencies/heavycoin/
Heisenberg,https://coinmarketcap.com/static/img/coins/16x16/heisenberg.png,Cryptocurrency,Minable,HEX,,"$2,298",$0.00,"12,473,553,843",Low,http://heisenberghex.info/,https://coinmarketcap.com/currencies/heisenberg/
HempCoin,https://coinmarketcap.com/static/img/coins/16x16/hempcoin.png,Cryptocurrency,Minable,THC,,"$226,828",$0.00,"127,702,746","$14,020",http://hempcoin.org/,https://coinmarketcap.com/currencies/hempcoin/
HoboNickels,https://coinmarketcap.com/static/img/coins/16x16/hobonickels.png,Cryptocurrency,Minable,HBN,,"$215,412",$0.03,"6,744,325","$1,641",http://hobonickels.info/,https://coinmarketcap.com/currencies/hobonickels/
HunterCoin,https://coinmarketcap.com/static/img/coins/16x16/huntercoin.png,Cryptocurrency,Minable,HUC,,"$33,064",$0.01,"4,104,510",$20,http://huntercoin.org/,https://coinmarketcap.com/currencies/huntercoin/
HyperStake,https://coinmarketcap.com/static/img/coins/16x16/hyperstake.png,Cryptocurrency,,HYP,,"$502,673",$0.02,"28,416,784","$7,072",http://hyperstake.com,https://coinmarketcap.com/currencies/hyperstake/
ImperialCoin,https://coinmarketcap.com/static/img/coins/16x16/imperialcoin.png,Cryptocurrency,Minable,IPC,,$918,$0.00,"53,052,000",Low,http://imperialcoin.org,https://coinmarketcap.com/currencies/imperialcoin/
InstantDEX,https://coinmarketcap.com/static/img/coins/16x16/instantdex.png,Asset,,,Nxt,"$749,251",$0.75,"1,000,000",$527,http://instantdex.org,https://coinmarketcap.com/assets/instantdex/
IOCoin,https://coinmarketcap.com/static/img/coins/16x16/iocoin.png,Cryptocurrency,,IOC,,"$65,197",$0.00,"16,039,206","$2,030",http://iocoin.io/,https://coinmarketcap.com/currencies/iocoin/
JackpotCoin,https://coinmarketcap.com/static/img/coins/16x16/jackpotcoin.png,Cryptocurrency,Minable,JPC,,"$199,491",$0.00,"5,328,724,923","$3,371",http://jackpotcoin.info/,https://coinmarketcap.com/currencies/jackpotcoin/
Junkcoin,https://coinmarketcap.com/static/img/coins/16x16/junkcoin.png,Cryptocurrency,Minable,JKC,,"$5,663",$0.00,"13,715,800",Low,http://jkcoin.com,https://coinmarketcap.com/currencies/junkcoin/
Karmacoin,https://coinmarketcap.com/static/img/coins/16x16/karmacoin.png,Cryptocurrency,Minable,KARM,,"$162,204",$0.00,"63,071,324,065",$263,http://karmacoin.me/,https://coinmarketcap.com/currencies/karmacoin/
KlondikeCoin,https://coinmarketcap.com/static/img/coins/16x16/klondikecoin.png,Cryptocurrency,Minable,KDC,,"$6,464",$0.00,"7,320,629",Low,http://klondikecoin.com/,https://coinmarketcap.com/currencies/klondikecoin/
KoreCoin,https://coinmarketcap.com/static/img/coins/16x16/korecoin.png,Cryptocurrency,,KORE,,"$149,112",$0.09,"1,731,078","$5,143",http://kore-coin.com/,https://coinmarketcap.com/currencies/korecoin/
Kryptkoin,https://coinmarketcap.com/static/img/coins/16x16/kryptkoin.png,Cryptocurrency,Minable,KTK,,"$11,682",$0.00,"17,166,914",$18,http://kryptkoin.com/,https://coinmarketcap.com/currencies/kryptkoin/
LeafCoin,https://coinmarketcap.com/static/img/coins/16x16/leafcoin.png,Cryptocurrency,Minable,LEAF,,"$14,130",$0.00,"15,322,977,853",Low,http://leafco.in/,https://coinmarketcap.com/currencies/leafcoin/
LegendaryCoin,https://coinmarketcap.com/static/img/coins/16x16/legendarycoin.png,Cryptocurrency,Minable,LGD,,"$5,503",$0.00,"4,963,582",Low,http://legendarycoin.com/,https://coinmarketcap.com/currencies/legendarycoin/
LeproCoin,https://coinmarketcap.com/static/img/coins/16x16/leprocoin.png,Cryptocurrency,Minable,LPC,,Unknown,$0.00,Unknown,Unknown,http://leprocoin.org/,https://coinmarketcap.com/currencies/leprocoin/
Libertycoin,https://coinmarketcap.com/static/img/coins/16x16/libertycoin.png,Cryptocurrency,,XLB,,"$10,101",$0.00,"16,512,528",$29,http://libertycoin.co/,https://coinmarketcap.com/currencies/libertycoin/
LiteBar,https://coinmarketcap.com/static/img/coins/16x16/litebar.png,Cryptocurrency,Minable,LTB,,"$6,178",$0.03,"176,737",$113,http://litebar.biz/,https://coinmarketcap.com/currencies/litebar/
InkWayCoin,https://coinmarketcap.com/static/img/coins/16x16/inkwaycoin.png,Cryptocurrency,,LKNX,,"$1,424,650",$0.14,"10,000,000",$246,http://lknx.explorer.ssdpool.com:9101/,https://coinmarketcap.com/currencies/inkwaycoin/
LottoCoin,https://coinmarketcap.com/static/img/coins/16x16/lottocoin.png,Cryptocurrency,Minable,LOT,,"$26,659",$0.00,"14,491,014,421",Low,http://lottocoin.org/,https://coinmarketcap.com/currencies/lottocoin/
LTBcoin,https://coinmarketcap.com/static/img/coins/16x16/ltbcoin.png,Asset,,,Counterparty,"$67,932",$0.00,"148,072,859",Low,http://ltbcoin.com,https://coinmarketcap.com/assets/ltbcoin/
Luckycoin,https://coinmarketcap.com/static/img/coins/16x16/luckycoin.png,Cryptocurrency,Minable,LKY,,"$34,387",$0.00,"17,772,448",$34,http://luckycoinfoundation.org,https://coinmarketcap.com/currencies/luckycoin/
Lycancoin,https://coinmarketcap.com/static/img/coins/16x16/lycancoin.png,Cryptocurrency,Minable,LYC,,"$2,957",$0.00,"257,833,791",Low,http://lyccoin.org/,https://coinmarketcap.com/currencies/lycancoin/
MantisCoin,https://coinmarketcap.com/static/img/coins/16x16/mantiscoin.png,Cryptocurrency,,MNS,,Unknown,$0.00,Unknown,Unknown,http://mantiscoin.com,https://coinmarketcap.com/currencies/mantiscoin/
Marscoin,https://coinmarketcap.com/static/img/coins/16x16/marscoin.png,Cryptocurrency,Minable,MRS,,"$2,339",$0.00,"8,350,750",Low,http://marscoin.org/,https://coinmarketcap.com/currencies/marscoin/
Megacoin,https://coinmarketcap.com/static/img/coins/16x16/megacoin.png,Cryptocurrency,Minable,MEC,,"$675,044",$0.03,"25,697,150","$1,325",http://megacoin.in/,https://coinmarketcap.com/currencies/megacoin/
Memecoin,https://coinmarketcap.com/static/img/coins/16x16/memecoin.png,Cryptocurrency,Minable,MEM,,Unknown,$0.00,Unknown,Low,http://memecoin.org,https://coinmarketcap.com/currencies/memecoin/
MemoryCoin,https://coinmarketcap.com/static/img/coins/16x16/memorycoin.png,Cryptocurrency,Minable,MMC,,"$42,150",$0.00,"9,279,940",$747,http://memorycoin.org/,https://coinmarketcap.com/currencies/memorycoin/
microCoin,https://coinmarketcap.com/static/img/coins/16x16/microcoin.png,Cryptocurrency,Minable,MRC,,"$4,317",$0.00,"28,489,184,751",Unknown,http://microcoin.alcurex.info/,https://coinmarketcap.com/currencies/microcoin/
KimDotCoin,https://coinmarketcap.com/static/img/coins/16x16/kimdotcoin.png,Cryptocurrency,Minable,DOT,,$994,$0.00,"75,556,151",Low,http://minemanic.com/dot/,https://coinmarketcap.com/currencies/kimdotcoin/
MileyCyrusCoin,https://coinmarketcap.com/static/img/coins/16x16/mileycyruscoin.png,Cryptocurrency,Minable,MCC,,$132,$0.00,"195,445",Low,http://minemanic.com/mcc/,https://coinmarketcap.com/currencies/mileycyruscoin/
Mintcoin,https://coinmarketcap.com/static/img/coins/16x16/mintcoin.png,Cryptocurrency,,MINT,,"$325,348",$0.00,"20,075,382,121",$109,http://mintcoin.biz/,https://coinmarketcap.com/currencies/mintcoin/
Maieuticoin,https://coinmarketcap.com/static/img/coins/16x16/mmxiv.png,Cryptocurrency,Minable,M,,"$57,001",$26.76,"2,130",Low,http://mmxiv.blockexplorer.cc/chain/MMXIV/,https://coinmarketcap.com/currencies/mmxiv/
MonaCoin,https://coinmarketcap.com/static/img/coins/16x16/monacoin.png,Cryptocurrency,Minable,MONA,,"$677,666",$0.05,"13,071,900","$3,144",http://monacoin.org,https://coinmarketcap.com/currencies/monacoin/
MonetaVerde,https://coinmarketcap.com/static/img/coins/16x16/monetaverde.png,Cryptocurrency,Minable,MCN,,"$5,802",$0.00,"4,557,694",$28,http://monetaverde.org/,https://coinmarketcap.com/currencies/monetaverde/
Mooncoin,https://coinmarketcap.com/static/img/coins/16x16/mooncoin.png,Cryptocurrency,Minable,MOON,,"$81,897",$0.00,"186,776,854,752","$1,245",http://mooncoin.info,https://coinmarketcap.com/currencies/mooncoin/
Motocoin,https://coinmarketcap.com/static/img/coins/16x16/motocoin.png,Cryptocurrency,Minable,MOTO,,"$3,306",$0.00,"4,503,880",Low,http://motocoin.org/,https://coinmarketcap.com/currencies/motocoin/
MtGoxCoin,https://coinmarketcap.com/static/img/coins/16x16/mtgoxcoin.png,Cryptocurrency,Minable,GOX,,$88,$0.00,"2,213,125",Low,http://mtgoxcoin.com/,https://coinmarketcap.com/currencies/mtgoxcoin/
MGW,https://coinmarketcap.com/static/img/coins/16x16/mgw.png,Asset,,,Nxt,"$105,363",$0.11,"1,000,000",$82,http://multigateway.org/,https://coinmarketcap.com/assets/mgw/
Myriadcoin,https://coinmarketcap.com/static/img/coins/16x16/myriadcoin.png,Cryptocurrency,Minable,MYR,,"$118,741",$0.00,"625,915,000","$1,223",http://myriadplatform.org,https://coinmarketcap.com/currencies/myriadcoin/
Namecoin,https://coinmarketcap.com/static/img/coins/16x16/namecoin.png,Cryptocurrency,Minable,NMC,,"$10,264,098",$1.02,"10,065,900","$93,788",http://namecoin.info,https://coinmarketcap.com/currencies/namecoin/
Nas,https://coinmarketcap.com/static/img/coins/16x16/nas.png,Cryptocurrency,,NAS,,"$76,184",$0.00,"10,000,000,000",$16,http://nascoin.org/,https://coinmarketcap.com/currencies/nas/
Neocoin,https://coinmarketcap.com/static/img/coins/16x16/neocoin.png,Cryptocurrency,Minable,NEC,,"$4,439",$0.00,"6,150,310",$32,http://neocoin.org/,https://coinmarketcap.com/currencies/neocoin/
NetCoin,https://coinmarketcap.com/static/img/coins/16x16/netcoin.png,Cryptocurrency,Minable,NET,,"$130,729",$0.00,"307,449,213",$106,http://netcoinfoundation.org/,https://coinmarketcap.com/currencies/netcoin/
NeXT Horizon,https://coinmarketcap.com/static/img/coins/16x16/next-horizon.png,Cryptocurrency,,NHZ,,"$204,618",$0.00,"278,756,218","$2,578",http://nhzcrypto.org,https://coinmarketcap.com/currencies/next-horizon/
Noahcoin,https://coinmarketcap.com/static/img/coins/16x16/noahcoin.png,Cryptocurrency,,NOAH,,$337,$0.00,"11,033,099",$179,http://noahcoin.net,https://coinmarketcap.com/currencies/noahcoin/
Node,https://coinmarketcap.com/static/img/coins/16x16/node.png,Cryptocurrency,,NODE,,"$187,333",$0.00,"1,000,000,000",$890,http://nodecoin.com,https://coinmarketcap.com/currencies/node/
Novacoin,https://coinmarketcap.com/static/img/coins/16x16/novacoin.png,Cryptocurrency,Minable,NVC,,"$759,367",$0.90,"846,792","$5,542",http://novacoin.org,https://coinmarketcap.com/currencies/novacoin/
FreeMarket,https://coinmarketcap.com/static/img/coins/16x16/freemarket.png,Asset,,,Nxt,"$753,782",$1.05,"720,000","$9,676",http://nxtreporting.com/?a=134138275353332190,https://coinmarketcap.com/assets/freemarket/
NXTprivacy,https://coinmarketcap.com/static/img/coins/16x16/nxtprivacy.png,Asset,,,Nxt,"$564,280",$0.56,"1,000,000",$56,http://nxtreporting.com/?a=17911762572811467637,https://coinmarketcap.com/assets/nxtprivacy/
ach,https://coinmarketcap.com/static/img/coins/16x16/ach.png,Asset,,,Nxt,"$15,768",$0.02,"673,420",$255,http://nxtreporting.com/?a=6789385243274909976,https://coinmarketcap.com/assets/ach/
ATOMIC,https://coinmarketcap.com/static/img/coins/16x16/atomic.png,Asset,,,Nxt,"$598,552",$0.98,"610,000",$112,http://nxtreporting.com/?as=11694807213441909013,https://coinmarketcap.com/assets/atomic/
NXTInspect,https://coinmarketcap.com/static/img/coins/16x16/nxtinspect.png,Asset,,,Nxt,"$70,249",$0.09,"750,057",$167,http://nxtreporting.com/?as=14273984620270850703,https://coinmarketcap.com/assets/nxtinspect/
ReserveShare,https://coinmarketcap.com/static/img/coins/16x16/reserveshare.png,Asset,,,Nxt,"$1,171",$0.00,"1,000,000",$10,http://nxtreporting.com/?as=14285820955872321553,https://coinmarketcap.com/assets/reserveshare/
SuperNET,https://coinmarketcap.com/static/img/coins/16x16/supernet-unity.png,Asset,,,Nxt,"$3,243,247",$3.97,"816,061","$6,585",http://nxtreporting.com/?as=15641806960898178066,https://coinmarketcap.com/assets/supernet-unity/
NXTventure,https://coinmarketcap.com/static/img/coins/16x16/nxtventure.png,Asset,,,Nxt,"$2,552,140",$2.55,"1,000,000",$539,http://nxtreporting.com/?as=16212446818542881180,https://coinmarketcap.com/assets/nxtventure/
Privatebet,https://coinmarketcap.com/static/img/coins/16x16/privatebet.png,Asset,,,Nxt,"$280,970",$0.70,"400,001",$25,http://nxtreporting.com/?as=17083334802666450484,https://coinmarketcap.com/assets/privatebet/
HRNXTPool,https://coinmarketcap.com/static/img/coins/16x16/hrnxtpool.png,Asset,,,Nxt,"$163,899",$1.64,"100,000",$279,http://nxtreporting.com/?as=17166680677145186899,https://coinmarketcap.com/assets/hrnxtpool/
Tradebots,https://coinmarketcap.com/static/img/coins/16x16/tradebots.png,Asset,,,Nxt,"$486,828",$0.49,"990,100",$49,http://nxtreporting.com/?as=17571711292785902558,https://coinmarketcap.com/assets/tradebots/
sharkfund0,https://coinmarketcap.com/static/img/coins/16x16/sharkfund0.png,Asset,,,Nxt,"$888,629",$663.68,"1,339",Unknown,http://nxtreporting.com/?as=3006420581923704757,https://coinmarketcap.com/assets/sharkfund0/
Jinn,https://coinmarketcap.com/static/img/coins/16x16/jinn.png,Asset,,,Nxt,"$652,059",$6.52,"100,000",$13,http://nxtreporting.com/?as=3061160746493230502,http://coinmarketcap.com/assets/jinn/
Nyancoin,https://coinmarketcap.com/static/img/coins/16x16/nyancoin.png,Cryptocurrency,Minable,NYAN,,"$1,297",$0.00,"138,398,124",Low,http://nyan-coin.org/,https://coinmarketcap.com/currencies/nyancoin/
OPECCoin,https://coinmarketcap.com/static/img/coins/16x16/opeccoin.png,Cryptocurrency,Minable,OPC,,"$2,233",$0.00,"16,925,989",Low,http://opec.pw/,https://coinmarketcap.com/currencies/opeccoin/
OpenSourcecoin,https://coinmarketcap.com/static/img/coins/16x16/opensourcecoin.png,Cryptocurrency,Minable,OSC,,"$6,615",$0.00,"4,740,162",$18,http://opensourcecoin.org/,https://coinmarketcap.com/currencies/opensourcecoin/
OrangeCoin,https://coinmarketcap.com/static/img/coins/16x16/orangecoin.png,Cryptocurrency,,OC,,"$13,108",$0.00,"52,748,328",$10,http://orangecoins.info/,https://coinmarketcap.com/currencies/orangecoin/
Orbitcoin,https://coinmarketcap.com/static/img/coins/16x16/orbitcoin.png,Cryptocurrency,Minable,ORB,,"$64,838",$0.04,"1,697,226",$485,http://orb.sx/,https://coinmarketcap.com/currencies/orbitcoin/
ORObit,https://coinmarketcap.com/static/img/coins/16x16/orobit.png,Cryptocurrency,Minable,ORO,,$501,$0.00,"2,045,550",Low,http://orobit.co/,https://coinmarketcap.com/currencies/orobit/
PayzorCoin,https://coinmarketcap.com/static/img/coins/16x16/payzorcoin.png,Cryptocurrency,,PZR,,$504,$0.00,"329,307",Low,http://payzorcoin.com,https://coinmarketcap.com/currencies/payzorcoin/
Penguincoin,https://coinmarketcap.com/static/img/coins/16x16/penguincoin.png,Cryptocurrency,Minable,PENG,,$92,$0.00,"16,340,117,070",Low,http://penguincoin.wix.com/penguincoin,https://coinmarketcap.com/currencies/penguincoin/
Pesa,https://coinmarketcap.com/static/img/coins/16x16/pesa.png,Cryptocurrency,Minable,PES,,"$1,529",$0.00,"19,999,273",$265,http://pesacoin.org,https://coinmarketcap.com/currencies/pesa/
Pesetacoin,https://coinmarketcap.com/static/img/coins/16x16/pesetacoin.png,Cryptocurrency,Minable,PTC,,"$24,652",$0.00,"67,168,863",$76,http://pesetacoin.info/,https://coinmarketcap.com/currencies/pesetacoin/
PetroDollar,https://coinmarketcap.com/static/img/coins/16x16/petrodollar.png,Cryptocurrency,Minable,XPD,,"$28,048",$0.00,"61,290,025",Unknown,http://petrodollar.org/,https://coinmarketcap.com/currencies/petrodollar/
PHCoin,https://coinmarketcap.com/static/img/coins/16x16/phcoin.png,Cryptocurrency,"Minable, Premined",PHC,,"$2,350",$0.00,"10,246,150",Low,http://phcoin.org,https://coinmarketcap.com/currencies/phcoin/
Phoenixcoin,https://coinmarketcap.com/static/img/coins/16x16/phoenixcoin.png,Cryptocurrency,Minable,PXC,,"$11,903",$0.00,"21,161,350",$60,http://phoenixcoin.org/,https://coinmarketcap.com/currencies/phoenixcoin/
Photon,https://coinmarketcap.com/static/img/coins/16x16/photon.png,Cryptocurrency,Minable,PHO,,"$1,484",$0.00,"3,381,575,359",Low,http://photoncoin.org/wp/blog/2014/02/21/photon-launched-february-21st-2014-cryptocurrency-based-on-blake-256/,https://coinmarketcap.com/currencies/photon/
Philosopher Stones,https://coinmarketcap.com/static/img/coins/16x16/philosopher-stones.png,Cryptocurrency,Minable,PHS,,"$81,582",$0.04,"2,237,262",$143,http://phstones.com/,https://coinmarketcap.com/currencies/philosopher-stones/
Piggycoin,https://coinmarketcap.com/static/img/coins/16x16/piggycoin.png,Cryptocurrency,Minable,PIGGY,,"$18,109",$0.00,"473,659,201",Low,http://piggy-coin.com/,https://coinmarketcap.com/currencies/piggycoin/
PlutoniumCoin,https://coinmarketcap.com/static/img/coins/16x16/plutoniumcoin.png,Cryptocurrency,,RODS,,$683,$0.01,"52,516",$13,http://plutoniumcoin.com,https://coinmarketcap.com/currencies/plutoniumcoin/
PotCoin,https://coinmarketcap.com/static/img/coins/16x16/potcoin.png,Cryptocurrency,Minable,POT,,"$611,497",$0.00,"157,182,120","$7,727",http://potcoin.info,https://coinmarketcap.com/currencies/potcoin/
Primecoin,https://coinmarketcap.com/static/img/coins/16x16/primecoin.png,Cryptocurrency,Minable,XPM,,"$1,487,064",$0.20,"7,495,849","$23,524",http://primecoin.io/,https://coinmarketcap.com/currencies/primecoin/
Prime-XI,https://coinmarketcap.com/static/img/coins/16x16/prime-xi.png,Cryptocurrency,Minable,PXI,,Unknown,$0.00,Unknown,$470,http://pxi.explorer.ssdpool.com:9074/,https://coinmarketcap.com/currencies/prime-xi/
Pyramids,https://coinmarketcap.com/static/img/coins/16x16/pyramids.png,Cryptocurrency,Minable,PYRA,,"$8,219",$0.00,"29,211,409",$113,http://pyramidscoin.com,https://coinmarketcap.com/currencies/pyramids/
Qibuck,https://coinmarketcap.com/static/img/coins/16x16/qibuck.png,Cryptocurrency,,QBK,,"$70,901",$0.14,"503,842","$1,082",http://qibuck.com,https://coinmarketcap.com/currencies/qibuck/
Qora,https://coinmarketcap.com/static/img/coins/16x16/qora.png,Cryptocurrency,,QORA,,"$578,258",$0.00,"10,000,000,000","$1,285",http://qora.org,https://coinmarketcap.com/currencies/qora/
Quark,https://coinmarketcap.com/static/img/coins/16x16/quark.png,Cryptocurrency,Minable,QRK,,"$1,661,700",$0.01,"248,304,414","$3,287",http://qrk.cc/,https://coinmarketcap.com/currencies/quark/
Quatloo,https://coinmarketcap.com/static/img/coins/16x16/quatloo.png,Cryptocurrency,Minable,QTL,,"$49,769",$0.02,"2,000,086","$2,916",http://quatloos.org,https://coinmarketcap.com/currencies/quatloo/
RabbitCoin,https://coinmarketcap.com/static/img/coins/16x16/rabbitcoin.png,Cryptocurrency,Minable,RBBT,,"$27,276",$0.00,"97,694,051,467",$46,http://rabbitco.in,https://coinmarketcap.com/currencies/rabbitcoin/
Razor,https://coinmarketcap.com/static/img/coins/16x16/razor.png,Cryptocurrency,Minable,RZR,,"$124,505",$0.06,"1,999,758","$1,640",http://razorco.in/,https://coinmarketcap.com/currencies/razor/
RedCoin,https://coinmarketcap.com/static/img/coins/16x16/redcoin.png,Cryptocurrency,Minable,RED,,"$51,652",$0.00,"45,943,238",Low,http://redcoin.pw/,https://coinmarketcap.com/currencies/redcoin/
Riecoin,https://coinmarketcap.com/static/img/coins/16x16/riecoin.png,Cryptocurrency,Minable,RIC,,"$69,135",$0.01,"7,121,275",$561,http://riecoin.org/,https://coinmarketcap.com/currencies/riecoin/
RipoffCoin,https://coinmarketcap.com/static/img/coins/16x16/ripoffcoin.png,Cryptocurrency,Minable,RIPO,,"$6,366",$0.00,"5,324,950",$244,http://ripoffcoin.com,https://coinmarketcap.com/currencies/ripoffcoin/
SaffronCoin,https://coinmarketcap.com/static/img/coins/16x16/saffroncoin.png,Cryptocurrency,Minable,SFR,,"$75,361",$0.00,"15,549,376","$3,711",http://saffroncoin.com/,https://coinmarketcap.com/currencies/saffroncoin/
Saturn2Coin,https://coinmarketcap.com/static/img/coins/16x16/saturn2coin.png,Cryptocurrency,Minable,SAT2,,"$9,325",$0.00,"7,867,810",Low,http://saturn2.co.in/,https://coinmarketcap.com/currencies/saturn2coin/
Scotcoin,https://coinmarketcap.com/static/img/coins/16x16/scotcoin.png,Cryptocurrency,"Minable, Premined",SCOT,,"$74,914",$0.00,"800,001,844",$109,http://scotcoin.org/,https://coinmarketcap.com/currencies/scotcoin/
SecureCoin,https://coinmarketcap.com/static/img/coins/16x16/securecoin.png,Cryptocurrency,Minable,SRC,,"$52,810",$0.02,"2,268,625",$928,http://securecoin.org/,https://coinmarketcap.com/currencies/securecoin/
ShadeCoin,https://coinmarketcap.com/static/img/coins/16x16/shadecoin.png,Cryptocurrency,Minable,SHADE,,"$1,864",$0.00,"713,120",$601,http://shadecoin.com,https://coinmarketcap.com/currencies/shadecoin/
SolarCoin,https://coinmarketcap.com/static/img/coins/16x16/solarcoin.png,Cryptocurrency,"Minable, Premined",SLR,,"$182,315",$0.01,"33,228,631","$3,116",http://solarcoin.org/,https://coinmarketcap.com/currencies/solarcoin/
Solecoin,https://coinmarketcap.com/static/img/coins/16x16/solecoin.png,Cryptocurrency,,SOLE,,"$2,540",$0.00,"1,274,111",$14,http://solecoin.org,https://coinmarketcap.com/currencies/solecoin/
SpainCoin,https://coinmarketcap.com/static/img/coins/16x16/spaincoin.png,Cryptocurrency,"Minable, Premined",SPA,,"$5,768",$0.00,"19,594,052",$13,http://spaincoin.org/,https://coinmarketcap.com/currencies/spaincoin/
StabilityShares,https://coinmarketcap.com/static/img/coins/16x16/stabilityshares.png,Cryptocurrency,Minable,XSI,,"$4,753",$0.00,"7,356,751",$58,http://stabilityshares.com/,https://coinmarketcap.com/currencies/stabilityshares/
StableCoin,https://coinmarketcap.com/static/img/coins/16x16/stablecoin.png,Cryptocurrency,Minable,SBC,,"$6,658",$0.00,"15,500,532",$68,http://stablecoin.net/,https://coinmarketcap.com/currencies/stablecoin/
Storjcoin X,https://coinmarketcap.com/static/img/coins/16x16/storjcoin-x.png,Asset,,,Counterparty,"$538,367",$0.01,"41,469,270","$2,173",http://storj.io,https://coinmarketcap.com/assets/storjcoin-x/
SysCoin,https://coinmarketcap.com/static/img/coins/16x16/syscoin.png,Cryptocurrency,Minable,SYS,,"$304,118",$0.00,"373,634,483","$4,941",http://syscoin.org,https://coinmarketcap.com/currencies/syscoin/
TagCoin,https://coinmarketcap.com/static/img/coins/16x16/tagcoin.png,Cryptocurrency,Minable,TAG,,"$96,751",$0.05,"2,071,116",$230,http://tagcoin.org/,https://coinmarketcap.com/currencies/tagcoin/
TEKcoin,https://coinmarketcap.com/static/img/coins/16x16/tekcoin.png,Cryptocurrency,Minable,TEK,,"$121,309",$0.04,"2,875,924",$372,http://tekcoin.org/,https://coinmarketcap.com/currencies/tekcoin/
Terracoin,https://coinmarketcap.com/static/img/coins/16x16/terracoin.png,Cryptocurrency,Minable,TRC,,"$199,896",$0.03,"6,614,136",$922,http://terracoin.org,https://coinmarketcap.com/currencies/terracoin/
TheoremCoin,https://coinmarketcap.com/static/img/coins/16x16/theoremcoin.png,Cryptocurrency,,THEO,,$498,$0.00,"3,893,400",Unknown,http://theoremcoin.com/,https://coinmarketcap.com/currencies/theoremcoin/
Pandacoin (PND),https://coinmarketcap.com/static/img/coins/16x16/pandacoin-pnd.png,Cryptocurrency,Minable,PND,,"$1,557,503",$0.00,"32,258,331,854","$7,163",http://thepandacoin.org/,https://coinmarketcap.com/currencies/pandacoin-pnd/
Altcoin,https://coinmarketcap.com/static/img/coins/16x16/altcoin.png,Cryptocurrency,Minable,ATC,,"$21,112",$0.00,"23,696,896",Low,http://therealaltcoin.org,https://coinmarketcap.com/currencies/altcoin/
Tigercoin,https://coinmarketcap.com/static/img/coins/16x16/tigercoin.png,Cryptocurrency,Minable,TGC,,Unknown,$0.00,Unknown,$20,http://tigercoin.wordpress.com,https://coinmarketcap.com/currencies/tigercoin/
TopCoin,https://coinmarketcap.com/static/img/coins/16x16/topcoin.png,Cryptocurrency,Minable,TOP,,"$5,880",$0.00,"23,302,313",$11,http://topcoin.pw/,https://coinmarketcap.com/currencies/topcoin/
TraderCoin,https://coinmarketcap.com/static/img/coins/16x16/tradercoin.png,Cryptocurrency,Minable,TRDR,,$532,$0.01,"98,628",Low,http://tradercoin.org,https://coinmarketcap.com/currencies/tradercoin/
Sterlingcoin,https://coinmarketcap.com/static/img/coins/16x16/sterlingcoin.png,Cryptocurrency,Minable,SLG,,"$13,842",$0.01,"1,433,583",$377,http://transactions.sterlingcoin.org.uk,https://coinmarketcap.com/currencies/sterlingcoin/
Truckcoin,https://coinmarketcap.com/static/img/coins/16x16/truckcoin.png,Cryptocurrency,,TRK,,"$23,913",$0.00,"12,668,702",$562,http://truckcoin.net,https://coinmarketcap.com/currencies/truckcoin/
TrustPlus,https://coinmarketcap.com/static/img/coins/16x16/trustplus.png,Cryptocurrency,,TRUST,,"$23,909",$0.00,"30,959,343",$433,http://trustplus.co,https://coinmarketcap.com/currencies/trustplus/
UltraCoin,https://coinmarketcap.com/static/img/coins/16x16/ultracoin.png,Cryptocurrency,Minable,UTC,,"$500,611",$0.02,"21,212,867","$1,769",http://ultracoin.net/,https://coinmarketcap.com/currencies/ultracoin/
