Player,Team(s) when fined/suspended,Role when fined/suspended,Number of fines,Days of suspensions,Fined Amount,Age first fine (approximate),Date first fine,Date of Birth,Biography,Wikipedia Profile,Image
Ben Leber,San Diego Chargers,Linebacker,1,0,"$7,500",25.0,19/12/2003,07/12/1978,"Ben Leber (born December 7, 1978) is a retired American football linebacker in the National Football League (NFL). He was drafted by the San Diego Chargers in the third round of the 2002 NFL Draft and later played for the Minnesota Vikings .",http://en.wikipedia.org/wiki/Ben_Leber,
Brady Quinn,Cleveland Browns,Quarterback,1,0,"$7,500",25.1,18/11/2009,27/10/1984,"Brayden Tyler ""Brady"" Quinn (born October 27, 1984) is an American football quarterback who is currently a free agent. He is currently a college football and NFL game analyst for Fox Sports. He was drafted by the Cleveland Browns in the first round of the 2007 NFL Draft. He played college football at Notre Dame. ",http://en.wikipedia.org/wiki/Brady_Quinn,//upload.wikimedia.org/wikipedia/commons/e/e0/Brady_quinn_chiefs.jpg
Brandon Lloyd,Chicago Bears,Wide Receiver,1,0,"$7,500",27.4,05/12/2008,05/07/1981,"Brandon Matthew Lloyd (born July 5, 1981) is an American football wide receiver for the San Francisco 49ers of the National Football League (NFL). He played college football for the University of Illinois , and was drafted by the 49ers in the fourth round, 124th overall of the 2003 NFL Draft . Lloyd has also played for the Washington Redskins , Chicago Bears , Denver Broncos , St. Louis Rams , and New England Patriots .",http://en.wikipedia.org/wiki/Brandon_Lloyd,//upload.wikimedia.org/wikipedia/commons/0/00/Brandon_Lloyd_2014.JPG
Brian Price,Chicago Bears,Defensive Tackle,1,0,"$7,500",22.5,30/09/2011,10/04/1989,"Brian Larisso Price (born April 10, 1989) is an American football defensive tackle who is currently a free agent . After playing college football at the University of California, Los Angeles , he was drafted by the Tampa Bay Buccaneers in the second round of the 2010 NFL Draft . He played for the Buccaneers for two seasons. He was signed in the 2013 offseason by the Dallas Cowboys but then subsequently waived due to injury.",http://en.wikipedia.org/wiki/Brian_Price_(American_football),
Chad Lavalais,Atlanta Falcons,Defensive Tackle,1,0,"$7,500",26.4,15/09/2005,15/04/1979,"Chad Douglas Lavalais (born April 15, 1979) is a former American college and professional football player who was a defensive tackle in the National Football League (NFL) for two seasons. He played college football for Louisiana State University (LSU), earned All-American honors, and was a member of a BCS National Championship team. Thereafter, he played professionally for the NFL's Atlanta Falcons .",http://en.wikipedia.org/wiki/Chad_Lavalais,
Cody Grimm,Tampa Bay Buccaneers,Safety,1,0,"$7,500",23.7,19/11/2010,26/02/1987,"Cody James Grimm (born February 26, 1987) is an American football safety . He was drafted by the Buccaneers in the seventh round of the 2010 NFL Draft . He played college football at Virginia Tech .",http://en.wikipedia.org/wiki/Cody_Grimm,
Corey Graham,Chicago Bears,Cornerback,1,0,"$7,500",22.2,05/10/2007,25/07/1985,"Corey Dewayne Graham (born July 25, 1985) is an American football cornerback for the Buffalo Bills of the National Football League (NFL). was drafted by the Chicago Bears in the fifth round of the 2007 NFL Draft . He played college football at New Hampshire .",http://en.wikipedia.org/wiki/Corey_Graham,//upload.wikimedia.org/wikipedia/commons/b/bd/Corey_Graham.JPG
Damien Robinson,Seattle Seahawks,Safety,1,0,"$7,500",30.0,19/12/2003,22/12/1973,"Damien Robinson (born December 22, 1973 in Dallas, Texas , United States) is a former safety of the NFL . He played for the Tampa Bay Buccaneers , New York Jets , and Seattle Seahawks . He attended college at the University of Iowa .",http://en.wikipedia.org/wiki/Damien_Robinson,
Dave Tollefson,Oakland Raiders,Defense,1,0,"$7,500",28.4,16/10/2009,19/05/1981,"Dave Tollefson (born May 19, 1981) is a former American football defensive end . He was selected by the Green Bay Packers in the seventh round, with the 253rd pick of the 2006 NFL Draft . He played college football at Northwest Missouri State . Tollefson won two Super Bowls as a member of the New York Giants .",http://en.wikipedia.org/wiki/Dave_Tollefson,//upload.wikimedia.org/wikipedia/commons/b/be/Frank_Omiyale_blocking_Dave_Tollefson.jpg
David Thomas,New England Patriots,Tight End,1,0,"$7,500",25.3,07/11/2008,05/07/1983,"John David Thomas (born July 5, 1983) is an American football tight end who is currently a free agent . He was drafted by the New England Patriots of the National Football League in the third round of the 2006 NFL Draft , and also played for the New Orleans Saints . He played college football at Texas .",http://en.wikipedia.org/wiki/David_Thomas_(American_football),//upload.wikimedia.org/wikipedia/commons/6/68/David_Thomas_%28cropped%29.jpg
Demorrio Williams,Kansas City Chiefs,Linebacker,1,0,"$7,500",30.5,24/12/2010,06/06/1980,"Demorrio Dwain Williams (born July 6, 1980 in Beckville, Texas ) is an American football linebacker who is currently a free agent. He was drafted by the Atlanta Falcons in the fourth round of the 2004 NFL Draft . He played college football at Nebraska .",http://en.wikipedia.org/wiki/Demorrio_Williams,//upload.wikimedia.org/wikipedia/commons/7/74/Demorrio_Williams_2011.JPG
Dimitri Patterson,New England Patriots,Cornerback,1,0,"$7,500",27.5,24/12/2010,18/06/1983,"Dimitri Jonthiel Patterson (born June 18, 1983) is an American football cornerback who is currently a free agent . He was signed by the Washington Redskins as an undrafted free agent in 2005. He played college football at Tuskegee .",http://en.wikipedia.org/wiki/Dimitri_Patterson,//upload.wikimedia.org/wikipedia/commons/e/ee/Dimitri_Patterson_2013.jpg
Doug Legursky,Pittsburgh Steelers,Center,1,0,"$7,500",25.3,23/09/2011,09/06/1986,"Wayne Douglas ""Doug"" Legursky (born June 9, 1986) is an American football center for the San Diego Chargers of National Football League (NFL). He was signed by the Pittsburgh Steelers as an undrafted free agent in 2008. He played college football at Marshall .",http://en.wikipedia.org/wiki/Doug_Legursky,//upload.wikimedia.org/wikipedia/commons/c/c4/Doug_Legursky.JPG
Eric Barton,"New York Jets, Cleveland Browns",Linebacker,2,4,"$7,500",27.3,13/01/2005,29/09/1977,"Eric Barton (born September 29, 1977) is a former American football linebacker who played for twelve seasons in the National Football League . He played college football at Maryland before he was drafted by the Oakland Raiders in the fifth round of the 1999 NFL Draft . He played for the Raiders from 1999–2003, the New York Jets from 2004–2008, and the Cleveland Browns from 2009–2010.",http://en.wikipedia.org/wiki/Eric_Barton,
Frank Zombo,Green Bay Packers,Outside Linebacker,1,0,"$7,500",23.6,30/09/2010,05/03/1987,"Frank William Zombo III (born March 5, 1987) is an American football linebacker for the Kansas City Chiefs of the National Football League . He was signed by the Green Bay Packers as an undrafted free agent in 2010. He played college football at Central Michigan .",http://en.wikipedia.org/wiki/Frank_Zombo,//upload.wikimedia.org/wikipedia/commons/4/4f/Frank_Zombo_2014.JPG
Jacob Bell,St. Louis Rams,Guard,1,0,"$7,500",30.6,30/09/2011,02/03/1981,"Jacob Bell (born March 2, 1981) is a former American football guard . He was drafted by the Tennessee Titans in the fifth round of the 2004 NFL Draft . He played college football at Miami University .",http://en.wikipedia.org/wiki/Jacob_Bell_(American_football),
Jason Smith,St. Louis Rams,Left Tackle,1,0,"$7,500",25.4,30/09/2011,30/04/1986,"Jason Smith (born April 30, 1986) is an American football offensive tackle who is currently a free agent . He was drafted by the St. Louis Rams with the second overall pick in the 2009 NFL Draft . He played college football at Baylor University . Throughout his career he has been a member of the Rams, the New York Jets and the New Orleans Saints .",http://en.wikipedia.org/wiki/Jason_Smith_(American_football),
Jay Ratliff,Dallas Cowboys,Defensive Tackle,1,0,"$7,500",28.1,09/10/2009,29/08/1981,"Jeremiah Jerome Ratliff (born August 29, 1981), is an American football defensive tackle for the Chicago Bears of the National Football League (NFL). He played college football for Auburn University. He was drafted by the Dallas Cowboys in the seventh round of the 2005 NFL Draft, and he was selected to four straight Pro Bowls. ",http://en.wikipedia.org/wiki/Jeremiah_Ratliff,//upload.wikimedia.org/wikipedia/en/c/cf/Jayrat08.jpg
Joe Nedney,San Francisco 49ers,Kicker,1,0,"$7,500",34.6,01/11/2007,22/03/1973,"Joseph Thomas Nedney (born March 22, 1973) is a retired American football placekicker and current high school football coach. Born and raised in San Jose, California , Nedney played college football at San Jose State and signed as an undrafted player with the Miami Dolphins in 1996. He has played for the 49ers since 2005 after having played for the Dolphins, Arizona Cardinals , Baltimore Ravens , Oakland Raiders , Denver Broncos , Carolina Panthers , Tennessee Titans , and San Francisco 49ers .",http://en.wikipedia.org/wiki/Joe_Nedney,//upload.wikimedia.org/wikipedia/commons/f/f4/Joe_Nedney_on_field_pregame_at_Eagles_at_49ers_10-12-08.JPG
Jonathan Goff,New York Giants,Linebacker,1,0,"$7,500",24.8,08/10/2010,12/12/1985,"Jonathan Goff (born December 12, 1985) is a former American football linebacker in the National Football League (NFL). He was drafted by the New York Giants in the fifth round of the 2008 NFL Draft . He played college football at Vanderbilt .",http://en.wikipedia.org/wiki/Jonathan_Goff,
Julian Peterson,Seattle Seahawks,Linebacker,1,0,"$7,500",30.1,19/09/2008,28/07/1978,"Julian Thomas Peterson (born July 28, 1978) is a former American football linebacker who played in the National Football League (NFL) for eleven seasons. He was drafted by the San Francisco 49ers in the first round of the 2000 NFL Draft . He played college football for Michigan State University . Peterson also played for the Seattle Seahawks and the Detroit Lions .",http://en.wikipedia.org/wiki/Julian_Peterson,//upload.wikimedia.org/wikipedia/commons/b/b7/Julian_Peterson_Seahawks_2006.jpg
Justin Tuck,New York Giants,Defense,1,0,"$7,500",25.6,07/11/2008,29/03/1983,"Justin Lee Tuck (born March 29, 1983) is an American football defensive end for the Oakland Raiders of the National Football League (NFL). He played college football for the University of Notre Dame , and was drafted by the New York Giants in the third round of the 2005 NFL Draft .",http://en.wikipedia.org/wiki/Justin_Tuck,//upload.wikimedia.org/wikipedia/commons/3/35/2012_Packers_vs_Giants_-_Justin_Tuck.jpg
Kalimba Edwards,Oakland Raiders,Cornerback,1,0,"$7,500",28.8,05/10/2008,26/12/1979,"Kalimba Edwards (born December 26, 1979) is a former American football defensive end . He was originally drafted by the Detroit Lions in the second round of the 2002 NFL Draft . He played college football at South Carolina .",http://en.wikipedia.org/wiki/Kalimba_Edwards,
Larry English,San Diego Chargers,Outside Linebacker,1,0,"$7,500",23.8,25/10/2009,22/01/1986,"Larry English (born January 22, 1986) is an American football defensive end for the Tampa Bay Buccaneers of the National Football League (NFL). He was drafted by the San Diego Chargers in the first round of the 2009 NFL Draft . He played college football at Northern Illinois .",http://en.wikipedia.org/wiki/Larry_English,//upload.wikimedia.org/wikipedia/commons/3/37/Larry-English_Chargers-vs-49ers_Sept_4_2009.jpg
Larry Johnson,Kansas City Chiefs,Running Backs,1,0,"$7,500",28.0,10/11/2007,19/11/1979,"Larry Alphonso Johnson, Jr. (born November 19, 1979) is a former American football running back in the National Football League (NFL). He played college football for Penn State University , and was recognized as a unanimous All-American . He was drafted by the Kansas City Chiefs in the first round of the 2003 NFL Draft , and also played for the Cincinnati Bengals , Washington Redskins and Miami Dolphins of the NFL.",http://en.wikipedia.org/wiki/Larry_Johnson_(American_football),//upload.wikimedia.org/wikipedia/commons/7/7e/Larry_Johnson_Chiefs.jpg
Matthew Stafford,Detroit Lions,Quarterback,1,0,"$7,500",23.8,18/11/2011,07/02/1988,"John Matthew Stafford (born February 7, 1988) is an American football quarterback for the Detroit Lions of the National Football League (NFL). He was drafted by the Detroit Lions first overall in the 2009 NFL Draft . He played college football for the University of Georgia . He is the 4th quarterback in NFL history to throw over 5,000 yards in a single season , including one of three in the 2011 NFL season ( Drew Brees and Tom Brady ), and was the fastest player in NFL history to reach 20,000 passing yards (71 games).",http://en.wikipedia.org/wiki/Matthew_Stafford,
Maurice Jones-Drew,Jacksonville Jaguars,Running Backs,1,0,"$7,500",22.6,13/10/2007,23/03/1985,"Maurice Christopher Jones-Drew (born March 23, 1985) is an American football running back for the Oakland Raiders of the National Football League (NFL). Jones-Drew played college football at UCLA and received consensus All-American recognition.",http://en.wikipedia.org/wiki/Maurice_Jones-Drew,//upload.wikimedia.org/wikipedia/commons/0/07/Maurice_Jones-Drew_ESPNWeekend2010-066.jpg
Mohamed Massaquoi,Cleveland Browns,Wide Receiver,1,0,"$7,500",24.8,28/09/2011,24/11/1986,"Mohamed Jah Massaquoi ( /ˈmæsəkɔɪ/ MASS-ə-koy ; born November 24, 1986) is an American professional football wide receiver who is currently a free agent . He played college football at Georgia and was drafted by the Cleveland Browns in the second round of the 2009 NFL Draft .",http://en.wikipedia.org/wiki/Mohamed_Massaquoi,//upload.wikimedia.org/wikipedia/commons/1/17/Mohamed_Massaquoi_Catch.jpg
Omar Stoutmire,New York Giants,Safety,1,0,"$7,500",28.5,10/01/2003,09/07/1974,"Omar Array Stoutmire (born July 9, 1974 in Pensacola , Florida ) is a former American football safety in the National Football League . He played college football at Fresno State and was drafted by the Dallas Cowboys in the seventh round of the 1997 NFL Draft .",http://en.wikipedia.org/wiki/Omar_Stoutmire,
Philip Rivers,San Diego Chargers,Quarterback,1,0,"$7,500",27.8,18/09/2009,08/12/1981,"Philip Michael Rivers (born December 8, 1981) is an American football quarterback for the San Diego Chargers of the National Football League (NFL). Rivers was drafted in the first round of the 2004 NFL Draft with the fourth overall pick by the New York Giants , who traded him to the San Diego Chargers for their first overall pick, quarterback Eli Manning . Rivers played college football at North Carolina State University . Rivers' career passer rating of 96.0 is fourth-best all-time among NFL quarterbacks with at least 1,500 passing attempts. Known for his durability, he set a NCAA record with 51 consecutive starts, and is ranked 4th all-time in consecutive starts by a quarterback in NFL history.",http://en.wikipedia.org/wiki/Philip_Rivers,//upload.wikimedia.org/wikipedia/commons/2/27/Philip_Rivers_2008.JPG
Quincy Butler,St. Louis Rams,Cornerback,1,0,"$7,500",27.9,16/10/2009,25/11/1981,"Quincy Devone Butler (born November 25, 1981 in San Antonio, Texas ) is an American football cornerback for the Calgary Stampeders of the Canadian Football League. He was signed by the Dallas Cowboys as an undrafted free agent in 2006. He played college football at Texas Christian University .",http://en.wikipedia.org/wiki/Quincy_Butler,
Quintin Mikell,Philadelphia Eagles,Safety,1,0,"$7,500",30.1,08/10/2010,16/09/1980,"Quintin Perry Mikell (born September 16, 1980) is an American football safety who is currently a free agent , and last played for the Carolina Panthers of the National Football League (NFL). He played college football for Boise State University . Mikell was signed by the Philadelphia Eagles as an undrafted free agent in 2003, and has also played for the NFL's St. Louis Rams .",http://en.wikipedia.org/wiki/Quintin_Mikell,//upload.wikimedia.org/wikipedia/commons/4/45/Quintin_Mikell.jpg
Reggie Nelson,Jacksonville Jaguars,Safety,1,0,"$7,500",26.2,21/11/2009,21/09/1983,"Reggie Lee Nelson (born September 21, 1983) is an American professional football player who is a safety for the Cincinnati Bengals of the National Football League (NFL). Nelson played college football for the University of Florida , where he was a member of a national championship team and earned consensus All-American honors. A first-round pick in the 2007 NFL Draft , he has played professionally for the Jacksonville Jaguars and Cincinnati Bengals of the NFL.",http://en.wikipedia.org/wiki/Reggie_Nelson,//upload.wikimedia.org/wikipedia/commons/7/79/ReggieNelson.jpg
Robert Gallery,Oakland Raiders,Tackle,1,0,"$7,500",27.2,17/10/2007,26/07/1980,"Robert J. Gallery (born July 26, 1980) is an American former college and professional football player who was a guard in the National Football League (NFL) for eight seasons. He played college football for the University of Iowa , and received unanimous All-American recognition. The Oakland Raiders selected him with the second overall pick in the 2004 NFL Draft , and he also played for the Seattle Seahawks .",http://en.wikipedia.org/wiki/Robert_Gallery,//upload.wikimedia.org/wikipedia/commons/f/f4/Robert_Gallery.JPG
Stephen Peterman,Detroit Lions,Guard,1,0,"$7,500",28.8,22/10/2010,11/01/1982,"Stephen Frederick Peterman (born January 11, 1982) is a former American football guard who played for the Dallas Cowboys and the Detroit Lions . He played college football at Louisiana State University .",http://en.wikipedia.org/wiki/Stephen_Peterman,//upload.wikimedia.org/wikipedia/commons/4/43/Stephen_Peterman.JPG
Terry Cousin,New York Giants,Cornerback,1,0,"$7,500",29.6,01/10/2004,11/03/1975,"Terry Sean Cousin (born March 11, 1975) is a former American football cornerback . He was signed by the Chicago Bears as an undrafted free agent in 1997. He played college football at South Carolina .",http://en.wikipedia.org/wiki/Terry_Cousin,//upload.wikimedia.org/wikipedia/commons/0/0c/Terry_Cousin.jpg
Todd Weiner,Atlanta Falcons,Tackle,1,0,"$7,500",33.0,31/08/2008,16/09/1975,"Todd Michael Weiner (born September 16, 1975 in Bristol, Pennsylvania ) is former American football offensive tackle of the National Football League . He was drafted by the Seattle Seahawks in the second round of the 1998 NFL Draft . He played college football at Kansas State .",http://en.wikipedia.org/wiki/Todd_Weiner,//upload.wikimedia.org/wikipedia/commons/9/9e/Todd-Weiner-Falcons-vs-Broncos-Nov-20-08.jpg
Trevor Scott,Oakland Raiders,Defense,1,0,"$7,500",25.1,16/10/2009,30/08/1984,"Trevor John Scott (born August 30, 1984) is an American football defensive end for the Chicago Bears of the National Football League (NFL). He was drafted by the Oakland Raiders in the sixth round of the 2008 NFL Draft . He played college football for the University at Buffalo .",http://en.wikipedia.org/wiki/Trevor_Scott,//upload.wikimedia.org/wikipedia/commons/f/f7/Trevor_Scott.JPG
Vince Young,Tennessee Titans,Quarterback,1,0,"$7,500",24.3,22/09/2007,18/05/1983,"Vincent Paul Young, Jr. (born May 18, 1983) is a former American football player who was a quarterback in the National Football League (NFL) for six seasons. Young was drafted by the Tennessee Titans with the third overall pick in the 2006 NFL Draft . He spent the first five seasons of his career with the Titans. In his rookie season, Young was named the NFL Offensive Rookie of the Year and was invited to join the AFC Pro Bowl team after San Diego's Philip Rivers had to pull out because of an injury and other quarterbacks either declined the invitation or were injured. In 2009, Young earned his second Pro Bowl selection and was named Sporting News NFL Comeback Player of the Year .",http://en.wikipedia.org/wiki/Vince_Young,//upload.wikimedia.org/wikipedia/commons/2/25/Vince-Young.jpg
Willie McGinest,New England Patriots,Linebacker,1,0,"$7,500",30.9,08/11/2002,11/12/1971,"William Lee McGinest, Jr. (born December 11, 1971) is a former American football linebacker who played fifteen seasons in the National Football League (NFL).",http://en.wikipedia.org/wiki/McGinest,//upload.wikimedia.org/wikipedia/commons/c/cc/Willie_McGinest_at_ESPN_Weekend_2008.jpg
Aaron Ross,New York Giants,Cornerback,1,0,"$7,785",30.9,23/08/2013,15/09/1982,"Aaron Jermaine Ross (born in September 15, 1982) is an American football cornerback for the Baltimore Ravens of the National Football League (NFL). He was drafted by the New York Giants in the first round of the 2007 NFL Draft . He played college football at Texas , where he won the Jim Thorpe Award for the nation's top defensive back in 2006.",http://en.wikipedia.org/wiki/Aaron_Ross,//upload.wikimedia.org/wikipedia/commons/d/d1/Aaron_Ross_stretch.jpg
John Wendling,Detroit Lions,Safety,1,0,"$7,857",29.3,21/09/2012,04/06/1983,"John Wendling (born June 4, 1983) is an American football safety who is currently a free agent. He was drafted by the Buffalo Bills in the sixth round (184th overall) of the 2007 NFL Draft . He played college football at Wyoming .",http://en.wikipedia.org/wiki/John_Wendling,//upload.wikimedia.org/wikipedia/commons/f/fa/Detroit_Lions_safety_John_Wendling.jpg
Aaron Maybin,New York Jets,Outside Linebacker,1,0,"$7,875",31.1,19/10/2012,02/09/1981,"Michael Lee Smith (born September 2, 1981) is the defensive coordinator at Texas Tech University . A retired American football linebacker , he played for the Baltimore Ravens of the National Football League and Texas Tech at the collegiate level. He was drafted by the Ravens in the seventh round of the 2005 NFL Draft .",http://en.wikipedia.org/wiki/Mike_Smith_(linebacker),//upload.wikimedia.org/wikipedia/commons/2/24/Mike_Smith_LB.jpg
Adam Snyder,San Francisco 49ers,Guard,1,0,"$7,875",31.9,06/12/2013,30/01/1982,"Adam Richard Snyder (born January 30, 1982) is an American football guard for the New York Giants of the National Football League . He was drafted in the third round in the 2005 NFL Draft by the San Francisco 49ers . He has also played for the Arizona Cardinals for one season.",http://en.wikipedia.org/wiki/Adam_Snyder,//upload.wikimedia.org/wikipedia/commons/4/42/Adam_Snyder_at_49ers_training_camp_2010-08-11.JPG
Andre Caldwell,Denver Broncos,Wide Receiver,1,0,"$7,875",28.4,23/08/2013,15/04/1985,"Andre Jerome Caldwell (born April 15, 1985), nicknamed Bubba Caldwell , is an American professional football wide receiver and kickoff returner for the Denver Broncos of the National Football League (NFL). Caldwell played college football for the University of Florida , where he was a member of a BCS National Championship team. A third-round pick in the 2008 NFL Draft , he has played professionally for the Cincinnati Bengals and the Denver Broncos.",http://en.wikipedia.org/wiki/Andre_Caldwell,//upload.wikimedia.org/wikipedia/commons/c/cb/Andre_Caldwell_2012.JPG
Arthur Moats,Buffalo Bills,Outside Linebacker,1,0,"$7,875",25.5,13/09/2013,14/03/1988,"Arthur Moats (born March 14, 1988) is an American football linebacker for the Pittsburgh Steelers of the National Football League (NFL). He was drafted by the Buffalo Bills in the sixth round of the 2010 NFL Draft . Moats played college football at James Madison , where he was team captain. He is well known for delivering the hit on Minnesota Vikings quarterback Brett Favre that ended Favre's streak of consecutive starts the following week at 297. ",http://en.wikipedia.org/wiki/Arthur_Moats,//upload.wikimedia.org/wikipedia/commons/5/54/Arthur_Moats.JPG
Cassius Vaughn,Indianapolis Colts,Cornerback,1,0,"$7,875",25.0,09/11/2012,03/11/1987,"Cassius M. Vaughn (born November 3, 1987) is an American football cornerback for the Detroit Lions of the National Football League (NFL). He was signed by the Denver Broncos as an undrafted free agent in 2010. He played college football at Ole Miss .",http://en.wikipedia.org/wiki/Cassius_Vaughn,//upload.wikimedia.org/wikipedia/commons/1/1d/Cassius_Vaughn.JPG
Charles Johnson,Carolina Panthers,Defense,1,0,"$7,875",26.2,05/10/2012,10/07/1986,"Charles Johnson (born July 10, 1986, in Hawkinsville, Georgia ) is an American football defensive end for the Carolina Panthers of the National Football League . He was drafted by the Panthers in the third round of the 2007 NFL Draft . He played college football at Georgia .",http://en.wikipedia.org/wiki/Charles_Johnson_%28defensive_end%29,
Chase Reynolds,St. Louis Rams,Running Backs,1,0,"$7,875",26.2,03/01/2014,22/10/1987,"Chase Reynolds (born October 22, 1987) is an American football running back for the St. Louis Rams of the National Football League . He was signed by the Seattle Seahawks as an undrafted free agent in 2011. He played college football at Montana .",http://en.wikipedia.org/wiki/Chase_Reynolds,//upload.wikimedia.org/wikipedia/commons/a/af/Ramsreynolds2013.jpg
Chris Crocker,Cincinnati Bengals,Safety,1,0,"$7,875",33.7,15/11/2013,09/03/1980,"Christopher Alan Crocker (born March 9, 1980) is an American football safety who is currently a free agent. He was drafted by the Cleveland Browns in the third round of the 2003 NFL Draft . He played college football at Marshall .",http://en.wikipedia.org/wiki/Chris_Crocker_(American_football),//upload.wikimedia.org/wikipedia/commons/f/f7/Chris_Crocker_%28American_football%29.JPG
Chris Williams,St. Louis Rams,Guard,1,0,"$7,875",27.4,04/01/2013,26/08/1985,"Christopher Joseph Williams (born August 26, 1985) is an American football guard for the Buffalo Bills of the National Football League (NFL). He was drafted by the Chicago Bears 14th overall in the 2008 NFL Draft. He played college football at Vanderbilt. ",http://en.wikipedia.org/wiki/Chris_Williams_(offensive_lineman),//upload.wikimedia.org/wikipedia/commons/4/4f/WilliamsChris81513.jpg
Cory Redding,Indianapolis Colts,Defense,1,0,"$7,875",31.9,12/10/2012,15/11/1980,"Cory Bartholomew Redding (born November 15, 1980) is an American football defensive end for the Indianapolis Colts of the National Football League . He was drafted by the Detroit Lions in the third round of the 2003 NFL Draft . He played college football at Texas .",http://en.wikipedia.org/wiki/Cory_Redding,//upload.wikimedia.org/wikipedia/commons/3/3a/Cory_Redding.JPG
D.J. Swearinger,Houston Texans,Safety,1,0,"$7,875",22.3,14/12/2013,01/09/1991,"Dayarlo Jamal ""D. J."" Swearinger (pronounced SWAIR-in-jər ; born September 1, 1991) is an American football safety for the Houston Texans of the National Football League (NFL). He played college football for the University of South Carolina . The Houston Texans chose him in the second round of the 2013 NFL Draft .",http://en.wikipedia.org/wiki/D._J._Swearinger,//upload.wikimedia.org/wikipedia/commons/2/23/D._J._Swearinger.JPG
D'Qwell Jackson,Cleveland Browns,Inside Linebacker,1,0,"$7,875",29.1,26/10/2012,26/09/1983,"D'Qwell Jackson (born September 26, 1983) is an American football linebacker for the Indianapolis Colts of the National Football League. He was drafted by the Cleveland Browns in the second round of the 2006 NFL Draft. He played college football at the University of Maryland. ",http://en.wikipedia.org/wiki/D'Qwell_Jackson,//upload.wikimedia.org/wikipedia/commons/f/fe/D%27Qwell_Jackson.JPG
Damontre Moore,New York Giants,Defense,1,0,"$7,875",21.1,25/10/2013,11/09/1992,"Damontre Moore (born September 11, 1992) is an American football defensive end for the New York Giants of the National Football League (NFL). Moore played college football for Texas A&M University and earned All-American honors. The New York Giants picked him in the third round of the 2013 NFL Draft .",http://en.wikipedia.org/wiki/Damontre_Moore,
Daniel Te'o-Nesheim,Tampa Bay Buccaneers,Defense,1,0,"$7,875",26.3,13/09/2013,12/06/1987,"Daniel Te'o-Nesheim ( /tʌˌoʊnɛˈsiːm/ ; born Daniel Nesheim on June 12, 1987) is an American football defensive end who is a free agent. He was drafted by the Philadelphia Eagles in the third round of the 2010 NFL Draft . He played college football at Washington .",http://en.wikipedia.org/wiki/Daniel_Te'o-Nesheim,//upload.wikimedia.org/wikipedia/commons/0/05/Daniel_Te%27o-Nesheim.JPG
David Baas,New York Giants,Center,1,0,"$7,875",31.0,21/09/2012,28/09/1981,"David Andrew Baas (born September 28, 1981) is an American football center who is currently a free agent . He played college football for the University of Michigan , and was recognized as a consensus All-American and the top college center. The San Francisco 49ers selected him in the second round of the 2005 NFL Draft , and he was a member of the New York Giants' Super Bowl XLVI championship team.",http://en.wikipedia.org/wiki/David_Baas,//upload.wikimedia.org/wikipedia/commons/6/68/David_Baas_at_49ers_training_camp_2010-08-11_2.JPG
David Nelson,New York Jets,Wide Receiver,1,0,"$7,875",27.0,01/11/2013,07/11/1986,"David Alan Nelson (born November 7, 1986) is an American football wide receiver who is currently a free agent . He played college football for the University of Florida , where he was a member of two BCS National Championship teams. He was signed by the Buffalo Bills of the National Football League (NFL) as an undrafted free agent in 2010. He has also played for the New York Jets .",http://en.wikipedia.org/wiki/David_Nelson_(American_football),//upload.wikimedia.org/wikipedia/commons/1/1c/David_Nelson_%28American_football%29.JPG
Dez Bryant,Dallas Cowboys,Wide Receiver,1,0,"$7,875",24.9,25/09/2013,04/11/1988,"Dez Bryant (born November 4, 1988) is an American football wide receiver for the Dallas Cowboys of the National Football League (NFL). He played college football for Oklahoma State University , and earned All-American honors. He was chosen by the Dallas Cowboys number 24 overall in the first round of the 2010 NFL Draft .",http://en.wikipedia.org/wiki/Dez_Bryant,//upload.wikimedia.org/wikipedia/commons/6/6b/Dez_Bryant_at_training_camp.jpg
Dominique Rodgers-Cromartie,Philadelphia Eagles,Cornerback,1,0,"$7,875",26.5,28/09/2012,07/04/1986,"Dominique Reshard Rodgers-Cromartie (born April 7, 1986) is an American football cornerback for the New York Giants of the National Football League (NFL). He played college football for Tennessee State University . He was drafted by the Arizona Cardinals with the 16th overall pick in the 2008 NFL Draft . Rodgers-Cromartie has also played for the Philadelphia Eagles and Denver Broncos .",http://en.wikipedia.org/wiki/Dominique_Rodgers-Cromartie,//upload.wikimedia.org/wikipedia/commons/a/a8/Dominique_Rodgers-Cromartie.JPG
Donald Penn,Tampa Bay Buccaneers,Left Tackle,1,0,"$7,875",29.5,02/11/2012,27/04/1983,"Donald Ward Penn (born April 27, 1983) is an American football offensive tackle for the Oakland Raiders of the National Football League (NFL). He played college football for Utah State University , and was signed by the Minnesota Vikings as an undrafted free agent in 2006. He also played for the Tampa Bay Buccaneers for eight seasons.",http://en.wikipedia.org/wiki/Donald_Penn,//upload.wikimedia.org/wikipedia/commons/5/5d/Donald_Penn.JPG
Dwayne Allen,Indianapolis Colts,Tight End,1,0,"$7,875",22.6,21/09/2012,24/02/1990,"Dwayne Lamont Allen (born February 24, 1990) is an American football tight end for the Indianapolis Colts of the National Football League (NFL). He played college football for Clemson University , earned consensus All-American honors, and was recognized as the most outstanding college tight end in 2011. He was selected by the Colts in the third round of the 2012 NFL Draft , and was considered one of the top tight end prospects for 2012. ",http://en.wikipedia.org/wiki/Dwayne_Allen,
