ID,City,County,Number of Starbucks,Starbucks per million inhabitants,Starbucks per 10 sq. mile,Median Age,Median Household Income,2010 Population,Percentage of white population,Land Area (Sq. miles),Number of Starbucks (Rank),Starbucks per million inhabitants (Rank),Starbucks per sq. mile (Rank),Median Age (Rank),Median Household Income (Rank),Percentage of white population (Rank)
Davis - Yolo County,Davis,Yolo County,8,122,8.09,25.2,"$61,182",65622,65,9.89,352,288,386,10,199,213
Pacifica - San Mateo County,Pacifica,San Mateo County,4,107,3.16,41.5,"$93,436",37234,65,12.66,247,257,206,334,370,214
Modesto - Stanislaus County,Modesto,Stanislaus County,16,80,4.34,34.2,"$49,852",201165,65,36.87,409,171,288,159,106,215
Gridley - Butte County,Gridley,Butte County,1,152,4.83,33.1,"$36,563",6584,65,2.07,1,337,315,125,23,216
La Crescenta - Los Angeles County,La Crescenta,Los Angeles County,4,204,11.66,41.6,"$83,048",19653,65,3.43,247,376,417,337,340,217
Morgan Hill - Santa Clara County,Morgan Hill,Santa Clara County,7,185,5.43,36.8,"$94,301",37882,65,12.88,339,365,336,222,372,218
Oceanside - San Diego County,Oceanside,San Diego County,10,60,2.43,35.2,"$63,394",167086,65,41.23,376,107,144,182,217,219
Atwater - Merced County,Atwater,Merced County,3,107,4.93,30,"$40,752",28168,65,6.09,190,252,317,58,43,220
Tehachapi - Kern County,Tehachapi,Kern County,1,69,1.01,34.4,"$46,250",14414,65,9.87,1,135,51,162,81,221
Upland - San Bernardino County,Upland,San Bernardino County,4,54,2.56,36.1,"$67,449",73732,66,15.62,247,91,155,205,245,222
Naval Air Station Lemoore - Military Area,Naval Air Station Lemoore,Military Area,1,134,2.38,22.5,"$42,225",7438,66,4.21,1,310,136,2,55,223
Riverbank - Stanislaus County,Riverbank,Stanislaus County,3,132,7.33,31,"$59,779",22678,66,4.09,190,306,379,78,186,224
Crescent City - Del Norte County,Crescent City,Del Norte County,1,131,5.10,34.9,"$30,058",7643,66,1.96,1,305,322,173,5,225
Vacaville - Solano County,Vacaville,Solano County,8,87,2.82,37.2,"$73,302",92428,66,28.37,352,195,182,237,282,226
Sand City - Monterey County,Sand City,Monterey County,2,5988,35.71,34.1,"$39,500",334,67,0.56,113,431,428,154,38,227
Bonita - San Diego County,Bonita,San Diego County,2,160,4.00,43.9,"$75,670",12538,67,5,113,348,257,373,292,228
Campbell - Santa Clara County,Campbell,Santa Clara County,7,178,12.07,38.3,"$82,687",39349,67,5.8,339,361,418,263,338,229
Pleasanton - Alameda County,Pleasanton,Alameda County,7,100,2.90,40.5,"$118,713",70285,67,24.11,339,236,189,308,412,230
Fallbrook - San Diego County,Fallbrook,San Diego County,1,33,0.57,34.7,"$58,279",30534,67,17.53,1,29,19,166,176,231
Prunedale - Monterey County,Prunedale,Monterey County,2,114,0.43,40.1,"$76,431",17560,67,46.05,113,269,10,296,300,232
Orange - Orange County,Orange,Orange County,13,95,5.24,34.8,"$78,654",136416,67,24.8,400,223,329,170,317,233
Brea - Orange County,Brea,Orange County,8,204,6.62,38.7,"$81,278",39282,67,12.08,352,377,368,269,330,234
Belmont - San Mateo County,Belmont,San Mateo County,3,116,6.49,40.9,"$100,417",25835,68,4.62,190,274,362,325,388,235
Hemet - Riverside County,Hemet,Riverside County,4,51,1.44,39,"$34,273",78657,68,27.85,247,81,75,277,13,236
Burlingame - San Mateo County,Burlingame,San Mateo County,5,174,11.34,40.5,"$79,760",28806,68,4.41,285,356,416,308,322,237
Brentwood - Contra Costa County,Brentwood,Contra Costa County,1,19,0.68,35.6,"$87,642",51481,68,14.79,1,5,26,191,357,238
Costa Mesa - Orange County,Costa Mesa,Orange County,16,146,10.22,33.6,"$65,471",109960,69,15.65,409,326,410,137,235,239
Lodi - San Joaquin County,Lodi,San Joaquin County,6,97,4.41,34.3,"$49,318",62134,69,13.61,309,227,293,160,103,240
La Cañada Flintridge - Los Angeles County,La Cañada Flintridge,Los Angeles County,2,99,2.32,45.9,"$148,214",20246,69,8.63,113,234,133,393,426,241
Redlands - San Bernardino County,Redlands,San Bernardino County,7,102,1.94,36.2,"$68,015",68747,69,36.13,339,240,102,207,249,242
Cabazon - Riverside County,Cabazon,Riverside County,1,394,2.05,31.4,"$30,288",2535,69,4.87,1,405,111,86,6,243
Apple Valley - San Bernardino County,Apple Valley,San Bernardino County,4,58,0.55,37,"$50,664",69135,69,73.19,247,101,16,228,113,244
El Cajon - San Diego County,El Cajon,San Diego County,13,131,9.01,33.7,"$47,303",99478,69,14.43,400,304,397,142,88,245
Wildomar - Riverside County,Wildomar,Riverside County,3,93,1.27,34.6,"$63,519",32176,70,23.69,190,216,65,164,219,246
Goleta - Santa Barbara County,Goleta,Santa Barbara County,3,100,3.80,36.5,"$72,870",29888,70,7.9,190,238,251,216,278,247
Murrieta - Riverside County,Murrieta,Riverside County,9,87,2.68,33.4,"$80,792",103466,70,33.58,365,197,169,132,327,248
Willows - Glenn County,Willows,Glenn County,1,162,3.51,32.6,"$43,493",6166,70,2.85,1,350,229,117,65,249
Turlock - Stanislaus County,Turlock,Stanislaus County,6,88,3.54,32.5,"$50,862",68549,70,16.93,309,202,231,110,117,250
Gustine - Merced County,Gustine,Merced County,1,181,6.45,35.3,"$45,639",5520,70,1.55,1,364,361,184,76,251
Menlo Park - San Mateo County,Menlo Park,San Mateo County,6,187,6.13,38.7,"$111,244",32026,70,9.79,309,370,353,269,400,252
Lake Forest - Orange County,Lake Forest,Orange County,6,78,3.37,37.2,"$94,632",77264,70,17.82,309,165,222,237,375,253
San Rafael - Marin County,San Rafael,Marin County,7,121,4.25,40.2,"$71,343",57713,71,16.47,339,286,278,299,269,254
Los Altos - Santa Clara County,Los Altos,Santa Clara County,3,104,4.62,46.2,"$151,856",28976,71,6.49,190,244,306,399,428,255
Claremont - Los Angeles County,Claremont,Los Angeles County,4,115,3.00,38.6,"$81,715",34926,71,13.35,247,270,194,268,332,256
Temecula - Riverside County,Temecula,Riverside County,11,110,3.65,33.4,"$76,276",100097,71,30.15,385,262,240,132,299,257
Clovis - Fresno County,Clovis,Fresno County,10,105,4.30,34.1,"$65,300",95631,71,23.28,376,247,285,154,232,258
Santa Clarita - Los Angeles County,Santa Clarita,Los Angeles County,18,102,3.41,36.2,"$83,579",176320,71,52.72,417,241,225,207,342,259
Dixon - Solano County,Dixon,Solano County,2,109,2.86,33.3,"$72,626",18351,71,7,113,260,186,130,276,260
Santa Rosa - Sonoma County,Santa Rosa,Sonoma County,20,119,4.84,36.7,"$60,850",167815,71,41.29,419,282,316,218,194,261
Los Alamitos - Orange County,Los Alamitos,Orange County,1,87,2.47,38.7,"$79,861",11449,71,4.05,1,201,149,269,323,262
Marysville - Yuba County,Marysville,Yuba County,1,83,2.89,32.5,"$37,836",12072,71,3.46,1,181,187,110,32,263
Glendale - Los Angeles County,Glendale,Los Angeles County,13,68,4.27,41,"$54,087",191719,71,30.45,400,131,280,327,151,264
Byron - Contra Costa County,Byron,Contra Costa County,1,783,1.54,32,"$71,483",1277,71,6.49,1,422,84,100,272,265
Menifee - Riverside County,Menifee,Riverside County,2,26,0.43,38.1,"$54,068",77519,72,46.47,113,10,9,258,150,266
Castaic - Los Angeles County,Castaic,Los Angeles County,2,105,2.75,35.6,"$100,625",19015,72,7.26,113,248,176,191,390,267
Twentynine Palms - San Bernardino County,Twentynine Palms,San Bernardino County,1,40,0.17,23.5,"$43,412",25048,72,59.14,1,44,1,5,63,268
Carpinteria - Santa Barbara County,Carpinteria,Santa Barbara County,2,153,7.72,39.5,"$68,498",13040,72,2.59,113,338,385,286,255,269
La Mesa - San Diego County,La Mesa,San Diego County,9,158,9.91,37.1,"$54,519",57065,72,9.08,365,346,407,234,155,270
Corning - Tehama County,Corning,Tehama County,1,130,2.82,29.2,"$38,225",7663,72,3.55,1,302,181,43,33,271
Aliso Viejo - Orange County,Aliso Viejo,Orange County,3,63,4.02,35.1,"$99,095",47823,72,7.47,190,115,259,180,385,272
San Dimas - Los Angeles County,San Dimas,Los Angeles County,4,120,2.66,42.6,"$74,610",33371,72,15.04,247,284,167,355,285,273
Ukiah - Mendocino County,Ukiah,Mendocino County,3,187,6.42,35.9,"$45,577",16075,72,4.67,190,368,360,198,74,274
Benicia - Solano County,Benicia,Solano County,4,148,3.09,42.9,"$90,338",26997,72,12.93,247,332,200,361,365,275
Laguna Hills - Orange County,Laguna Hills,Orange County,3,99,4.50,40.8,"$85,971",30344,73,6.67,190,235,297,322,353,276
Burbank - Los Angeles County,Burbank,Los Angeles County,16,155,9.23,38.9,"$66,024",103340,73,17.34,409,340,399,274,240,277
Valley Center - San Diego County,Valley Center,San Diego County,1,108,0.36,42.1,"$82,379",9277,73,27.43,1,258,6,347,336,278
Nipomo - San Luis Obispo County,Nipomo,San Luis Obispo County,2,120,1.35,37,"$61,265",16714,73,14.85,113,283,70,228,201,279
South Lake Tahoe - El Dorado County,South Lake Tahoe,El Dorado County,4,187,3.94,35.6,"$41,685",21403,74,10.16,247,369,254,191,46,280
Edwards Air Force Base - Kern County,Edwards Air Force Base,Kern County,1,485,0.58,23,"$77,629",2063,74,17.13,1,409,20,4,311,281
Gold River - Sacramento County,Gold River,Sacramento County,1,126,3.79,49.7,"$112,111",7912,74,2.64,1,295,250,422,402,282
Windsor - Sonoma County,Windsor,Sonoma County,4,149,5.50,37,"$77,157",26801,74,7.27,247,333,338,228,308,283
Bishop - Inyo County,Bishop,Inyo County,2,516,10.75,38.9,"$34,258",3879,74,1.86,113,411,413,274,12,284
Healdsburg - Sonoma County,Healdsburg,Sonoma County,2,178,4.48,40.8,"$63,666",11254,74,4.46,113,360,296,322,220,285
La Verne - Los Angeles County,La Verne,Los Angeles County,4,129,4.74,42.9,"$77,088",31063,74,8.43,247,298,311,361,306,286
Folsom - Sacramento County,Folsom,Sacramento County,12,166,5.47,37.6,"$95,143",72203,74,21.95,393,352,337,245,378,287
Santa Cruz - Santa Cruz County,Santa Cruz,Santa Cruz County,2,33,1.57,29.9,"$63,110",59946,75,12.74,113,30,87,55,213,288
Redondo Beach - Los Angeles County,Redondo Beach,Los Angeles County,6,90,9.68,39.3,"$94,982",66748,75,6.2,309,205,402,282,377,289
Livermore - Alameda County,Livermore,Alameda County,11,136,4.37,38.3,"$96,322",80968,75,25.17,385,312,292,263,380,290
Fort Bragg - Mendocino County,Fort Bragg,Mendocino County,1,137,3.64,37.4,"$35,030",7273,75,2.75,1,314,239,241,17,291
Cloverdale - Sonoma County,Cloverdale,Sonoma County,1,116,3.77,39.7,"$56,649",8618,75,2.65,1,273,249,289,165,292
Pleasant Hill - Contra Costa County,Pleasant Hill,Contra Costa County,6,181,8.49,40.7,"$78,765",33152,75,7.07,309,363,392,317,318,293
Glendora - Los Angeles County,Glendora,Los Angeles County,4,80,2.06,40.2,"$75,939",50073,75,19.39,247,172,113,299,296,294
Camarillo - Ventura County,Camarillo,Ventura County,6,92,3.07,40.8,"$84,168",65201,75,19.53,309,213,198,322,345,295
Napa - Napa County,Napa,Napa County,9,117,5.04,37.4,"$62,642",76915,75,17.84,365,277,320,241,210,296
Yorba Linda - Orange County,Yorba Linda,Orange County,3,47,1.54,41.7,"$115,291",64234,75,19.48,190,65,83,339,409,297
Santa Barbara - Santa Barbara County,Santa Barbara,Santa Barbara County,8,90,4.11,36.8,"$63,401",88410,75,19.47,352,209,266,222,218,298
Moorpark - Ventura County,Moorpark,Ventura County,3,87,2.38,34.7,"$103,009",34421,75,12.58,190,199,137,166,393,299
Simi Valley - Ventura County,Simi Valley,Ventura County,12,97,2.89,37.8,"$89,452",124237,75,41.48,393,228,188,247,363,300
Kingsburg - Fresno County,Kingsburg,Fresno County,1,88,3.53,33.7,"$58,091",11382,75,2.83,1,203,230,142,175,301
Palm Springs - Riverside County,Palm Springs,Riverside County,7,157,0.74,51.6,"$45,989",44552,76,94.12,339,345,29,424,77,302
Grover Beach - San Luis Obispo County,Grover Beach,San Luis Obispo County,1,76,4.33,36.9,"$47,708",13156,76,2.31,1,159,287,226,92,303
Half Moon Bay - San Mateo County,Half Moon Bay,San Mateo County,1,88,1.56,43.2,"$96,208",11324,76,6.42,1,204,86,367,379,304
Novato - Marin County,Novato,Marin County,6,116,2.19,42.6,"$78,628",51904,76,27.44,309,271,121,355,316,305
Rohnert Park - Sonoma County,Rohnert Park,Sonoma County,6,146,8.57,33,"$56,950",40971,76,7,309,329,393,120,169,306
Moraga - Contra Costa County,Moraga,Contra Costa County,2,125,2.12,45,"$121,875",16016,76,9.43,113,293,116,384,414,307
Norco - Riverside County,Norco,Riverside County,3,111,2.15,39.5,"$84,812",27063,76,13.96,190,263,119,286,348,308
Ventura - Ventura County,Ventura,Ventura County,12,113,5.54,39,"$66,226",106433,77,21.65,393,267,339,277,242,309
Huntington Beach - Orange County,Huntington Beach,Orange County,18,95,6.73,40.2,"$80,901",189992,77,26.75,417,220,371,299,328,310
Poway - San Diego County,Poway,San Diego County,4,84,1.02,41.3,"$94,872",47811,77,39.08,247,186,52,331,376,311
Martinez - Contra Costa County,Martinez,Contra Costa County,5,140,4.12,42.2,"$79,705",35824,77,12.13,285,318,268,349,321,312
San Juan Capistrano - Orange County,San Juan Capistrano,Orange County,3,87,2.12,40.2,"$73,806",34593,77,14.12,190,196,117,299,284,313
Rolling Hills - Los Angeles County,Rolling Hills,Los Angeles County,3,1613,10.03,51.7,"$69,226",1860,77,2.99,190,428,409,425,258,314
Ridgecrest - Kern County,Ridgecrest,Kern County,2,72,0.96,33.8,"$59,830",27616,77,20.77,113,150,48,147,187,315
Santa Monica - Los Angeles County,Santa Monica,Los Angeles County,20,223,23.78,40.4,"$71,400",89736,78,8.41,419,384,426,305,270,316
Paso Robles - San Luis Obispo County,Paso Robles,San Luis Obispo County,6,201,3.14,35.3,"$57,927",29793,78,19.12,309,374,202,184,173,317
Ladera Ranch - Orange County,Ladera Ranch,Orange County,2,87,4.08,32.4,"$132,475",22980,78,4.9,113,198,264,107,421,318
El Segundo - Los Angeles County,El Segundo,Los Angeles County,6,360,10.99,39.2,"$88,486",16654,78,5.46,309,402,415,281,360,319
Rancho Santa Margarita - Orange County,Rancho Santa Margarita,Orange County,7,146,5.40,36,"$104,167",47853,78,12.96,339,328,333,200,394,320
Ramona - San Diego County,Ramona,San Diego County,2,99,0.52,36.7,"$64,454",20292,78,38.41,113,233,13,218,228,321
Monterey - Monterey County,Monterey,Monterey County,4,144,4.72,36.9,"$62,720",27810,78,8.47,247,325,310,226,211,322
Lebec - Kern County,Lebec,Kern County,1,681,0.65,40.6,"$61,020",1468,78,15.33,1,418,23,312,197,323
Walnut Creek - Contra Costa County,Walnut Creek,Contra Costa County,13,203,6.58,47.9,"$84,722",64173,79,19.76,400,375,366,412,347,324
La Quinta - Riverside County,La Quinta,Riverside County,4,107,1.14,45.6,"$77,790",37467,79,35.12,247,253,56,391,312,325
Willits - Mendocino County,Willits,Mendocino County,1,205,3.57,37.8,"$41,195",4888,79,2.8,1,378,232,247,44,326
San Carlos - San Mateo County,San Carlos,San Mateo County,3,106,5.42,42.6,"$118,865",28406,79,5.54,190,249,335,355,413,327
Taft - Kern County,Taft,Kern County,1,107,0.66,34.9,"$46,136",9327,79,15.11,1,255,25,173,79,328
Roseville - Placer County,Roseville,Placer County,21,177,5.80,36.8,"$75,245",118788,79,36.22,422,359,349,222,287,329
Eureka - Humboldt County,Eureka,Humboldt County,4,147,4.26,36.2,"$36,081",27191,79,9.38,247,331,279,207,21,330
Yucaipa - San Bernardino County,Yucaipa,San Bernardino County,3,58,1.08,37.8,"$59,596",51367,79,27.89,190,103,54,247,184,331
Lincoln - Placer County,Lincoln,Placer County,4,93,1.99,40.5,"$75,071",42819,80,20.11,247,217,107,308,286,332
Ripon - San Joaquin County,Ripon,San Joaquin County,1,70,1.89,37.1,"$75,934",14297,80,5.3,1,137,100,234,295,333
Marina del Rey - Los Angeles County,Marina del Rey,Los Angeles County,8,902,93.02,40,"$91,218",8866,80,0.86,352,423,431,295,366,334
Mission Viejo - Orange County,Mission Viejo,Orange County,10,107,5.64,42.2,"$96,420",93305,80,17.74,376,254,343,349,381,335
Oakdale - Stanislaus County,Oakdale,Stanislaus County,2,97,3.31,34.9,"$61,183",20675,80,6.04,113,229,217,173,200,336
Citrus Heights - Sacramento County,Citrus Heights,Sacramento County,4,48,2.81,36.2,"$54,575",83301,80,14.23,247,71,180,207,157,337
Thousand Oaks - Ventura County,Thousand Oaks,Ventura County,15,118,2.73,41.5,"$100,373",126683,80,55.03,407,281,174,334,387,338
Capitola - Santa Cruz County,Capitola,Santa Cruz County,3,302,18.87,41.9,"$50,696",9918,80,1.59,190,397,423,343,114,339
Petaluma - Sonoma County,Petaluma,Sonoma County,8,138,5.56,40.3,"$76,185",57941,80,14.38,352,316,341,304,297,340
Laguna Niguel - Orange County,Laguna Niguel,Orange County,6,95,4.05,42.8,"$100,480",62979,80,14.83,309,222,261,360,389,341
Carmichael - Sacramento County,Carmichael,Sacramento County,3,49,2.22,42.4,"$53,686",61762,81,13.53,190,75,124,353,145,342
Mammoth Lakes - Mono County,Mammoth Lakes,Mono County,2,243,0.80,32.6,"$56,521",8234,81,24.87,113,387,33,117,164,343
Red Bluff - Tehama County,Red Bluff,Tehama County,2,142,2.65,32.2,"$31,690",14076,81,7.56,113,323,164,104,10,344
Chico - Butte County,Chico,Butte County,6,70,1.82,28.6,"$41,632",86187,81,32.92,309,136,98,30,45,345
Fortuna - Humboldt County,Fortuna,Humboldt County,1,84,2.06,38.1,"$37,532",11926,81,4.85,1,187,112,258,29,346
Cotati - Sonoma County,Cotati,Sonoma County,1,138,5.32,36.2,"$62,969",7265,82,1.88,1,315,330,207,212,347
Escalon - San Joaquin County,Escalon,San Joaquin County,1,140,4.35,36,"$61,855",7132,82,2.3,1,319,289,200,203,348
Del Rey Oaks - Monterey County,Del Rey Oaks,Monterey County,2,1232,41.67,46.2,"$76,923",1624,82,0.48,113,426,429,399,305,349
Los Gatos - Santa Clara County,Los Gatos,Santa Clara County,5,170,4.51,45,"$122,875",29413,82,11.08,285,355,299,384,416,350
Soquel - Santa Cruz County,Soquel,Santa Cruz County,2,207,4.35,43.2,"$69,676",9644,82,4.6,113,380,289,367,262,351
Orcutt - Santa Barbara County,Orcutt,Santa Barbara County,1,35,0.90,42.3,"$67,453",28905,82,11.12,1,33,41,351,246,352
Sierra Madre - Los Angeles County,Sierra Madre,Los Angeles County,1,92,3.39,46.6,"$84,487",10917,82,2.95,1,211,224,401,346,353
Orinda - Contra Costa County,Orinda,Contra Costa County,2,113,1.58,47.8,"$157,500",17643,82,12.68,113,268,88,408,431,354
Beverly Hills - Los Angeles County,Beverly Hills,Los Angeles County,5,147,8.76,43.6,"$85,560",34109,82,5.71,285,330,395,371,351,355
Palm Desert - Riverside County,Palm Desert,Riverside County,10,206,3.73,53,"$53,940",48445,82,26.81,376,379,245,427,148,356
Santee - San Diego County,Santee,San Diego County,4,75,2.46,37.2,"$69,828",53413,83,16.24,247,156,147,237,264,357
Rocklin - Placer County,Rocklin,Placer County,8,140,4.09,36.7,"$79,675",56974,83,19.54,352,320,265,218,320,358
Lakeport - Lake County,Lakeport,Lake County,1,210,3.27,44.2,"$45,302",4753,83,3.06,1,381,212,376,69,359
Carlsbad - San Diego County,Carlsbad,San Diego County,9,85,2.39,40.4,"$85,743",105328,83,37.72,365,192,138,305,352,360
Martell - Amador County,Martell,Amador County,1,3546,4.27,41.7,"$50,962",282,83,2.34,1,429,281,339,121,361
Danville - Contra Costa County,Danville,Contra Costa County,6,143,3.33,44.5,"$133,360",42039,83,18.03,309,324,218,379,424,362
Anderson - Shasta County,Anderson,Shasta County,2,201,3.14,34.1,"$34,862",9932,83,6.37,113,373,203,154,16,363
El Dorado Hills - El Dorado County,El Dorado Hills,El Dorado County,4,95,0.83,40.6,"$115,121",42108,83,48.45,247,221,35,312,408,364
Seal Beach - Orange County,Seal Beach,Orange County,3,124,2.66,57.3,"$50,958",24168,83,11.29,190,292,166,428,119,365
Yucca Valley - San Bernardino County,Yucca Valley,San Bernardino County,1,48,0.25,40.6,"$45,502",20700,83,40.02,1,73,4,312,73,366
Yreka - Siskiyou County,Yreka,Siskiyou County,1,129,1.00,41.7,"$31,151",7765,84,9.98,1,299,50,339,7,367
Big Bear Lake - San Bernardino County,Big Bear Lake,San Bernardino County,2,398,3.15,46.1,"$31,541",5019,84,6.35,113,408,204,397,9,368
Calabasas - Los Angeles County,Calabasas,Los Angeles County,3,130,2.33,41.6,"$118,182",23058,84,12.9,190,300,135,337,411,369
Placerville - El Dorado County,Placerville,El Dorado County,3,289,5.16,40.4,"$53,385",10389,84,5.81,190,396,325,305,143,370
Agoura Hills - Los Angeles County,Agoura Hills,Los Angeles County,2,98,2.57,42.4,"$108,820",20330,84,7.79,113,232,156,353,396,371
Corte Madera - Marin County,Corte Madera,Marin County,3,324,9.49,44.2,"$106,541",9253,84,3.16,190,400,401,376,395,372
San Luis Obispo - San Luis Obispo County,San Luis Obispo,San Luis Obispo County,11,244,8.61,26.5,"$42,528",45119,84,12.78,385,388,394,15,57,373
Manhattan Beach - Los Angeles County,Manhattan Beach,Los Angeles County,3,85,7.61,40.9,"$132,752",35135,84,3.94,190,191,383,325,422,374
Pacific Grove - Monterey County,Pacific Grove,Monterey County,1,66,3.50,48.1,"$70,211",15041,85,2.86,1,127,228,413,266,375
Lafayette - Contra Costa County,Lafayette,Contra Costa County,3,126,1.97,45.2,"$134,871",23893,85,15.22,190,294,106,387,425,376
Kings Beach - Placer County,Kings Beach,Placer County,1,263,2.91,31.6,"$40,060",3796,85,3.44,1,391,190,89,40,377
Lakeside - San Diego County,Lakeside,San Diego County,1,48,1.45,39.1,"$63,852",20648,85,6.9,1,74,78,280,225,378
Clayton - Contra Costa County,Clayton,Contra Costa County,1,92,2.60,45,"$131,991",10897,85,3.84,1,212,159,384,420,379
Arroyo Grande - San Luis Obispo County,Arroyo Grande,San Luis Obispo County,2,116,3.42,45.4,"$64,900",17252,85,5.84,113,272,226,389,231,380
Fair Oaks - Sacramento County,Fair Oaks,Sacramento County,5,162,4.63,45.8,"$72,381",30912,86,10.79,285,349,307,392,273,381
McKinleyville - Humboldt County,McKinleyville,Humboldt County,1,66,0.48,36.3,"$46,696",15177,86,20.8,1,125,12,214,84,382
Solana Beach - San Diego County,Solana Beach,San Diego County,2,155,5.68,43.7,"$85,317",12867,86,3.52,113,342,346,372,350,383
Encinitas - San Diego County,Encinitas,San Diego County,9,151,4.78,41.5,"$88,458",59518,86,18.81,365,336,314,334,359,384
Redding - Shasta County,Redding,Shasta County,9,100,1.51,38.5,"$43,157",89861,86,59.65,365,237,82,266,60,385
San Clemente - Orange County,San Clemente,Orange County,6,94,3.21,39.7,"$89,289",63522,86,18.71,309,219,209,289,362,386
Scotts Valley - Santa Cruz County,Scotts Valley,Santa Cruz County,3,259,6.54,41.7,"$99,076",11580,86,4.59,190,389,364,339,384,387
Dana Point - Orange County,Dana Point,Orange County,5,150,7.69,44.8,"$83,306",33351,86,6.5,285,335,384,380,341,388
Los Osos - San Luis Obispo County,Los Osos,San Luis Obispo County,1,70,0.78,47.2,"$57,500",14276,86,12.76,1,138,32,405,171,389
Lake Arrowhead - San Bernardino County,Lake Arrowhead,San Bernardino County,1,80,0.56,43,"$63,117",12424,86,17.73,1,174,18,363,214,390
Atascadero - San Luis Obispo County,Atascadero,San Luis Obispo County,3,106,1.17,41,"$68,502",28310,86,25.64,190,250,57,327,256,391
Larkspur - Marin County,Larkspur,Marin County,2,168,6.60,48.5,"$86,046",11926,86,3.03,113,353,367,417,354,392
Truckee - Nevada County,Truckee,Nevada County,3,185,0.93,38,"$68,173",16180,86,32.32,190,367,43,256,253,393
Guerneville - Sonoma County,Guerneville,Sonoma County,1,221,1.03,48.2,"$39,459",4534,87,9.71,1,383,53,414,37,394
Angels Camp - Calaveras County,Angels Camp,Calaveras County,1,261,2.75,45.9,"$48,614",3836,87,3.63,1,390,176,393,95,395
Hermosa Beach - Los Angeles County,Hermosa Beach,Los Angeles County,3,154,20.98,37,"$102,289",19506,87,1.43,190,339,424,228,392,396
Sonoma - Sonoma County,Sonoma,Sonoma County,2,188,7.30,49.2,"$63,262",10648,87,2.74,113,371,378,421,215,397
Westwood - Lassen County,Westwood,Lassen County,1,607,1.84,41.3,"$38,512",1647,87,5.44,1,414,99,331,35,398
Alamo - Contra Costa County,Alamo,Contra Costa County,2,137,2.07,47.7,"$149,601",14570,87,9.67,113,313,114,407,427,399
Morro Bay - San Luis Obispo County,Morro Bay,San Luis Obispo County,1,98,1.89,48.9,"$52,582",10234,87,5.3,1,230,100,420,135,400
Aptos - Santa Cruz County,Aptos,Santa Cruz County,2,322,3.15,46.9,"$76,862",6220,87,6.35,113,399,204,403,304,401
Alpine - San Diego County,Alpine,San Diego County,1,70,0.37,41.9,"$76,663",14236,87,26.78,1,140,7,343,302,402
Laguna Woods - Orange County,Laguna Woods,Orange County,1,62,3.21,77,"$35,393",16192,87,3.12,1,113,208,431,18,403
Newport Beach - Orange County,Newport Beach,Orange County,17,200,7.14,44,"$108,946",85186,87,23.8,413,372,376,374,397,404
Orangevale - Sacramento County,Orangevale,Sacramento County,1,29,0.87,40.7,"$68,938",33960,87,11.52,1,21,38,317,257,405
Weaverville - Trinity County,Weaverville,Trinity County,1,278,0.96,44.4,"$42,337",3600,88,10.42,1,393,47,378,56,406
Ojai - Ventura County,Ojai,Ventura County,1,134,2.28,47.1,"$63,750",7461,88,4.39,1,309,131,404,222,407
Jackson - Amador County,Jackson,Amador County,1,215,2.68,46,"$48,631",4651,88,3.73,1,382,170,395,97,408
Granite Bay - Placer County,Granite Bay,Placer County,2,98,0.93,46,"$126,937",20402,88,21.53,113,231,44,395,419,409
Coronado - San Diego County,Coronado,San Diego County,1,53,1.26,40.7,"$93,777",18912,88,7.93,1,87,63,317,371,410
Sebastopol - Sonoma County,Sebastopol,Sonoma County,2,271,10.81,46.1,"$60,000",7379,88,1.85,113,392,414,397,188,411
Lake Isabella - Kern County,Lake Isabella,Kern County,1,289,0.46,47.2,"$20,833",3466,89,21.71,1,395,11,405,1,412
Westlake Village - Los Angeles County,Westlake Village,Los Angeles County,3,363,5.78,48.7,"$113,852",8270,89,5.19,190,403,348,419,403,413
Rancho Mirage - Riverside County,Rancho Mirage,Riverside County,3,174,1.23,62.3,"$76,261",17218,89,24.45,190,357,61,430,298,414
Mill Valley - Marin County,Mill Valley,Marin County,4,288,8.40,46.6,"$109,759",13903,89,4.76,247,394,391,401,398,415
Auburn - Placer County,Auburn,Placer County,7,525,9.80,45.4,"$62,600",13330,89,7.14,339,412,404,389,209,416
Cameron Park - El Dorado County,Cameron Park,El Dorado County,3,165,2.70,40.6,"$72,562",18228,89,11.11,190,351,173,312,275,417
Loomis - Placer County,Loomis,Placer County,1,156,1.38,42.1,"$86,990",6430,89,7.27,1,343,72,347,356,418
Grass Valley - Nevada County,Grass Valley,Nevada County,2,156,4.22,43.2,"$35,843",12860,89,4.74,113,343,275,367,19,419
Oakhurst - Madera County,Oakhurst,Madera County,2,707,3.33,48.4,"$37,609",2829,90,6,113,421,220,416,30,420
Colfax - Placer County,Colfax,Placer County,1,509,7.09,37.9,"$58,750",1963,90,1.41,1,410,375,250,181,421
Sonora - Tuolumne County,Sonora,Tuolumne County,3,612,9.80,39.7,"$31,424",4903,90,3.06,190,415,404,289,8,422
Pollock Pines - El Dorado County,Pollock Pines,El Dorado County,1,146,1.26,44.8,"$54,478",6871,90,7.93,1,327,63,380,154,423
San Anselmo - Marin County,San Anselmo,Marin County,1,81,3.73,44.9,"$96,639",12336,90,2.68,1,175,246,383,382,424
Sausalito - Marin County,Sausalito,Marin County,1,142,5.65,51.1,"$110,040",7061,91,1.77,1,322,344,423,399,425
