ID,State,Variable,2013,2012,%  Change from 2012,Percentage of Total Homeless Populaiton (2013),"Rate per 10,000"
New Mexico - Unaccompanied Children and youth,New Mexico,Unaccompanied Children and youth,403,,,14.3%,
Nevada - Unaccompanied Children and youth,Nevada,Unaccompanied Children and youth,"1,922",,,22.8%,
Delaware - Unsheltered persons,Delaware,Unsheltered persons,10,22,-54.55%,1.1%,0.11
Maine - Unsheltered persons,Maine,Unsheltered persons,62,33,87.88%,2.1%,0.47
Iowa - Unsheltered persons,Iowa,Unsheltered persons,134,148,-9.46%,4.3%,0.43
Massachusetts - Unsheltered persons,Massachusetts,Unsheltered persons,850,722,17.73%,4.5%,1.27
New York - Unsheltered persons,New York,Unsheltered persons,"4,157","4,084",1.79%,5.4%,2.12
Nebraska - Unsheltered persons,Nebraska,Unsheltered persons,173,832,-79.21%,5.5%,0.93
Wisconsin - Unsheltered persons,Wisconsin,Unsheltered persons,368,581,-36.66%,6.0%,0.64
District of Columbia - Unsheltered persons,District of Columbia,Unsheltered persons,512,679,-24.59%,7.5%,7.92
Rhode Island - Unsheltered persons,Rhode Island,Unsheltered persons,117,28,317.86%,8.5%,1.11
Pennsylvania - Unsheltered persons,Pennsylvania,Unsheltered persons,"1,359","1,076",26.30%,9.0%,1.06
Alaska - Unsheltered persons,Alaska,Unsheltered persons,205,197,4.06%,10.5%,2.79
Ohio - Unsheltered persons,Ohio,Unsheltered persons,"1,338","1,731",-22.70%,10.9%,1.16
Minnesota - Unsheltered persons,Minnesota,Unsheltered persons,915,990,-7.58%,11.1%,1.69
Indiana - Unsheltered persons,Indiana,Unsheltered persons,700,889,-21.26%,11.5%,1.07
Kansas - Unsheltered persons,Kansas,Unsheltered persons,311,334,-6.89%,11.5%,1.07
New Jersey - Unsheltered persons,New Jersey,Unsheltered persons,"1,399","1,596",-12.34%,11.7%,1.57
Vermont - Unsheltered persons,Vermont,Unsheltered persons,184,223,-17.49%,12.7%,2.94
Utah - Unsheltered persons,Utah,Unsheltered persons,418,475,-12.00%,12.8%,1.44
Virginia - Unsheltered persons,Virginia,Unsheltered persons,"1,022","1,429",-28.48%,13.4%,1.24
New Hampshire - Unsheltered persons,New Hampshire,Unsheltered persons,202,167,20.96%,14.0%,1.53
Kentucky - Unsheltered persons,Kentucky,Unsheltered persons,754,911,-17.23%,14.4%,1.72
New Mexico - Unsheltered persons,New Mexico,Unsheltered persons,428,848,-49.53%,15.2%,2.05
Illinois - Unsheltered persons,Illinois,Unsheltered persons,"2,196","2,995",-26.68%,16.4%,1.70
Michigan - Unsheltered persons,Michigan,Unsheltered persons,"2,188","2,322",-5.77%,19.0%,2.21
Connecticut - Unsheltered persons,Connecticut,Unsheltered persons,919,695,32.23%,20.7%,2.56
Idaho - Unsheltered persons,Idaho,Unsheltered persons,377,486,-22.43%,21.2%,2.34
Colorado - Unsheltered persons,Colorado,Unsheltered persons,"2,163","9,508",-77.25%,22.2%,4.11
Maryland - Unsheltered persons,Maryland,Unsheltered persons,"1,922","3,512",-45.27%,23.4%,3.24
Missouri - Unsheltered persons,Missouri,Unsheltered persons,"2,080","2,344",-11.26,24.2%,3.44
North Carolina - Unsheltered persons,North Carolina,Unsheltered persons,"3,155","4,715",-33.09%,25.9%,3.20
Oklahoma - Unsheltered persons,Oklahoma,Unsheltered persons,"1,146","1,989",-42.38%,26.0%,2.98
West Virginia - Unsheltered persons,West Virginia,Unsheltered persons,628,877,-28.39%,28.0%,3.39
Washington - Unsheltered persons,Washington,Unsheltered persons,"5,053","5,477",-7.74%,28.5%,7.25
Arizona - Unsheltered persons,Arizona,Unsheltered persons,"3,131","3,087",1.43%,29.6%,4.72
Louisiana - Unsheltered persons,Louisiana,Unsheltered persons,"1,575","3,965",-60.28%,30.1%,3.41
Alabama - Unsheltered persons,Alabama,Unsheltered persons,"1,443","1,545",-6.60%,30.8%,2.99
South Dakota - Unsheltered persons,South Dakota,Unsheltered persons,339,64,429.69%,31.0%,4.01
Tennessee - Unsheltered persons,Tennessee,Unsheltered persons,"3,207","3,648",-12.09%,33.7%,4.94
Texas - Unsheltered persons,Texas,Unsheltered persons,"12,090","16,551",-26.95%,40.8%,4.57
Hawaii - Unsheltered persons,Hawaii,Unsheltered persons,"2,590","2,520",2.78%,40.9%,18.45
Montana - Unsheltered persons,Montana,Unsheltered persons,784,680,15.29%,41.7%,7.72
Wyoming - Unsheltered persons,Wyoming,Unsheltered persons,452,"1,338",-66.22%,47.4%,
South Carolina - Unsheltered persons,South Carolina,Unsheltered persons,"3,133","2,139",46.47%,47.9%,6.56
Georgia - Unsheltered persons,Georgia,Unsheltered persons,"8,461","12,196",-30.62%,49.9%,8.47
Oregon - Unsheltered persons,Oregon,Unsheltered persons,"7,390","9,283",-20.39%,53.5%,18.80
Mississippi - Unsheltered persons,Mississippi,Unsheltered persons,"1,320","1,371",-3.72%,54.9%,4.41
Nevada - Unsheltered persons,Nevada,Unsheltered persons,"4,745","5,956",-20.33%,56.2%,17.01
Arkansas - Unsheltered persons,Arkansas,Unsheltered persons,"2,148","2,612",-17.76%,56.3%,7.26
Florida - Unsheltered persons,Florida,Unsheltered persons,"28,192","35,338",-20.22%,58.9%,14.42
Puerto Rico - Unsheltered persons,Puerto Rico,Unsheltered persons,"2,726","1,866",46.09%,66.0%,7.54
California - Unsheltered persons,California,Unsheltered persons,"91,272","85,008",7.37%,66.7%,23.81
North Dakota - Unsheltered persons,North Dakota,Unsheltered persons,"1,395",53,2532.08%,67.4%,19.28
US Virgin Islands - Unsheltered persons,US Virgin Islands,Unsheltered persons,363,378,-3.97%,75.3%,34.11
Guam - Unsheltered persons,Guam,Unsheltered persons,"1,143","1,114",2.60%,89.9%,71.73
Puerto Rico - Veterans,Puerto Rico,Veterans,82,116,-29.31%,2.0%,0.23
Guam - Veterans,Guam,Veterans,32,31,3.23%,2.5%,2.01
Minnesota - Veterans,Minnesota,Veterans,349,309,12.94%,4.2%,0.64
New Jersey - Veterans,New Jersey,Veterans,540,592,-8.78%,4.5%,0.61
Maine - Veterans,Maine,Veterans,164,116,41.38%,5.4%,1.23
Nebraska - Veterans,Nebraska,Veterans,183,249,-26.51%,5.8%,0.98
New York - Veterans,New York,Veterans,"4,659","4,961",-6.09%,6.0%,2.37
Massachusetts - Veterans,Massachusetts,Veterans,"1,253","1,181",6.10%,6.6%,1.87
US Virgin Islands - Veterans,US Virgin Islands,Veterans,33,33,0.00%,6.8%,3.10
Rhode Island - Veterans,Rhode Island,Veterans,97,96,1.04%,7.0%,0.92
Colorado - Veterans,Colorado,Veterans,685,"1,512",-54.70%,7.0%,1.30
District of Columbia - Veterans,District of Columbia,Veterans,499,531,-6.03%,7.3%,7.72
Washington - Veterans,Washington,Veterans,"1,318","1,475",-10.64%,7.4%,1.89
Iowa - Veterans,Iowa,Veterans,229,217,5.53%,7.4%,0.74
Connecticut - Veterans,Connecticut,Veterans,341,332,2.71%,7.7%,0.95
Maryland - Veterans,Maryland,Veterans,673,617,9.08%,8.2%,1.14
New Mexico - Veterans,New Mexico,Veterans,243,345,-29.57%,8.6%,1.17
New Hampshire - Veterans,New Hampshire,Veterans,125,127,-1.57%,8.6%,0.94
Mississippi - Veterans,Mississippi,Veterans,210,244,-13.93%,8.7%,0.70
Vermont - Veterans,Vermont,Veterans,128,109,17.43%,8.8%,2.04
Hawaii - Veterans,Hawaii,Veterans,558,507,10.06%,8.8%,3.97
Wisconsin - Veterans,Wisconsin,Veterans,552,539,2.41%,9.0%,0.96
North Carolina - Veterans,North Carolina,Veterans,"1,123","1,413",-20.52%,9.2%,1.14
Delaware - Veterans,Delaware,Veterans,89,66,34.85%,9.4%,0.96
Virginia - Veterans,Virginia,Veterans,719,881,-18.39%,9.4%,0.87
Illinois - Veterans,Illinois,Veterans,"1,267","1,147",10.46%,9.4%,0.98
Michigan - Veterans,Michigan,Veterans,"1,100","1,017",8.16%,9.5%,1.11
Pennsylvania - Veterans,Pennsylvania,Veterans,"1,462","1,456",0.41%,9.7%,1.14
South Carolina - Veterans,South Carolina,Veterans,636,543,17.13%,9.7%,1.33
Missouri - Veterans,Missouri,Veterans,843,899,-6.23%,9.8%,1.39
Ohio - Veterans,Ohio,Veterans,1212,"1,244",-2.57%,9.8%,1.05
Oklahoma - Veterans,Oklahoma,Veterans,437,404,8.17%,9.9%,1.13
Utah - Veterans,Utah,Veterans,327,330,-0.91%,10.0%,1.13
Tennessee - Veterans,Tennessee,Veterans,991,"1,285",-22.88%,10.4%,1.53
Georgia - Veterans,Georgia,Veterans,"1,805","2,297",-21.42%,10.6%,1.81
Alaska - Veterans,Alaska,Veterans,210,256,-17.97%,10.8%,2.86
Oregon - Veterans,Oregon,Veterans,"1,494","1,356",10.18%,10.8%,3.80
Alabama - Veterans,Alabama,Veterans,511,526,-2.85%,10.9%,1.06
Louisiana - Veterans,Louisiana,Veterans,575,899,-36.04%,11.0%,1.24
California - Veterans,California,Veterans,"15,179","16,461",-7.79%,11.1%,3.96
Nevada - Veterans,Nevada,Veterans,950,"1,419",-33.05%,11.3%,3.40
South Dakota - Veterans,South Dakota,Veterans,125,124,0.81%,11.4%,1.48
Florida - Veterans,Florida,Veterans,"5,505","5,331",3.26%,11.5%,2.82
Arizona - Veterans,Arizona,Veterans,"1,222","1,478",-17.30%,11.6%,1.84
Kentucky - Veterans,Kentucky,Veterans,607,440,37.95%,11.6%,1.38
North Dakota - Veterans,North Dakota,Veterans,241,160,50.63%,11.6%,3.33
Idaho - Veterans,Idaho,Veterans,208,260,-20.00%,11.7%,1.29
Arkansas - Veterans,Arkansas,Veterans,462,362,27.62%,12.1%,1.56
Indiana - Veterans,Indiana,Veterans,743,687,8.15%,12.2%,1.13
Texas - Veterans,Texas,Veterans,"3,878","4,364",-11.14%,13.1%,1.47
Wyoming - Veterans,Wyoming,Veterans,137,311,-55.95%,14.4%,2.35
West Virginia - Veterans,West Virginia,Veterans,329,268,22.76%,14.7%,1.77
Kansas - Veterans,Kansas,Veterans,414,373,10.99%,15.4%,1.43
Montana - Veterans,Montana,Veterans,309,323,-4.33%,16.5%,3.04
