Company,"Know to use the ""Double Irish Arrangement""?",Discloses Likely Tax Payments from Repatriation,Citizen for Tax Justice ID,Category,Description,Turnover,Profit,Employees,Address,Profile on Irish Times,Coordinates,Image,Sources,Sources Link,Homepage,Twitter
Collen Construction,,,,Construction,Collen Construction is a family-owned construction business established in 1810. It employs about 70 people and its Dublin office is based on the East Wall Road.,"€95,400,000","€1,400,000",84,Collen Construction Ltd  Riverhouse  East Wall Road  Dublin 3,http://www.top1000.ie/collen-construction,"53.356421,-6.231713",,,,http://www.collen.com/,
Comans,,,,Food,"Comans market, sell and distribute drinks brands nationally to all licensed trade including pubs and hotels, clubs, off licences and multiples. It supplies a full range of packaged beer, wines, spirits and soft drinks to the licensed trade in Ireland. Comans Wholesale are also the exclusive national agents for a number of well known national and international brands including Druids Celtic Cider, Dutch Gold and Peter Lehmann wines.","€70,000,000",,,Belgard Road  Tallaght  Dublin 24,http://www.top1000.ie/comans,"53.291551,-6.36846",,,,http://www.comans.ie/,
Combilift,,,,Manufacturing,"Located in Monaghan, Ireland, the Combilift Company was formed in 1998 by engineers Martin McVicar and Robert Moffett. They created the Combilift, a combination of a forklift and a sideloader.","€130,000,000",,275,Gallinagh  Monaghan  Co Monaghan  Ireland,http://www.top1000.ie/combilift,"54.254668,-6.982775",http://www.top1000.ie/images/logo/combilift,,,http://www.combilift.com/,@Combilift
Comex McKinnon,,,,Agribusiness,"The principle activity of Comex McKinnon (Comex Holdings) is the trading, importing and exporting of grain in Ireland and Northern Ireland. It employs 15 people.","€204,100,000","€1,800,000",13,Castlebaggot  Baldonnel Road  Dublin 22,http://www.top1000.ie/comex-mckinnon,"53.31171,-6.45256",,,,http://www.comex-mckinnon.ie/,
Commidare Holdings,,,,Property,"The primary businesses of Commidare Holdings Limited are in retailing and the operation of hotels. Located in the South West of Ireland, its related Garvey Group operates a number of businesses in the food retailing, leisure and hospitality industry include Benner's Hotel and the Dingle Skellig Hotel.Operating from its head office is located in Tralee, County Kerry, the Garvey Group currently employs 850.","€122,000,000","€1,700,000",655,Rock Street  Tralee  Co. Kerry,http://www.top1000.ie/commidare-holdings,"52.27133,-9.707653",,,,http://www.garveygroup.ie/,
Commscope,,,,Business Technology,"Commscope EMea Ltd is a subsidiary of the global cable provider Commscope. The company makes physical cables connecting telephones, work stations, local area networks (lan's) and other communication devices. in January 2011 Commscope was purchased by the Carlylse Group.Its facility in Bray, County Wicklow manufactures SYSTIMAX® products.","€140,100,000","€22,400,000",154,"Corke Abbey, Bray  County Wicklow",http://www.top1000.ie/commscope,"53.210584,-6.112948",http://www.top1000.ie/images/logo/commscope,,,http://www.commscope.com/,@commscope
Communicorp,,,,Media And Marketing,"Communicorp is a media company comprising commercial media brands including radio stations Newstalk, 98FM, Today FM and Spin in Ireland. Founded by Denis O'Brien, it employs more than 1,000 people across four countries and is headquartered in Dublin. The company maintains independent radio networks in Ireland, Eastern Europe and the Middle East.","€58,200,000","-€35,600,000",612,6th Floor  1 Grand Canal Quay  Dublin 2  Ireland.,http://www.top1000.ie/communicorp,"53.342352,-6.238836",,,,http://www.communicorp.ie/,
Compass Catering,,,,Food,"Compass Catering offers contract catering services including coffee shops such as Costa and Origin Café; delis such as Deli Marché and sandwiches and baguettes such as Origins. Other offerings include TouJours, Wild Greens, Green Masala, Zona Mexicana, Trattoria, and Taste of the Med.The company is part of the wider Compass Ireland group which employs around 3,000 people in Ireland across its food and support service divisons. The group's target markets include business and industry, healthcare, education, defence and government as well as sports and leisure. The Compass brand Eurest has been in operating in Ireland since the 1980s. In July 2000 Eurest merged with Sutcliff owned by Granada at the time to form into Compass Group. In 2002 Compass bought Management Catering Services (MSC). In 2008 the complete merger occurred to form what is now known in Ireland as Compass Group, operating from Dublin.Globally Compass Group floated on the Stock Exchange in 1988. In 1998, the Group became a FTSE 100 company.","€84,900,000","€3,700,000","1,737",3rd Floor  43a Yeats Way  Parkwest Business Park  Dublin 12  Ireland,http://www.top1000.ie/compass-catering,"53.331765,-6.377737",http://www.top1000.ie/images/logo/compass-catering,,,http://www.compass-group.ie/,@compassgroupuk
Concern,,,,Professional Services Consultancy,"Concern Worldwide is a charity that works with the world's poorest people to transform their lives. The international humanitarian organisation tackles poverty and suffering in some of the world’s poorest countries including Ethiopia, Malawi, Somalia, Cambodia and India.","€127,300,000","-€1,700,000",334,52-55 Lower Camden Street  Dublin 2,http://www.top1000.ie/concern,"53.334035,-6.265256",http://www.top1000.ie/images/logo/concern,,,http://www.concern.net/,@Concern
Conduit,,,,Communications,"Telesales company Conduit is an outsourced Contact Centre provider specializing in BPO. Its services includes customer care, telemarketing and debt cycle management. Conduit group leverages a global call-centre network with 27 international call-centres in 10 countries. Its main European centres are in Dublin, Cardiff and Swansea. the company operates the 11850/11811 services.","€17,700,000","€5,500,000",163,East Point Business Park  Clontarf  Dublin 3.,http://www.top1000.ie/conduit,"53.367097,-6.186934",http://www.top1000.ie/images/logo/conduit,,,http://www.conduitglobal.com/,@Conduit_Ireland
Connaught Electronics,,,,Manufacturing,,"€118,800,000","-€1,500,000",542,Dunmore Road  Tuam  County Galway,http://www.top1000.ie/connaught-electronics,"53.522593,-8.841064",,,,http://valeovision.com/,
Conversant Media,,,,Media And Marketing,"Founded in 1998, Valueclick is an online marketing and advertising network. The company provides online advertising campaigns and programs for advertisers and advertising agency customers internationally. The company’s customers include direct marketers, brand advertisers, the advertising agencies, and traffic distribution partners.","€41,000,000","€1,000,000",7,Penthouse Floor  Apex Building  Blackthorn Road  Sandyford  Dublin 18.,http://www.top1000.ie/conversant-media,"53.275171,-6.21388",http://www.top1000.ie/images/logo/conversant-media,,,http://www.conversantmedia.com/,@valueclickmedia
Cook Ireland,,,,Health,Cook Ireland is a subsidary of global medical devices group Cook. The company develops and manufactures products for Cook Group companies. It functions as a shared service centre for all Cook strategic business unit sales activities in Europe. It employs over 700 people at its Limerick operation.,"€430,700,000","€17,800,000",775,O'Halloran Road  National Technology Park  Limerick,http://www.top1000.ie/cook-ireland,"52.674433,-8.551572",http://www.top1000.ie/images/logo/cook-ireland,,,http://www.cookmedical.com/,@cookmedicalpr
Coolkeeragh ESB,,,,Energy,"Coolkeeragh is a joint venture between Coolkeeragh Power Ltd and ESB International (ESBI). It is involved in the transmission and supply of electricity. The company developed a combined cycle gas turbine plant at Coolkeeragh in Derry, Northern Ireland. The plant was commissioned in 2005.","€205,300,000","€16,900,000",3,"2 Electra Road  Maydown,  BT47 6XU",http://www.top1000.ie/coolkeeragh-esb,"55.043217,-7.251126",,,,http://www.esbi.ie/,
Coolmore Stud,,,,Agribusiness,"Coolmore Stud is an international breeding organisation standing a wide range stallions in the USA, Ireland and Australia.","€250,000,000",,,"Fethard, Co. Tipperary",http://www.top1000.ie/coolmore-stud,"52.512624,-7.684923",http://www.top1000.ie/images/logo/coolmore-stud,,,http://www.coolmore.com/,@coolmorestud
Cope Foundation,,,,Health,"Cope Foundation is a not-for-profit voluntary organisation which provides services for people with intellectual disabilities and autism, many of whom have ancillary physical disabilities. It assists some 1800 people throughout Cork city and county. Its main source of funding is from the Department of Health, The Department of Education and the Health Service Executive. It also receives income through the sale of products and garden centres.It employs over 800 people in Ireland.","€53,200,000","€5,500,000",814,Bonnington  Montenotte  Cork,http://www.top1000.ie/cope-foundation,"51.905833,-8.443056",http://www.top1000.ie/images/logo/cope-foundation,,,http://www.cope-foundation.ie/,@COPEFoundation
Corby Rock,,,,Agribusiness,"Manufacturers of animal feed products in Ireland, Corby Rock Mill was set up in 1975, principally to ensure high quality feeds for its sister company Corby Rock Eggs. It now trades in poultry, ruminant, sheep, horse and calf markets throughout Ireland.","€56,900,000","€1,500,000",34,Corby Rock Mill  Ballybay Road  Monaghan  Co.Monaghan,http://www.top1000.ie/corby-rock,"54.236247,-6.96555",http://www.top1000.ie/images/logo/corby-rock,,,http://www.corbyrock.ie/,@CorbyMill
Corden Pharma,,,,Health,"CordenPharma is an expert contract anufacturing partner helping leading pharmaceutical and biotechnology companies link their requirements for product success with their patients’ healthier lives.Formed as a pharmaceutical branch of International Chemical Investors Group in 2006, CordenPharma provides specialised technologies that are ideal for the development and manufacturing of oral, sterile, highly potent and antibiotic pharmaceutical Drug Products, their Active Pharmaceutical Ingredients, and associated Global Supply Chain and Packaging Services.","€3,200,000","-€3,900,000",8,South Mall  Cork,http://www.top1000.ie/corden-pharma,"51.896898,-8.470584",,,,http://www.cordenpharma.com/,
Core Media,,,,Media And Marketing,"The primary activity of Publicis Media Limited is the planning and purchasing of media slots across TV, radio, print, outdoor and digital outlets. Publicis is the owner of several media sales agencies including Mediavest, Mediaworks, Starcom Media, Clear Blue Water and Radical Media, which operate under the Core Media umbrella. Publicis Media Limited is affiliated to the French multinational communications giant Publicis Groupe, the third largest marketing group in the world, but is independently owned in Ireland.","€204,600,000","€2,400,000",137,16 Sir John Rogerson's Quay  Dublin 2,http://www.top1000.ie/core-media,"53.346288,-6.24413",,,,http://www.coremedia.ie/,
Corman Miloko,,,,Food,"Corman Miloko is a joint venture between the Corman Group in Belgium and Glanbia, Co. Kilkenny. Corman manufactures butters and milkfats for food manufacturers, craftsmen and professionals and for consumer goods.","€70,100,000","€300,000",42,Carrick on Suir  County Tipperary,http://www.top1000.ie/corman-miloko,"52.346632,-7.414667",,,,http://www.corman.be/,
Corrib Oil,,,,Energy,"Ballinasmalla Holdings is the company behind Corrib Oil, which is involved in the sale and distribution of petrol products and the operation of service stations and shops. It operates 15 service stations around the country, mainly in the west, north west and midlands areas of the country . The company also delivers oil around Ireland.","€243,400,000","-€300,000",406,Unit 16  Galway Technology Park  Parkmore  Galway,http://www.top1000.ie/corrib-oil,"53.273797,-9.05178",,,,http://www.corriboil.com/,
Corvil,,,,Business Technology,Corvil is a provider of application and network latency management solutions to global financial markets.,"€20,100,000","€1,400,000",82,"2nd Floor, 6 George’s Dock, IFSC, Dublin 1",http://www.top1000.ie/corvil,"53.347946,-6.243826",http://www.top1000.ie/images/logo/corvil,,,http://www.corvil.com/,@corvilrss
Covidien,,,,Health,"Covidien was incorporated in Ireland in 2009, thereby moving its principal executive office from Bermuda to Ireland. The company sells medial and pharmaceutical products in 140 countries worldwide, employing more than 41,000 employees in over 65 countries, and has manufacturing facilities in 16. Its key brands include Kendall, Mallinckrodt, Nellcor, Puritan Bennett and Valleylab.","€8,800,000,000","€1,600,000,000","1,500",Covidien plc  20 Lower Hatch Street  Dublin 2  Ireland,http://www.top1000.ie/covidien,"53.333803,-6.257219",,,,http://www.covidien.com/,
CPL,,,,Professional Services,"Cpl Resources plc is a provider of recruitment, staffing and outsourcing services. It provides services to customers and multinationals through a network of 24 offices in Ireland, Spain, England, Poland, Bulgaria, Slovakia, Czech Republic and Hungary. The business matches the capabilities of candidates and employees which it achieves by placing candidates in jobs with clients; staffing client projects with agency employees and contractors; and employing staff in its service centres to do work on a subcontract basis. In addition to providing these services to customers in Ireland, the company serves the European needs of global corporations in the technology, social media, finance and pharmaceutical sectors.","€369,300,000","€14,400,000",588,83 Merrion Square  Dublin 2  Ireland,http://www.top1000.ie/cpl,"53.339401,-6.251369",http://www.top1000.ie/images/logo/cpl,,,http://www.cpl.ie/,@CplSolutions
Creative Labs,,,,Consumer Technology,"Creative is a worldwide leader in digital entertainment products for the personal computer (PC) and the Internet. Creative was founded in Singapore in 1981. Its hardware, proprietary technology, applications and services enable consumers to experience high-quality digital entertainment-anytime, anywhere. Creative Labs (Ireland) distributes digital sound and video boards, computers and related multimedia, personal digital entertainment products to the European market.","€35,300,000","€300,000",27,Unit 1  Block 4B  Blanchardstown Corporate Park  Ballycoolin  Dublin 15.,http://www.top1000.ie/creative-labs,"53.404147,-6.368308",http://www.top1000.ie/images/logo/creative-labs,,,http://www.creative.com/,@creativestore
Creganna-Tactx Medical,,,,Manufacturing,"Specialising in minimally invasive delivery & access devices, Creganna-Tactx Medical provides the full spectrum of services to design, develop and deliver finished medical devices to market. The company provides a comprehensive range of outsourced solutions to medical device companies – from clinical and regulatory support to innovative design and reliable manufacturing services.","€125,000,000",,800,Parkmore West  Co Galway,http://www.top1000.ie/cregannatactx-medical,"53.300556,-8.994606",http://www.top1000.ie/images/logo/cregannatactx-medical,,,http://www.cregannatactx.com/,@cregannatactx
Crewlink,,,,Transport,Crewlink is a recruitment agency for Ryanair cabin crew. The company also trains and employs cabin crew.,"€50,100,000",,"2,660",Unit 39  Southern Cross Business Park  Boghall  Bray  Co Wicklow,http://www.top1000.ie/crewlink,"53.186331,-6.110988",,,,http://www.crewlink.ie/,
CRH,,,,Construction,"CRH plc is an international building materials group. It employs approximately 76,000 people at 3,600 operating locations in 36 countries.The group was formed through a merger in 1970 of two leading Irish public companies, Cement Limited (established in 1936) and Roadstone Limited (1949). It is headquartered in Dublin.","€18,000,000,000","-€215,000,000","76,175",CRH plc  Belgard Castle  Clondalkin  Dublin 22  Ireland,http://www.top1000.ie/crh,"53.307429,-6.38501",,,,http://www.crh.ie/,
Croke Park Stadium,,,,Retailing,"Croke Park is incorporated as Páirc an Chrócaigh Teo (PCT) and was formed in 1914. It is a holding company for the GAA and the stadium management for Croke Park. PCT is charged with managing match and non-match day events in the venue. Its role also involves maintaining, developing and maximising returns from the stadium’s assets, such as the Croke Park Conference Centre, GAA Museum, Croke Park Suites, Príomh tickets and advertising opportunities.","€28,700,000","€2,900,000",36,Croke Park  Dublin 3,http://www.top1000.ie/croke-park-stadium,"53.3607,-6.25138",http://www.top1000.ie/images/logo/croke-park-stadium,,,http://www.crokepark.ie/,@crokepark
Cross Refrigeration,,,,Business Technology,"Cross Refrigeration is Irelands largest commercial refrigeration and air conditioning company. The company is involved in the supply and installation of industrial and commercial refrigeration in Ireland. It supplies world leading brands for commercial & industrial air conditioning installations with design, supply, installation, commissioning, maintenance & project management teams throughout Ireland & the UK.","€80,000,000",,150,Mallow Road  Cork,http://www.top1000.ie/cross-refrigeration,"51.922126,-8.480663",,,,http://www.cross-group.org/,
Crystal Holidays,,,,Tourism,"Crystal Holidays is the trading name of Specialist Holiday Group Ltd.The company provides family holidays in European campsites with its Al Fresco division, ski holidays in Europe, America and Canada with Crystal Ski, and holidays in the lakes and mountains of Europe in its Lakes and Mountains sector.","€34,100,000","-€46,594",61,18-19 Duke Street  Dublin 2,http://www.top1000.ie/crystal-holidays,"53.341858,-6.259083",,,,http://www.crystalholidays.ie/,
CSG International,,,,Media And Marketing,"Intec Billing Ireland is part of Intec International which was acquired by CSG International.The wider group provides an end-to-end revenue and customer management platform, encompassing mediation, billing, rating, charging, customer care, web self-service, analytics, interactive messaging, wholesale settlement, content management, workforce management and marketing.","€26,100,000","-€6,300,000",114,IDA Business Park  Dangan  County Galway,http://www.top1000.ie/csg-international,"53.297721,-9.081587",http://www.top1000.ie/images/logo/csg-international,,,http://www.csgi.com/,@csg_i
CWS-boco,,,,Professional Services,"CWS-boco is a provider of washroom hygiene solutions and textile rental and laundry services. Through its brand “Micronclean” CWS-boco Ireland also provides clean room garment rental and decontamination services to the pharmaceutical, medical devices and microelectronics industry. CWS-boco Ireland currently employs approximately 300 people across six locations in Ireland.","€27,700,000","-€900,000",298,Unit 34  Fonthill Business Park  Fonthill  Dublin 22.,http://www.top1000.ie/cwsboco,"53.348478,-6.41291",,,,http://www.cws-boco.ie/,
D'Amico Dry,,,,Transport,d'Amico Dry Limited operates dry cargo commercial vessels. It controls a fleet of around 40 vessels at any given time. Sizes range from open hatch box shape handysize vessels to supramax and up to panamax sized vessels.,"€352,200,000","-€4,300,000",17,The Anchorage  17 Sir John Rogerson's Quay  Docklands  Dublin 2,http://www.top1000.ie/damico-dry,"53.345842,-6.238458",,,,http://www.damicoship.com/,
DAA,,,,Transport,"DAA's principal activities include the operation and management of Dublin, Cork and Shannon airports and global airport retailing through its subsidiary Aer Rianta International (ARI). The company is State-owned, headquartered at Dublin Airport, and employs 3,000 people. Group turnover in 2012 was €575 million.","€574,600,000","€30,200,000","3,016",Dublin Airport Authority  Head Office  Dublin Airport  Co Dublin,http://www.top1000.ie/daa,"53.421265,-6.250475",http://www.top1000.ie/images/logo/daa,,,http://www.daa.ie/,@DublinAirport
Dairy Produce Packers,,,,Food,Coleraine-based Dairy Produce Packers (DPP) specialises in the preparation and packing of processed cheese products and frozen convenience foods.The company is a division of Kerry Group.,"€165,100,000","€7,100,000",252,Millburn Road  Coleraine  Co Derry.  BT52 1QZ,http://www.top1000.ie/dairy-produce-packers,"55.148278,-6.657817",,,,http://www.kerrygroup.com/,
Dairygold,,,,Agribusiness,"Dairygold is Ireland's largest co-operative. It was formed in 1990 from the merger of two Cork co-ops, Ballylough and Mitchellstown.The co-op had revenues of €758 million last year, an increase of 9 per cent as it benefitted from strong milk prices. About 30 per cent of the co-op’s revenue derives from its agri-operations and retail businesses, with 70 per cent deriving from its dairy processing business. Dairygold processes around 940 million litres of milk annually. Some 40 to 45 per cent of Dairygold’s milk input is processed into cheese and whey, and the company is a major exporter of cheese to the UK market. About 10 per cent of its milk is supplied to Danone's infant formula plant in Cork. In 2008 Dairygold announced the sale of its consumer brands division, which included well-known brands such as Dairygold, Galtee and Shaws ham, to Kerry Group.","€847,400,000","€27,800,000","1,117",Clonmel Road  Mitchelstown  Co. Cork,http://www.top1000.ie/dairygold,"52.268682,-8.263418",,,,http://www.dairygold.ie/,
Dalata,,,,Tourism,"Dalata Ltd was established in 2007 and launched the Maldron Hotels brand on 1st September 2008 comprising ten three-star and four-star hotels throughout Ireland. It now operates 40 hotels, including the 13-strong Maldron chain.In March 2014 it raised €265 million from listing its shares in Dublin and London.","€54,100,000","-€1,500,000",645,4th Floor Burton Court  Burton Hall Drive  Sandyford Industrial Estate  Dublin 18.,http://www.top1000.ie/dalata,"53.272291,-6.2044",http://www.top1000.ie/images/logo/dalata,,,http://www.maldronhotels.com/,@MaldronHotels
Dalkia,,,,Construction,"Dalkia provides managed energy and utility services. It also operates combined heat and power plants as well as public lighting installation and maintenance. It employs more than 350 people in Ireland, operating across 30 managed industrial sites. Dalkia is owned by Veolia Environnment and Electicite de France. Globally the Dalkia Group operates in over 40 countries and employs almost 50,000 people.","€58,500,000","€5,700,000",357,Innovation House  DCU Innovation Campus  Old Finglas Road  Glasnevin  Dublin 11,http://www.top1000.ie/dalkia,"53.378129,-6.286235",,,,http://www.dalkia.ie/,
Danaeve,,,,Food,Danaeve is a food and drinks distribution holding company.,"€100,000,000",,105,Unit 43  Park West Business Park  Nangor Road  Dublin 12.,http://www.top1000.ie/danaeve,"53.330805,-6.375367",,,,,
Danone,,,,Pharma,"Danone Ireland Ltd is the fresh dairy business behind Irelands favourite yogurt brands Activia, Vitalinea, Danacol , Danonino and Irelands No.1 dairy brand; Actimel. Danone Waters UK & Ireland represents Evian, the world’s most popular natural mineral water. Its portfolio of bottled waters also include Volvic, Volvic Touch of Fruit and Badoit. Danone Baby produces Cow and Gate and Aptamil, while Nutricia Medical specialises in the delivery of advanced medical nutrition for the sick, the infirm and the elderly.","€73,000,000",,350,"Block 1 Deansgrange Business Park, Deansgrange, Co. Dublin",http://www.top1000.ie/danone,"53.27901,-6.161837",http://www.top1000.ie/images/logo/danone,,,http://www.danone.ie/,@danoneinforma
Datalex,,,,Business Technology,"Datalex is a travel software firm whose platform drives some 75 million travel bookings per year. Clients include Aer Lingus, Continental Airlines, Trailfinders and United Airlines. It employs some 120 people.","€27,600,000","€1,100,000",160,Block U  East Point Business Park  Clontarf  Dublin 3,http://www.top1000.ie/datalex,"53.357199,-6.228862",http://www.top1000.ie/images/logo/datalex,,,http://www.datalex.com/,@Datalex
Dawn Meats,,,,Agribusiness,"Dawn Meats Group was established in Co. Waterford, Ireland in 1980. A family business, Dawn Meats supplies a range of beef and lamb carcase and primal cuts throughout the Continent.","€1,000,000,000",,"2,700",Grannagh  Waterford,http://www.top1000.ie/dawn-meats,"52.288221,-7.151148",,,,http://www.dawnmeats.com/,
DB Schenker,,,,Transport,"DB Schenker (Schenker Ireland) is a freight forwarding and logistics company with operations in Cork, Dublin, Leixlip and Shannon. It employs approximately 160 people in Ireland. It transports freight by land, ocean and air. Its parent company is German transporter DB Schenker with 1500 locations worldwide.","€73,000,000","€22,400,000",164,Smithstown Business Park  Shannon  Co Clare,http://www.top1000.ie/db-schenker,"52.710743,-8.878969",http://www.top1000.ie/images/logo/db-schenker,,,http://www.schenker.ie/,@dbschenker
DCC,,,,Energy,"The DCC group provides sales, marketing, distribution and business support services and operates across five divisions: Energy, SerCom (which encompasses IT and entertainment products) Healthcare, Environmental and Food and Beverage. It employs just under 8,868 people in 10 countries worldwide and is listed on the Irish and London stock exchanges. It has its headquarters in Dublin.","€13,000,000,000","€163,000,000","9,153",DCC House  Brewery Road  Stillorgan  Blackrock  Co. Dublin  Ireland,http://www.top1000.ie/dcc,"53.281862,-6.194669",,,,http://www.dcc.ie/,
DDFH&B,,,,Professional Services Consultancy,"DDFH&B comprises of five companies specialising in advertising services, media, CRM, sales activation, digital and PR.","€67,400,000","€3,500,000",114,3 Christchurch Square  Dublin 8,http://www.top1000.ie/ddfhb,"53.343075,-6.270692",,,,http://www.ddfhb.ie/,
Dealz,,,,Retailing,"Poundland, which has over 360 stores in the UK, announced its expansion into the Republic of Ireland in August 2011. There are now more than 30 stores in the Dealz network in Ireland.","€36,000,000",,300,Unit 3  West End Retail Park  Blanchardstown  Dublin 15,http://www.top1000.ie/dealz,"53.390516,-6.387198",http://www.top1000.ie/images/logo/dealz,,,http://www.dealz.ie/,@DealzIreland
Debenhams,,,,Retailing,"Debenhams Retail (Ireland) is the Irish arm of the leading UK department store chain. Debenhams entered the Irish market by acquiring Roches Stores in 2006 and has 11 stores in the Republic of Ireland.The group has a total of 167 stores across the UK, the Republic and Denmark, and employs nearly 29,000 people. It offers a wide range of products across womenswear, menswear, childrenswear, lingerie, accessories, health and beauty, homeware and gifts.","€162,200,000","-€7,300,000","1,742","Ireland Region Office  54-62 Henry Street  Dublin 1,  IRELAND",http://www.top1000.ie/debenhams,"53.349069,-6.264269",http://www.top1000.ie/images/logo/debenhams,,,,@DebenhamsRetail
Dell Ireland,,Yes,Dell,Technology,"Since 1984, Dell has been an end-to-end computing solutions company. With more than 100,000 team members across the globe, Dell serves customers ranging from the world's largest businesses and public-sector organisations, to small and medium businesses, and individual consumers.Dell's specialties are computers, storage, servers, and IT services.Ireland is a strategic global hub for Operations, Services and Sales and is home to the first EMEA Solution Centre to become operational as well as the Company’s first Cloud R&D centre. Dell employs 2,500 people across campuses in Limerick, Cork and Cherrywood, Dublin.","€8,600,000,000","€7,900,000","1,000",Raheen Business Park  Limerick,http://www.top1000.ie/dell-ireland,"52.663857,-8.626773",http://www.top1000.ie/images/logo/dell-ireland,Citizen For Tax Justice 2013,http://ctj.org/pdf/applenotalone.pdf,http://www.dell.ie/,@dell
Deloitte,,,,Professional Services Accountancy,"Deloitte provides audit, tax, consulting, and financial advisory services to public and private clients spanning multiple industries. It employs over 1,200 people in Dublin, Cork and Limerick and is part of a global network of member firms in more than 150 countries.","€157,400,000",,"1,350",Deloitte & Touche House  Earlsfort Terrace  Dublin 2,http://www.top1000.ie/deloitte,"53.334505,-6.257424",http://www.top1000.ie/images/logo/deloitte,,,http://www.deloitte.ie/,@DeloitteIreland
Denis Mahony Group,,,,Transport,"The Denis Mahony Motor Group was founded in 1963 on Glasnevin Hill, Dublin 11. The group has branches in Kilbarrack and Exit 5, M50, with a portfolio of car franchises such as Toyota, Mercedes Benz and Lexus. The group has its own finance company, City and County Finance, and has the rights for the Avis leasing franchise, Avis Fleet Services, in Ireland.","€33,100,000","€2,200,000",73,Kilbarrack Road  Kilbarrack  Dublin 5.,http://www.top1000.ie/denis-mahony-group,"53.389894,-6.154292",http://www.top1000.ie/images/logo/denis-mahony-group,,,http://www.denismahony.ie/,@Mahony_Motors
Depuy,,,,Health,"Depuy Ireland is a subsidiary of healthcare corporation Johnson & Johnson. DePuy’s products are primarily used by orthopaedic specialists and spinal neurosurgeons to treat patients with musculoskeletal conditions resulting from degenerative diseases, deformities, trauma and sports-related injuries.DePuy Ireland established a state of the art manufacturing facility in Ringaskiddy in 1997. The site predominately manufactures orthopaedic knee and hip replacement joints. In 2002, a global supply chain organisation was located at the Ringaskiddy site which takes responsibility for global demand and supply planning. Currently the company employs over 600 people in Cork.","€550,000,000",,650,Loughbeg  Ringaskiddy  Co Cork,http://www.top1000.ie/depuy,"51.824483,-8.314464",,,,http://www.depuy.com/,
Derevoya,,,,Resources,"Derevoya is a holding company for the McMahon group, a Limerick-based family-owned building materials' supplier. The McMahon business was founded in 1831. Up to the 1990s it was a timber supplier but then it developed into a full product offering provider. It employs over 200 people.","€50,600,000","-€9,700,000",193,Ashbourne Hall  Ashbourne Business Park  Dock Road  Limerick,http://www.top1000.ie/derevoya,"52.654618,-8.651912",,,,http://www.mcmahons.ie/,
Designer Group,,,,Construction,Designer Group is an engineering firm. The company is a specialist mechanical and electrical service provider operating in the UK and Ireland.,"€42,900,000","€600,000",123,52 Nore Road  Dublin Industrial Estate  Dublin 11,http://www.top1000.ie/designer-group,"53.373721,-6.2953",,,,http://designergrp.com/,
DHL Global Forwarding,,,,Transport,"DHL is engaged in providing cargo transportation and logistics management,including international air, sea and roadfreight forwarding .The company has a very strong local history, with some of its legacy organisations - acquired in recent years - dating back to the 1950's.","€145,600,000","€2,600,000",170,Cedar Drive  Dublin Airport Logistics Park  St Margaret’s  Co. Dublin,http://www.top1000.ie/dhl-global-forwarding,"53.437867,-6.307208",http://www.top1000.ie/images/logo/dhl-global-forwarding,,,http://www.dhl.ie/,@dhlireland
DHL Supply Chain,,,,Transport,"DHL provides international express, air and ocean freight, road and rail transportation, contract logistics and international mail services with a network in more than 220 countries and territories and about 275,000 employees worldwide. DHL Supply Chain Ireland provides a range of express and logistics services.DHL is part of Deutsche Post DHL.","€51,500,000","-€2,900,000",346,Western Bus Park  Oak Road  Clondalkin  Dublin 22,http://www.top1000.ie/dhl-supply-chain,"53.323417,-6.367916",http://www.top1000.ie/images/logo/dhl-supply-chain,,,http://www.dhl.ie/,@dhlexpress
Diageo,,,,Food,"Diageo was created in 1997 through the merger of Grand Metropolitan and Guinness, creating a global food and drinks conglomerate. Diageo has a number of production facilities throughout Ireland, producing brands such as Guinness at St. James’s Gate Brewery, Baileys in Dublin and Belfast and Bushmills. The company’s headquarters are located at the St. James’s Gate Brewery in Dublin.Diageo Ireland employs in the region of 1,500 people directly. Every year, 50 million gallons of Irish milk goes into the manufacture of Baileys Original Irish Cream and its production of beers makes Diageo the single biggest user of malted barley in Ireland. The company's global brand teams based in Ireland develop sales and marketing strategies to meet the needs of the company's international markets.","€1,700,000,000",,"1,500",Diageo Ireland  St James's Gate  Dublin 8,http://www.top1000.ie/diageo,"53.343481,-6.28647",http://www.top1000.ie/images/logo/diageo,,,http://www.diageo.com/,@Diageo_News
Diageo NI,,,,Food,"Diageo Northern Ireland, responsible for the sales, marketing and supply of Diageo products to the Northern Ireland on and off-trade. Diageo is market leader in the NI alcohol beverages market. The collection of brands produced locally include Guinness, Baileys, Bushmills, Smirnoff, Smithwicks and Harp.Priority brands in Ireland include Guinness, Baileys, Smithwicks and Bushmills. Diageo is the world’s leading manufacturer and distributor of alcoholic beverages. It’s portfolio of brands includes beers such as Guinness and Red Stripe, spirits such as Gordon’s Gin and Smirnoff Vodka and wines including Blossom Hill and Dom Pérignon.","€162,200,000","€18,200,000",127,"Boucher Road, Belfast, BT12 6HR",http://www.top1000.ie/diageo-ni,"54.579713,-5.961916",http://www.top1000.ie/images/logo/diageo-ni,,,http://www.diageo.com/,@Diageo_News
