Document Name,Company,Document Type,Year,Country Codes,Tags,Target System,Product,Document Page,Download Link,Spy FIles Release
Complex Identificatrion Decision Based on Several Independent Speaker Recognition Methods,Speech Technology Center,Presentation,2009,,,,,https://wikileaks.org/spyfiles/docs/speech-technology-center/52_complex-identificatrion-decision-based-on-several.html,https://wikileaks.org/spyfiles/files/0/52_200906-ISS-PRG-STC.pdf,Spy Files 1
Convergence - LI and DR A Strategic Concept,AQSACOM,Presentation,2009,,,,,https://wikileaks.org/spyfiles/docs/aqsacom/42_convergence-li-and-dr-a-strategic-concept.html,https://wikileaks.org/spyfiles/files/0/42_200906-ISS-PRG-AQSACOM.pdf,Spy Files 1
COPS Communication Profiling System,PLATH,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/plath/193_cops-communication-profiling-system.html,https://wikileaks.org/spyfiles/files/0/193_201106-ISS-PLATH.pdf,Spy Files 1
CRFS Spectrum Intelligence Systems,CRFS,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/crfs/272_crfs-spectrum-intelligence-systems.html,https://wikileaks.org/spyfiles/files/0/272_CRFS-RFEYE.pdf,Spy Files 1
Critical System Architect,Amesys,Brochure,unspecified,,,,,https://wikileaks.org/spyfiles/docs/amesys/95_critical-system-architect.html,https://wikileaks.org/spyfiles/files/0/95_AMESYS-CRITICAL_SYSTEM_ARCHITECT.pdf,Spy Files 1
Cryptowall Mail Protect L,Amesys,Brochure,unspecified,,,,,https://wikileaks.org/spyfiles/docs/amesys/96_cryptowall-mail-protect-l.html,https://wikileaks.org/spyfiles/files/0/96_AMESYS-Cryptowall_Mail_Protect-fr.pdf,Spy Files 1
Cryptowall PC-Protect Professional ED. (Multi-Volumes): L,Amesys,Brochure,unspecified,,,,,https://wikileaks.org/spyfiles/docs/amesys/97_cryptowall-pc-protect-professional-ed-multi-volumes-l.html,https://wikileaks.org/spyfiles/files/0/97_AMESYS-Cryptowall_PC-Protect_Pro-fr.pdf,Spy Files 1
Currently deployed field proven Biometric Speaker Identification and Verification Technology,Agnitio,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/agnitio/20_currently-deployed-field-proven-biometric-speaker.html,https://wikileaks.org/spyfiles/files/0/20_200810-ISS-PRG-AGNITIO.pdf,Spy Files 1
Data in a Haystack - Monitoring System with advanced workflow management,NETI,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/neti/32_data-in-a-haystack-monitoring-system-with-advanced-workflow.html,https://wikileaks.org/spyfiles/files/0/32_200810-ISS-PRG-NETI.pdf,Spy Files 1
Data Retention Challenges,Group 2000,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/group2000/29_data-retention-challenges.html,https://wikileaks.org/spyfiles/files/0/29_200810-ISS-PRG-GROUP2000-2.pdf,Spy Files 1
Data Retention Requirements,ETSI TC LI,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/etsi-tc-li/26_data-retention-requirements.html,https://wikileaks.org/spyfiles/files/0/26_200810-ISS-PRG-ETSI.pdf,Spy Files 1
Datenblatt zum MEK/FS2,PAD Datentechnik,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/pad/150_datenblatt-zum-mek-fs2.html,https://wikileaks.org/spyfiles/files/0/150_PAD-MEK-FS2-de.pdf,Spy Files 1
Datenblatt zum MEK/QP3b,PAD Datentechnik,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/pad/151_datenblatt-zum-mek-qp3b.html,https://wikileaks.org/spyfiles/files/0/151_PAD-MEK-QP-3B-de.pdf,Spy Files 1
Dealing with an ever changing sea of application protocols,Qosmos,Presentation,2011,,,,,https://wikileaks.org/spyfiles/docs/qosmos/67_dealing-with-an-ever-changing-sea-of-application-protocols.html,https://wikileaks.org/spyfiles/files/0/67_201110-ISS-IAD-T4-QOSMOS2.pdf,Spy Files 1
Deep Semantic vs. Keyword and Shallow Linguistic: A new approach for supporting explotation,Expert System,Presentation,2011,,,,,https://wikileaks.org/spyfiles/docs/expert-system/69_deep-semantic-vs-keyword-and-shallow-linguistic-a-new.html,https://wikileaks.org/spyfiles/files/0/69_201110-ISS-IAD-T5-EXPERTSYSTEM.pdf,Spy Files 1
"Delivering intelligence solutions to military, federal, security and law enforcement agencies worldwide",Datong,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/datong/116_delivering-intelligence-solutions-to-military-federal.html,https://wikileaks.org/spyfiles/files/0/116_DATONG-BROCHURE-2011.pdf,Spy Files 1
Delivering Retained Data: The ETSI Handover Interface,Detica,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/detica/27_delivering-retained-data-the-etsi-handover-interface.html,https://wikileaks.org/spyfiles/files/0/27_200810-ISS-PRG-ETSI2.pdf,Spy Files 1
Deploying Media Probes in Evolving VoIP Networks,Newport Networks,Presentation,2007,,,,,https://wikileaks.org/spyfiles/docs/newport-networks/13_deploying-media-probes-in-evolving-voip-networks.html,https://wikileaks.org/spyfiles/files/0/13_200702-ISS-DXB-NEWPORT1.pdf,Spy Files 1
DOCSIS Phantom Interception Solution for Cable Networks,TraceSpan,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/tracespan/173_docsis-phantom-interception-solution-for-cable-networks.html,https://wikileaks.org/spyfiles/files/0/173_TRACESPAN-DOCSIS_Phantom.pdf,Spy Files 1
"DRS, LIMS",Utimaco,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/utimaco/196_drs-lims.html,https://wikileaks.org/spyfiles/files/0/196_201106-ISS-UTIMACO-FLYER.pdf,Spy Files 1
DSL Phantom 3000 ADSL Interception Solution,TraceSpan,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/tracespan/176_dsl-phantom-3000-adsl-interception-solution.html,https://wikileaks.org/spyfiles/files/0/176_TRACESPAN-LI.pdf,Spy Files 1
DSL Phantom 3000A: Interceptor de lineas de Banda Ancha,TraceSpan,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/tracespan/177_dsl-phantom-3000a-interceptor-de-lineas-de-banda-ancha.html,https://wikileaks.org/spyfiles/files/0/177_TRACESPAN-Phantom-es.pdf,Spy Files 1
DTC Video Microwave Digital TX,Cobham,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/cobham/113_dtc-video-microwave-digital-tx.html,https://wikileaks.org/spyfiles/files/0/113_COBHAM-DTC.pdf,Spy Files 1
Dual Usage Strategy of Lawful Interception Systems (1),Septier,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/septier-communication-ltd-/38_dual-usage-strategy-of-lawful-interception-systems.html,https://wikileaks.org/spyfiles/files/0/38_200810-ISS-PRG-SEPTIER.pdf,Spy Files 1
Dual Usage Strategy of Lawful Interception Systems (2),Septier,Presentation,2009,,,,,https://wikileaks.org/spyfiles/docs/septier/51_dual-usage-strategy-of-lawful-interception-systems.html,https://wikileaks.org/spyfiles/files/0/51_200906-ISS-PRG-SEPTIER.pdf,Spy Files 1
DUMB-0 E-Mail Interceptor,Amesys,Brochure,unspecified,,,,,https://wikileaks.org/spyfiles/docs/amesys/98_dumb-0-e-mail-interceptor.html,https://wikileaks.org/spyfiles/files/0/98_AMESYS-DUMP-0-en.pdf,Spy Files 1
Eage 8B/8C/8D/8E Digital Audio Recorder,Griffcomm,Brochure,2008,,,,,https://wikileaks.org/spyfiles/docs/griffcomm/126_eage-8b-8c-8d-8e-digital-audio-recorder.html,https://wikileaks.org/spyfiles/files/0/126_GRIFFCOMM-Eagle8B.pdf,Spy Files 1
EAGLE EYE- Wi-Fi System for Wireless Tactical Packet Sniffing and Forensics Analysis,Altron,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/altron/86_eagle-eye-wi-fi-system-for-wireless-tactical-packet-sniffing.html,https://wikileaks.org/spyfiles/files/0/86_ALTRON-Eagle_eye_Wi-Fi.pdf,Spy Files 1
EAGLE EYE-IP TAP Passive Network Application / Platform for Lawful Interception and Network Monitoring,Altron,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/altron/84_eagle-eye-ip-tap-passive-network-application-platform-for.html,https://wikileaks.org/spyfiles/files/0/84_ALTRON-Eagle_eye_IP-tap.pdf,Spy Files 1
EAGLE EYE-MC Next Generation Product for Homeland Security and Law Enforcement Agencies,Altron,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/altron/85_eagle-eye-mc-next-generation-product-for-homeland-security.html,https://wikileaks.org/spyfiles/files/0/85_ALTRON-Eagle_eye_MC.pdf,Spy Files 1
Eagle GLINT Operator Manual Version 1.0,Amesys,Manual,unspecified,,,,,https://wikileaks.org/spyfiles/docs/amesys/99_eagle-glint-operator-manual-version-1-0.html,https://wikileaks.org/spyfiles/files/0/99_AMESYS-EAGLE-GLINT-Operator_Manual.pdf,Spy Files 1
Elaman Catalogue,Elaman,Catalogue,2008,,,,,https://wikileaks.org/spyfiles/docs/elaman/124_elaman-catalogue.html,https://wikileaks.org/spyfiles/files/0/124_ELAMAN-200805-CATALOGUE-P1.zip,Spy Files 1
Elaman Newsletter Q1 / 2011,Elaman,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/elaman/186_elaman-newsletter-q1-2011.html,https://wikileaks.org/spyfiles/files/0/186_201106-ISS-ELAMAN1.pdf,Spy Files 1
"Electronic Blitz: Intelligence ops are poised to gather, move and analyze more information than ever before",Glimmerglass,Newsletter,2010,,,,,https://wikileaks.org/spyfiles/docs/glimmerglass/274_electronic-blitz-intelligence-ops-are-poised-to-gather-move.html,https://wikileaks.org/spyfiles/files/0/274_GLIMMERGLASS-AVIATIONWEEK-201004.pdf,Spy Files 1
Electronic Evidence: Worth it,Endace,Presentation,2007,,,,,https://wikileaks.org/spyfiles/docs/endace/10_electronic-evidence-worth-it.html,https://wikileaks.org/spyfiles/files/0/10_200702-ISS-DXB-ENDACE3.pdf,Spy Files 1
Eti Group News March 2011,ETI Group,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/etigroup/189_eti-group-news-march-2011.html,https://wikileaks.org/spyfiles/files/0/189_201106-ISS-ETI.pdf,Spy Files 1
ETSI,Pine Digital Security,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/pine-digital-security/35_etsi.html,https://wikileaks.org/spyfiles/files/0/35_200810-ISS-PRG-PINE.pdf,Spy Files 1
ETSI activities on Retained Data handling and Lawful Interception standardisation,ETSI TC LI,Presentation,2009,,,,,https://wikileaks.org/spyfiles/docs/etsi-tc-li/47_etsi-activities-on-retained-data-handling-and-lawful.html,https://wikileaks.org/spyfiles/files/0/47_200906-ISS-PRG-ETSI.pdf,Spy Files 1
ETSI/TC LI Overview on Lawful Interception and Retained Data handling,ETSI TC LI,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/etsi/28_etsi-tc-li-overview-on-lawful-interception-and-retained-data.html,https://wikileaks.org/spyfiles/files/0/28_200810-ISS-PRG-ETSI3.pdf,Spy Files 1
Evidian Identity & Access Manager,Evidian,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/evidian/123_evidian-identity-and-access-manager.html,https://wikileaks.org/spyfiles/files/0/123_EVIDIAN-201110-BROCHURE.pdf,Spy Files 1
"Extracting intelligence from multilingual SMS, IM, E-Mails",Scan & Target,Presentation,2011,,,,,https://wikileaks.org/spyfiles/docs/scan-and-target/71_extracting-intelligence-from-multilingual-sms-im-e-mails.html,https://wikileaks.org/spyfiles/files/0/71_201110-ISS-IAD-T5-SCAN_AND_TARGET.pdf,Spy Files 1
Extracts from the EAGLE GLINT Operator Manual with more details,Amesys,Manual,unspecified,,,,,https://wikileaks.org/spyfiles/docs/amesys/100_extracts-from-the-eagle-glint-operator-manual-with-more.html,https://wikileaks.org/spyfiles/files/0/100_AMESYS-EAGLE-GLINT-Operator_Manual-EXTRAS.pdf,Spy Files 1
Falcon4: Smallest Audio and Video digital recorder,Griffcomm,Brochure,2008,,,,,https://wikileaks.org/spyfiles/docs/griffcomm/128_falcon4-smallest-audio-and-video-digital-recorder.html,https://wikileaks.org/spyfiles/files/0/128_GRIFFCOMM-Falcon.pdf,Spy Files 1
FLEX8F Smallest Audio Digital Recorders Available,Griffcomm,Brochure,2008,,,,,https://wikileaks.org/spyfiles/docs/griffcomm/127_flex8f-smallest-audio-digital-recorders-available.html,https://wikileaks.org/spyfiles/files/0/127_GRIFFCOMM-FLEX8F.pdf,Spy Files 1
FoxReplay Analyst: Real-time streaming interception analysis technology,Foxit,Brochure,unspecified,,,,,https://wikileaks.org/spyfiles/docs/foxit/280_foxreplay-analyst-real-time-streaming-interception-analysis.html,https://wikileaks.org/spyfiles/files/0/280_FOXIT-FoxReplay-Analyst.pdf,Spy Files 1
"FoxReplay Covert: Self-hosting Covert VoIP and IP Interception, Transport and Display",Foxit,Brochure,unspecified,,,,,https://wikileaks.org/spyfiles/docs/foxit/281_foxreplay-covert-self-hosting-covert-voip-and-ip.html,https://wikileaks.org/spyfiles/files/0/281_FOXIT-FoxReplay-Covert.pdf,Spy Files 1
FoxReplay Personal Workstation: Portable interception technology,Foxit,Brochure,unspecified,,,,,https://wikileaks.org/spyfiles/docs/foxit/282_foxreplay-personal-workstation-portable-interception.html,https://wikileaks.org/spyfiles/files/0/282_FOXIT-FoxReplay-Personal-WS.pdf,Spy Files 1
FoxReplay Workstation Protection: Intercepted internet traffic in a classified environment,Foxit,Brochure,unspecified,,,,,https://wikileaks.org/spyfiles/docs/foxit/283_foxreplay-workstation-protection-intercepted-internet.html,https://wikileaks.org/spyfiles/files/0/283_FOXIT-FoxReplay-WS-Protection.pdf,Spy Files 1
From Lawful to Massive Interception: Aggregation of Sources,Amesys,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/amesys/21_from-lawful-to-massive-interception-aggregation-of-sources.html,https://wikileaks.org/spyfiles/files/0/21_200810-ISS-PRG-AMESYS.pdf,Spy Files 1
Fusion Center in Service of Homeland Security,MEDAV,Presentation,2011,,,,,https://wikileaks.org/spyfiles/docs/medav/74_fusion-center-in-service-of-homeland-security.html,https://wikileaks.org/spyfiles/files/0/74_201110-ISS-IAD-T6-MEDAV.pdf,Spy Files 1
Future Challenges in the Lawful Interception fo IP based Telecommunication,DigiTask,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/digitask/25_future-challenges-in-the-lawful-interception-fo-ip-based.html,https://wikileaks.org/spyfiles/files/0/25_200810-ISS-PRG-DIGITASK2.pdf,Spy Files 1
Gathering Open Source Intelligence Anonymously,Ntrepid,Presentation,2011,,,,,https://wikileaks.org/spyfiles/docs/ntrepid/76_gathering-open-source-intelligence-anonymously.html,https://wikileaks.org/spyfiles/files/0/76_201110-ISS-IAD-T6-NTREPID.pdf,Spy Files 1
Glimmerglass CyberSweep,Glimmerglass,Presentation,2011,,,,,https://wikileaks.org/spyfiles/docs/glimmerglass/55_glimmerglass-cybersweep.html,https://wikileaks.org/spyfiles/files/0/55_201110-ISS-IAD-T1-GLIMMERGLASS.pdf,Spy Files 1
GLINT - Strategic Nationwide Interception Based on Eagle Core Technology,Amesys,Brochure,unspecified,,,,,https://wikileaks.org/spyfiles/docs/amesys/102_glint-strategic-nationwide-interception-based-on-eagle-core.html,https://wikileaks.org/spyfiles/files/0/102_AMESYS-GLINT-en.pdf,Spy Files 1
Governmental Security Solutions,Elaman,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/elaman/187_governmental-security-solutions.html,https://wikileaks.org/spyfiles/files/0/187_201106-ISS-ELAMAN2.pdf,Spy Files 1
GPON Monitor Centralized Passive GPON Performance Monitor,TraceSpan,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/tracespan/174_gpon-monitor-centralized-passive-gpon-performance-monitor.html,https://wikileaks.org/spyfiles/files/0/174_TRACESPAN-GPON_Monitor.pdf,Spy Files 1
GPON Phantom Interception Solution for GPON Optical Fiber Lines,TraceSpan,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/tracespan/175_gpon-phantom-interception-solution-for-gpon-optical-fiber.html,https://wikileaks.org/spyfiles/files/0/175_TRACESPAN-GPON_Phantom.pdf,Spy Files 1
GPRSpack Bedienungsanleitung,EBS Electronic,Manual,2006,,,,,https://wikileaks.org/spyfiles/docs/ebs-electronic/118_gprspack-bedienungsanleitung.html,https://wikileaks.org/spyfiles/files/0/118_EBS_Electronic-200606-GPRSpack-Manual.pdf,Spy Files 1
GPRSpack V2 Kurzbeschreibung mit Preisliste (1),EBS Electronic,Brochure,2006,,,,,https://wikileaks.org/spyfiles/docs/ebs-electronic/119_gprspack-v2-kurzbeschreibung-mit-preisliste.html,https://wikileaks.org/spyfiles/files/0/119_EBS_Electronic-200612-GPRSPack_V2-Brochure.pdf,Spy Files 1
GPRSpack V2 Kurzbeschreibung mit Preisliste (2),EBS Electronic,Brochure,2007,,,,,https://wikileaks.org/spyfiles/docs/ebs-electronic/120_gprspack-v2-kurzbeschreibung-mit-preisliste.html,https://wikileaks.org/spyfiles/files/0/120_EBS_Electronic-200712-GPRSPack_V2-Brochure.pdf,Spy Files 1
GPRSpack V2 Kurzbeschreibung mit Preisliste (3),EBS Electronic,Brochure,2008,,,,,https://wikileaks.org/spyfiles/docs/ebs-electronic/121_gprspack-v2-kurzbeschreibung-mit-preisliste.html,https://wikileaks.org/spyfiles/files/0/121_EBS_Electronic-200806-GPRSPack_V2_7-Brochure.pdf,Spy Files 1
GPS 210-GA real-time tracking system,Griffcomm,Brochure,2008,,,,,https://wikileaks.org/spyfiles/docs/griffcomm/130_gps-210-ga-real-time-tracking-system.html,https://wikileaks.org/spyfiles/files/0/130_GRIFFCOMM-GPS210GA.pdf,Spy Files 1
GPS-212G / GPS-232G Real Time High Sensitivity GPS Trackers,Griffcomm,Brochure,2008,,,,,https://wikileaks.org/spyfiles/docs/griffcomm/129_gps-212g-gps-232g-real-time-high-sensitivity-gps-trackers.html,https://wikileaks.org/spyfiles/files/0/129_GRIFFCOMM-GPS-212.pdf,Spy Files 1
Graph in HQ1-ANNAKOA (Simplified),Amesys,Paper,unspecified,,,,,https://wikileaks.org/spyfiles/docs/amesys/92_graph-in-hq1-annakoa-simplified-.html,https://wikileaks.org/spyfiles/files/0/92_AMESYS-Annakoa.pdf,Spy Files 1
GSM/UMTS Grabber: Deploying local mobile networks and secret grabbing of identification information in GSM and UMTS bands,Altron,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/altron/87_gsm-umts-grabber-deploying-local-mobile-networks-and-secret.html,https://wikileaks.org/spyfiles/files/0/87_ALTRON-GRABBER.pdf,Spy Files 1
Hawk8A Audio and Video digital recorder,Griffcomm,Brochure,2008,,,,,https://wikileaks.org/spyfiles/docs/griffcomm/131_hawk8a-audio-and-video-digital-recorder.html,https://wikileaks.org/spyfiles/files/0/131_GRIFFCOMM-Hawk8a.pdf,Spy Files 1
High performance signaling in gathering intelligence form Mobile Networks,Dialogic,Presentation,2007,,,,,https://wikileaks.org/spyfiles/docs/dialogic/7_high-performance-signaling-in-gathering-intelligence-form.html,https://wikileaks.org/spyfiles/files/0/7_200702-ISS-DXB-DIALOGIC.pdf,Spy Files 1
HINTON Network Independent CDR Application Note,Telesoft Technologies,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/telesoft/208_hinton-network-independent-cdr-application-note.html,https://wikileaks.org/spyfiles/files/0/208_TELESOFT-HINTON-CDR-Application.pdf,Spy Files 1
Homeland Security Program - Technical Specification - Public Safety Systems and Passport Network of The Great Libyan Arab Jamahiriya,Amesys,Contract,unspecified,,,,,https://wikileaks.org/spyfiles/docs/amesys/105_homeland-security-program-technical-specification-public.html,https://wikileaks.org/spyfiles/files/0/105_AMESYS-PROP_GEN_SECU_V2.pdf,Spy Files 1
HP Investigation Solutions,Hewlett-Packard,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/hp/286_hp-investigation-solutions.html,https://wikileaks.org/spyfiles/files/0/286_HP-INVESTIGATION-SOLUTIONS-2011.pdf,Spy Files 1
Identifying the needle in the 10/40/100g Haystack,Net Optics,Presentation,2011,,,,,https://wikileaks.org/spyfiles/docs/netoptics-inc-/61_identifying-the-needle-in-the-10-40-100g-haystack.html,https://wikileaks.org/spyfiles/files/0/61_201110-ISS-IAD-T2-NETOPTICS.pdf,Spy Files 1
IKAR Lab - Audio Forensic Lab,Speech Technology Center,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/speech-technology-center/194_ikar-lab-audio-forensic-lab.html,https://wikileaks.org/spyfiles/files/0/194_201106-ISS-SPEECH.pdf,Spy Files 1
Integrated Surveillance System (ISS) - MEDUSA / Sniper Surveillance System (S3) - TISIS,Cobham,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/cobham/201_integrated-surveillance-system-iss-medusa-sniper.html,https://wikileaks.org/spyfiles/files/0/201_COBHAM-SNIPER.pdf,Spy Files 1
Intelligent Probing for Intelligence and LI Applications,Telesoft Technologies,Presentation,2007,,,,,https://wikileaks.org/spyfiles/docs/telesoft/16_intelligent-probing-for-intelligence-and-li-applications.html,https://wikileaks.org/spyfiles/files/0/16_200702-ISS-DXB-TELESOFT1.pdf,Spy Files 1
Interception at 100 Gbps and more,Qosmos,Presentation,2011,,,,,https://wikileaks.org/spyfiles/docs/qosmos/58_interception-at-100-gbps-and-more.html,https://wikileaks.org/spyfiles/files/0/58_201110-ISS-IAD-T1-QOSMOS.pdf,Spy Files 1
Interception Domain Architecture for CS and IP Networks,CCT Cecratech,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/cct-cecratech/22_interception-domain-architecture-for-cs-and-ip-networks.html,https://wikileaks.org/spyfiles/files/0/22_200810-ISS-PRG-CECRATECH.pdf,Spy Files 1
Interception Monitoring Solutions,Paladion,Brochure,unspecified,,,,,https://wikileaks.org/spyfiles/docs/paladion/277_interception-monitoring-solutions.html,https://wikileaks.org/spyfiles/files/0/277_PALADION-InterceptSolutions.pdf,Spy Files 1
Investigation Instruments,Innova SPA,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/innova-spa/205_investigation-instruments.html,https://wikileaks.org/spyfiles/files/0/205_INNOVA-SPA-201110.pdf,Spy Files 1
IP Data Retention: The challenge of IP Data Retention to Traditional Approach,Retentia,Presentation,2007,,,,,https://wikileaks.org/spyfiles/docs/retentia/14_ip-data-retention-the-challenge-of-ip-data-retention-to.html,https://wikileaks.org/spyfiles/files/0/14_200702-ISS-DXB-RETENTIA.pdf,Spy Files 1
IP Trapper,Thales,Presentation,2007,,,,,https://wikileaks.org/spyfiles/docs/thales/17_ip-trapper.html,https://wikileaks.org/spyfiles/files/0/17_200702-ISS-DXB-THALES.pdf,Spy Files 1
IPS Genesi Monitoring Centre,IPS,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/ips/145_ips-genesi-monitoring-centre.html,https://wikileaks.org/spyfiles/files/0/145_IPS-201110-GENESI.pdf,Spy Files 1
IPS Visionary Intelligence (1),IPS,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/ips/144_ips-visionary-intelligence.html,https://wikileaks.org/spyfiles/files/0/144_IPS-201110-COMPANY.pdf,Spy Files 1
IPS Visionary Intelligence (2),IPS,Catalogue,2011,,,,,https://wikileaks.org/spyfiles/docs/ips/146_ips-visionary-intelligence.html,https://wikileaks.org/spyfiles/files/0/146_IPS-201110-VI.pdf,Spy Files 1
Lawful Intercept - from copper to fiber and back,OnPath,Presentation,2011,,,,,https://wikileaks.org/spyfiles/docs/onpath/57_lawful-intercept-from-copper-to-fiber-and-back.html,https://wikileaks.org/spyfiles/files/0/57_201110-ISS-IAD-T1-ONPATH.pdf,Spy Files 1
Lawful Interception and Location Based Services,ATIS Uher,Presentation,2007,,,,,https://wikileaks.org/spyfiles/docs/atis-uher/3_lawful-interception-and-location-based-services.html,https://wikileaks.org/spyfiles/files/0/3_200702-ISS-DXB-ATIS2.pdf,Spy Files 1
Lawful Interception and Monitoring Solutions,Utimaco,Presentation,2011,,,,,https://wikileaks.org/spyfiles/docs/utimaco/64_lawful-interception-and-monitoring-solutions.html,https://wikileaks.org/spyfiles/files/0/64_201110-ISS-IAD-T3-UTIMACO3.pdf,Spy Files 1
Lawful Interception in Virtual Environment,Net Optics,Presentation,2011,,,,,https://wikileaks.org/spyfiles/docs/netoptics/75_lawful-interception-in-virtual-environment.html,https://wikileaks.org/spyfiles/files/0/75_201110-ISS-IAD-T6-NETOPTICS.pdf,Spy Files 1
Lawful Interception is Our Business,AQSACOM,Brochure,unspecified,,,,,https://wikileaks.org/spyfiles/docs/aqsacom/78_lawful-interception-is-our-business.html,https://wikileaks.org/spyfiles/files/0/78_AQSACOM-LI-Brochure.pdf,Spy Files 1
Lawful Interception Overview,Newport Networks,Brochure,2006,,,,,https://wikileaks.org/spyfiles/docs/newport-networks/209_lawful-interception-overview.html,https://wikileaks.org/spyfiles/files/0/209_NEWPORTS-NETWORKS-2006-LI.pdf,Spy Files 1
Lawful Interception System - Efficient IP target monitoring,INVEA-TECH,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/inveatech/190_lawful-interception-system-efficient-ip-target-monitoring.html,https://wikileaks.org/spyfiles/files/0/190_201106-ISS-INVEATECH.pdf,Spy Files 1
Lawful Interception: The bigger picture,Group 2000,Presentation,2009,,,,,https://wikileaks.org/spyfiles/docs/group2000/48_lawful-interception-the-bigger-picture.html,https://wikileaks.org/spyfiles/files/0/48_200906-ISS-PRG-GROUP2000.pdf,Spy Files 1
Layer 7 Identity Management for Lawful Interception,Qosmos,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/qosmos/37_layer-7-identity-management-for-lawful-interception.html,https://wikileaks.org/spyfiles/files/0/37_200810-ISS-PRG-QOSMOS.pdf,Spy Files 1
LI-IPS Solucion IP de Interceptacion Legal,Dreamlab,Paper,unspecified,,,,,https://wikileaks.org/spyfiles/docs/dreamlab/117_li-ips-solucion-ip-de-interceptacion-legal.html,https://wikileaks.org/spyfiles/files/0/117_DREAMLAB-LI-Factsheet_2-es.pdf,Spy Files 1
LIMA Lawful Interception in the evolving world of telecom,Group 2000,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/group2000/30_lima-lawful-interception-in-the-evolving-world-of-telecom.html,https://wikileaks.org/spyfiles/files/0/30_200810-ISS-PRG-GROUP2000.pdf,Spy Files 1
LIMS,Utimaco,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/utimaco/198_lims.html,https://wikileaks.org/spyfiles/files/0/198_201106-ISS-UTIMACO-LIMS.pdf,Spy Files 1
LIMS Access Points (1),Utimaco,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/utimaco/197_lims-access-points.html,https://wikileaks.org/spyfiles/files/0/197_201106-ISS-UTIMACO-LIMS-ACCESS.pdf,Spy Files 1
Managing Virtual Identities Across IP Networks,Qosmos,Presentation,2009,,,,,https://wikileaks.org/spyfiles/docs/qosmos/50_managing-virtual-identities-across-ip-networks.html,https://wikileaks.org/spyfiles/files/0/50_200906-ISS-PRG-QOSMOS.pdf,Spy Files 1
MAT Microphone Array Tile,Griffcomm,Brochure,2008,,,,,https://wikileaks.org/spyfiles/docs/griffcomm/132_mat-microphone-array-tile.html,https://wikileaks.org/spyfiles/files/0/132_GRIFFCOMM-MAT.pdf,Spy Files 1
Mobile forensic analysis for smartphones,Oxygen,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/oxygen/34_mobile-forensic-analysis-for-smartphones.html,https://wikileaks.org/spyfiles/files/0/34_200810-ISS-PRG-OXYGEN.pdf,Spy Files 1
Nanocam: Small digital camcorder,Griffcomm,Brochure,2008,,,,,https://wikileaks.org/spyfiles/docs/griffcomm/133_nanocam-small-digital-camcorder.html,https://wikileaks.org/spyfiles/files/0/133_GRIFFCOMM-Nanocam.pdf,Spy Files 1
