Name,Role,Motive,Sex,Date Killed,Year of Death,Month of Death,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,Tortured,Profile on CPJ,Image,Description
Anas al-Tarsha,Journalist,Motive Confirmed,Male,"February 24, 2012",2012,February,Syria,Freelance,Syria,Radio,Camera Operator,"Human Rights, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,,,,http://cpj.org/killed/2012/anas-al-tarsha.php,http://cpj.org/killed/anasal-tarsh.fb1.jpg,"Al-Tarsha, a videographer who documented unrest in the besieged city of Homs, was killed by a mortar round while filming the bombardment of the city's Qarabees District, according to news reports. The central city had been under daily attack for more than three weeks as the Syrian government's assault on opposition strongholds escalated in intensity. Al-Tarsha was the fourth media fatality in Homs within a week. The 17-year old videographer regularly filmed clashes and military movements, and posted the footage on YouTube, news reports and local activists said. Al-Tarsha, who was also known as ""Anas al-Homsi,"" had been interviewed by Arabic broadcasters for information about fatalities and attacks on the city. His footage appeared on the sites of citizen news organizations that publish thousands of videos documenting the violence.Since the Syrian uprising began in 2011, the government sought to impose a blackout on independent news coverage. Authorities expelled or denied entry to dozens of international journalists, CPJ research shows, prompting international media to use footage shot by citizen journalists such as al-Tarsha."
Anastase Seruvumba,Journalist,Motive Confirmed,Male,"April 29, 1994",1994,April,Rwanda,Imbaga,Rwanda,Print,Print Reporter,,No,Local,Paramilitary Group,Murder,Yes,No,Yes,No,http://cpj.org/killed/1994/anastase-seruvumba.php,,"Seruvumba, a journalist with the opposition paper Imbaga, was killed after having been denounced. He had returned to Rwanda in January 1994 after two years of study in Switzerland. He also worked for Kinyamateka newspaper."
Anastasiya Baburova,Journalist,Motive Confirmed,Female,"January 19, 2009",2009,January,Russia,Novaya Gazeta,"Russia, United States",Print,Print Reporter,Human Rights,Yes,Local,Unknown Fire,Murder,Partial,No,No,No,http://cpj.org/killed/2009/anastasiya-baburova.php,http://cpj.org/killed/photos/anastasiya_baburova_russia_2009.jpg,"An assailant wearing a ski mask shot Baburova, 25, a freelance correspondent for the independent newspaper Novaya Gazeta, at around 3 p.m. on a downtown street within walking distance of the Kremlin. Baburova had just covered a news conference at which prominent human rights lawyer Stanislav Markelov fiercely denounced the early prison release of a Russian army officer convicted in the March 2000 abduction and murder of a Chechen girl. The lawyer and journalist had just left the IndependentPressCenter, where the news conference was held, and were chatting as they strolled outside.The assailant shot Markelov in the back of the head with a pistol fitted with a silencer, the independent business daily Kommersant reported, citing sources in the Prosecutor General's office. Baburova apparently tried to stop the killer, who walked past her after shooting Markelov; the man then shot her in the head, Kommersant reported, citing unnamed witnesses. Markelov, 34, died immediately; Baburova died several hours later in a Moscow hospital, where she had undergone surgery, the independent news Web site Lenta reported.Baburova was a journalism student at MoscowStateUniversity and had contributed to Novaya Gazeta since October 2008, covering the activities of neo-Nazi groups and race-motivated crimes, which had been on the rise in Moscow, Deputy Editor Sergei Sokolov told CPJ.On April 28, 2011, a jury at the Moscow City Court declared two radical nationalists--Nikita Tikhonov and his common-law wife, Yevgeniya Khasis--guilty in the double murder, local and international press reported. Russian investigators had arrested the two in November 2009.Tikhonov was found guilty of killing Baburova and Markelov as well as illegal appropriation and possession of firearms and forgery of personal identity documents. Khasis was found guilty of being an accomplice in the murder and of illegally possessing firearms. Sergei Sokolov, deputy editor of Novaya Gazeta, told CPJ the newspaper was satisfied with the verdict but hoped additional accomplices would be brought to trial. Tikhonov was sentenced to life imprisonment and Khasis to 18 years in prison."
Anatoly Klyan,Journalist,Motive Confirmed,Male,"June 30, 2014",2014,June,Ukraine,Pervy Kanal,Russia,Television,Camera Operator,"Politics, War",No,Foreign,Unknown Fire,Dangerous Assignment,,No,No,No,http://cpj.org/killed/2014/anatoly-klyan.php,,"Klyan was traveling to a besieged military base outside Donetsk on a bus with civilians and journalists, a trip organized by pro-Russia separatists with the self-declared Donetsk People's Republic. Forbes-Russia and the popular Moscow-based broadcaster Ekho Moskvy said that late on June 29, 2014, separatists told journalists that they had negotiated the surrender of a Ukrainian army unit and invited the journalists to film soldiers being greeted by their mothers."
Anatoly Levin-Utkin,Journalist,Motive Confirmed,Male,"August 24, 1998",1998,August,Russia,Yurichichesky Peterburg Segodnya,Russia,Print,Editor,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,Yes,http://cpj.org/killed/1998/anatoly-levin-utkin.php,,"Levin-Utkin, deputy editor of the weekly newspaper Yuridichesky Peterburg Segodnya, was beaten unconscious on August 21 in the doorway of his apartment and robbed of his briefcase, which contained information for the next installment in an investigative series on rivalries between local financial and political figures. Cash and personal valuables were also taken. The journalist suffered severe brain trauma and died on August 24 without ever having regained consciousness. The newspaper's editor said in an August 25 news conference that he believed the murder was connected to the series of investigative stories on the customs and secret services published in the first two issues of the 3-week-old newspaper, for which Levin-Utkin had done research and reporting. The editor said he had received phone calls demanding the names of those who worked on the series but had refused to divulge the information. Levin-Utkin had just finished collecting documents and photos for the third installment of the series on the day he was attacked. In a letter to President Boris Yeltsin, CPJ condemned the fatal beating and decried the intimidation of journalists and the climate of fear in Russia that stifles media freedom."
Ando Ratovonirina,Journalist,Motive Confirmed,Male,"February 7, 2009",2009,February,Madagascar,Radio Télévision Analamanga,Madagascar,Television,"Broadcast, Camera Operator",Politics,No,Local,Military Officials,Dangerous Assignment,,,,,http://cpj.org/killed/2009/ando-ratovonirina.php,http://cpj.org/killed/Ratovonirina.Madagascar.2009.jpg,"Ratovonirina, a reporter and cameraman for the private broadcaster Radio Télévision Analamanga (RTA), was shot dead by presidential guards while covering an antigovernment demonstration in the capital, Antananarivo, according to witnesses.When soldiers opened fire on opposition demonstrators marching toward the presidential palace, a bullet struck Ratovonirina in the head, according to local journalists. The journalist was carrying a notebook and sound equipment, according to reporter Mirindra Raparivelo, who was filming the scene for RTA. Raparivelo recalled the hiss of bullets and the smell of gunfire as he crawled to safety uninjured.At least 25 people were killed and another 167 injured in the shootings, according to The Associated Press. The country’s defense minister resigned to protest the shootings, while the United Nations called for “a fair process by which those responsible will be brought to justice.”The shootings came amid a deepening power struggle between President Marc Ravalomanana and his rival, Andry Rajoelina, the outspoken 34-year-old mayor of Antananarivo. Rajoelina took control of the government later in the year.Ratovonirina, 26, was the first journalist killed in the line of duty in Madagascar since CPJ began keeping detailed death records in 1992. He was distinguished for his passion for journalism since joining RTA in October 2008, according to Editor-in-Chief Andry Raveloson. “He had just completed his communications studies at the university and wanted to practice,” Raveloson said. He said the young journalist had also worked for a local newspaper prior to joining the station."
André Kameya,Journalist,Motive Confirmed,Male,"April-June, 1994",1994,April,Rwanda,Rwanda Rushya,Rwanda,Print,Editor,Politics,No,Local,Paramilitary Group,Murder,Partial,No,Yes,No,http://cpj.org/killed/1994/andre-kameya.php,,"Rwanda RushyaApril-June, 1994, in Rwanda, RwandaKameya, editor-in-chief of the newspaper Rwanda Rushya and an official of the opposition Liberal Party, was killed with his wife and son. Kameya had been imprisoned and threatened with death under the Hutu-dominated Habyarimana regime on several occasions since 1991.Many of Rwanda's journalists were among the first victims of the massacres that erupted after the presidents of Rwanda and Burundi were killed in a suspicious pace crash on April 6, 1994. The Rwandan Armed Forces and Hutu militias took the opportunity to eliminate political opponents and independent journalists among them Hutu critics of the regime. CPJ lists 14 journalists whose murders during the massacres, a preponderance of circumstantial evidence suggest, are directly attributable to their work."
Andrea Rocchelli,Journalist,Motive Confirmed,Male,"May 24, 2014",2014,May,Ukraine,Cesura photo agency,Italy,"Print, Radio",Photographer,"Human Rights, War",No,Foreign,Unknown Fire,Crossfire/Combat-Related,,No,No,No,http://cpj.org/killed/2014/andrea-rocchelli.php,http://cpj.org/killed/andrea.rocchelli.ap.jpg,"Italian photojournalist Rocchelli, 30, was killed outside the eastern city of Sloviansk, after a mortar shell exploded in the ditch where he and his fixer, Andrei Mironov, were hiding from an unexpected attack, regional and international press reported. A French photojournalist, William Roguelon, was also wounded in the attack, reports said."
Andrei Soloviev,Journalist,Motive Confirmed,Male,"September 27, 1993",1993,September,Georgia,ITAR-TASS,Russia,Print,Photographer,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,http://cpj.org/killed/1993/andrei-soloviev.php,http://cpj.org/killed/Soloviev.Russia.1993.1.jpg,"Soloviev, a photo correspondent for ITAR-TASS, was killed by a sniper as he covered the fighting in Sukhumi."
Andres Teodoro,Journalist,Motive Confirmed,Male,"November 23, 2009",2009,November,Philippines,Central Mindanao Inquirer,Philippines,Print,Editor,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,http://cpj.org/killed/2009/andres-teodoro.php,,"In the deadliest event for the press ever recorded by CPJ, 30 Philippine journalists and two media support workers were ambushed and brutally slain on November 23 as they traveled in Maguindanao province with a convoy of people who intended to file gubernatorial candidacy papers for a local politician. In all, 57 people were killed in a shocking display of barbarism apparently motivated by political clan rivalries. Most of the bodies were dumped in a mass hillside grave in the town of Ampatuan.A fact-finding report by four local press organizations—the Freedom Fund for Filipino Journalists, the National Union of Journalists of the Philippines, MindaNews, and the Philippine Center for Investigative Journalism—said most of the victims had worked for Mindanao-based newspapers, with some employed by radio and television outlets. “The massacre claimed nearly an entire generation of journalists from the small print and broadcast communities of General Santos, Koronadal City, and nearby areas,” said the report, noting that most of the victims were married and had children.The entourage was on its way to Shariff Aguak to file documents in support of local political leader Esmael Mangudadatu’s candidacy for provincial governor. Having been warned of a possible ambush, Mangudadatu did not travel with the group but instead sent female family members and supporters, and invited the press to go along, in the belief that women and independent witnesses would not be attacked, according to local and foreign media reports.Police quickly identified Andal Ampatuan Jr., mayor of Datu Unsay in Maguindanao and son of the provincial governor, as a prime suspect behind the killings. Ampatuan surrendered to authorities but proclaimed his innocence. Investigators said that about 100 heavily armed men loyal to Ampatuan abducted the group, took them to a more remote hillside, and then opened fire. Reuters quoted one of its photographers at the scene as saying that many bodies had both bullet and machete wounds. Some of the victims had their hands tied behind their backs, and one of the female victims was pregnant, Reuters and other sources reported.The journalists were not directly targeted for their work, but were the victims of a long- running feud between two rival political clans competing for supremacy in the area. The massacre was not linked to Mindanao’s decades-old guerrilla battle between Muslim secessionist and the Philippine army.In their fact-finding report, the four local press groups highlighted a number of concerns about the initial police investigation. The report said the crime scene had not been well preserved and that personal belongings were still strewn about several days after the massacre. The recovery effort, which relied on the use of excavation equipment, compromised forensic evidence, it added. The report also expressed concern that potential witnesses—seemingly many since a number of homes and a mosque overlook the crime scene—had been intimidated into silence.The report, quoting retrieval team members, said the pit where many bodies were buried might have been dug several days before the massacre.The massacre occurred just 300 meters (1,000 feet) from a detachment of the Civilian Armed Forces, a local government militia. Members of the unit initially claimed to have seen no convoy, even though the vehicles were intercepted in a nearby spot that would have been clearly visible, the fact-finding report said.No single event has claimed as many journalists’ lives in the 18 years since CPJ began compiling detailed records. According to CPJ research, the deadliest prior event for the press came in Iraq on October 12, 2006, when 11 employees of Al-Shaabiya television were killed in an attack at the station’s Baghdad studios."
Anja Niedringhaus,Journalist,Motive Confirmed,Female,"April  4, 2014",2014,April,Afghanistan,Associated Press,Germany,"Print, Radio",Photographer,"Human Rights, War",,Foreign,Government Officials,Dangerous Assignment,,No,No,No,http://cpj.org/killed/2014/anja-niedringhaus.php,,"Niedringhaus, 48, a German photographer for The Associated Press, was shot dead by a police officer who walked up to her car, said ""Allahu Akbar"" (God is great), and opened fire, according to the AP and news reports. Kathy Gannon, AP special correspondent for the region, was wounded in the attack. The two were in a car with a translator and another AP freelance photographer.Niedringhaus and Gannon were traveling in a convoy of election workers delivering ballots from the center of Khost city to the outskirts, in Tani district, according to the AP report which cited AP staff who were on the scene. The convoy was protected by Afghan security forces. After opening fire on the car, the officer surrendered to other police and was arrested.The shooting happened the day before nationwide elections for a president and provincial councils, which the Taliban had vowed to disrupt, according to reports.There was an uptick in attacks in Afghanistan in the weeks leading up to the election. About a month before Niedringhaus' death, British-Swedish journalist Nils Horner was shot dead in broad daylight in Kabul's diplomatic district, news reports said. In January, a Lebanese restaurant popular with foreigners was attacked in a suicide bombing."
Anna Politkovskaya,Journalist,Motive Confirmed,Female,"October  7, 2006",2006,October,Russia,Novaya Gazeta,"Russia, United States",Print,Print Reporter,"Corruption, Human Rights, War",No,Local,Unknown Fire,Murder,Partial,No,Yes,No,http://cpj.org/killed/2006/anna-politkovskaya.php,http://cpj.org/killed/politkovskaya.2006.jpg,"Politkovskaya, 48, a journalist renowned for her critical coverage of the Chechen conflict, was found slain in her apartment building in Moscow, according to international news reports. The Interfax news agency, citing police, said Politkovskaya had been shot and that a pistol and four bullet casings had been found. Politkovskaya, special correspondent for the independent Moscow newspaper Novaya Gazeta, was well known for her investigative reports on human rights abuses by the Russian military in Chechnya. In seven years covering the second Chechen war, Politkovskaya's reporting repeatedly drew the wrath of Russian authorities. She was threatened, jailed, forced into exile, and poisoned during her career, CPJ research shows. Igor Korolkov, a colleague, told the Regnum news Web site that Politkovskaya had been reporting on alleged torture in Chechnya for a coming story. CPJ had named Politkovskaya one of the world's top press freedom figures of the past 25 years in the fall 2006 edition of its magazine, Dangerous Assignments. In an interview for that profile, Politkovskaya noted the government's obstruction and harassment of journalists trying to cover the Chechen conflict and pointed to the deadly 2004 hostage crisis in the North Ossetian town of Beslan. ""There is so much more to write about Beslan,"" she told CPJ, ""but it gets more and more difficult when all the journalists who write are forced to leave."" Politkovskaya was poisoned on her way to cover the Beslan crisis. After drinking tea on a flight to the region, she became seriously ill and was hospitalized--but the toxin was never identified because the medical staff was instructed to destroy her blood tests. Politkovskaya had been threatened and attacked numerous times in retaliation for her work. In February 2001, CPJ research shows, security agents detained her in the Vedeno district in Chechnya, accusing her of entering Chechnya without accreditation. She was kept in a pit for three days without food or water, while a military officer threatened to shoot her. Seven months later, she received death threats from a military officer accused of crimes against civilians. She was forced to flee to Vienna after the officer sent an e-mail to Novaya Gazeta promising that he would seek revenge. When Politkovskaya covertly visited Chechnya in 2002 to investigate new allegations of human rights abuses, CPJ research shows, security officers arrested her, kept her overnight at a military base, and threatened her. In October of that year, Politkovskaya served as a mediator between armed Chechen fighters and Russian forces during a hostage standoff in a central Moscow theater. Two days into the crisis, with the Kremlin restricting media coverage, Russian forces gassed the theater and 129 hostages died. Politkovskaya delivered some of the most compelling accounts of the tragedy.In 2009, a Moscow jury acquitted three suspected conspirators, the brothers Ibragim and Dzhabrail Makhmudov and former Moscow police officer Sergei Khadzhikurbanov. Another Makhmudov brother, Rustam, whom authorities identified as the gunman, was at large at the time. Investigators acknowledged they had rushed a poorly prepared case to trial. An appellate court later granted a re-trial.The case moved forward again in 2012, when prosecutors indictedDmitry Pavlyuchenkov, a retired police lieutenant colonel, on charges that he helped orchestrate the murder. Authorities accused Pavlyuchenkov, head of surveillance for Moscow's main police force in 2006, of ordering subordinates to follow Politkovskaya and determine her schedule and usual travel routes. The information was then passed along to the gang hired to kill the journalist, prosecutors said.In December 2012, Pavlyuchenkov was sentenced to 11 years in prison on charges that he was an accomplice in the plot. Family and colleagues were dismayed by the ruling, which came after a closed proceeding; lawyers for Politkovskaya's family said they would appeal. Colleagues and relatives had hoped Pavlyuchenkov would identify the masterminds in open court.Following the verdict, investigators said they considered exiled tycoon Boris Berezovsky and Chechen envoy Akhmed Zakayev to be the masterminds--an assertion dismissed by Politkovskaya's representatives as unfounded and politically motivated.Five other suspects were in detention in late 2012, including all threeMakhmudov brothers, former officer Khadzhikurbanov, and Chechen underground leader Lom-Ali Gaitukayev. Prosecutors said Gaitukayev served as the main organizer and liaison between the masterminds and Pavlyuchenkov.Politkovskaya's family and colleagues expressed deep concern after Pavlyuchenkov's trial, saying that he failed to testify about the true masterminds of the crime or reveal details of its financing. ""As a result,"" Novaya Gazeta Deputy Editor Sergey Sokolov said, ""Pavlyuchenkov did everything to cut any possibility of netting the true key culprits in Anna Politkovskaya's murder."""
Anthony Macharia,Journalist,Motive Confirmed,Male,"July 12, 1993",1993,July,Somalia,Reuters,Kenya,Television,Technician,War,No,Foreign,Mob Violence,Murder,Yes,No,No,No,http://cpj.org/killed/1993/anthony-macharia.php,http://cpj.org/killed/Macharia.Somalia.1.1993.jpg,"Macharia, a Kenyan soundman working for Reuters; Hansi Krauss, a German photographer with the Associated Press; Hosea Maina, a Kenyan photographer working for Reuters; and Dan Eldon, photographer holding British and American passports and working for Reuters, were killed when a crowd, angered by a the death of more than 70 Somalis in an aerial attack on General Mohamed Farah Aidid's command post, set upon them wielding rocks, clubs, and guns. The four journalists, as well as Mohamed Shaffi, another Kenyan soundman for Reuters Television, were invited to view the damage after the attack and were escorted to the scene when the crowd turned on them. Shaffi, who had begun filming the carnage while Somalis were searching for dead and wounded bodies in the wreckage, was roughed up and shot by gunmen as he fled. Shaffi managed to escape when an unknown Somali told him to get in his truck and drove him to El-Sahafi Hotel, where reporters in Mogadishu were staying. Shaffi was treated for two bullet wounds."
Antoine Massé,Journalist,Motive Confirmed,Male,"November 7, 2004",2004,November,Ivory Coast,"Le Courrier d""Abidjan",Ivory Coast,Print,Print Reporter,Human Rights,No,Local,Military Officials,Dangerous Assignment,,No,No,No,http://cpj.org/killed/2004/antoine-masse.php,,"Massé, a correspondent for the private daily Le Courrier d'Abidjan, was fatally shot while covering violent clashes between French troops and demonstrators in the western Ivoirian town of Duékoué, his editor told CPJ. Le Courrier d'Abidjan Editor Théophile Kouamouo told CPJ that Massé was among several people killed during a demonstration by the pro-government group Young Patriots, which opposed the movement of French peacekeeping troops from the west to the commercial capital, Abidjan. The demonstration came amid several days of violence in the former French colony during which dozens were killed and many more injured and displaced.The turmoil began November 6 after an Ivory Coast air strike against French peacekeepers killed nine soldiers and a U.S. aid worker. France, which had been overseeing a fragile cease-fire between rebel and government forces, retaliated by destroying the country's military aircraft--sparking an uprising by loyalist youths in the south who took to the streets armed with machetes, iron bars, and clubs. France and other nations began evacuating thousands of foreigners as a result.Kouamouo, whose newspaper is considered sympathetic to President Laurent Gbagbo's Ivoirian Patriotic Front party, claimed that French troops had opened fire during the November 7 clash in Duékoué. French military officials did not comment directly on Massé's death, although French Gen. Henri Bentegeat acknowledged that his soldiers had opened fire in certain cases to hold back violent mobs, the Associated Press reported."
Anton Hammerl,Journalist,Motive Confirmed,Male,"April  5, 2011",2011,April,Libya,Freelance,South Africa,Print,Photographer,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,Yes,No,No,http://cpj.org/killed/2011/anton-hammerl.php,http://cpj.org/killed/Hammerl.ap1.jpg,"Hammerl, a 41-year-old photographer of South African and Austrian descent, was shot and killed by government forces near Brega in eastern Libya on April 5. Three journalists traveling with him were detained by Libyan authorities until May 18 and announced Hammerl's death after they were released.Hammerl, a married father of three, traveled to eastern Libya to cover the conflict as a freelancer. He was working on the front lines near Brega with three other foreign journalists--Clare Gillis, James Foley, and Manuel Varela (also known as Manu Brabo)--when they came under fire from government forces. Hammerl was shot in the abdomen, and Gillis, Foley, and Brabo were captured.Gillis toldThe Atlantic magazine, ""They took away our stuff, tied us up, threw us in the back of the truck. And we all looked down at Anton. ... I saw him not moving and in a pool of blood. Jim tried to talk to him--'Are you OK?'--and he didn't answer anymore.""For more than six weeks, the government alternately claimed that Hammerl was safe in custody or that he was not in government hands. Sources reported that the Libyan government had been in possession of Hammerl's passport, and thus was aware of his identity and his fate.Under international humanitarian law applicable in the armed conflict in Libya, parties to a conflict have obligations regarding the missing and dead. Libya was obliged to take all feasible measures to account for persons reported missing as a result of fighting and provide family members with any information it had. Hammerl's family had repeatedly sought information about his whereabouts.The Libyan government held Gillis, Foley, and Brabo until May 18, when they were released in Tripoli, the capital. They traveled to Tunisia the following day, where they informed Hammerl's family of his death. International efforts were ultimately successful in gaining the release of the detained journalists, but the South African government appeared to have played no part. When South African President Jacob Zuma visited Tripoli on April 10 and 11, he failed to bring up Hammerl's case, according to media reports.The South African government reacted to the news of Hammerl's death by accusing the Libyan authorities of misinformation. ""We kept getting reassured at the highest level that he was alive until his colleagues were released and shared the information,"" said Maite Nkoana-Mashabane, South Africa's international relations and cooperation minister.Hammerl also held Austrian citizenship, and the Austrian government similarly criticized the Qaddafi government. ""We are very disappointed at the Libyan side that they had not conveyed the news,"" said Otto Ditz, Austria's ambassador to South Africa."
Antonio Casemero,Journalist,Motive Confirmed,Male,"October 30, 1996",1996,October,Angola,Televisao Popular de Angola,Angola,Television,Broadcast,"Culture, Politics",No,Local,Government Officials,Murder,Yes,No,No,No,http://cpj.org/killed/1996/antonio-casemero.php,,"Televisao Popular de AngolaOctober 30, 1996, in Cabinda, AngolaCasemero, a correspondent in Cabinda for Televisao Popular de Angola, the state-owned television station, was fatally shot October 30 at his home in Cabinda, reportedly by police. Colleagues say that a regional official in Cabinda had harassed him several weeks earlier."
Antonio de la Torre Echeandía,Journalist,Motive Confirmed,Male,"February 14, 2004",2004,February,Peru,Radio Órbita,Peru,Radio,Broadcast,"Crime, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,No,http://cpj.org/killed/2004/antonio-de-la-torre-echeandia.php,,"De la Torre, host of ""El equipo de la noticia"" (The News Team) on Radio Órbita in the city of Yungay, in the northern department of Ancash, was murdered after leaving a party in the evening. Two unidentified men stabbed the 43-year old journalist as he was heading home. According to local news reports quoting his wife and son, de la Torre identified one of his attackers as ""El Negro,"" a nickname for Hipólito Casiano Vega Jara, a driver for the Yungay mayor's office. Police have arrested Vega. Antonio Torres, a friend of de la Torre who allegedly led the journalist to the scene of his murder, was also arrested.De la Torre was a harsh critic of his former friend, Yungay Mayor Amaro León, whom he accused of malfeasance. In 2002, de la Torre had worked as a campaign chief for León, the Lima-based daily La República reported. After León won the elections, he appointed de la Torre head of the municipality's public relations office. The two parted ways three months into León's tenure as mayor, when de la Torre resigned after discovering several instances of alleged corruption, according to La República.Julio César Giraldo Ángeles, owner of Radio Órbita, said that de la Torre had been threatened and attacked several times. In October 2003, Giraldo said, unidentified individuals had hurled a homemade bomb at the journalist's home in the middle of the night. The explosion did not cause major damage, and de la Torre was able to put out the fire. De la Torre had also received several anonymous threatening letters, Giraldo said.De la Torre's family has blamed Mayor León for the murder, but León has rejected any involvement in the crime.On March 17, at the request of the Yungay Public Prosecutor's Office, an Ancash court ordered León and his daughter detained on charges of masterminding de la Torre's murder in an attempt to silence the journalist. According to Prosecutor Luz Marina Romero, two other municipal workers were charged as accomplices in the crime. The four were jailed in a prison in Huaraz, the capital of Ancash Department. Another man charged in the murder remained a fugitive.In 2006, the Supreme Court reversed the court's decision, finding the evidence circumstantial and the motive insufficient. The convicted killers were released, and León retook office immediately."
Anura Priyantha,Journalist,Motive Confirmed,Male,"December 18, 1999",1999,December,Sri Lanka,Independent Television Network,Sri Lanka,Television,Technician,Politics,No,Local,Political Group,Dangerous Assignment,,No,No,No,http://cpj.org/killed/1999/anura-priyantha.php,,"Pathinivasan died instantly of shrapnel wounds. Priyantha died later at a Colombo hospital.Indika Pathinivasan, a camera assistant for Sri Lanka's privately owned Maharaja Television Network, and Anura Priyantha, a camera assistant for the state-owned Independent Television Network, were fatally wounded by shrapnel from a suicide bomb aimed at President Chandrika Bandaranaike Kumaratunga at an election rally in Colombo. Five other journalists were injured by the blast, along with Kumaratunga and scores of onlookers.The bomb exploded at around 10 p.m. near a barrier separating journalists, including Pathinivasan and Priyantha, from Kumaratunga and a car that had arrived to pick her up. At least 22 people were killed in the assassination attempt, according to police.Pathinivasan died instantly of shrapnel wounds. Priyantha died later at a Colombo hospital."
Apolinario 'Polly' Pobeda,Journalist,Motive Confirmed,Male,"May 17, 2003",2003,May,Philippines,DWTI,Philippines,Radio,Columnist,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,Yes,No,http://cpj.org/killed/2003/apolinario-polly-pobeda.php,,"At about 6:00 a.m., two unidentified gunmen stopped radio host Pobeda as he rode his motorcycle to work in Lucena City, Quezon Province, and shot him repeatedly, according to Philippine press reports. Pobeda suffered seven gunshot wounds, including one to his head. He was brought to a hospital, where he was declared dead on arrival.On Pobeda's radio program ""Nosi Balasi"" (Who Are They?), which he co-hosted on DWTI-AM, the journalist often criticized corrupt local officials. The Philippine Daily Inquirer reported that Pobeda was particularly outspoken against Lucena City Mayor Ramon Talaga, whom the journalist had accused of being involved in the local drug trade.Pobeda had received repeated anonymous death threats, including one about a month before his murder, according to his wife, Rowena Morales.On May 22, police arrested brothers Eric and Eulogio Patulay as suspects in the murder. An eyewitness to the crime had identified them as the triggermen, according to local police. Press reports said the Patulay brothers were bodyguards of Romano Talaga, Ramon Talaga's son, although Romano Talaga claimed they had just acted as his ""guides"" when he traveled. Both the Patulays and Ramon Talaga denied any involvement in Pobeda's murder. A third suspect remains at large.Pobeda's colleagues and family members say he was murdered for his work. ""My husband was killed because he exposed the wrongdoing of the government,"" Rowena Morales told the Center for Media Freedom and Responsibility, a Manila-based press freedom organization."
Ardiansyah Matra'is,Journalist,Motive Confirmed,Male,"July 30, 2010",2010,July,Indonesia,Merauke TV,Indonesia,Television,Broadcast,"Business, Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,Yes,Yes,Yes,http://cpj.org/killed/2010/ardiansyah-matrais.php,,"A rescue team found the body of Matra'is near the GudangArangRiver, two days after his family reported him missing in Merauke, a small town on the southern tip of Papua province, according to news reports.Matra'is, a reporter for the local broadcaster Merauke TV, had been covering plans for a large agribusiness development in Merauke, according to the Alliance of Independent Journalists (AIJ). With its potential for bringing wealth to the remote region, the project had led to a heated competition for the position of regional chief, Victor Mambor, chairman of AIJ's local branch, told the newsmagazine Tempo. Matra'is' death came in the run-up to local elections.In the week before his death, Matra'is had received threatening text messages similar to those sent to at least three other local journalists, news reports said. The news website Kompas translated one threat as saying: ""To cowardly journalists, never play with fire if you don't want to be burned. If you still want to make a living on this land, don't do weird things. We have data on all of you and be prepared for death.""Initial news reports said Matra'is' body showed signs of torture, although local police later denied finding signs of abuse. Matra'is's family declined to have an autopsy conducted, as is often the case in Islamic cultures."
Aref Ali Filaih,Journalist,Motive Confirmed,Male,"June 11, 2007",2007,June,Iraq,Aswat al-Iraq,Iraq,Print,Print Reporter,War,Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,No,http://cpj.org/killed/2007/aref-ali-filaih.php,,"Filaih, correspondent for the independent news agency Aswat al-Iraq, was killed by a roadside bomb while driving to an assignment south of Al-Khalis in Diyala province, Aswat al-Iraq reported. Filaih, 32, had worked as Aswat al-Iraq's correspondent in the violence-plagued province since December 2006, the news agency said."
Aristeu Guida da Silva,Journalist,Motive Confirmed,Male,"May 12, 1995",1995,May,Brazil,A Gazeta de São Fidélis,Brazil,Print,Publisher,Corruption,No,Local,Government Officials,Murder,Yes,No,Yes,No,http://cpj.org/killed/1995/aristeu-guida-da-silva.php,,"Guida da Silva, owner of the weekly A Gazeta de São Fidélis in the city of São Fidélis, northwest of Rio de Janeiro, was shot dead in front of his house by two hooded men riding a motorbike. Guida da Silva's father reported that the journalist received death threats for articles he had written accusing the president of the local municipal council of corruption. No one has been apprehended."
