Name,Wikipedia Page,Description,Image,Birth Year,Age Term Began (approx.),Term Began,Year Term Began,Term Ended,Year Term Ended,Term length,Days in Term,Royal?,Current?,Birth Place (current city),Country of Birth (current country),Ruler of,Country of Ruled Territory (Current),Political Party,Studies,Role,Religion
Sajjan Singh of Ratlam,http://en.wikipedia.org/wiki/Sajjan_Singh_of_Ratlam,"Sajjan Singh (13 January 1880 - 3 February 1947) was a British Indian Army officer and the first Maharaja of Ratlam State, ruling from 1893 until 1947.",,1880,13,20 January 1893,1893,3 February 1947,1947,"54 years, 14 days",19737,Yes,No,,,Ratlam ,India,,,Maharaja,
"Frederick III, Duke of Lorraine","http://en.wikipedia.org/wiki/Frederick_III,_Duke_of_Lorraine",Frederick III (French: Ferry) (1238 – 31 December 1302) was the Duke of Lorraine from 1251 to his death. He was the only son and successor of Matthias II and Catherine of Limburg.,http://commons.wikimedia.org/wiki/Special:FilePath/Frederico_III_da_Lorena.png?width=300,1238,13,24 June 1251,1251,31 December 1302,1302,"51 years,190 days",18817,Yes,No,,,Lorraine ,France,,,Duke,
Amoghavarsha,http://en.wikipedia.org/wiki/Amoghavarsha,"Amoghavarsha I (also known as Amoghavarsha Nrupathunga I) (Kannada: ಅಮೋಘವರ್ಷ ನೃಪತುಂಗ) (800–878 CE) was a Rashtrakuta emperor, the greatest ruler of the Rashtrakuta dynasty, and one of the great emperors of India. His reign of 64 years is one of the longest precisely dated monarchical reign on record. Historian R.S. Panchamukhi has compared him to the legendary Emperor Ashoka for his religious temperament and love of peace. Many Kannada and Sanskrit scholars prospered during his rule, including the great Indian mathematician Mahaviracharya who wrote Ganita-sara-samgraha, Jinasena, Virasena, Shakatayan and Sri Vijaya (a Kannada language theorist). Amoghavarsha I was an accomplished poet and scholar. He wrote (or co-authored) the Kavirajamarga, the earliest extant literary work in Kannada,  and Prashnottara Ratnamalika, a religious work in Sanskrit. During his rule he held such titles as Nrupathunga, Atishadhavala, Veeranarayana, Rattamarthanda and Srivallabha. He moved the Rashtrakuta regal capital from Mayurkhandi in the Bidar district to Manyakheta in the Gulbarga district in the modern Karnataka state. He is said to have built the regal city to ""match that of Lord Indra "". The capital city was planned to include elaborately designed buildings for the royalty using the finest of workmanship. The Arab traveler Sulaiman described Amoghavarsha as one of the four great kings of the world. Sulaiman also wrote that Amoghavarsha respected Muslims and that he allowed the construction of mosques in his cities. Because of his religious temperament, his interest in the arts and literature and his peace-loving nature, historian Panchamukhi has compared him to the emperor Ashoka and given him the honorific ""Ashoka of the South"". Amoghavarsha seems to have entertained the highest admiration for the language, literature and culture of the Kannada people as testified to in the text Kavirajamarga. ",,800,14,814,814,878,878,64 years,23375,Yes,No,,,Rashtrakuta Empire ,India,,,Emperor,
Friedrich Günther of Schwarzburg-Rudolstadt,"http://en.wikipedia.org/wiki/Friedrich_G%C3%BCnther,_Prince_of_Schwarzburg-Rudolstadt","Friedrich Günther, Prince of Schwarzburg-Rudolstadt (6 November 1793 – 28 June 1867) was a sovereign prince of Schwarzburg-Rudolstadt .",,1793,14,28 April 1807,1807,28 June 1867,1867,"60 years, 61 days",21976,Yes,No,,,Schwarzburg-Rudolstadt,Germany,,,Prince,
"Said bin Sultan, Sultan of Muscat and Oman","http://en.wikipedia.org/wiki/Said_bin_Sultan,_Sultan_of_Muscat_and_Oman","Said bin Sultan Al-Said (Arabic: سعيد بن سلطان ‎, Sa‘id bin Sulṭān) (5 June 1790 – 19 October 1856) was Sultan of Muscat and Oman from March 1807 to 4 June 1856.",http://en.wikipedia.org/wiki/Special:FilePath/Said_Bin_Sultan.jpg?width=300,1790,14,20 November 1804,1804,4 June 1856,1856,"51 years,197 days",18824,Yes,No,,,Muscat and Oman,"Oman, United Arab Emirates",,,Sultan,
Pōmare IV,http://en.wikipedia.org/wiki/P%C5%8Dmare_IV,"Pōmare IV (28 February 1813 – 17 September 1877), more properly ʻAimata Pōmare IV Vahine-o-Punuateraʻitua (otherwise known as ʻ Aimata – ""eye-eater"", after an old custom of the ruler to eat the eye of the defeated foe), was the Queen of Tahiti between 1827 and 1877. She was the fourth monarch of the Kingdom of Tahiti .",http://commons.wikimedia.org/wiki/Special:FilePath/Queen_Pomare.jpg?width=300,1813,14,11 January 1827,1827,17 September 1877,1877,"50 years,249 days",18511,Yes,No,"Pare (Tahiti), French Polynesia",French Polynesia,Tahiti,Tahiti,,,King,Christianism
Bimbisara,http://en.wikipedia.org/wiki/Bimbisara,"Bimbisara (Sanskrit: बिम्बिसारः, 558 BC –491 BC)  was a King, and later, Emperor of the Magadha empire from 542 BC till 492 BC and belonged to the Haryanka dynasty. His expansion of the kingdom, especially his annexation of the kingdom of Anga to the east, is considered to have laid the foundations for the later expansion of the Maurya Empire. ",http://commons.wikimedia.org/wiki/Special:FilePath/Bimbisarajail.jpg?width=300,-558,15,-543,-543,-491,-491,52 years,18993,Yes,No,,,Magadha Empire ,India,,,Emperor,Jainism
Emperor Wu of Han,http://en.wikipedia.org/wiki/Emperor_Wu_of_Han,"Emperor Wu of Han, also translated Han Wudi, (Chinese: 漢武帝, 156 – 87 BC), born Liu Che (劉徹), was the fifth emperor of the Han dynasty of China, ruling from 141 to 87 BC.",http://commons.wikimedia.org/wiki/Special:FilePath/漢武帝.jpg?width=300,-156,15,-141,-141,-87,-87 ,54 years,19723,Yes,No,"Xi'an, China",China,Han ,China,,,Emperor,
Renzong,http://en.wikipedia.org/wiki/Emperor_Renzong_of_Western_Xia,"Emperor Renzong (1124–1193), born Li Renxiao, was the 5th emperor of the Western Xia dynasty (reigned 1139–1193).",http://commons.wikimedia.org/wiki/Special:FilePath/Renzong.jpg?width=300,1124,15,1139,1139,1193,1193,54 years,19723,Yes,No,,,Western Xia ,China,,,Emperor,
Edward III of England,http://en.wikipedia.org/wiki/Edward_III_of_England,"Edward III (13 November 1312 – 21 June 1377) was King of England from 25 January 1327 until his death; he is noted for his military success and for restoring royal authority after the disastrous reign of his father, Edward II. Edward III transformed the Kingdom of England into one of the most formidable military powers in Europe his reign also saw vital developments in legislation and government—in particular the evolution of the English parliament—as well as the ravages of the Black Death. He is one of only six British monarchs have ruled England or its successor kingdoms for more than fifty years.",http://commons.wikimedia.org/wiki/Special:FilePath/Edward_III_of_England_(Order_of_the_Garter).jpg?width=300,1312,15,25 January 1327,1327,21 June 1377,1377,"50 years,147 days",18409,Yes,No,"Windsor (England), United Kingdom",United Kingdom,England,United Kingdom,,,King,
"Karl, Prince of Anhalt-Zerbst","http://en.wikipedia.org/wiki/Karl,_Prince_of_Anhalt-Zerbst","Karl William, Prince of Anhalt-Zerbst (Zerbst, 16 October 1652 – Zerbst, 3 November 1718), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst .",http://commons.wikimedia.org/wiki/Special:FilePath/1652_Carl_Wilhelm.JPG?width=300,1652,15,4 July 1667,1667,3 November 1718,1718,"51 years,122 days",18749,Yes,No,"Zerbst, Germany",Germany,Anhalt-Zerbst ,Germany,,,Prince,
"Karl Eusebius, Prince of Liechtenstein","http://en.wikipedia.org/wiki/Karl_Eusebius,_Prince_of_Liechtenstein","Karl Eusebius, Prince of Liechtenstein (April 11, 1611 – April 5, 1684) was the Prince of Liechtenstein. He inherited this title in 1627 from his father Karl I. He was 16 and thus considered underage and his uncles Prince Gundakar and Maximillian acted as regents until 1632. From 1639 to 1641 Karl was Chief Captain of High and Low Silesia .",http://commons.wikimedia.org/wiki/Special:FilePath/Karl_Eusebius_v_Liechtenstein.jpg?width=300,1611,16,12 February 1627,1627,5 April 1684,1684,"57 years, 53 days",20872,Yes,No,,,Liechtenstein ,Liechtenstein ,,,Prince,
"Charles I, Landgrave of Hesse-Kassel","http://en.wikipedia.org/wiki/Charles_I,_Landgrave_of_Hesse-Kassel","Charles of Hesse-Kassel (German: Karl von Hessen-Kassel) (3 August 1654, Kassel, Landgraviate of Hesse — 23 March 1730, at the same place ), of the House of Hesse, was the Landgrave of Hesse-Kassel from 1670 to 1730.",http://commons.wikimedia.org/wiki/Special:FilePath/Charles_I_of_Hesse-Kassel.jpg?width=300,1654,16,1 December 1670,1670,23 March 1730,1730,"59 years,112 days",21661,Yes,No,"Kassel, Germany",Germany,Hesse-Kassel ,Germany,,,Landgrave,"Calvinism, Christianism"
Heinrich Joseph Johann of Auersperg,http://en.wikipedia.org/wiki/Heinrich_Joseph_Johann_of_Auersperg,"Heinrich Joseph Johann von Auersperg (24 June 1697, Vienna – 9 February 1783, Vienna) was the fourth Prince of Auersperg, and a Knight of the Order of the Golden Fleece .",,1697,16,6 November 1713,1713,9 February 1783,1783,"69 years, 95 days",25297,Yes,No,"Vienna, Austria",Austria,Auersperg ,Germany,,,Prince,
Umed Singh II,http://en.wikipedia.org/wiki/Umed_Singh_II,"Umed Singh II (15 September 1873 – 27 December 1940) was a ruling Maharaja of Kotah from 1889 to 1940. The great-great-great-great-great-grandson of Kishore Singh, a Raja of Kota, Sir Umed Singhji was adopted at a young age by Shatru Sal II the then Maharaja of the state. Following his death in 1889, Umed Singhji (Udai Singh, as he was then named) embarked on a long and distinguished career as a soldier and statesman, being educated at Mayo College in Ajmer .",,1873,16,11 June 1889,1889,27 December 1940,1940,"51 years,199 days",18826,Yes,No,,,Kota State ,India,,,Maharaja,
"Fulk III, Count of Anjou","http://en.wikipedia.org/wiki/Fulk_III,_Count_of_Anjou","Fulk III of Anjou (French: Foulques ), called Fulk Nerra (""the black""), early medieval Count of Anjou, was the first great builder of castles. He lived from 970 to 1040, constructed an estimated 100 castles and abbeys across the Loire Valley in today’s France, fought successive wars with neighbors in Brittany, Blois, Poitou and Aquitaine counties and traveled four times to Jerusalem on pilgrimage during the course of his life. He had two wives and three children.",http://commons.wikimedia.org/wiki/Special:FilePath/Nerra.jpg?width=300,970,17,21 July 0987,0987,21 June 1040,1040,"52 years,336 days",19329,Yes,No,,,Anjou,France,,,Count,
"John Ernest IV, Duke of Saxe-Coburg-Saalfeld","http://en.wikipedia.org/wiki/John_Ernest_IV,_Duke_of_Saxe-Coburg-Saalfeld","John Ernest, Duke of Saxe-Coburg-Saalfeld (22 August 1658, Gotha – 17 February 1729, Saalfeld) was a duke of Saxe-Coburg-Saalfeld .",http://commons.wikimedia.org/wiki/Special:FilePath/Johann_Ernst_of_Saxe-Coburg-Saalfeld.jpg?width=300,1658,17,26 March 1675,1675,17 February 1729,1729,"53 years,328 days",19686,Yes,No,"Saxe-Gotha, Germany",Germany,Saxe-Coburg-Saalfeld ,Germany,,,Duke,
"Leopold I, Prince of Anhalt-Dessau","http://en.wikipedia.org/wiki/Leopold_I,_Prince_of_Anhalt-Dessau","Leopold I, Prince of Anhalt-Dessau (3 July 1676 – 7 April 1747) was a German prince of the House of Ascania and ruler of the principality of Anhalt-Dessau from 1693 to 1747. He was also a Generalfeldmarschall in the Prussian army. Nicknamed ""the Old Dessauer"" (German: der alte Dessauer ), he possessed only modest abilities as a field commander, but was a talented drillmaster who modernized the Prussian infantry .","http://commons.wikimedia.org/wiki/Special:FilePath/Leopold_I,_Prince_of_Anhalt-Dessau.jpeg?width=300",1676,17,7 August 1693,1693,7 April 1747,1747,"53 years,243 days",19601,Yes,No,"Anhalt-Dessau, Germany",Germany,Anhalt-Dessau ,Germany,,,Prince,
Abdul Hamid Halim of Kedah,http://en.wikipedia.org/wiki/Abdul_Hamid_Halim_of_Kedah,"Sultan Abdul Hamid Halim Shah or ' Sultan Sir Abdu'l Hamid Halim Shah II ibni Ahmad Taj ud-din al-Mukarram Shah KCMG, (4 June 1864 – 13 May 1943) was the 25th Sultan of Kedah. He reigned from 1881 to 1943. He was the son of Sultan Ahmad Tajuddin Mukarram Shah and Wan Hajar .",http://commons.wikimedia.org/wiki/Special:FilePath/Balai_nobat_kedah.jpg?width=300,1864,17,22 September 1881,1881,13 May 1943,1943,"61 years,233 days",22513,Yes,No,,,Kedah ,Malaysia,,,Sultan,
Pedro IV de Aragón,http://en.wikipedia.org/wiki/Peter_IV_of_Aragon,"Peter IV, (Catalan: Pere, IPA: [ˈpeɾə]; Aragonese: Pero, IPA: [ˈpeɾo]; Spanish: Pedro, IPA: [ˈpeðɾo]) (Balaguer, 5 September 1319 – Barcelona, 6 January 1387), called el Cerimoniós (""the Ceremonious"") or el del punyalet (""the one of the little dagger""), was the King of Aragon, King of Sardinia and Corsica (as Peter I ), King of Valencia (as Peter II ), and Count of Barcelona (and the rest of the Principality of Catalonia as Peter III) from 1336 until his death. He deposed James III of Majorca and made himself King of Majorca in 1344. His reign was occupied with attempts to strengthen the crown against the Union of Aragon and other such devices of the nobility, with their near constant revolts, and with foreign wars, in Sardinia, Sicily, the Mezzogiorno, Greece, and the Balearics. His wars in Greece made him Duke of Athens and Neopatria in 1381.",http://commons.wikimedia.org/wiki/Special:FilePath/Jaume_Mateu_-_Peter_III_the_Ceremonious_-_Google_Art_Project.jpg?width=300,1319,17,24 January 1336,1336,6 January 1387,1387,"50 years,347 days",18609,Yes,No,"Perpignan, France",France,Aragon ,Spain,,,King,
Zhaoxiang de Qin,http://en.wikipedia.org/wiki/King_Zhaoxiang_of_Qin,King Zhaoxiang of Qin or King Zhao of Qin (秦昭襄王 or 秦昭王) (324–251 BC) was the son of King Huiwen and younger brother of King Wu .,,-324,18,-306,-306,-250,-250,56 years,20454,Yes,No,,,Qin ,China,,,King,
"Henry I, Duke of Brabant","http://en.wikipedia.org/wiki/Henry_I,_Duke_of_Brabant","Henry I of Brabant (French: Henri I de Brabant, Dutch: Hendrik I van Brabant) (1165 – 5 September 1235), named ""The Courageous"", Duke of Brabant (from 1183) and Duke of Lower Lotharingia (from 1190) until his death.",http://commons.wikimedia.org/wiki/Special:FilePath/Jindra1.jpg?width=300,1165,18,1183,1183,14 February 1318,1318,52 years,18993,Yes,No,,,Brabant ,The Netherlands,,,Duke,
"Charles Theodore, Elector of Bavaria","http://en.wikipedia.org/wiki/Charles_Theodore,_Elector_of_Bavaria","Charles Theodore, Prince-Elector, Count Palatine and Duke of Bavaria (German: Karl Theodor; December 11, 1724 – February 16, 1799) reigned as Prince-Elector and Count palatine from 1742, as Duke of Jülich and Berg from 1742 and also as Prince-Elector and Duke of Bavaria from 1777, until his death. He was a member of the House of Palatinate-Sulzbach, a branch of the House of Wittelsbach .",http://commons.wikimedia.org/wiki/Special:FilePath/Kurfürst_Karl_Theodor_(Bayern).jpg?width=300,1724,18,31 December 1742,1742,16 February 1799,1799,"56 years, 47 days",20501,Yes,No,"Drogenbos, The Netherlands",The Netherlands,Electorate of the Palatinate ,Germany,,,"Duke, Elector",
Victoria of the United Kingdom,http://en.wikipedia.org/wiki/Queen_Victoria,"Victoria (Alexandrina Victoria; 24 May 1819 – 22 January 1901) was Queen of the United Kingdom of Great Britain and Ireland from 20 June 1837 until her death. From 1 May 1876, she used the additional title of Empress of India .",,1819,18,20 June 1837,1837,22 January 1901,1901,"63 years,216 days",23226,Yes,No,,,British Empire,United Kingdom,,,Queen,
Franz Joseph I of Austria,http://en.wikipedia.org/wiki/Franz_Joseph_I_of_Austria,"Franz Joseph I or Francis Joseph I (German: Franz Joseph I., Hungarian: I. Ferenc József, Serbian: Фрања Јосиф (no number used), Slovene: Franc Jožef I., Slovak: František Jozef I., Croatian: Franjo Josip I., Bosnian: Franjo Josip I., 18 August 1830 – 21 November 1916) was Emperor of Austria and Apostolic King of Hungary from 1848 until his death in 1916. From 1 May 1850 until 24 August 1866 he was President of the German Confederation. ",http://commons.wikimedia.org/wiki/Special:FilePath/Franz_Joseph_1898.jpg?width=300,1830,18,2 December 1848,1848,21 November 1916,1916,"67 years,355 days",24826,Yes,No,"Vienna, Austria",Austria,Austria-Hungary,"Austria, Hungary",,,Emperor,
"Johannes II, Prince of Liechtenstein","http://en.wikipedia.org/wiki/Johannes_II,_Prince_of_Liechtenstein","Johann II, born Johann Maria Franz Placidus (5 October 1840 – 11 February 1929), aka Johann II der Gute or Johann II the Good, was the Prince of Liechtenstein between 1858 and 1929. His reign of 70 years and 90 days is the second-longest in European royal history after that of Louis XIV of France .",,1840,18,12 November 1858,1858,11 February 1929,1929,"70 years, 91 days",25658,Yes,No,,,Liechtenstein,Liechtenstein,,,Prince,
Mswati III dello Swaziland,http://wikipedia.org/wiki/Mswati_III,"Mswati III (born Prince Makhosetive Dlamini on 19 April 1968) is the current King (or in the siSwati language, Ingwenyama) of Swaziland and head of the Swazi Royal Family. Mswati was born in Manzini, Swaziland to King Sobhuza II and one of his younger wives Ntfombi Tfwala. Mswati was Tfwala’s only child. He attended primary school at Masundvwini Primary School and secondary school at Lozitha Palace School. He then attended from 1983 to 1986 Sherborne School in north-west Dorset, England. Makhosetive was crowned Mswati III, Ingwenyama and King of Swaziland on 25 April 1986 at the age of 18, thus becoming the youngest ruling monarch at the time in the world. Together with his mother Ntfombi Tfwala, now Queen Mother (Ndlovukati ), he rules the country as an absolute monarch. Mswati III is known for his practice of polygyny (although at least two wives are appointed by the state) and currently has 15 wives. His policies and opulent lifestyle have also triggered domestic protests. ",http://commons.wikimedia.org/wiki/Special:FilePath/Mswati_III_King_of_Swaziland.JPG?width=300,1968,18,25 April 1986,1986,,,"28 years,199 days",10430 (on 14th of November),Yes,Yes,"Manzini, Swaziland",Swaziland,Swaziland,Swaziland,,,King,
Abdullah I Al-Sabah,http://en.wikipedia.org/wiki/Abdullah_I_Al-Sabah,"Abdullah I bin Sabah Al-Sabah (Abdullah I; 1740 – May 5, 1814) was the second monarch of Kuwait's Al-Sabah dynasty, ruling from 1764 to May 3, 1814. He was the youngest son of Sabah bin Jaber, upon whose death he succeeded. He was elected to the position by chiefs and notables despite his standing as the youngest son. He is also the father of Jaber I Al-Sabah who succeeded him.",,1740,18,5 September 1758,1758,3 May 1814,1814,"55 years,240 days",20328,Yes,No,Kuwait,Kuwait,Kuwait,Kuwait,,,Emir,
Jangsu of Goguryeo,http://en.wikipedia.org/wiki/Jangsu_of_Goguryeo,"King Jangsu of Goguryeo (394–491) (r. 413–491) was the 20th monarch of Goguryeo, the northernmost of the Three States of Korea. He was born in 394, the eldest son of Gwanggaeto of Goguryeo. He became crown prince in 408, and upon his father's death in 413, became King at the age of 19.",,394,19,413,413,491,491,78 years,28489,Yes,No,,,Goguryeo ,North Korea,,,King,
Afonso I of Portugal,http://en.wikipedia.org/wiki/Afonso_I_of_Portugal,"Afonso I (25 June 1109, Coimbra, Guimarães or Viseu a[›] – 6 December 1185, Coimbra ), more commonly known as D. Afonso Henriques (Portuguese pronunciation: [ɐˈfõsu ẽˈʁikɨʃ] ), nicknamed ""the Conqueror"" (Portuguese: o Conquistador ), ""the Founder"" (o Fundador) or ""the Great"" (o Grande) by the Portuguese, and El-Bortukali (""the Portuguese"") and Ibn-Arrik (""son of Henry"", ""Henriques"") by the Moors whom he fought, was the first King of Portugal. He achieved the independence of the southern part of the Kingdom of Galicia, the County of Portugal, from Galicia's overlord, the King of León, in 1139, establishing a new kingdom and doubling its area with the Reconquista, an objective that he pursued until his death, in 1185, after forty-six years of wars against the Moors.",http://commons.wikimedia.org/wiki/Special:FilePath/Afonso_I_Henriques_de_Portugal.jpg?width=300,1109,19,24 June 1128,1128,6 December 1185,1185,"57 years,165 days",20984,Yes,No,Portugal,Portugal,Portugal,Portugal,,,King,
"Sigismund, Holy Roman Emperor","http://en.wikipedia.org/wiki/Sigismund,_Holy_Roman_Emperor","Sigismund of Luxemburg (14 February 1368 – 9 December 1437) was Prince-elector of Brandenburg from 1378 until 1388 and from 1411 until 1415, King of Hungary and Croatia from 1387, King of Bohemia from 1419, and Holy Roman Emperor for four years from 1433 until 1437, the last male member of the House of Luxemburg. He was also King of Italy from 1431, and of Germany from 1411. He was regarded as highly educated, spoke several languages (among them French, German, Hungarian, Italian, and Latin) and was – unlike his father Charles – an outgoing person who also took pleasure in the tournament .",http://commons.wikimedia.org/wiki/Special:FilePath/Pisanello_024b.jpg?width=300,1368,19,31 March 1387,1387,9 December 1437,1437,"50 years,253 days",18515,Yes,No,"Nuremberg, Germany",Germany,Hungary,Hungary,,,Emperor,
Alberico I Cybo-Malaspina,http://it.wikipedia.org/wiki/Alberico_I_Cybo-Malaspina,"Alberico I Cybo-Malaspina (Genova, 28 febbraio 1534 – Massa, 18 gennaio 1623) fu marchese di Massa e signore di Carrara dal 6 giugno 1553, principe di Massa e marchese di Carrara dal 23 agosto 1568, conte (dal settembre 1566) e marchese di Aiello, barone di Paduli dal settembre 1566, conte di Ferentillo dal 1549, duca dal 1619, signore di Monteleone dal giugno 1562 all'aprile 1565 .",,1534,19,6 June 1553,1553,18 January 1623,1623,"69 years,226 days",25428,Yes,No,,,Massa and Carrara,Italy,,,"Marquees, Prince",
Christian Ernst zu Stolberg-Wernigerode,http://en.wikipedia.org/wiki/Christian_Ernest_of_Stolberg-Wernigerode,"Christian Ernest, Count of Stolberg-Wernigerode (2 April 1691, Gedern – 25 October 1771, Wernigerode) was a German politician and a member of the House of Stolberg. He ruled the County of Wernigerode in the Harz mountains, which in 1714 became a dependency of Brandenburg-Prussia, from 1710 to 1771.",http://commons.wikimedia.org/wiki/Special:FilePath/Exlibris_wernigerode.jpg?width=300,1691,19,9 November 1710,1710,25 October 1771,1771,"60 years,350 days",22265,Yes,No,"Gedern, Germany",Germany,Stolberg-Wernigerode ,Germany,,,Count,"Pietism, Lutheranism, Christianism"
Nikola I of Montenegro,http://en.wikipedia.org/wiki/Nicholas_I_of_Montenegro,"Nicholas I Mirkov Petrovich-Nyegosh (Serbian Cyrillic: Никола I Мирков Петровић-Његош, Serbian Latin: Nikola I Mirkov Petrović-Njegoš) (October 7 [O.S. September 25] 1841 – March 1, 1921) was king of Montenegro, reigning as king from 1910 to 1918 and as prince from 1860 to 1910. He was also a poet, notably penning "" Onamo, 'namo! "", a popular song from Montenegro.",,1841,19,13 August 1860,1860,26 November 1918,1918,"58 years,105 days",21289,Yes,No,,,Montenegro,Montenegro,,,King,
Sisavang Vong,http://en.wikipedia.org/wiki/Sisavang_Vong,"Sisavang Phoulivong (or Sisavangvong, Lao: ເຈົ້າມະຫາຊີວິດສີສະຫວ່າງວົງ) (14 July 1885 – 29 October 1959), was king of Kingdom of Luang Phrabang and later Kingdom of Laos from 28 April 1904 until his death on 29 October 1959.",http://en.wikipedia.org/wiki/Special:FilePath/Sisavang_Vong.jpg?width=300,1885,19,26 March 1904,1904,29 October 1959,1959,"55 years,217 days",20305,Yes,No,"Luang Prabang, Laos",Laos,Laos,Laos,,,King,
Bhumibol Adulyadej,http://en.wikipedia.org/wiki/Bhumibol_Adulyadej,"Bhumibol Adulyadej (Thai: ภูมิพลอดุลยเดช; RTGS: Phumiphon Adunyadet; pronounced [pʰūː.mí.pʰōn ʔà.dūn.já.dèːt] ; see full title below; born 5 December 1927) is the King of Thailand. He is also known as Rama IX, as he is the ninth monarch of the Chakri Dynasty. Having reigned since 9 June 1946, he is the world's longest-serving current head of state and the longest-reigning monarch in Thai history, serving for 7.00168E+18 68 years, 7.00216E+18 158 days. ",,1927,19,9 June 1946,1946,,,"68 years,154 days",24995 (on 14th of November),Yes,Yes,,,Thailand,Thailand,,,King,
"Philip IV, Count of Waldeck","http://en.wikipedia.org/wiki/Philip_IV,_Count_of_Waldeck","Count Philip IV of Waldeck (born: 1493 at Friedrichstein Castle in Bad Wildungen; died: 30 November 1574 at Waldeck Castle in Waldeck) was Count of Waldeck-Wildungen from 1513 to 1574. In 1526, he and his uncle Philip III of Waldeck-Eisenberg led the Lutheran Reformation in the county of Waldeck.",,1493,20,28 May 1513,1513,30 November 1574,1574,"61 years,186 days",22466,Yes,No,"Bad Wildungen, Germany",Germany,Waldeck-Wildungen ,Germany,,,Count,
Mayadunne of Sri Lanka,http://en.wikipedia.org/wiki/Mayadunne_of_Sri_Lanka,"Mayadunne (Sinhala: මායාදුන්නේ) (1501–1581) was a king of the Kingdom of Sitawaka, who ruled for 60 years between 1521 and 1581. Mayadunne was a fierce opponent of the Portuguese, who had arrived on the Island in 1505. He devoted his whole life attempting to oust his brother Bhuvanekabahu, the king of Kotte and thereby preserve the independence of Lanka, which was being undermined by the Portuguese intrigue. He constantly invaded the territory of Bhuvanekabahu of Kotte. ",,1501,20,1521,1521,1581,1581,60 years,21915,Yes,No,,,Sitawaka ,Sri Lanka,,,King,
"Johann Reinhard III, Count of Hanau-Lichtenberg","http://en.wikipedia.org/wiki/Johann_Reinhard_III,_Count_of_Hanau-Lichtenberg","Johann Reinhard III of Hanau-Lichtenberg (31 July 1665, Bischofsheim am hohen Steg (now called Rheinbischofsheim) – 28 March 1736, Philippsruhe Castle, Hanau) was the last of the counts of Hanau-Lichtenberg. He reigned from 1680 to 1736. From 1712 to 1736, he also reigned the county of Hanau-Münzenberg.",http://commons.wikimedia.org/wiki/Special:FilePath/Johann_Reinhard_III_of_Hanau-Lichtenberg--Johann-Christian_Fiedler-f4559233.jpg?width=300,1665,20,30 March 1685,1685,28 March 1736,1736,"50 years,364 days",18626,Yes,No,"Rheinau (Baden), Germany",Germany,Hanau-Lichtenberg ,France,,,Count,
Goodwill Zwelithini kaBhekuzulu,http://wikipedia.org/wiki/Goodwill_Zwelithini_kaBhekuzulu,Goodwill Zwelithini kaBhekuzulu (born 14 July 1948 at Nongoma) is the reigning King of the Zulu nation under the Traditional Leadership clause of South Africa s republican constitution .,http://commons.wikimedia.org/wiki/Special:FilePath/King_Goodwill_Zwelithini.jpg?width=300,1948,20,17 September 1968,1968,,,"46 years,54 days",16859 (on 14th of November),Yes,Yes,"Nongoma, South Africa",South Africa,Zulu people ,South Africa,,,King,
Isa ibn Ali Al Khalifa,http://en.wikipedia.org/wiki/Isa_ibn_Ali_Al_Khalifa,"Isa ibn Ali Al Khalifa, KCIE, CSI (1848–1932) was the ruler of Bahrain from 1869 until his death. His title was Hakim of Bahrain. He is one of the longest reigning monarchs of the region, a reign lasting 63 years. He was forced by the British Political Advisor to abdicate in 1923, although this 'abdication' was never recognised by Bahrainis who considered his successor Hamad only as a viceruler until Isa's death in 1932. ",http://commons.wikimedia.org/wiki/Special:FilePath/Isa_bin_Ali_Al_Khalifa_(1848_–_1932).png?width=300,1848,21,1 December 1869,1869,9 December 1932,1932,"63 years, 8 days",23018,Yes,No,,,Bahrain,Bahrain,,,King,
Hassanal Bolkiah,http://wikipedia.org/wiki/Hassanal_Bolkiah,"Hassanal Bolkiah [pronunciation?], GCB GCMG (full name: Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar Ali Saifuddien Sa'adul Khairi Waddien; born 15 July 1946) is the 29th and current Sultan and Yang Di-Pertuan of Brunei. He is also the first and incumbent Prime Minister of Brunei. The eldest son of Sir Muda Omar Ali Saifuddien III and Rani Isteri Pengiran Anak Damit, he succeeded to the throne as the Sultan of Brunei, following the abdication of his father on 4 October 1967.",http://commons.wikimedia.org/wiki/Special:FilePath/Hassanal_Bolkiah.jpg?width=300,1946,21,5 October 1967,1967,,,"47 years,36 days",17207 (on 14th of November),Yes,Yes,"Bandar Seri Begawan, Brunei",Brunei,Brunei,Brunei,,,Sultan,
Cleopatra II,http://en.wikipedia.org/wiki/Cleopatra_II,Cleopatra II (Greek: Κλεοπάτρα; c. 185 – 116 BC) was a queen (and briefly sole ruler) of Ptolemaic Egypt .,,-185,22,175 or -163,-163,9836,-164 or -127 or -116,55 years,20088,Yes,No,,,Ancient Egypt,Egypt,,,Queen,
