Car,Car Name,Image,Manufacturer,Model Year,Serial umber,Date Auctioned,Auction House,Locale,Original Price,Adjusted Price,Wikipedia Profile,Description
Ferrari 250 GT California 1959 1431GT,Ferrari 250 GT California,http://files.conceptcarz.com/img/Ferrari/59-Ferrari_250GT_Spdr_1431GT_DV-08_CC_01.jpg,Ferrari,1959,1431GT,19/08/2007,Goodings & Company,"Pebble Beach, California, United States","$4,455,000","$5,067,017",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT California LWB Competizione Spyder 1960 1639 GT,Ferrari 250 GT California LWB Competizione Spyder,http://pictures.topspeed.com/IMG/crop/201207/1960-ferrari-250-gt-lwb-c-1_600x0w.jpg,Ferrari,1960,1639 GT,19/08/2012,Goodings & Company,"Pebble Beach, California, United States","$11,275,000","$11,582,247",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT California LWB Prototype Spyder 1957 0769 GT,Ferrari 250 GT California LWB Prototype Spyder,http://files.conceptcarz.com/img/Ferrari/57-Ferrari-250GT_PF_Spdr-Proto-DV-08_PBC_03.jpg,Ferrari,1957,0769 GT,19/08/2012,Goodings & Company,"Pebble Beach, California, United States","$6,600,000","$6,779,852",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT LWB 'Tour de France' Berlinetta 1958 1039GT,Ferrari 250 GT LWB 'Tour de France' Berlinetta,http://www.sportscardigest.com/wp-content/uploads/1958-Ferrari-250-GT-LWB-Tour-de-France-Berlinetta.jpg,Ferrari,1958,1039GT,26/10/2011,RM Auctions,"Battersea, London, United Kingdom","$3,606,400","$3,780,852",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT LWB Berlinetta 'Tour de France' 1956 0585GT,Ferrari 250 GT LWB Berlinetta 'Tour de France',http://images.thecarconnection.com/med/1956-ferrari-250-gt-lwb-berlinetta-tour-de-france-chassis-0585gt--image-rm-auctions_100398593_m.jpg,Ferrari,1956,0585GT,18/08/2012,RM Auctions,"Monterey, California, United States","$6,710,000","$6,892,850",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT LWB Berlinetta Tour de France 1959 1335GT,Ferrari 250 GT LWB Berlinetta Tour de France,http://www.sportscardigest.com/wp-content/uploads/1959-Ferrari-250-GT-LWB-Berlinetta-Tour-de-France.jpg,Ferrari,1959,1335GT,31/10/2012,Gooding & Company,"Battersea, London, United Kingdom","$3,165,400","$3,251,658",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT LWB California 1959 1215GT,Ferrari 250 GT LWB California,http://www.sportscardigest.com/wp-content/uploads/1959-Ferrari-250-GT-LWB-California-Spider2.jpg,Ferrari,1959,1215GT,20/08/2011,Goodings & Company,"Pebble Beach, California, United States","$3,355,000","$3,517,291",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT LWB California Competizione Spider 1959 1451GT,Ferrari 250 GT LWB California Competizione Spider,http://d3cnx4g7vdwmzl.cloudfront.net/Images/1959-Ferrari-250GT-LWB-California-Competizione-Spyder-300x225.jpg,Ferrari,1959,1451GT,18/08/2007,RM Auctions,"Monterey, California, United States","$4,950,000","$5,630,019",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT LWB California Spider 1958 0923GT,Ferrari 250 GT LWB California Spider,http://www.supercars.net/gallery/119513/1839/768318small.jpg,Ferrari,1958,0923GT,18/05/2008,"RM Auctions, Sotheby's","Maranello, Emilia-Romagna, Italy","$3,659,838","$4,008,852",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT LWB California Spider 1958 1055 GT,Ferrari 250 GT LWB California Spider,http://www.30npire.com/sites/default/files/Ferrari-250-GT-LWB-California-Spider-by-Scaglietti-1958-13LP902220063423.jpg,Ferrari,1958,1055 GT,17/01/2014,RM Auctions,"Scottsdale, Arizona, United States","$8,800,000","$8,800,000",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT LWB California Spider 1958 1073 GT,Ferrari 250 GT LWB California Spider,http://www.sportscardigest.com/wp-content/uploads/1958_Ferrari_250GT_LWB_Cal_Spider-148.jpg,Ferrari,1958,1073 GT,18/01/2013,Goodings & Company,"Scottsdale, Arizona, United States","$8,250,000","$8,352,536",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT LWB California Spider 1959 1283GT,Ferrari 250 GT LWB California Spider,http://www.artcurial.com/video/2107/2107_378.jpg,Ferrari,1959,1283GT,3/02/2012,Artcurial,"Paris, France","$5,740,000","$5,896,417",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT LWB California Spider 1959 1505GT,Ferrari 250 GT LWB California Spider,http://files.conceptcarz.com/img/Ferrari/Ferrari-250GT_LWB_Spyder-1505gt-AZ_2012-02-1024.jpg,Ferrari,1959,1505GT,21/01/2012,Gooding & Company,"Scottsdale, Arizona, United States","$3,905,000","$4,011,413",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT LWB Tour de France 1958 0925GT,Ferrari 250 GT LWB Tour de France,http://www.sportscardigest.com/wp-content/uploads/1958-Ferrari-250-GT-TDF1.jpg,Ferrari,1958,0925GT,1/05/2010,RM Auctions,"Monte Carlo, Monaco","$3,191,664","$3,451,751",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT Series 1 1958 0791 GT,Ferrari 250 GT Series 1,http://images.conceptcarz.com/imgxra/Ferrari/58-Ferrari-250GT_S1-DV-14-GCS_i01.jpg,Ferrari,1958,0791 GT,18/01/2014,Gooding & Company,"Scottsdale, Arizona, United States","$6,160,000","$6,160,000",http://en.wikipedia.org/wiki/Ferrari_250_GT,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT Series 1 Cabriolet 1958 0759GT,Ferrari 250 GT Series 1 Cabriolet,http://images2.bonhams.com/image?src=Images/live/2014-07/22/9009366-6-5.jpg&width=640&height=480&halign=l0&valign=t0&autosizefit=0,Ferrari,1958,0759GT,14/08/2014,Bonhams,"Carmel, California, United States","$6,820,000","$6,820,000",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT Series I Cabriolet 1959 1475 GT,Ferrari 250 GT Series I Cabriolet,http://www.cavallino.com/content/wp-content/uploads/1475-250-GT-PF-Cab-S1-Gooding-1024x535.jpg,Ferrari,1959,1475 GT,17/08/2014,Gooding & Company,"Pebble Beach, California, United States","$5,610,000","$5,610,000",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
"Ferrari 250 GT SWB ""Competition"" Berlinetta Speciale 1959 1739GT","Ferrari 250 GT SWB ""Competition"" Berlinetta Speciale",http://files.conceptcarz.com/img/Ferrari/59_Ferrari_250_GT_SWB_Bertone_1739_GT_DV-07-CC_010.jpg,Ferrari,1959,1739GT,21/11/2013,"RM Auctions, Sotheby's","ew York City, ew York, United States","$7,040,000","$7,127,497",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT SWB Berlinetta Competizione 1960 1905GT,Ferrari 250 GT SWB Berlinetta Competizione,http://www.sportscardigest.com/wp-content/uploads/1960-Ferrari-250-GT-SWB-Berlinetta-Competizione2.jpg,Ferrari,1960,1905GT,18/01/2013,RM Auctions,"Scottsdale, Arizona, United States","$8,140,000","$8,241,169",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT SWB California Spider 1961 2377GT,Ferrari 250 GT SWB California Spider,http://www.supercars.net/gallery/119513/1839/768373.jpg,Ferrari,1961,2377GT,18/05/2008,"RM Auctions, Sotheby's","Maranello, Emilia-Romagna, Italy","$10,894,900","$11,933,873",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT SWB California Spider 1961 2903 GT,Ferrari 250 GT SWB California Spider,http://www.sportscardigest.com/wp-content/uploads/018_Ferrari_1961_250-GT-SWB_California-Spider_2903GT_900.jpg,Ferrari,1961,2903 GT,16/08/2014,Gooding & Company,"Pebble Beach, California, United States","$15,180,000","$15,180,000",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT SWB California Spyder 1962 3119GT,Ferrari 250 GT SWB California Spyder,http://www.sportscardigest.com/wp-content/uploads/1962-Ferrari-250-GT-SWB-California-Spyder.jpg,Ferrari,1962,3119GT,18/08/2012,RM Auctions,"Monterey, California, United States","$8,580,000","$8,813,808",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GT SWB Speciale Aerodinamica 1962 3615,Ferrari 250 GT SWB Speciale Aerodinamica,http://images2.bonhams.com/image?src=Images/live/2014-07/22/9009366-9-38.jpg&width=150,Ferrari,1962,3615,14/08/2014,Bonhams,"Carmel, California, United States","$6,875,000","$6,875,000",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 GTO 1962 3851GT,Ferrari 250 GTO,http://hypercars.fr/wp-content/uploads/2014/08/ferrari-250-gto-1962-3851gt-01-hypercars-24.jpg,Ferrari,1962,3851GT,14/08/2014,Bonhams,"Carmel, California, United States","$38,115,000","$38,115,000",http://en.wikipedia.org/wiki/Ferrari_250_GTO,"The Ferrari 250 GTO is a racing GT car which was produced by Ferrari from 1962 to 1964 for homologation into the FIAs Group 3 Grand Touring Car category. The numerical part of its name denotes the displacement in cubic centimeters of each cylinder of the engine, whilst GTO stands for ""Gran Turismo Omologato"",Italian for ""Grand Touring Homologated."" When new, the GTO cost $18,000 in the United States, and buyers had to be personally approved by Enzo Ferrari and his dealer for orth America, Luigi Chinetti."
Ferrari 250 LM 1962 5845,Ferrari 250 LM,http://www.ultimatecarpage.com/images/gallery/lmc2014/41161.jpg,Ferrari,1962,5845,18/05/2008,"RM Auctions, Sotheby's","Maranello, Emilia-Romagna, Italy","$6,979,225","$7,644,786",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 LM 1964 6045,Ferrari 250 LM,http://www.supercars.net/gallery/119513/3170/1093508small.jpg,Ferrari,1964,6045,15/08/2014,RM Auctions,"Monterrey, California, United States","$11,550,000","$11,550,000",http://en.wikipedia.org/wiki/Ferrari_250_LM,The Ferrari P series were sports prototype racing cars produced in the 1960s and early 1970s.
Ferrari 250 LM 1964 6107,Ferrari 250 LM,http://www.supercars.net/gallery/119513/3041/1077228-3096.jpg,Ferrari,1964,6107,21/11/2013,RM Auctions,"ew York City, ew York, United States","$14,300,000","$14,477,729",http://en.wikipedia.org/wiki/Ferrari_250_LM,The Ferrari P series were sports prototype racing cars produced in the 1960s and early 1970s.
Ferrari 250 LWB California Spider 1959 1489GT,Ferrari 250 LWB California Spider,http://www.sportscardigest.com/wp-content/uploads/P1110189-360-Ferrari-1959-250-GT-LWB-California-Spyder-1489GT.jpg,Ferrari,1959,1489GT,17/08/2008,Gooding & Company,"Pebble Beach, California, United States","$3,630,000","$3,976,168",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 LWB California Spider Competizione 1959 1603GT,Ferrari 250 LWB California Spider Competizione,http://www.sportscardigest.com/wp-content/uploads/P1110484-046-Ferrari-1959-250-GT-LWB-California-Spider-Competizione-1603GT-1.jpg,Ferrari,1959,1603GT,14/08/2010,Gooding & Company,"Pebble Beach, California, United States","$7,260,000","$7,851,613",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 MM Berlinetta 1953 0312 MM,Ferrari 250 MM Berlinetta,http://images1.bonhams.com/image?src=Images/live/2014-07/19/9009366-4-1.jpg&top=0.195348837209&left=0.033333333333&bottom=0.813953488372&right=0.920000000000&height=480&width=960,Ferrari,1953,0312 MM,14/08/2014,Bonhams,"Carmel, California, United States","$7,260,000","$7,260,000",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 SWB Berlinetta 1961 3087 GT,Ferrari 250 SWB Berlinetta,http://www.supercars.net/gallery/119513/1903/975667small.jpg,Ferrari,1961,3087 GT,14/08/2008,RM Auctions,"Monterey, California, United States","$4,510,000","$4,940,088",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 SWB Berlinetta 1962 3401GT,Ferrari 250 SWB Berlinetta,http://www.ketchamimports.com/images/SWB_3401_InteriorFront_2.jpg,Ferrari,1962,3401GT,1/05/2010,RM Auctions,"Monte Carlo, Monaco","$3,571,624","$3,862,673",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 SWB Berlinetta Competizione 1960 2209GT,Ferrari 250 SWB Berlinetta Competizione,http://www.sportscardigest.com/wp-content/uploads/1960-Ferrari-250-GT-SWB-Berlinetta-Competizione1.jpg,Ferrari,1960,2209GT,20/08/2011,RM Auctions,"Monterey, California, United States","$5,280,000","$5,535,408",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 SWB California Spider 1960 1963 GT,Ferrari 250 SWB California Spider,http://carinpicture.com/wp-content/uploads/2012/07/Ferrari-250-GT-SWB-California-Spyder-1960-1963-Photo-02-800x600.jpg,Ferrari,1960,1963 GT,17/01/2009,Gooding & Company,"Scottsdale, Arizona, United States","$4,950,000","$5,441,391",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 SWB California Spider 1962 3163 GT,Ferrari 250 SWB California Spider,http://f.images.boldride.com/ferrari/1962/ferrari-250-gt-swb-california-1316710629-20875.jpg,Ferrari,1962,3163 GT,16/08/2009,Gooding & Company,"Pebble Beach, California, United States","$5,115,000","$5,622,771",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
"Ferrari 250 SWB Competizione ""SEFAC Hot Rod"" 1961 2845 GT","Ferrari 250 SWB Competizione ""SEFAC Hot Rod""",http://www.sportscardigest.com/wp-content/uploads/1961-Ferrari-250-GT-SWB-Berlinetta-SEFAC-Side.jpg,Ferrari,1961,2845 GT,15/08/2010,Gooding & Company,"Pebble Beach, California, United States","$6,105,000","$6,602,493",http://en.wikipedia.org/wiki/Ferrari_250,"The Ferrari 250 is a sports car built by Ferrari from 1953 to 1964. The company's most successful early line, the 250 series included several variants. It was replaced by the 275 and the 330."
Ferrari 250 Testa Rossa 1957 0666TR,Ferrari 250 Testa Rossa,http://allcarcentral.com/Ferrari/Ferrari_250_Testa_Rossa_Prototype_sn-0666TR_1957_Gooding-n-Company_photo_2011.jpg,Ferrari,1957,0666TR,21/08/2011,Goodings & Company,"Pebble Beach, California, United States","$16,390,000","$17,182,830",http://en.wikipedia.org/wiki/Ferrari_TR,"The Ferrari TR, or 250 Testa Rossa, is a race car model built by Ferrari in the 1950s and 60s. These cars dominated their competitors, with variations winning the 24 Hours of Le Mans in 1958, 1960, and 1961. They were closely related to the rest of the Ferrari 250 line, especially the legendary 250 GTO."
Ferrari 250 Testa Rossa 1957 0714TR,Ferrari 250 Testa Rossa,http://www.ferrari-modelisme.com/images/articles/cmc/250tr-124-1/lb/mini/77419_01.jpg,Ferrari,1957,0714TR,17/05/2009,RM Auctions,"Maranello, Emilia-Romagna, Italy","$12,402,500","$13,633,708",http://en.wikipedia.org/wiki/Ferrari_TR,"The Ferrari TR, or 250 Testa Rossa, is a race car model built by Ferrari in the 1950s and 60s. These cars dominated their competitors, with variations winning the 24 Hours of Le Mans in 1958, 1960, and 1961. They were closely related to the rest of the Ferrari 250 line, especially the legendary 250 GTO."
Ferrari 275 GTB 1967 08933,Ferrari 275 GTB,http://images2.bonhams.com/image?src=Images/live/2014-06/30/8998242-1-69.jpg&width=640&height=480&halign=l0&valign=t0&autosizefit=0,Ferrari,1967,08933,15/08/2014,Bonhams,"Carmel, California, United States","$3,850,000","$3,850,000",http://en.wikipedia.org/wiki/Ferrari_275,"The Ferrari 275 was a two-seat front-enginedGran Turismoautomobile produced by Ferrari between 1964 and 1968. It used a 3.3 L (3286 cc) Colombo 60° V12 engine and produced 280-300 hp. The Pininfarina-designed body was a graceful evolution of the car's predecessor, the 250, and strongly contrasted with its replacement, the Daytona. The 275 introduced Ferrari to the ""transaxle"", where the transmission and rear axle are integrated."
Ferrari 275 GTB Alloy 1967 08069,Ferrari 275 GTB Alloy,http://www.supercars.net/gallery/119513/3170/1093521small.jpg,Ferrari,1967,08069,16/08/2014,RM Auctions,"Monterrey, California, United States","$3,382,500","$3,382,500",http://en.wikipedia.org/wiki/Ferrari_275,"The Ferrari 275 was a two-seat front-enginedGran Turismoautomobile produced by Ferrari between 1964 and 1968. It used a 3.3 L (3286 cc) Colombo 60° V12 engine and produced 280-300 hp. The Pininfarina-designed body was a graceful evolution of the car's predecessor, the 250, and strongly contrasted with its replacement, the Daytona. The 275 introduced Ferrari to the ""transaxle"", where the transmission and rear axle are integrated."
Ferrari 275 GTB Long ose Alloy 1965 07993,Ferrari 275 GTB Long ose Alloy,http://www.supercars.net/gallery/119513/3171/1093980small.jpg,Ferrari,1965,07993,17/08/2014,Gooding & Company,"Pebble Beach, California, United States","$4,620,000","$4,620,000",http://en.wikipedia.org/wiki/Ferrari_275,"The Ferrari 275 was a two-seat front-enginedGran Turismoautomobile produced by Ferrari between 1964 and 1968. It used a 3.3 L (3286 cc) Colombo 60° V12 engine and produced 280-300 hp. The Pininfarina-designed body was a graceful evolution of the car's predecessor, the 250, and strongly contrasted with its replacement, the Daytona. The 275 introduced Ferrari to the ""transaxle"", where the transmission and rear axle are integrated."
Ferrari 275 GTB/4 1967 10063,Ferrari 275 GTB/4,http://www.supercars.net/gallery/119513/3170/1093518small.jpg,Ferrari,1967,10063,16/08/2014,RM Auctions,"Monterrey, California, United States","$3,750,000","$3,750,000",http://en.wikipedia.org/wiki/Ferrari_275,"The Ferrari 275 was a two-seat front-enginedGran Turismoautomobile produced by Ferrari between 1964 and 1968. It used a 3.3 L (3286 cc) Colombo 60° V12 engine and produced 280-300 hp. The Pininfarina-designed body was a graceful evolution of the car's predecessor, the 250, and strongly contrasted with its replacement, the Daytona. The 275 introduced Ferrari to the ""transaxle"", where the transmission and rear axle are integrated."
Ferrari 275 GTB/4 1967 10621,Ferrari 275 GTB/4,http://www.sportscardigest.com/wp-content/uploads/220_Ferrari_1967_275-GTB-4_Berlinetta_10621_900.jpg,Ferrari,1967,10621,16/08/2014,RM Auctions,"Monterrey, California, United States","$10,175,000","$10,175,000",http://en.wikipedia.org/wiki/Ferrari_275,"The Ferrari 275 was a two-seat front-enginedGran Turismoautomobile produced by Ferrari between 1964 and 1968. It used a 3.3 L (3286 cc) Colombo 60° V12 engine and produced 280-300 hp. The Pininfarina-designed body was a graceful evolution of the car's predecessor, the 250, and strongly contrasted with its replacement, the Daytona. The 275 introduced Ferrari to the ""transaxle"", where the transmission and rear axle are integrated."
Ferrari 275 GTB/4 ART Spyder Alloy 1967 09437,Ferrari 275 GTB/4 ART Spyder Alloy,http://www.supercars.net/gallery/119513/2/389567.jpg,Ferrari,1967,09437,21/08/2005,Gooding & Company,"Pebble Beach, California, United States","$3,900,000","$4,781,823",http://en.wikipedia.org/wiki/Ferrari_275,"The Ferrari 275 was a two-seat front-enginedGran Turismoautomobile produced by Ferrari between 1964 and 1968. It used a 3.3 L (3286 cc) Colombo 60° V12 engine and produced 280-300 hp. The Pininfarina-designed body was a graceful evolution of the car's predecessor, the 250, and strongly contrasted with its replacement, the Daytona. The 275 introduced Ferrari to the ""transaxle"", where the transmission and rear axle are integrated."
Ferrari 275 GTB/4*S ART Spider 1967 10709,Ferrari 275 GTB/4*S ART Spider,http://upload.wikimedia.org/wikipedia/commons/0/0e/1967.Ferrari.275.GTB-4.NART.Spyder.jpg,Ferrari,1967,10709,17/08/2013,RM Auctions,"Monterey, California, United States","$27,500,000","$27,841,786",http://en.wikipedia.org/wiki/Ferrari_275,"The Ferrari 275 was a two-seat front-enginedGran Turismoautomobile produced by Ferrari between 1964 and 1968. It used a 3.3 L (3286 cc) Colombo 60° V12 engine and produced 280-300 hp. The Pininfarina-designed body was a graceful evolution of the car's predecessor, the 250, and strongly contrasted with its replacement, the Daytona. The 275 introduced Ferrari to the ""transaxle"", where the transmission and rear axle are integrated."
Ferrari 275 GTB/C 1966 09067,Ferrari 275 GTB/C,http://www.supercars.net/gallery/119513/3134/1087758small.jpg,Ferrari,1966,09067,10/05/2014,RM Auctions,"Monte Carlo, Monaco","$7,860,283","$7,860,283",http://en.wikipedia.org/wiki/Ferrari_275#275_GTB.2FC,"The Ferrari 275 was a two-seat front-enginedGran Turismoautomobile produced by Ferrari between 1964 and 1968. It used a 3.3 L (3286 cc) Colombo 60° V12 engine and produced 280-300 hp. The Pininfarina-designed body was a graceful evolution of the car's predecessor, the 250, and strongly contrasted with its replacement, the Daytona. The 275 introduced Ferrari to the ""transaxle"", where the transmission and rear axle are integrated."
Ferrari 275 GTB/C Speciale 1964 06701,Ferrari 275 GTB/C Speciale,http://images.gizmag.com/inline/ferrari275gtbcrmauction-1.jpg,Ferrari,1964,06701,16/08/2014,RM Auctions,"Monterrey, California, United States","$26,400,000","$26,400,000",http://en.wikipedia.org/wiki/Ferrari_275,"The Ferrari 275 was a two-seat front-enginedGran Turismoautomobile produced by Ferrari between 1964 and 1968. It used a 3.3 L (3286 cc) Colombo 60° V12 engine and produced 280-300 hp. The Pininfarina-designed body was a graceful evolution of the car's predecessor, the 250, and strongly contrasted with its replacement, the Daytona. The 275 introduced Ferrari to the ""transaxle"", where the transmission and rear axle are integrated."
Ferrari 330 P3 1966 0844,Ferrari 330 P3,http://photos-g.ak.fbcdn.net/hphotos-ak-xpa1/t1.0-0/s240x240/15089_175841405907157_10722489_n.jpg,Ferrari,1966,0844,20/08/2000,Christie's,"Monterey, California, United States","$5,616,000","$7,690,936",http://en.wikipedia.org/wiki/Ferrari_330_P3,The Ferrari P series were sports prototype racing cars produced in the 1960s and early 1970s.
Ferrari 330 TRI/LM Spider 1962 0808 (1),Ferrari 330 TRI/LM Spider,http://assets.hemmings.com/uimage/721323-1600-1067.jpg,Ferrari,1962,0808,20/05/2007,"RM Auctions, Sotheby's","Maranello, Emilia-Romagna, Italy","$9,281,250","$10,556,286",http://en.wikipedia.org/wiki/Ferrari_TR,"The Ferrari TR, or 250 Testa Rossa, is a race car model built by Ferrari in the 1950s and 60s. These cars dominated their competitors, with variations winning the 24 Hours of Le Mans in 1958, 1960, and 1961. They were closely related to the rest of the Ferrari 250 line, especially the legendary 250 GTO."
Ferrari 330 TRI/LM Spider 1962 0808 (2),Ferrari 330 TRI/LM Spider,http://assets.hemmings.com/uimage/721323-1600-1067.jpg,Ferrari,1962,0808,17/08/2002,RM Auctions,"Monterey, California, United States","$6,490,000","$8,509,645",http://en.wikipedia.org/wiki/Ferrari_TR,"The Ferrari TR, or 250 Testa Rossa, is a race car model built by Ferrari in the 1950s and 60s. These cars dominated their competitors, with variations winning the 24 Hours of Le Mans in 1958, 1960, and 1961. They were closely related to the rest of the Ferrari 250 line, especially the legendary 250 GTO."
Ferrari 333 SP 1998 019,Ferrari 333 SP,http://www.racingsportscars.com/tn/photo/1998/TN_Daytona-1998-02-01-030.jpg,Ferrari,1998,019,16/08/2014,RM Auctions,"Monterrey, California, United States","$3,400,000","$3,400,000",http://en.wikipedia.org/wiki/Ferrari_333_SP,"The Ferrari 333 SP was a sports prototype car built by Michelotto to World Sports Car regulations for Ferrari. Unveiled at the end of 1993, at the behest of amateur racer Giampiero Moretti (owner of the MOMO auto parts business), the 333 SP marked Ferrari's official return to sports car racing after a 20 year absence. The car was built to compete in the IMSAs new WSC class, which replaced the previous GTP cars."
