Movie,Year,Adjusted costs,Nominal Costs,Image,Movie WIkipedia Profile,Description
Titanic,1997,$294000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/2/22/Titanic_poster.jpg,http://en.wikipedia.org/wiki/Titanic_(1997_film),"Titanic is a 1997 American epicromanticdisaster film directed, written, co-produced, co-edited and partly financed by James Cameron. A fictionalized account of the sinking of the RMS Titanic, it stars Leonardo DiCaprio and Kate Winslet as members of different social classes who fall in love aboard the ship during its ill-fated maiden voyage."
Toy Story 3,2010,$216000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/6/69/Toy_Story_3_poster.jpg,http://en.wikipedia.org/wiki/Toy_Story_3,"Toy Story 3 is a 2010 American 3Dcomputer-animatedcomedy film, and the third film in the Toy Story series. It was produced by Pixar Animation Studios and released by Walt Disney Pictures. Directed by Lee Unkrich, the screenplay was written by Michael Arndt, while Unkrich wrote the story along with John Lasseter and Andrew Stanton, respectively director and co-writer of the first two films. The film was released worldwide from June through October in the Disney Digital 3-D, RealD, and IMAX 3D formats. Toy Story 3 was the first film to be released theatrically with Dolby Surround 7.1 sound."
Transformers: Age of Extinction,2014,$210000000,"$210,000,000.00",http://upload.wikimedia.org/wikipedia/en/9/94/Transformers_Age_of_Extinction_Poster.jpeg,http://en.wikipedia.org/wiki/Transformers:_Age_of_Extinction,"Transformers: Age of Extinction is a 2014 science fictionaction film based on the Transformers franchise. It is the fourth installment of the live-actionTransformers film series and stars Mark Wahlberg in the lead role. A sequel to Transformers: Dark of the Moon, the film takes place five years later, after the Decepticon invasion of Chicago. Like its predecessors, the film is directed by Michael Bay and executive produced by Steven Spielberg. Ehren Kruger is the film's screenwriter, having written every Transformers film since Transformers: Revenge of the Fallen. The film features an entirely new cast of human characters and is the first in the series to feature the Dinobots. Returning Transformers include Optimus Prime, Bumblebee, Ratchet, Leadfoot, Brains and Megatron (now known as Galvatron). The film was released on June 27, 2014, in IMAX and 3D."
Transformers: Dark of the Moon,2011,$204000000,"$195,000,000.00",http://upload.wikimedia.org/wikipedia/en/b/bf/Transformers_dark_of_the_moon_ver5.jpg,http://en.wikipedia.org/wiki/Transformers:_Dark_of_the_Moon,"Transformers: Dark of the Moon is a 2011 American science fictionaction film based on the Transformers toy line. First released on June 23, 2011, it is the third installment of the live-actionTransformers film series. It is a sequel to 2009's Transformers: Revenge of the Fallen taking place three years after that. The film is also the first in the franchise without the involvement of DreamWorks, leaving the series to be produced solely by Paramount Pictures. Like its predecessors, Transformers and Transformers: Revenge of the Fallen, Transformers: Dark of the Moon is directed by Michael Bay and executive produced by Steven Spielberg. This was the last film in the series to be owned by Takara Tomy, as Hasbro assumed ownership of the Transformers films in Japan. The film's story is set three years after the events of the 2009 film, with the Autobots, during their collaboration with the NEST (Nonbiological Extraterrestrial Species Treaty) military force, discovering a hidden alien technology in possession of humans, which had been found by Apollo 11 on the Moon 42 years earlier. However, the Decepticons unveil a plan to use the technology to enslave humanity in order to restore Cybertron, the home planet of the Transformers."
Transformers: Revenge of the Fallen,2009,$220000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/c/cb/TF2SteelPoster.jpg,http://en.wikipedia.org/wiki/Transformers:_Revenge_of_the_Fallen,"Transformers: Revenge of the Fallen is a 2009 American science fictionaction film directed by Michael Bay and executive produced by Steven Spielberg. It is a sequel to 2007's Transformers and the second installment in the live-actionTransformers series taking place two years after Transformers. The plot revolves around Sam Witwicky (Shia LaBeouf), who is caught in the war between two factions of alien robots, the Autobots and the Decepticons. Sam is having weird visions of Cybertronian symbols, and is being hunted by the Decepticons under the orders of an ancient Decepticon named The Fallen (Tony Todd), who seeks to get revenge on Earth by finding and activating a machine that would provide the Decepticons with an energon source, destroying the sun and all life on Earth in the process."
Troy,2004,$219000000,"$175,000,000.00",http://upload.wikimedia.org/wikipedia/en/b/b8/Troy2004Poster.jpg,http://en.wikipedia.org/wiki/Troy_(film),"Troy is a 2004 American epicwar film written by David Benioff and directed by Wolfgang Petersen. It is based on Homers Iliad, which narrates the story of the 10 year Trojan War. Achilles leads his Myrmidons along with the rest of the Greek army invading the historical city of Troy, defended by Hector's Trojan army. The end of the film (the sacking of Troy) is not taken from the Iliad as the ending of the Iliad was based on Hector's death and funeral burial."
Van Helsing,2004,$200000000,"$160,000,000.00",http://upload.wikimedia.org/wikipedia/en/5/55/Van_Helsing_poster.jpg,http://en.wikipedia.org/wiki/Van_Helsing_(film),"Van Helsing is a 2004 American horroraction film directed by Stephen Sommers. It stars Hugh Jackman as vigilante monster hunter Gabriel Van Helsing, and Kate Beckinsale as Anna Valerious. The film is an homage and tribute to the Universal Horror Monster films from the 1930s and '40s (also produced by Universal Studios which were in turn based on novels by Bram Stoker and Mary Shelley), of which director Stephen Sommers is a fan."
WALL-E,2008,$197000000,"$180,000,000.00",http://upload.wikimedia.org/wikipedia/en/c/c2/WALL-Eposter.jpg,http://en.wikipedia.org/wiki/WALL-E,"WALL-E (stylized with an interpunct as WALL·E) is a 2008 American computer animatedscience fictionromantic comedy film produced by Pixar Animation Studios and directed by Andrew Stanton. The story follows a robot named WALL-E, who is designed to clean up an abandoned, waste-covered Earth far in the future. He falls in love with another robot named EVE, who also has a programmed task, and follows her into outer space on an adventure that changes the destiny of both his kind and humanity. Both robots exhibit an appearance of free will and emotions similar to humans, which develop further as the film progresses."
Waterworld,1995,$266000000,"$172,000,000.00",http://upload.wikimedia.org/wikipedia/en/5/5f/Waterworld.jpg,http://en.wikipedia.org/wiki/Waterworld,"Waterworld is a 1995 American post-apocalypticscience fictionaction film directed by Kevin Reynolds and co-written by Peter Rader and David Twohy. It was based on Rader's original 1986 screenplay and stars Kevin Costner, who also produced it with Charles Gordon and John Davis. It was distributed by Universal Pictures."
Wild Wild West,1999,$241000000,"$170,000,000.00",http://upload.wikimedia.org/wikipedia/en/3/31/Wild_wild_west_poster.jpg,http://en.wikipedia.org/wiki/Wild_Wild_West,"Wild Wild West is a 1999 American steampunkwesternaction-comedy film directed by Barry Sonnenfeld. A big-screen adaptation of the 1965–1969 TV series The Wild Wild West, it stars Will Smith, Kevin Kline (who appears in dual roles as the protagonist Artemus Gordon and as President Ulysses S. Grant), Kenneth Branagh and Salma Hayek."
X-Men: Days of Future Past,2014,$200000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/0/0c/X-Men_Days_of_Future_Past_poster.jpg,http://en.wikipedia.org/wiki/X-Men:_Days_of_Future_Past,"X-Men: Days of Future Past is a 2014 superhero film based on the fictional X-Men characters that appear in Marvel Comics. Directed by Bryan Singer, it is the seventh installment of the X-Men film series and acts as a sequel to both 2006's X-Men: The Last Stand and 2011's X-Men: First Class. The story, inspired by the 1981 Uncanny X-Men storyline ""Days of Future Past"" produced by Chris Claremont and John Byrne, focuses on two time periods and Wolverine going to 1973 to save the future of mankind. The film stars an ensemble cast, including Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry, Anna Paquin, Ellen Page, Nicholas Hoult, Shawn Ashmore, Peter Dinklage, Ian McKellen, and Patrick Stewart. Simon Kinberg wrote the screenplay from a story conceived by him, Matthew Vaughn, and Jane Goldman."
X-Men: The Last Stand,2006,$246000000,"$210,000,000.00",http://upload.wikimedia.org/wikipedia/en/5/56/X-Men_The_Last_Stand.jpg,http://en.wikipedia.org/wiki/X-Men:_The_Last_Stand,"X-Men: The Last Stand (also known as X-Men 3 or X3) is a 2006 superhero film, based on the X-Men superhero team introduced in Marvel Comics. The film, distributed by 20th Century Fox, is the third installment in the X-Men film series. It was directed by Brett Ratner, written by Simon Kinberg and Zak Penn, and features an ensemble cast, including Hugh Jackman, Halle Berry, Patrick Stewart, Ian McKellen, Anna Paquin, and Famke Janssen. The film's script is loosely based on two X-Men comic book story arcs: ""The Dark Phoenix Saga"" by writer Chris Claremont and artist John Byrne, and ""Gifted"" by writer Joss Whedon and artist John Cassaday, with a plot that revolves around a ""mutant cure"" that causes serious repercussions among mutants and humans, and on the resurrection of Jean Grey."
