ID,Country,Male,Female,Female-to-Male Ratio,Rank,Sub-Index,Main Index
"Suriname - Legislators, Senior Officials and Managers",Suriname,28,72,0.39,75,"Legislators, Senior Officials and Managers",Economic Participation
"Croatia - Legislators, Senior Officials and Managers",Croatia,28,72,0.38,76,"Legislators, Senior Officials and Managers",Economic Participation
"Bhutan - Legislators, Senior Officials and Managers",Bhutan,27,73,0.37,77,"Legislators, Senior Officials and Managers",Economic Participation
"Montenegro - Legislators, Senior Officials and Managers",Montenegro,27,73,0.37,77,"Legislators, Senior Officials and Managers",Economic Participation
"Malta - Legislators, Senior Officials and Managers",Malta,27,73,0.37,79,"Legislators, Senior Officials and Managers",Economic Participation
"Ethiopia - Legislators, Senior Officials and Managers",Ethiopia,27,74,0.36,80,"Legislators, Senior Officials and Managers",Economic Participation
"Czech Republic - Legislators, Senior Officials and Managers",Czech Republic,26,74,0.36,81,"Legislators, Senior Officials and Managers",Economic Participation
"Italy - Legislators, Senior Officials and Managers",Italy,26,74,0.35,82,"Legislators, Senior Officials and Managers",Economic Participation
"Guyana - Legislators, Senior Officials and Managers",Guyana,26,74,0.35,83,"Legislators, Senior Officials and Managers",Economic Participation
"Brunei Darussalam - Legislators, Senior Officials and Managers",Brunei Darussalam,26,75,0.34,84,"Legislators, Senior Officials and Managers",Economic Participation
"Greece - Legislators, Senior Officials and Managers",Greece,25,75,0.34,85,"Legislators, Senior Officials and Managers",Economic Participation
"Armenia - Legislators, Senior Officials and Managers",Armenia,24,76,0.31,86,"Legislators, Senior Officials and Managers",Economic Participation
"Guinea - Legislators, Senior Officials and Managers",Guinea,24,76,0.31,87,"Legislators, Senior Officials and Managers",Economic Participation
"Chile - Legislators, Senior Officials and Managers",Chile,24,76,0.31,88,"Legislators, Senior Officials and Managers",Economic Participation
"Mauritius - Legislators, Senior Officials and Managers",Mauritius,23,77,0.31,89,"Legislators, Senior Officials and Managers",Economic Participation
"Macedonia, FYR - Legislators, Senior Officials and Managers","Macedonia, FYR",23,77,0.3,90,"Legislators, Senior Officials and Managers",Economic Participation
"Vietnam - Legislators, Senior Officials and Managers",Vietnam,23,77,0.3,91,"Legislators, Senior Officials and Managers",Economic Participation
"Albania - Legislators, Senior Officials and Managers",Albania,23,78,0.29,92,"Legislators, Senior Officials and Managers",Economic Participation
"Malaysia - Legislators, Senior Officials and Managers",Malaysia,22,79,0.27,93,"Legislators, Senior Officials and Managers",Economic Participation
"Liberia - Legislators, Senior Officials and Managers",Liberia,21,79,0.27,94,"Legislators, Senior Officials and Managers",Economic Participation
"Indonesia - Legislators, Senior Officials and Managers",Indonesia,21,79,0.27,95,"Legislators, Senior Officials and Managers",Economic Participation
"Zimbabwe - Legislators, Senior Officials and Managers",Zimbabwe,21,79,0.26,96,"Legislators, Senior Officials and Managers",Economic Participation
"Uganda - Legislators, Senior Officials and Managers",Uganda,20,80,0.25,97,"Legislators, Senior Officials and Managers",Economic Participation
"Luxembourg - Legislators, Senior Officials and Managers",Luxembourg,19,82,0.23,98,"Legislators, Senior Officials and Managers",Economic Participation
"Zambia - Legislators, Senior Officials and Managers",Zambia,19,82,0.23,98,"Legislators, Senior Officials and Managers",Economic Participation
"Cambodia - Legislators, Senior Officials and Managers",Cambodia,18,82,0.22,100,"Legislators, Senior Officials and Managers",Economic Participation
"China - Legislators, Senior Officials and Managers",China,17,83,0.2,101,"Legislators, Senior Officials and Managers",Economic Participation
"Tanzania - Legislators, Senior Officials and Managers",Tanzania,16,84,0.2,102,"Legislators, Senior Officials and Managers",Economic Participation
"Cyprus - Legislators, Senior Officials and Managers",Cyprus,16,84,0.19,103,"Legislators, Senior Officials and Managers",Economic Participation
"Tunisia - Legislators, Senior Officials and Managers",Tunisia,15,85,0.17,104,"Legislators, Senior Officials and Managers",Economic Participation
"Iran, Islamic Rep. - Legislators, Senior Officials and Managers","Iran, Islamic Rep.",15,85,0.17,105,"Legislators, Senior Officials and Managers",Economic Participation
"Kuwait - Legislators, Senior Officials and Managers",Kuwait,14,86,0.16,106,"Legislators, Senior Officials and Managers",Economic Participation
"Nepal - Legislators, Senior Officials and Managers",Nepal,14,86,0.16,107,"Legislators, Senior Officials and Managers",Economic Participation
"Maldives - Legislators, Senior Officials and Managers",Maldives,13,87,0.15,108,"Legislators, Senior Officials and Managers",Economic Participation
"Morocco - Legislators, Senior Officials and Managers",Morocco,13,87,0.15,109,"Legislators, Senior Officials and Managers",Economic Participation
"Bahrain - Legislators, Senior Officials and Managers",Bahrain,13,88,0.14,110,"Legislators, Senior Officials and Managers",Economic Participation
"Turkey - Legislators, Senior Officials and Managers",Turkey,12,88,0.14,111,"Legislators, Senior Officials and Managers",Economic Participation
"Japan - Legislators, Senior Officials and Managers",Japan,11,89,0.12,112,"Legislators, Senior Officials and Managers",Economic Participation
"Korea, Rep. - Legislators, Senior Officials and Managers","Korea, Rep.",11,89,0.12,113,"Legislators, Senior Officials and Managers",Economic Participation
"Syria - Legislators, Senior Officials and Managers",Syria,10,90,0.11,114,"Legislators, Senior Officials and Managers",Economic Participation
"United Arab Emirates - Legislators, Senior Officials and Managers",United Arab Emirates,10,90,0.11,115,"Legislators, Senior Officials and Managers",Economic Participation
"Egypt - Legislators, Senior Officials and Managers",Egypt,10,90,0.11,116,"Legislators, Senior Officials and Managers",Economic Participation
"Oman - Legislators, Senior Officials and Managers",Oman,9,91,0.1,117,"Legislators, Senior Officials and Managers",Economic Participation
"Lebanon - Legislators, Senior Officials and Managers",Lebanon,8,92,0.09,118,"Legislators, Senior Officials and Managers",Economic Participation
"Jordan - Legislators, Senior Officials and Managers",Jordan,8,92,0.09,119,"Legislators, Senior Officials and Managers",Economic Participation
"Saudi Arabia - Legislators, Senior Officials and Managers",Saudi Arabia,7,93,0.08,120,"Legislators, Senior Officials and Managers",Economic Participation
"Qatar - Legislators, Senior Officials and Managers",Qatar,7,93,0.07,121,"Legislators, Senior Officials and Managers",Economic Participation
"Bangladesh - Legislators, Senior Officials and Managers",Bangladesh,5,95,0.06,122,"Legislators, Senior Officials and Managers",Economic Participation
"Algeria - Legislators, Senior Officials and Managers",Algeria,5,95,0.05,123,"Legislators, Senior Officials and Managers",Economic Participation
"Pakistan - Legislators, Senior Officials and Managers",Pakistan,3,97,0.03,124,"Legislators, Senior Officials and Managers",Economic Participation
"Yemen - Legislators, Senior Officials and Managers",Yemen,2,98,0.02,125,"Legislators, Senior Officials and Managers",Economic Participation
"Angola - Legislators, Senior Officials and Managers",Angola,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Burkina Faso - Legislators, Senior Officials and Managers",Burkina Faso,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Burundi - Legislators, Senior Officials and Managers",Burundi,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Cape Verde - Legislators, Senior Officials and Managers",Cape Verde,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Chad - Legislators, Senior Officials and Managers",Chad,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Côte d'Ivoire - Legislators, Senior Officials and Managers",Côte d'Ivoire,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"India - Legislators, Senior Officials and Managers",India,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Kenya - Legislators, Senior Officials and Managers",Kenya,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Lao PDR - Legislators, Senior Officials and Managers",Lao PDR,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Malawi - Legislators, Senior Officials and Managers",Malawi,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Mali - Legislators, Senior Officials and Managers",Mali,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Mauritania - Legislators, Senior Officials and Managers",Mauritania,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Mozambique - Legislators, Senior Officials and Managers",Mozambique,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Nigeria - Legislators, Senior Officials and Managers",Nigeria,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Senegal - Legislators, Senior Officials and Managers",Senegal,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Swaziland - Legislators, Senior Officials and Managers",Swaziland,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
"Tajikistan - Legislators, Senior Officials and Managers",Tajikistan,—,—,—,—,"Legislators, Senior Officials and Managers",Economic Participation
Belarus - Professional and Technical Workers,Belarus,73,27,2.66,1,Professional and Technical Workers,Economic Participation
Guinea - Professional and Technical Workers,Guinea,71,29,2.5,2,Professional and Technical Workers,Economic Participation
Lithuania - Professional and Technical Workers,Lithuania,68,32,2.15,3,Professional and Technical Workers,Economic Participation
Moldova - Professional and Technical Workers,Moldova,66,34,1.93,4,Professional and Technical Workers,Economic Participation
Venezuela - Professional and Technical Workers,Venezuela,66,34,1.91,5,Professional and Technical Workers,Economic Participation
Armenia - Professional and Technical Workers,Armenia,65,35,1.88,6,Professional and Technical Workers,Economic Participation
Kyrgyz Republic - Professional and Technical Workers,Kyrgyz Republic,65,35,1.83,7,Professional and Technical Workers,Economic Participation
Russian Federation - Professional and Technical Workers,Russian Federation,64,36,1.81,8,Professional and Technical Workers,Economic Participation
Estonia - Professional and Technical Workers,Estonia,64,36,1.77,9,Professional and Technical Workers,Economic Participation
Ukraine - Professional and Technical Workers,Ukraine,64,37,1.74,10,Professional and Technical Workers,Economic Participation
Latvia - Professional and Technical Workers,Latvia,63,37,1.72,11,Professional and Technical Workers,Economic Participation
Bahamas - Professional and Technical Workers,Bahamas,63,37,1.7,12,Professional and Technical Workers,Economic Participation
Mongolia - Professional and Technical Workers,Mongolia,62,38,1.64,13,Professional and Technical Workers,Economic Participation
Kazakhstan - Professional and Technical Workers,Kazakhstan,62,38,1.64,14,Professional and Technical Workers,Economic Participation
Georgia - Professional and Technical Workers,Georgia,62,38,1.62,15,Professional and Technical Workers,Economic Participation
Bulgaria - Professional and Technical Workers,Bulgaria,61,39,1.58,16,Professional and Technical Workers,Economic Participation
Philippines - Professional and Technical Workers,Philippines,61,39,1.55,17,Professional and Technical Workers,Economic Participation
Azerbaijan - Professional and Technical Workers,Azerbaijan,59,41,1.46,18,Professional and Technical Workers,Economic Participation
Guyana - Professional and Technical Workers,Guyana,59,41,1.41,19,Professional and Technical Workers,Economic Participation
Poland - Professional and Technical Workers,Poland,58,42,1.41,20,Professional and Technical Workers,Economic Participation
Hungary - Professional and Technical Workers,Hungary,58,42,1.39,21,Professional and Technical Workers,Economic Participation
Lesotho - Professional and Technical Workers,Lesotho,58,42,1.38,22,Professional and Technical Workers,Economic Participation
Iceland - Professional and Technical Workers,Iceland,58,42,1.36,23,Professional and Technical Workers,Economic Participation
Canada - Professional and Technical Workers,Canada,57,43,1.32,24,Professional and Technical Workers,Economic Participation
Slovenia - Professional and Technical Workers,Slovenia,57,43,1.31,25,Professional and Technical Workers,Economic Participation
Slovak Republic - Professional and Technical Workers,Slovak Republic,57,44,1.3,26,Professional and Technical Workers,Economic Participation
Albania - Professional and Technical Workers,Albania,56,44,1.29,27,Professional and Technical Workers,Economic Participation
Serbia - Professional and Technical Workers,Serbia,56,44,1.29,28,Professional and Technical Workers,Economic Participation
Romania - Professional and Technical Workers,Romania,56,44,1.28,29,Professional and Technical Workers,Economic Participation
Namibia - Professional and Technical Workers,Namibia,56,44,1.28,30,Professional and Technical Workers,Economic Participation
Thailand - Professional and Technical Workers,Thailand,56,44,1.27,31,Professional and Technical Workers,Economic Participation
Uruguay - Professional and Technical Workers,Uruguay,56,44,1.25,32,Professional and Technical Workers,Economic Participation
New Zealand - Professional and Technical Workers,New Zealand,56,45,1.25,33,Professional and Technical Workers,Economic Participation
Trinidad and Tobago - Professional and Technical Workers,Trinidad and Tobago,55,45,1.21,34,Professional and Technical Workers,Economic Participation
United States - Professional and Technical Workers,United States,55,45,1.2,35,Professional and Technical Workers,Economic Participation
Brazil - Professional and Technical Workers,Brazil,55,45,1.2,36,Professional and Technical Workers,Economic Participation
Dominican Republic - Professional and Technical Workers,Dominican Republic,55,46,1.2,37,Professional and Technical Workers,Economic Participation
Colombia - Professional and Technical Workers,Colombia,54,46,1.17,38,Professional and Technical Workers,Economic Participation
Paraguay - Professional and Technical Workers,Paraguay,54,47,1.15,39,Professional and Technical Workers,Economic Participation
Israel - Professional and Technical Workers,Israel,53,47,1.13,40,Professional and Technical Workers,Economic Participation
Panama - Professional and Technical Workers,Panama,53,47,1.13,40,Professional and Technical Workers,Economic Participation
Argentina - Professional and Technical Workers,Argentina,53,47,1.11,42,Professional and Technical Workers,Economic Participation
Ireland - Professional and Technical Workers,Ireland,53,48,1.1,43,Professional and Technical Workers,Economic Participation
Maldives - Professional and Technical Workers,Maldives,52,48,1.09,44,Professional and Technical Workers,Economic Participation
Vietnam - Professional and Technical Workers,Vietnam,52,48,1.09,45,Professional and Technical Workers,Economic Participation
Barbados - Professional and Technical Workers,Barbados,52,48,1.09,46,Professional and Technical Workers,Economic Participation
Sweden - Professional and Technical Workers,Sweden,52,48,1.08,47,Professional and Technical Workers,Economic Participation
China - Professional and Technical Workers,China,52,48,1.08,48,Professional and Technical Workers,Economic Participation
Finland - Professional and Technical Workers,Finland,52,48,1.08,49,Professional and Technical Workers,Economic Participation
Honduras - Professional and Technical Workers,Honduras,52,48,1.08,50,Professional and Technical Workers,Economic Participation
Portugal - Professional and Technical Workers,Portugal,52,48,1.08,51,Professional and Technical Workers,Economic Participation
Denmark - Professional and Technical Workers,Denmark,52,49,1.06,52,Professional and Technical Workers,Economic Participation
Nicaragua - Professional and Technical Workers,Nicaragua,51,49,1.05,53,Professional and Technical Workers,Economic Participation
South Africa - Professional and Technical Workers,South Africa,51,49,1.05,54,Professional and Technical Workers,Economic Participation
Montenegro - Professional and Technical Workers,Montenegro,51,49,1.04,55,Professional and Technical Workers,Economic Participation
Suriname - Professional and Technical Workers,Suriname,51,49,1.04,56,Professional and Technical Workers,Economic Participation
Australia - Professional and Technical Workers,Australia,51,49,1.03,57,Professional and Technical Workers,Economic Participation
"Macedonia, FYR - Professional and Technical Workers","Macedonia, FYR",51,50,1.02,58,Professional and Technical Workers,Economic Participation
Croatia - Professional and Technical Workers,Croatia,51,50,1.02,59,Professional and Technical Workers,Economic Participation
Botswana - Professional and Technical Workers,Botswana,50,50,1.01,60,Professional and Technical Workers,Economic Participation
Belize - Professional and Technical Workers,Belize,50,50,1,61,Professional and Technical Workers,Economic Participation
Greece - Professional and Technical Workers,Greece,50,50,1,62,Professional and Technical Workers,Economic Participation
Belgium - Professional and Technical Workers,Belgium,50,50,0.99,63,Professional and Technical Workers,Economic Participation
Ecuador - Professional and Technical Workers,Ecuador,50,50,0.99,64,Professional and Technical Workers,Economic Participation
Germany - Professional and Technical Workers,Germany,49,51,0.98,65,Professional and Technical Workers,Economic Participation
United Kingdom - Professional and Technical Workers,United Kingdom,49,51,0.95,66,Professional and Technical Workers,Economic Participation
Cyprus - Professional and Technical Workers,Cyprus,49,51,0.95,67,Professional and Technical Workers,Economic Participation
Spain - Professional and Technical Workers,Spain,49,51,0.95,68,Professional and Technical Workers,Economic Participation
Czech Republic - Professional and Technical Workers,Czech Republic,49,51,0.94,69,Professional and Technical Workers,Economic Participation
Lebanon - Professional and Technical Workers,Lebanon,48,52,0.93,70,Professional and Technical Workers,Economic Participation
Norway - Professional and Technical Workers,Norway,48,52,0.93,71,Professional and Technical Workers,Economic Participation
Indonesia - Professional and Technical Workers,Indonesia,48,52,0.93,72,Professional and Technical Workers,Economic Participation
Madagascar - Professional and Technical Workers,Madagascar,48,52,0.92,73,Professional and Technical Workers,Economic Participation
Netherlands - Professional and Technical Workers,Netherlands,48,53,0.91,74,Professional and Technical Workers,Economic Participation
France - Professional and Technical Workers,France,48,53,0.9,75,Professional and Technical Workers,Economic Participation
Sri Lanka - Professional and Technical Workers,Sri Lanka,48,53,0.9,76,Professional and Technical Workers,Economic Participation
Austria - Professional and Technical Workers,Austria,47,53,0.89,77,Professional and Technical Workers,Economic Participation
Japan - Professional and Technical Workers,Japan,47,53,0.87,78,Professional and Technical Workers,Economic Participation
Zimbabwe - Professional and Technical Workers,Zimbabwe,47,53,0.87,79,Professional and Technical Workers,Economic Participation
Chile - Professional and Technical Workers,Chile,46,54,0.87,80,Professional and Technical Workers,Economic Participation
Switzerland - Professional and Technical Workers,Switzerland,46,54,0.87,81,Professional and Technical Workers,Economic Participation
El Salvador - Professional and Technical Workers,El Salvador,46,54,0.87,82,Professional and Technical Workers,Economic Participation
Luxembourg - Professional and Technical Workers,Luxembourg,46,54,0.86,83,Professional and Technical Workers,Economic Participation
Guatemala - Professional and Technical Workers,Guatemala,46,54,0.85,84,Professional and Technical Workers,Economic Participation
Italy - Professional and Technical Workers,Italy,46,54,0.84,85,Professional and Technical Workers,Economic Participation
Bolivia - Professional and Technical Workers,Bolivia,45,55,0.83,86,Professional and Technical Workers,Economic Participation
Singapore - Professional and Technical Workers,Singapore,45,55,0.82,87,Professional and Technical Workers,Economic Participation
Mexico - Professional and Technical Workers,Mexico,45,55,0.81,88,Professional and Technical Workers,Economic Participation
Brunei Darussalam - Professional and Technical Workers,Brunei Darussalam,44,56,0.79,89,Professional and Technical Workers,Economic Participation
Costa Rica - Professional and Technical Workers,Costa Rica,44,56,0.78,90,Professional and Technical Workers,Economic Participation
Malaysia - Professional and Technical Workers,Malaysia,44,56,0.77,91,Professional and Technical Workers,Economic Participation
Peru - Professional and Technical Workers,Peru,43,57,0.76,92,Professional and Technical Workers,Economic Participation
Mauritius - Professional and Technical Workers,Mauritius,43,58,0.74,93,Professional and Technical Workers,Economic Participation
Rwanda - Professional and Technical Workers,Rwanda,42,58,0.73,94,Professional and Technical Workers,Economic Participation
Uganda - Professional and Technical Workers,Uganda,42,58,0.71,95,Professional and Technical Workers,Economic Participation
Tunisia - Professional and Technical Workers,Tunisia,42,59,0.71,96,Professional and Technical Workers,Economic Participation
Syria - Professional and Technical Workers,Syria,41,59,0.7,97,Professional and Technical Workers,Economic Participation
"Korea, Rep. - Professional and Technical Workers","Korea, Rep.",41,59,0.69,98,Professional and Technical Workers,Economic Participation
Malta - Professional and Technical Workers,Malta,41,59,0.69,98,Professional and Technical Workers,Economic Participation
Cuba - Professional and Technical Workers,Cuba,38,62,0.62,100,Professional and Technical Workers,Economic Participation
Tanzania - Professional and Technical Workers,Tanzania,38,62,0.61,101,Professional and Technical Workers,Economic Participation
Turkey - Professional and Technical Workers,Turkey,37,63,0.58,102,Professional and Technical Workers,Economic Participation
Egypt - Professional and Technical Workers,Egypt,37,63,0.58,103,Professional and Technical Workers,Economic Participation
Morocco - Professional and Technical Workers,Morocco,36,64,0.55,104,Professional and Technical Workers,Economic Participation
Algeria - Professional and Technical Workers,Algeria,35,65,0.55,105,Professional and Technical Workers,Economic Participation
Liberia - Professional and Technical Workers,Liberia,35,65,0.54,106,Professional and Technical Workers,Economic Participation
"Iran, Islamic Rep. - Professional and Technical Workers","Iran, Islamic Rep.",35,65,0.54,107,Professional and Technical Workers,Economic Participation
Cambodia - Professional and Technical Workers,Cambodia,35,65,0.54,108,Professional and Technical Workers,Economic Participation
Kuwait - Professional and Technical Workers,Kuwait,34,66,0.52,109,Professional and Technical Workers,Economic Participation
Ghana - Professional and Technical Workers,Ghana,34,66,0.52,110,Professional and Technical Workers,Economic Participation
Jordan - Professional and Technical Workers,Jordan,34,66,0.51,111,Professional and Technical Workers,Economic Participation
Bahrain - Professional and Technical Workers,Bahrain,33,67,0.5,112,Professional and Technical Workers,Economic Participation
Oman - Professional and Technical Workers,Oman,33,67,0.49,113,Professional and Technical Workers,Economic Participation
Ethiopia - Professional and Technical Workers,Ethiopia,33,67,0.48,114,Professional and Technical Workers,Economic Participation
Zambia - Professional and Technical Workers,Zambia,31,69,0.46,115,Professional and Technical Workers,Economic Participation
Bhutan - Professional and Technical Workers,Bhutan,31,69,0.44,116,Professional and Technical Workers,Economic Participation
Saudi Arabia - Professional and Technical Workers,Saudi Arabia,28,73,0.38,117,Professional and Technical Workers,Economic Participation
Bangladesh - Professional and Technical Workers,Bangladesh,24,76,0.32,118,Professional and Technical Workers,Economic Participation
Pakistan - Professional and Technical Workers,Pakistan,22,78,0.28,119,Professional and Technical Workers,Economic Participation
United Arab Emirates - Professional and Technical Workers,United Arab Emirates,22,78,0.28,120,Professional and Technical Workers,Economic Participation
Nepal - Professional and Technical Workers,Nepal,20,80,0.24,121,Professional and Technical Workers,Economic Participation
Qatar - Professional and Technical Workers,Qatar,20,81,0.24,122,Professional and Technical Workers,Economic Participation
Yemen - Professional and Technical Workers,Yemen,15,85,0.18,123,Professional and Technical Workers,Economic Participation
Fiji - Professional and Technical Workers,Fiji,9,91,0.1,124,Professional and Technical Workers,Economic Participation
Angola - Professional and Technical Workers,Angola,—,—,—,—,Professional and Technical Workers,Economic Participation
Burkina Faso - Professional and Technical Workers,Burkina Faso,—,—,—,—,Professional and Technical Workers,Economic Participation
Burundi - Professional and Technical Workers,Burundi,—,—,—,—,Professional and Technical Workers,Economic Participation
Cape Verde - Professional and Technical Workers,Cape Verde,—,—,—,—,Professional and Technical Workers,Economic Participation
Chad - Professional and Technical Workers,Chad,—,—,—,—,Professional and Technical Workers,Economic Participation
Côte d'Ivoire - Professional and Technical Workers,Côte d'Ivoire,—,—,—,—,Professional and Technical Workers,Economic Participation
India - Professional and Technical Workers,India,—,—,—,—,Professional and Technical Workers,Economic Participation
Jamaica - Professional and Technical Workers,Jamaica,—,—,—,—,Professional and Technical Workers,Economic Participation
Kenya - Professional and Technical Workers,Kenya,—,—,—,—,Professional and Technical Workers,Economic Participation
Lao PDR - Professional and Technical Workers,Lao PDR,—,—,—,—,Professional and Technical Workers,Economic Participation
Malawi - Professional and Technical Workers,Malawi,—,—,—,—,Professional and Technical Workers,Economic Participation
Mali - Professional and Technical Workers,Mali,—,—,—,—,Professional and Technical Workers,Economic Participation
Mauritania - Professional and Technical Workers,Mauritania,—,—,—,—,Professional and Technical Workers,Economic Participation
Mozambique - Professional and Technical Workers,Mozambique,—,—,—,—,Professional and Technical Workers,Economic Participation
Nigeria - Professional and Technical Workers,Nigeria,—,—,—,—,Professional and Technical Workers,Economic Participation
Senegal - Professional and Technical Workers,Senegal,—,—,—,—,Professional and Technical Workers,Economic Participation
Swaziland - Professional and Technical Workers,Swaziland,—,—,—,—,Professional and Technical Workers,Economic Participation
Tajikistan - Professional and Technical Workers,Tajikistan,—,—,—,—,Professional and Technical Workers,Economic Participation
Lesotho - Literacy Rate,Lesotho,85,66,1.3,1,Literacy Rate,Educational Attainment
Jamaica - Literacy Rate,Jamaica,92,83,1.12,2,Literacy Rate,Educational Attainment
Guyana - Literacy Rate,Guyana,87,82,1.06,3,Literacy Rate,Educational Attainment
Namibia - Literacy Rate,Namibia,78,74,1.05,4,Literacy Rate,Educational Attainment
Malta - Literacy Rate,Malta,94,91,1.03,5,Literacy Rate,Educational Attainment
United Arab Emirates - Literacy Rate,United Arab Emirates,91,89,1.02,6,Literacy Rate,Educational Attainment
Bahamas - Literacy Rate,Bahamas,97,95,1.02,7,Literacy Rate,Educational Attainment
Botswana - Literacy Rate,Botswana,87,86,1.01,8,Literacy Rate,Educational Attainment
Dominican Republic - Literacy Rate,Dominican Republic,91,90,1.01,9,Literacy Rate,Educational Attainment
Philippines - Literacy Rate,Philippines,96,95,1.01,10,Literacy Rate,Educational Attainment
Brazil - Literacy Rate,Brazil,92,91,1.01,11,Literacy Rate,Educational Attainment
Uruguay - Literacy Rate,Uruguay,99,98,1.01,12,Literacy Rate,Educational Attainment
Costa Rica - Literacy Rate,Costa Rica,98,97,1,13,Literacy Rate,Educational Attainment
Colombia - Literacy Rate,Colombia,94,93,1,14,Literacy Rate,Educational Attainment
Mongolia - Literacy Rate,Mongolia,98,98,1,15,Literacy Rate,Educational Attainment
Barbados - Literacy Rate,Barbados,99,99,1,16,Literacy Rate,Educational Attainment
Argentina - Literacy Rate,Argentina,98,98,1,17,Literacy Rate,Educational Attainment
Maldives - Literacy Rate,Maldives,98,98,1,18,Literacy Rate,Educational Attainment
Lithuania - Literacy Rate,Lithuania,100,100,1,19,Literacy Rate,Educational Attainment
Latvia - Literacy Rate,Latvia,100,100,1,20,Literacy Rate,Educational Attainment
Estonia - Literacy Rate,Estonia,100,100,1,21,Literacy Rate,Educational Attainment
Australia - Literacy Rate,Australia,99,99,1,22,Literacy Rate,Educational Attainment
Austria - Literacy Rate,Austria,99,99,1,22,Literacy Rate,Educational Attainment
Belgium - Literacy Rate,Belgium,99,99,1,22,Literacy Rate,Educational Attainment
Canada - Literacy Rate,Canada,99,99,1,22,Literacy Rate,Educational Attainment
Czech Republic - Literacy Rate,Czech Republic,99,99,1,22,Literacy Rate,Educational Attainment
Denmark - Literacy Rate,Denmark,99,99,1,22,Literacy Rate,Educational Attainment
Finland - Literacy Rate,Finland,99,99,1,22,Literacy Rate,Educational Attainment
France - Literacy Rate,France,99,99,1,22,Literacy Rate,Educational Attainment
Germany - Literacy Rate,Germany,99,99,1,22,Literacy Rate,Educational Attainment
Iceland - Literacy Rate,Iceland,99,99,1,22,Literacy Rate,Educational Attainment
Ireland - Literacy Rate,Ireland,99,99,1,22,Literacy Rate,Educational Attainment
Japan - Literacy Rate,Japan,99,99,1,22,Literacy Rate,Educational Attainment
"Korea, Rep. - Literacy Rate","Korea, Rep.",99,99,1,22,Literacy Rate,Educational Attainment
Luxembourg - Literacy Rate,Luxembourg,99,99,1,22,Literacy Rate,Educational Attainment
Netherlands - Literacy Rate,Netherlands,99,99,1,22,Literacy Rate,Educational Attainment
New Zealand - Literacy Rate,New Zealand,99,99,1,22,Literacy Rate,Educational Attainment
Norway - Literacy Rate,Norway,99,99,1,22,Literacy Rate,Educational Attainment
Slovak Republic - Literacy Rate,Slovak Republic,99,99,1,22,Literacy Rate,Educational Attainment
Sweden - Literacy Rate,Sweden,99,99,1,22,Literacy Rate,Educational Attainment
Switzerland - Literacy Rate,Switzerland,99,99,1,22,Literacy Rate,Educational Attainment
United Kingdom - Literacy Rate,United Kingdom,99,99,1,22,Literacy Rate,Educational Attainment
United States - Literacy Rate,United States,99,99,1,22,Literacy Rate,Educational Attainment
Thailand - Literacy Rate,Thailand,96,96,1,44,Literacy Rate,Educational Attainment
Cuba - Literacy Rate,Cuba,100,100,1,45,Literacy Rate,Educational Attainment
Hungary - Literacy Rate,Hungary,99,99,1,46,Literacy Rate,Educational Attainment
Slovenia - Literacy Rate,Slovenia,100,100,1,47,Literacy Rate,Educational Attainment
Russian Federation - Literacy Rate,Russian Federation,100,100,1,48,Literacy Rate,Educational Attainment
Georgia - Literacy Rate,Georgia,100,100,1,49,Literacy Rate,Educational Attainment
Kazakhstan - Literacy Rate,Kazakhstan,100,100,1,50,Literacy Rate,Educational Attainment
Ukraine - Literacy Rate,Ukraine,100,100,1,51,Literacy Rate,Educational Attainment
Chile - Literacy Rate,Chile,98,99,1,52,Literacy Rate,Educational Attainment
Tajikistan - Literacy Rate,Tajikistan,100,100,1,53,Literacy Rate,Educational Attainment
Azerbaijan - Literacy Rate,Azerbaijan,100,100,1,54,Literacy Rate,Educational Attainment
Armenia - Literacy Rate,Armenia,100,100,1,55,Literacy Rate,Educational Attainment
Nicaragua - Literacy Rate,Nicaragua,78,78,1,56,Literacy Rate,Educational Attainment
Belarus - Literacy Rate,Belarus,99,100,1,57,Literacy Rate,Educational Attainment
Poland - Literacy Rate,Poland,100,100,1,58,Literacy Rate,Educational Attainment
Venezuela - Literacy Rate,Venezuela,95,96,1,59,Literacy Rate,Educational Attainment
Italy - Literacy Rate,Italy,99,99,1,60,Literacy Rate,Educational Attainment
