ID Number,Department,Contracting Agency,Year Contract Signed,Year Contract Effective,Current Contract Value,Major Program,Vendor,Vendor DBA,Date Contract Signed,Date Contract Effective,Current Completion Date,Amount Obligated,Base and all options value,Extent Competed,Reason Not Competed,Purchase Card Payment Method,Type of Contract Pricing,Place of Manufacture,CCR Exception Type,Reason for Modification,Product/Service Description,Requirement Description,Place of Performance,Place of Performance - City,Place of Performance - State,Award / IDV,Award Type,Location of Vendo,Location of Vendor - City,Location of Vendor - State,Small Business?,Small Disadvantaged Business?,Historically Underutilized Business Zone?,Sheltered Workshop?,Women Owned Business?,Veteran Owned Business?,Service Related Disabled Veteran Owned Business?,Minority Owned Business?,Minority Institution?,Black American Owned Business?,Historic Black College Or University?,Native American Owned Business?,Hispanic American Owned Business?,Asian Pacific American Owned Business?,Asian Indian Owned Business?,Subcontinent Asian (Asian-Indian) American Owned Business?,Eight?,Local Government?,Hospital?,Nonprofit Organization?,Educational Institution?,Federal Government?,State Government?,Tribal Government?
Contract ID n. 1143,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"240,000.00",,Madeira Marine Services,,7/30/2010,7/20/2010,10/31/2010,"240,000.00","240,000.00",Competed Under Sap,,No,Fixed Price,Not A Manufactured End Product,,,Lease-rent Of Ships-sml Craft-docks,Longline Vessel Charterto Provide Sampling Of Marine Fauna,"Pascagoula, Mississippi, United States",Pascagoula,Mississippi,Award,Purchase Order,"Saint Petersburg, Florida, United States",Saint Petersburg,Florida,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 454,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"-211,073.02",,Manomet,,7/13/2012,7/13/2012,7/13/2012,"-211,073.02","-211,073.02",Not Competed,Urgency,No,"Cost, No Fee",Not A Manufactured End Product,,Close Out,Other Environmental Services,Manomet Shorebird Mortality,"Fairhope, Alabama, United States",Fairhope,Alabama,Award,Definitive Contract,"Manomet, Massachusetts, United States",Manomet,Massachusetts,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Contract ID n. 455,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"3,054,300.00",,Manomet,,9/5/2010,9/7/2010,1/31/2011,"3,054,300.00","3,054,300.00",Not Competed,Urgency,No,"Cost, No Fee",Not A Manufactured End Product,,,Other Envir Svc/stud/sup,Natural Resource Damage Assessment And Restoration Team Support Of Estimating Shorebird Oiling And Mortality Deepwater Horizon Oil Spill 2010.,"Fairhope, Alabama, United States",Fairhope,Alabama,Award,Definitive Contract,"Manomet, Massachusetts, United States",Manomet,Massachusetts,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Contract ID n. 210,Department Of The Interior,Bureau Of Safety And Environmental Enforcement,2010,2010,"18,983.42",,MAR,,3/22/2012,3/22/2012,4/30/2012,"18,983.42","18,983.42",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,,Environmental Systems Protection- Oil Spill Response,Ohmsett Mdg Sweeper 2012,"Leonardo, New Jersey, United States",Leonardo,New Jersey,Award,Delivery Order,"Rockville, Maryland, United States",Rockville,Maryland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 207,Department Of The Interior,Bureau Of Safety And Environmental Enforcement,2010,2010,"27,767.14",,MAR,,8/31/2012,8/31/2012,12/31/2012,"27,767.14","27,767.14",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,,Environmental Systems Protection- Oil Spill Response,Ohmsett 538 Acs,"Rockville, Maryland, United States",Rockville,Maryland,Award,Delivery Order,"Rockville, Maryland, United States",Rockville,Maryland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 208,Department Of The Interior,Bureau Of Safety And Environmental Enforcement,2010,2010,"124,398.31",,MAR,,8/20/2012,8/20/2012,12/31/2012,"124,398.31","124,398.31",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,,R&d- Energy: Petroleum (applied Research/exploratory Development),"Igf::cl::igf Closely Associated
Test Oils For Ohmsett - Mar To F-358
Reference: Contract No. E12pc00040, Mar Task Order (f-358) Procurement Of Hydrocal 30 And Calsol 8240 Standard Test Oils At Ohmsett.","Rockville, Maryland, United States",Rockville,Maryland,Award,Delivery Order,"Rockville, Maryland, United States",Rockville,Maryland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 213,Department Of The Interior,National Park Service,2010,2010,"18,939.11",,Marine Environmental Sciences Consortium,,5/5/2010,5/5/2010,5/4/2011,"18,939.11","18,939.11",Not Competed Under Sap,Sap Non-competition,No,Fixed Price,Not A Manufactured End Product,,,Water Quality Studies,2010 Gulf Oil Spill      Potential Petrochemical Damage Assessment Of Seagrass Resources Of Gulf Islands National Seashore With Marine Environmental Sciences Consortium Dba Dauphin Island Sea Lab,"Dauphin Island, Alabama, United States",Dauphin Island,Alabama,Award,Purchase Order,"Dauphin Island, Alabama, United States",Dauphin Island,Alabama,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
Contract ID n. 1232,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"37,202.00",,Maritime Telecommunications,,5/27/2010,5/27/2010,6/26/2010,"37,202.00","37,202.00",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,,Adp Svcs/telecomm & Transmission,Vsat Bandwidth Services For Noaa Ship Gordon Gunter While Operating In The Gulf Of Mexico.,"Miramar, Florida, United States",Miramar,Florida,Award,Delivery Order,"Miramar, Florida, United States",Miramar,Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1233,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"37,202.00",,Maritime Telecommunications,,8/20/2010,8/5/2010,8/31/2010,"37,202.00","37,202.00",Full And Open Competition,,No,Fixed Price,,,Supplemental Agreement For Work Within Scope,Adp Svcs/telecomm & Transmission,Vsat Bandwidth And Support Services,"Miramar, Florida, United States",Miramar,Florida,Award,Delivery Order,"Miramar, Florida, United States",Miramar,Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1419,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"37,202.00",,Maritime Telecommunications,,7/26/2010,7/22/2010,8/21/2010,"37,202.00","37,202.00",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,,Adp Svcs/telecomm & Transmission,Vsat Bandwidth And Support Services In Support Of Operations In The Gulf Of Mexico In Response To Deep Water Horizon.,"Miramar, Florida, United States",Miramar,Florida,Award,Delivery Order,"Miramar, Florida, United States",Miramar,Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 358,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"2,400.00",,Mark Bias,,8/10/2012,8/10/2012,8/24/2012,"2,400.00","2,400.00",Full And Open Competition After Exclusion Of Sources,,No,Fixed Price,Not A Manufactured End Product,,,Photo/map/print/publication- Aerial Photographic,Aerial Photography For Restoration,"Lesage, West Virginia, United States",Lesage,West Virginia,Award,Delivery Order,"Ona, West Virginia, United States",Ona,West Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1314,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"15,000.00",,Markey Machinery,,6/11/2010,6/11/2010,6/18/2010,"15,000.00","15,000.00",Competed Under Sap,,No,Fixed Price,U.S.,,,Winches Hoists Cranes & Derricks,Repair Markey Ctd Winch On Noaa Ship Oregon Ii,"Pascagoula, Mississippi, United States",Pascagoula,Mississippi,Award,Purchase Order,"Seattle, Washington, United States",Seattle,Washington,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 272,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"5,607.00",,Marriott International,,8/20/2013,8/20/2013,8/30/2013,"5,607.00","5,607.00",Competed Under Sap,,Yes,Fixed Price,Not A Manufactured End Product,,,Support- Administrative: Other,"Igf::ct::igf 
Doi Dh Nrdar Atlanta Meetings","Atlanta, Georgia, United States",Atlanta,Georgia,Award,Purchase Order,"Atlanta, Georgia, United States",Atlanta,Georgia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 319,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"141,984.00",,Marriott International,,8/1/2010,8/1/2010,12/31/2010,"141,984.00","141,984.00",Not Competed Under Sap,Sap Non-competition,Yes,Fixed Price,Not A Manufactured End Product,,,Construct/epg - Coal,Hotel Lodging,"Metairie, Louisiana, United States",Metairie,Louisiana,Award,Purchase Order,"Metairie, Louisiana, United States",Metairie,Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 320,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"-88,231.70",,Marriott International,,6/19/2011,6/19/2011,6/19/2011,"-88,231.70","-88,231.70",Not Competed Under Sap,Sap Non-competition,No,Fixed Price,Not A Manufactured End Product,,Change Order,Construct/epg - Coal,Deobligate Remaining Funds And Close Out Order.,"Metairie, Louisiana, United States",Metairie,Louisiana,Award,Purchase Order,"Metairie, Louisiana, United States",Metairie,Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 563,Department Of Homeland Security,U.S. Coast Guard,2010,2010,"1,500.00",,Martha Laguardia-Kotite,,2/3/2011,2/10/2011,3/5/2011,"1,500.00","1,500.00",Competed Under Sap,,No,Fixed Price,U.S.,,,Miscellaneous Printed Matter,Vendor To Provide Written Awards For Members That Partcipated In The Deepwater Horizon Effort.  Vendor Is Registired In Ccr.  Duns Number Is As Follows 965742310.,"Niceville, Florida, United States",Niceville,Florida,Award,Purchase Order,"Niceville, Florida, United States",Niceville,Florida,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1327,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"3,719.68",,MAS Solutions Services,,1/5/2011,12/8/2010,1/31/2011,"3,719.68","3,719.68",Competed Under Sap,,No,Fixed Price,Not A Manufactured End Product,,Change Order,Other Administrative Support Svcs,Additional Hours For Data Entry Work Dwh Mc252,"Pascagoula, Mississippi, United States",Pascagoula,Mississippi,Award,Purchase Order,"Gulfport, Mississippi, United States",Gulfport,Mississippi,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1328,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"-3,719.68",,MAS Solutions Services,,1/4/2011,1/4/2011,1/31/2011,"-3,719.68","-3,719.68",Competed Under Sap,,No,Fixed Price,Not A Manufactured End Product,,Change Order,Other Administrative Support Svcs,De-obligate Funds,"Pascagoula, Mississippi, United States",Pascagoula,Mississippi,Award,Purchase Order,"Gulfport, Mississippi, United States",Gulfport,Mississippi,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1329,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"3,719.68",,MAS Solutions Services,,12/8/2010,12/6/2010,1/31/2011,"3,719.68","3,719.68",Competed Under Sap,,No,Fixed Price,Not A Manufactured End Product,,Change Order,Other Administrative Support Svcs,Additional Funding For Data Entry For Dwh Mc252,"Pascagoula, Mississippi, United States",Pascagoula,Mississippi,Award,Purchase Order,"Gulfport, Mississippi, United States",Gulfport,Mississippi,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1330,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"1,743.60",,MAS Solutions Services,,1/31/2011,1/31/2011,2/18/2011,"1,743.60","1,743.60",Competed Under Sap,,No,Fixed Price,Not A Manufactured End Product,,Change Order,Other Administrative Support Svcs,Data Entry Operator 1,"Pascagoula, Mississippi, United States",Pascagoula,Mississippi,Award,Purchase Order,"Gulfport, Mississippi, United States",Gulfport,Mississippi,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1331,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"9,182.96",,MAS Solutions Services,,7/28/2010,8/1/2010,1/31/2011,"9,182.96","9,182.96",Competed Under Sap,,No,Fixed Price,Not A Manufactured End Product,,,Other Administrative Support Svcs,Temporary Services Data Entry Operator 1,"Pascagoula, Mississippi, United States",Pascagoula,Mississippi,Award,Purchase Order,"Gulfport, Mississippi, United States",Gulfport,Mississippi,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 947,Department Of Defense,Department Of The Army,2010,2010,"142,325.26",,MBJV,,7/19/2010,7/19/2010,12/31/2010,"142,325.26","142,325.26",Full And Open Competition After Exclusion Of Sources,,No,Fixed Price,Not A Manufactured End Product,,,Engineering And Technical Services,Construction Management Services For Oil Spill Dredging Operations.,"Plaquemine, Louisiana, United States",Plaquemine,Louisiana,Award,Delivery Order,"Metairie, Louisiana, United States",Metairie,Louisiana,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 729,Department Of Homeland Security,U.S. Coast Guard,2010,2010,"2,130.00",,McGrath Rent,,7/14/2010,7/14/2010,8/13/2010,"2,130.00","2,130.00",Competed Under Sap,,No,Fixed Price,U.S.,,,No Product Or Service Description Specified,20' Modular Office Rental,"Panama City Beach, Florida, United States",Panama City Beach,Florida,Award,Purchase Order,"Livermore, California, United States",Livermore,California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 730,Department Of Homeland Security,U.S. Coast Guard,2010,2010,-620.00,,McGrath Rent,,4/11/2011,4/11/2011,8/13/2010,-620.00,-620.00,Competed Under Sap,,No,Fixed Price,U.S.,,Close Out,No Product Or Service Description Specified,20' Modular Office Rental,"Panama City Beach, Florida, United States",Panama City Beach,Florida,Award,Purchase Order,"Livermore, California, United States",Livermore,California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 312,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"6,000.00",,Mclemore Distributors,,7/30/2010,7/30/2010,12/31/2010,"6,000.00","6,000.00",Competed Under Sap,,No,"Fixed Price, Economic Price Adjustment",U.S.,,,Fuel Oils,Hwy Diesel,"Gilbertown, Alabama, United States",Gilbertown,Alabama,Award,Purchase Order,"Silas, Alabama, United States",Silas,Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 570,Department Of Homeland Security,U.S. Coast Guard,2010,2010,"4,257.00",,McPherson Companies,,8/4/2010,8/4/2010,8/5/2010,"4,257.00","4,257.00",Competed Under Sap,,No,,U.S.,,,No Product Or Service Description Specified,Oil Needed For Delivery In Pensacola In Connection With Ssdg Casualty.,"Pensacola, Florida, United States",Pensacola,Florida,Award,Purchase Order,"Trussville, Alabama, United States",Trussville,Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1050,Department Of Defense,Defense Logistics Agency,2010,2010,"1,030,974.00",Ph-domestic Bunkers,Merlin Petroleum,,7/9/2010,7/9/2010,4/30/2011,"1,030,974.00","1,030,974.00",Full And Open Competition,,No,"Fixed Price, Economic Price Adjustment",U.S.,,Additional Work,Fuel Oils,Marine Gas Oil,"Pensacola, Florida, United States",Pensacola,Florida,Award,Delivery Order,"Westport, Connecticut, United States",Westport,Connecticut,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 3,Department Of Veterans Affairs,Department Of Veterans Affairs,2010,2010,"9,460.00",,Messer Power Systems,,8/19/2011,8/17/2011,9/2/2011,"9,460.00","9,460.00",Full And Open Competition After Exclusion Of Sources,,No,Fixed Price,,,Exercise An Option,Maint-rep Of Power Distribution Eq,Pm Emergency Generators,"Providence, Rhode Island, United States",Providence,Rhode Island,Award,Definitive Contract,"Ware, Massachusetts, United States",Ware,Massachusetts,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 4,Department Of Veterans Affairs,Department Of Veterans Affairs,2010,2010,"21,800.00",,Messer Power Systems,,10/1/2010,10/1/2009,9/30/2011,"21,800.00",0.00,Full And Open Competition After Exclusion Of Sources,,No,Fixed Price,,,Exercise An Option,Maint-rep Of Power Distribution Eq,Pm Emergency Generators,"Providence, Rhode Island, United States",Providence,Rhode Island,Award,Definitive Contract,"Ware, Massachusetts, United States",Ware,Massachusetts,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1408,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"9,000.00",,Metocean Data Systems,,11/29/2010,11/29/2010,12/20/2010,"9,000.00","9,000.00",Not Competed,Only One Source - Other,No,Fixed Price,"Outside U.S., Domestic Nonavailability",,,No Product Or Service Description Specified,Svp Drifting Buoys,,,,Award,Purchase Order,"Dartmouth, , United States",Dartmouth,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 184,Department Of The Interior,Bureau Of Ocean Energy Management,2010,2010,"10,345.96",,Metrica,,8/26/2010,8/26/2010,1/30/2011,"10,345.96","10,345.96",Not Competed,Urgency,No,Time and Materials,Not A Manufactured End Product,,Supplemental Agreement For Work Within Scope,Lease-rent Of Conf Space & Fac,"Metrica - 
Director's Meetings","San Antonio, Texas, United States",San Antonio,Texas,Award,Definitive Contract,"San Antonio, Texas, United States",San Antonio,Texas,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 190,Department Of The Interior,Bureau Of Ocean Energy Management,2010,2010,"608,392.14",,Metrica,,7/28/2010,7/28/2010,1/31/2011,"608,392.14","608,392.14",Not Competed,Urgency,No,Time and Materials,Not A Manufactured End Product,,,Lease-rent Of Conf Space & Fac,"Metrica - 
Director's Meetings","San Antonio, Texas, United States",San Antonio,Texas,Award,Definitive Contract,"San Antonio, Texas, United States",San Antonio,Texas,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 121,Department Of Justice,Drug Enforcement Administration,2010,2010,"20,337.60",,Metropolitan Interpreters And Translators,,3/6/2012,3/6/2012,4/20/2012,"20,337.60","20,337.60",Full And Open Competition,,No,Labor Hours,Not A Manufactured End Product,,,Support- Administrative: Translation And Interpreting,Linguist Services,"Newark, New Jersey, United States",Newark,New Jersey,Award,BPA Call,"New York, New York, United States",New York,New York,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1321,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"7,100.00",,Miami Cordage,,7/26/2010,7/26/2010,7/26/2010,"7,100.00","7,100.00",Competed Under Sap,,Yes,Fixed Price,Not A Manufactured End Product,,,Install Of Rope-cable-chain,Spooling Cable For Noaa Ship Thomas Jefferson,"Key West, Florida, United States",Key West,Florida,Award,Purchase Order,"Miami, Florida, United States",Miami,Florida,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 171,Department Of The Interior,Geological Survey,2010,2010,"7,710.00",,Michael J Gately,,7/8/2013,7/8/2013,7/14/2015,"7,710.00","7,710.00",Competed Under Sap,,No,Fixed Price,Not A Manufactured End Product,,,Special Studies/analysis- Geophysical,Igf::ot::igf,"Lafayette, Louisiana, United States",Lafayette,Louisiana,Award,Purchase Order,"Lafayette, Louisiana, United States",Lafayette,Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 298,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,-1.33,,Michael J. Conroy,,2/19/2013,2/19/2013,12/31/2012,-1.33,-1.33,Not Competed Under Sap,Sap Non-competition,No,Labor Hours,Not A Manufactured End Product,,Close Out,Special Studies/analysis- Other,Mj Conroy-oil Spill Marsh Bird Am728,"Athens, Georgia, United States",Athens,Georgia,Award,Purchase Order,"Athens, Georgia, United States",Athens,Georgia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 299,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"55,000.00",,Michael J. Conroy,,10/1/2010,10/12/2010,10/11/2011,"55,000.00","55,000.00",Not Competed Under Sap,Sap Non-competition,No,Labor Hours,Not A Manufactured End Product,,,Other Special Studies And Analyses,Data Analysis On Marsh Birds Related To The Oil Spill,"Athens, Georgia, United States",Athens,Georgia,Award,Purchase Order,"Athens, Georgia, United States",Athens,Georgia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1411,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"4,381.00",,Micro Optics Of Florida,,8/21/2012,8/21/2012,12/31/2012,"4,381.00","43,810.00",Competed Under Sap,,No,Fixed Price,U.S.,,,"Optical Instruments, Test Equipment, Components And Accessories",Leica Microscope,"Key Biscayne, Florida, United States",Key Biscayne,Florida,Award,Purchase Order,"Plantation, Florida, United States",Plantation,Florida,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1391,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"9,756.96",,Microtech,,8/23/2010,8/23/2010,10/8/2010,"9,756.96","9,756.96",Full And Open Competition,,No,Fixed Price,U.S.,,,Adp Central Processing Unit-analog,Computers,"Vienna, Virginia, United States",Vienna,Virginia,Award,Delivery Order,"Vienna, Virginia, United States",Vienna,Virginia,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Contract ID n. 261,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"195,000.00",,Microwave Telemetry,,8/10/2010,8/10/2010,10/26/2010,"195,000.00","195,000.00",Not Competed Under Sap,Sap Non-competition,No,Fixed Price,Not A Manufactured End Product,,,Oil Spill Response,Satellite Transmitters For Brown Pelican Gulf Oil Spill Study,"Columbia, Maryland, United States",Columbia,Maryland,Award,Purchase Order,"Columbia, Maryland, United States",Columbia,Maryland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1045,Department Of Defense,Defense Logistics Agency,2010,2010,"167,507.20",Ph-domestic Bunkers,Midstream Fuel Service,,7/9/2010,7/9/2010,3/31/2011,"167,507.20","167,507.20",Full And Open Competition,,No,"Fixed Price, Economic Price Adjustment",U.S.,,Supplemental Agreement For Work Within Scope,Fuel Oils,Marine Gas Oil - Add Clin 206-75 To Contract.,"Pensacola, Florida, United States",Pensacola,Florida,Award,Delivery Order,"Mobile, Alabama, United States",Mobile,Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 758,Department Of Homeland Security,U.S. Coast Guard,2010,2010,"170,000.00",,Miller Environmental Services,,8/4/2010,7/5/2010,9/5/2010,"170,000.00","170,000.00",Not Competed,Urgency,No,Time and Materials,Not A Manufactured End Product,,,Oil Spill Response,"Labor, Material And Equipment To Contain/clean Up Tar Balls From Sea Rim State Park, Mcfaddin Beach, High Island, Tx In Response To Deepwater Horizon Oil Spill, Fpn N10036.","Morgan City, Louisiana, United States",Morgan City,Louisiana,Award,Delivery Order,"Corpus Christi, Texas, United States",Corpus Christi,Texas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 759,Department Of Homeland Security,U.S. Coast Guard,2010,2010,"-57,975.81",,Miller Environmental Services,,4/22/2011,4/22/2011,4/22/2011,"-57,975.81","-57,975.81",Not Competed,Urgency,No,Time and Materials,Not A Manufactured End Product,,Close Out,Oil Spill Response,Modification Issued To De-obligate Funds Under Federal Project Number N10036 For Close-out Purposes,"Morgan City, Louisiana, United States",Morgan City,Louisiana,Award,Delivery Order,"Corpus Christi, Texas, United States",Corpus Christi,Texas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 53,Department Of Labor,Office Of The Assistant Secretary For Admin And Management,2010,2010,"12,988.40",,Mine Safety Appliances,,6/18/2010,6/15/2010,7/9/2010,"12,988.40","12,988.40",Full And Open Competition,,No,Fixed Price,U.S.,,,Opthalmic Instruments Eq & Supplies,Supplies For Repair And Calibrate Equipment,"Cincinnati, Ohio, United States",Cincinnati,Ohio,Award,Delivery Order,"Pittsburgh, Pennsylvania, United States",Pittsburgh,Pennsylvania,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 290,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"7,501.12",,Moore Clark USA,,2/29/2012,2/29/2012,3/2/2012,"7,501.12","7,501.12",Full And Open Competition After Exclusion Of Sources,,No,Fixed Price,Not A Manufactured End Product,,,Forage And Feed,Fish Feed021 - Wnfh,"Winthrop, Washington, United States",Winthrop,Washington,Award,Delivery Order,"Ferndale, Washington, United States",Ferndale,Washington,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 313,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"69,200.00",,Moss Point Motel,,8/1/2010,8/1/2010,8/31/2010,"69,200.00","69,200.00",Not Competed Under Sap,Sap Non-competition,Yes,Fixed Price,Not A Manufactured End Product,,,Lodging - Hotel/motel,Hotel Lodging; 15-20 Rooms For A Six Week Period.,"Moss Point, Mississippi, United States",Moss Point,Mississippi,Award,Purchase Order,"Moss Point, Mississippi, United States",Moss Point,Mississippi,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 314,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"121,600.00",,Moss Point Motel,,9/17/2010,9/17/2010,10/31/2010,"121,600.00","121,600.00",Not Competed Under Sap,Sap Non-competition,No,Fixed Price,Not A Manufactured End Product,,Change Order,Lodging - Hotel/motel,Extend And Add The Sleeping Rooms For The Personnel Supporting The Deep Horizon Oil Spill,"Moss Point, Mississippi, United States",Moss Point,Mississippi,Award,Purchase Order,"Moss Point, Mississippi, United States",Moss Point,Mississippi,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
