Vendors,Number of Contracts,Total Value of Contracts,Average Value of Contracts,Location,Location - State,Small Business?,Small Disadvantaged Business?,Historically Underutilized Business Zone?,Sheltered Workshop?,Women Owned Business?,Veteran Owned Business?,Service Related Disabled Veteran Owned Business?,Minority Owned Business?,Minority Institution?,Black American Owned Business?,Historic Black College Or University?,Native American Owned Business?,Hispanic American Owned Business?,Asian Pacific American Owned Business?,Asian Indian Owned Business?,Subcontinent Asian (Asian-Indian) American Owned Business?,Local Government?,Hospital?,Nonprofit Organization?,Educational Institution?,Federal Government?,State Government?,Tribal Government?,Eight?
Discovery Books,1,"27,178.00","27,178.00","Colorado Springs, Colorado, United States",Colorado,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dittman And Greer,1,"10,877.80","10,877.80","Middletown, Connecticut, United States",Connecticut,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
DNV Columbus,11,"8,252,899.40","750,263.58","Dublin, Ohio, United States",Ohio,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dor-Mor,1,"90,000.00","90,000.00","Claremont, New Hampshire, United States",New Hampshire,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Draeger Safety,3,"53,733.98","17,911.33","Pittsburgh, Pennsylvania, United States",Pennsylvania,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dt Marine Products,1,"3,328.00","3,328.00","Katy, Texas, United States",Texas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dun & Bradstreet,1,"75,000.00","75,000.00","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
E-volve Partners,3,"-6,631.72","-2,210.57","Anaheim, California, United States",California,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"EA Engineering, Science, And Technology",1,"1,858,596.00","1,858,596.00","Hunt Valley, Maryland, United States",Maryland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Eagle Hydraulics,1,"15,000.00","15,000.00","Auburn, Washington, United States",Washington,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Earth Resources Technology,12,"3,549,165.58","295,763.80","Annapolis Junction, Maryland, United States",Maryland,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Eastern Research Group,6,"518,623.00","86,437.17","Lexington, Massachusetts, United States",Massachusetts,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ecm Cdd Joint Venture,1,"78,226.16","78,226.16","Metairie, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Economic Analysis,1,"12,884.00","12,884.00","Wakefield, Rhode Island, United States",Rhode Island,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Eleison Group,1,"13,750.00","13,750.00","Arlington, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Elmer P. Danenberger III,2,"42,600.00","21,300.00","Reston, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Emergency Management Services,11,"9,308,318.00","846,210.73","Culpeper, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Encore D'iberville Hotel,3,"17,257.00","5,752.33","Diberville, Mississippi, United States",Mississippi,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Encore Sf North,11,"508,377.40","46,216.13","Spanish Fort, Alabama, United States",Alabama,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Engenius Consulting Group,1,"61,047.54","61,047.54","Duluth, Georgia, United States",Georgia,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
Engineering Environmental Management,1,"209,600.00","209,600.00","Englewood, Colorado, United States",Colorado,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Engineering Services Group,9,"720,304.12","80,033.79","Humble, Texas, United States",Texas,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Entergy Arkansas,1,"2,764.00","2,764.00","Little Rock, Arkansas, United States",Arkansas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Enterprise Leasing - Southeast,1,"13,275.00","13,275.00","Fayetteville, North Carolina, United States",North Carolina,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Environmental Protection Agency,1,"104,800.00","104,800.00","Washington, District Of Columbia, United States",District Of Columbia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Environmental Sampling Technologies,2,"28,663.35","14,331.68","Saint Joseph, Missouri, United States",Missouri,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Environmental Systems Research,1,"23,904.36","23,904.36","Redlands, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Environmental, Safety & Health Consulting Services",2,"5,162.50","2,581.25","Houma, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ERA Helicopters,6,"7,862,000.00","1,310,333.33","Lake Charles, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Erin Rusca,2,"13,878.00","6,939.00","Lafayette, Louisiana, United States",Louisiana,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Esco Electrical Supply,1,449.40,449.40,"Philadelphia, Pennsylvania, United States",Pennsylvania,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
EVAC - North America,1,"24,516.00","24,516.00","Cherry Valley, Illinois, United States",Illinois,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Evans Equipment & Environmental,1,"12,402.77","12,402.77","Broussard, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Exa Data & Mapping,6,"2,082,693.15","347,115.53","Port Townsend, Washington, United States",Washington,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Excalibur Associates,1,"418,000.00","418,000.00","Westminster, Colorado, United States",Colorado,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Fairfield Inn & Suites,10,"113,127.00","11,312.70","Orange Beach, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Federal Marine And Defense Services,5,"154,427.46","30,885.49","Seattle, Washington, United States",Washington,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Federal News Service,1,"5,973.75","5,973.75","Washington, District Of Columbia, United States",District Of Columbia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Fedstore Corporation,2,"2,789.88","1,394.94","Rockville, Maryland, United States",Maryland,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Fire And Safety Technicians,1,"5,150.00","5,150.00","Thibodaux, Louisiana, United States",Louisiana,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Five Rivers Services,1,"51,547.55","51,547.55","Colorado Springs, Colorado, United States",Colorado,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Fling Charters,3,"12,500.00","4,166.67","Freeport, Texas, United States",Texas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Florida Department Of Agriculture And Consumer Services,1,"15,553.20","15,553.20","Tallahassee, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Florida State University,4,"187,247.63","46,811.91","Tallahassee, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Foley Equipment,1,"100,000.00","100,000.00","Wichita, Kansas, United States",Kansas,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Forestry Commission - Georgia,2,"31,626.30","15,813.15","Dry Branch, Georgia, United States",Georgia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Forestry Commission - Mississippi,1,"9,503.29","9,503.29","Jackson, Mississippi, United States",Mississippi,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Foster Fuels,2,"23,954.20","11,977.10","Brookneal, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Frank's,1,"10,432.00","10,432.00","Baton Rouge, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Free State Reporting,1,"5,397.00","5,397.00","Annapolis, Maryland, United States",Maryland,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Freestone Environmental Services,2,"3,183,839.66","1,591,919.83","Richland, Washington, United States",Washington,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
G.A. Fish,3,"309,000.00","103,000.00","Panama City, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
G.E.C..,1,"31,055.59","31,055.59","Baton Rouge, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
G2 Engineering And Management,1,0.00,0.00,"Oak Ridge, Tennessee, United States",Tennessee,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Gap Solutions.,3,"32,872.06","10,957.35","Reston, Virginia, United States",Virginia,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Gatewood Service & Repair,1,"14,367.60","14,367.60","Rockport, Texas, United States",Texas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
General Oceanics,2,"8,634.66","4,317.33","Miami, Florida, United States",Florida,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Genwest Systems,21,"8,712,616.37","414,886.49","Edmonds, Washington, United States",Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
GHC Specialty Brands,1,"7,785.00","7,785.00","Janesville, Wisconsin, United States",Wisconsin,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
GHE Healthcare,1,"16,920.00","16,920.00","Brinklow, Maryland, United States",Maryland,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Gilson,1,"3,644.60","3,644.60","Middleton, Wisconsin, United States",Wisconsin,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Global PCCI,1,"3,079,429.00","3,079,429.00","Irvine, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
GM Systems,2,"33,192.00","16,596.00","Garden City, New York, United States",New York,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Govconnection,1,"6,665.15","6,665.15","Rockville, Maryland, United States",Maryland,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Government Acquisitions,2,"226,356.87","113,178.44","Cincinnati, Ohio, United States",Ohio,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Government Scientific Source,1,"13,724.59","13,724.59","Reston, Virginia, United States",Virginia,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Graybar Electric,1,"2,498.54","2,498.54","Harahan, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Greg Lewis,1,"7,067.50","7,067.50","Lafayette, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Grove Hotel Group,2,"6,480.00","3,240.00","Miami, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
GS Development,4,"163,342.00","40,835.50","Panama City, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Gulf States Saw & Machine,1,"6,895.00","6,895.00","Bessemer, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
H L Dalis,1,"7,298.04","7,298.04","Long Island City, New York, United States",New York,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
H. Barber & Sons,1,"48,668.51","48,668.51","Naugatuck, Connecticut, United States",Connecticut,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
H&E Inland Services,1,"5,000.00","5,000.00","Houma, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hadco Services,1,"6,000.00","6,000.00","Theodore, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hampton Rubber Company,2,"95,131.17","47,565.59","Hampton, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hayley Reese,2,"15,420.00","7,710.00","Kaplan, Louisiana, United States",Louisiana,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
HDR Engineering,7,"665,173.54","95,024.79","Omaha, Nebraska, United States",Nebraska,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Helical Concepts,1,-750.00,-750.00,"Wylie, Texas, United States",Texas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hewlett-Packard,3,"30,314.48","10,104.83","Bethesda, Maryland, United States",Maryland,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hill Marine Refrigeration,1,"3,400.00","3,400.00","Mobile, Alabama, United States",Alabama,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hilton Houston Plaza,1,"18,386.67","18,386.67","Houston, Texas, United States",Texas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Holiday Inn,2,"33,606.00","16,803.00","Metairie, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Homewood Suites Hotel,7,"581,360.00","83,051.43","Daphne, Alabama, United States",Alabama,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hosan Environment,1,128.33,128.33,"Taegu, , United States",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hov Services,2,"793,650.00","396,825.00","Troy, Michigan, United States",Michigan,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hughes Group,1,"296,685.34","296,685.34","Tacoma, Washington, United States",Washington,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Humana Military Healthcare Services,1,"4,427,925.86","4,427,925.86","Louisville, Kentucky, United States",Kentucky,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Huntsville Tractor & Equipment,1,"12,702.26","12,702.26","Huntsville, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hydralift Amclyde,1,"3,755.00","3,755.00","Saint Paul, Minnesota, United States",Minnesota,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
I.M. Systems Group,12,"11,732,513.22","977,709.44","Rockville, Maryland, United States",Maryland,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
IAP World Services,4,"1,247,840.00","311,960.00","Cape Canaveral, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
IDSC Holdings,1,"-9,703.80","-9,703.80","Kenosha, Wisconsin, United States",Wisconsin,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Immixtechnology.,1,"91,576.00","91,576.00","Mclean, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Inchcape Shipping Services,4,"57,078.64","14,269.66","Piti, Guam, United States",Guam,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Indigo Energy Partners,6,"72,924.83","12,154.14","Alpharetta, Georgia, United States",Georgia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Industrial Economics,55,"259,637,272.57","4,720,677.68","Cambridge, Massachusetts, United States",Massachusetts,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Industrial Scientific,1,"36,769.29","36,769.29","Oakdale, Pennsylvania, United States",Pennsylvania,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Industrial Supply Company,1,"5,919.52","5,919.52","Salt Lake City, Utah, United States",Utah,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Infonet Solutions,1,"17,910.00","17,910.00","Fremont, California, United States",California,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Network Systems,1,0.00,0.00,"Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Inn Days,2,"75,592.40","37,796.20","Houma, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Inner Parish Security,1,"47,109.60","47,109.60","Hammond, Louisiana, United States",Louisiana,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Intech Marine Service,1,"15,250.00","15,250.00","Chesapeake, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Integrated Laboratory Systems,4,"345,000.00","86,250.00","Research Triangle Park, North Carolina, United States",North Carolina,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Integrated Statistics,3,"164,332.82","54,777.61","Woods Hole, Massachusetts, United States",Massachusetts,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Integrated Systems Solutions,2,0.00,0.00,"California, Maryland, United States",Maryland,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Intelligent Decisions,2,"6,390.28","3,195.14","Ashburn, Virginia, United States",Virginia,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Inter Con Security Systems,1,"129,212.96","129,212.96","Pasadena, California, United States",California,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Interdyne,1,"-631,305.98","-631,305.98","Mooresville, North Carolina, United States",North Carolina,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
International Business Sales And Services Corporation,1,"899,790.40","899,790.40","Silver Spring, Maryland, United States",Maryland,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
International Center For Language Studies,1,"-24,470.00","-24,470.00","Washington, District Of Columbia, United States",District Of Columbia,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
International Ship Repair & Marine Services,11,"4,787,275.16","435,206.83","Tampa, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Interstate Hotels & Resorts,1,"11,250.00","11,250.00","Atlanta, Georgia, United States",Georgia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Interstate Products,1,"8,899.70","8,899.70","Sarasota, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Irobot,2,"49,134.79","24,567.40","Bedford, Massachusetts, United States",Massachusetts,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Irrigation Equipment,1,"7,275.00","7,275.00","Indianola, Mississippi, United States",Mississippi,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Islander Motel,7,"129,733.53","18,533.36","Panama City Beach, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
IVS 3D,1,"12,500.00","12,500.00","Portsmouth, New Hampshire, United States",New Hampshire,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
J & L America,1,"10,571.42","10,571.42","Livonia, Michigan, United States",Michigan,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Jackson County Port Authority,1,"-40,377.37","-40,377.37","Pascagoula, Mississippi, United States",Mississippi,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Jardon & Howard Technologies,5,"75,135.59","15,027.12","Orlando, Florida, United States",Florida,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Jim Puckey,1,"12,240.00","12,240.00","North Bend, Ohio, United States",Ohio,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Jimmy Richard,1,"24,592.00","24,592.00","Dulac, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
John Peno,1,"7,710.00","7,710.00","Gonzales, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
John Rogers Smith-Petroleum Consulting,1,"21,000.00","21,000.00","Baton Rouge, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Joyce And Associates Construction,1,"7,662.00","7,662.00","Newport, North Carolina, United States",North Carolina,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Juan Carlos Salinas Vargas,1,"13,450.00","13,450.00","Ciudad De Mexico, , United States",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
K & N Wingate Hotel Of Houma,4,"227,055.00","56,763.75","Houma, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
K Arnold Consulting,1,"24,800.00","24,800.00","Houston, Texas, United States",Texas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Katie's Seafood Market,1,"256,000.00","256,000.00","Galveston, Texas, United States",Texas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Kaydon,1,"171,776.00","171,776.00","Muskegon, Michigan, United States",Michigan,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Kelsie S. Hayes,1,"-11,410.78","-11,410.78","Duson, Louisiana, United States",Louisiana,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Kern International,1,"76,308.00","76,308.00","Columbus, Ohio, United States",Ohio,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Key West Harbor Services,1,"5,000.00","5,000.00","Key West, Florida, United States",Florida,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Keystone Engineering,1,"50,430.00","50,430.00","Metairie, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Kongsberg Underwater Technology,1,"8,770.00","8,770.00","Lynnwood, Washington, United States",Washington,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
KPMG,1,"86,083.00","86,083.00","Washington, District Of Columbia, United States",District Of Columbia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
L B & B Associates,1,"101,196.00","101,196.00","Columbia, Maryland, United States",Maryland,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
La Quinta Inn,1,"55,098.19","55,098.19","Morgan City, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Labat Anderson,16,"2,042,567.74","127,660.48","Mc Lean, Virginia, United States",Virginia,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Landerson Consulting,5,"35,121.40","7,024.28","Baton Rouge, Louisiana, United States",Louisiana,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Language Line,1,"2,499.00","2,499.00","Monterey, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lawrence Factor.,1,973.20,973.20,"Hialeah, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Leads Corporation,1,"1,744,363.56","1,744,363.56","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
