ID,Date,Month,Narration,Actual or Attempted Attack?,Type of Attack,Status of Vessel,Name of Vessel(s),Type of Vessel(s),Category of Vessel(s),Flag of Vessel,Gross register tonnage,IMO,"Time  (local, unless specified)",Coordinates,Area,Location of Incident,Country of Incident,Year,Ref,*DELETE Name of Ship SPLITType/Flag/Grt/ SPLITIMO Number,Position
Eilhard Schulte - 05/12/2013,05/12/2013,December,A robber tried to board an anchored ship via the hawse pipe. Duty crew on routine rounds saw the robber and immediately informed the OOW who raised the alarm resulting in the robber escaping without stealing anything.,Attempted Attack,Attempted,Anchored,Eilhard Schulte,Bulk Carrier,Cargo,Liberia,28073,9188623,21:00,"S03°43',E114°25'",South Asia (Excluding Malacca Straits),"Taboneo, Indonesia",Indonesia,2013,10,Eilhard Schulte SPLITBulk Carrier SPLITLiberia SPLIT28073 SPLIT9188623,"03:43S – SPLIT114:25E, SPLITTaboneo SPLITAnchorage, SPLITIndonesia"
Emerald Star - 15/06/2013,15/06/2013,June,"While at anchor, alert duty crew on board the ship noticed robbers attempting to board the ship via the anchor chain.  Alarm raised and crew mustered. The robbers aborted the attempt and escaped in an unlit boat.",Attempted Attack,Attempted,Anchored,Emerald Star,Bulk Carrier,Cargo,Hong Kong,33205,9449261,20:15,"S03°41',E114°25'",South Asia (Excluding Malacca Straits),"Taboneo, Indonesia",Indonesia,2013,4,Emerald Star SPLITBulk Carrier SPLITHong Kong SPLIT33205 SPLIT9449261,"03:41S – SPLIT114:25E, SPLITTaboneo SPLITAnchorage, SPLITIndonesia"
Eships Liwa - 01/06/2013,01/06/2013,June,Two robbers armed with long knives boarded the tanker at berth during cargo operations using the forward fire wire. Alert shore and deck watchmen and agents noticed them and raised the alarm resulting in the robbers escaping via the anchor chain. Nothing stolen. Port authorities and local police notified.,Actual Attack,Boarded,Berthed,Eships Liwa,Chemical Tanker,Tanker,Hong Kong,29266,9374284,21:55,"Beira, Mozambique",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Beira, Mozambique",Mozambique,2013,23,Eships Liwa SPLITChemical Tanker SPLITHong Kong SPLIT29266 SPLIT9374284,"Beira Port, SPLITMozambique"
Eships Prelude - 20/02/2013,20/02/2013,February,Master on board an anchored tanker carrying out bunkering operation saw two robbers on the forecastle deck with long swords stealing the mooring ropes. He raised the alarm and mustered the crew. Seeing crew alertness the robbers jumped overboard and escaped.,Actual Attack,Boarded,Anchored,Eships Prelude,Chemical Tanker,Tanker,Marshall Islands,5770,9272723,06:00,"S01°23'3"",E116°56'5""",South Asia (Excluding Malacca Straits),"Balikpapan, Indonesia",Indonesia,2013,13,Eships Prelude SPLITChemical Tanker SPLITMarshall Islands SPLIT5770 SPLIT9272723,"01:23.3S – SPLIT116:56.5E, SPLITBalikpapan SPLITAnchorage, SPLITIndonesia"
Esther C - 07/02/2013,07/02/2013,February,"Pirates attacked and boarded the ship underway. They stole crew and ship’s property and kidnapped three crewmembers before escaping. On 11.03.2013, the three-crew members were released.",Actual Attack,Boarded,Steaming,Esther C,General Cargo,Cargo,United Kingdom,5629,9410076,21:25 UTC,"N02°47',E005°48'",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Brass, Nigeria",Nigeria,2013,6,Esther C SPLITGeneral Cargo SPLITUnited Kingdom SPLIT5629 SPLIT9410076,"02:47N – SPLIT005:48E, SPLITAround 96nm SPLITSSW of Brass, SPLITNigeria"
Everhard Schulte - 13/04/2014,13/04/2014,April,"Four pirates in a skiff approached the tanker underway. Master raised alarm, increased speed and the non-essential crewmembers mustered in the citadel. As the skiff closed in to four cables the on board, security team noticed a ladder and fired a warning shot resulting in the skiff aborting the approach and moving away.",Attempted Attack,Attempted,Steaming,Everhard Schulte,Chemical Tanker,Tanker,Singapore,11267,9439838,04:41 UTC,"N13°58'9"",E055°32'3""",Africa (Somalia),"Socotra Island, Yemen",Yemen,2014,3,Everhard Schulte Chemical Tanker Singapore 11267 9439838,"13:58.9N – 055:32.3E (Around 106nm NE of Socotra Island, Yemen), Off Somalia"
Fair Artemis - 05/06/2014,05/06/2014,June,Pirates hijacked a drifting tanker. They stole the cargo and crew’s properties and released the tanker after a week. The tanker and crew are safe.,Actual Attack,Hijacked,Steaming,Fair Artemis,Product Tanker,Tanker,Liberia,8513,9464156,Early Morning,"N04°47',W000°12'",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Accra, Ghana",Ghana,2014,15,Fair Artemis Product Tanker Liberia 8513 9464156,"04:47N – 000:12W, Around 45nm South of Accra, Ghana"
Fairchem Maverick - 27/04/2013,27/04/2013,April,"Two robbers in a boat approached and boarded the berthed tanker. They broke into the tank cleaning gear locker and stole ship’s properties. Duty crew noticed the robbers, raised the alarm and ran towards the robbers. Upon hearing the alarm, the robbers jumped overboard and escaped with the stolen items in their boat. Incident reported to the local agents.",Actual Attack,Boarded,Berthed,Fairchem Maverick,Chemical Tanker,Tanker,Panama,12042,9558402,15:50,"Belawan, Indonesia",South Asia (Excluding Malacca Straits),"Belawan, Indonesia",Indonesia,2013,35,Fairchem Maverick SPLITChemical Tanker SPLITPanama SPLIT12042 SPLIT9558402,"Berth Ocean SPLITQuay 106, SPLITBelawan Port, SPLITIndonesia"
Fairchem Maverick - 27/09/2013,27/09/2013,September,"Five robbers in a wooden boat approached an anchored tanker. One robber managed to board via the hawse pipe. Duty seaman noticed him, raised alarm and crew alerted.  The robber on sensing the crew alertness escaped in the waiting boat with his accomplices. Nothing was stolen.",Actual Attack,Boarded,Anchored,Fairchem Maverick,Chemical Tanker,Tanker,Panama,12042,9558402,14:40,"N03°58',E098°45'",South Asia (Excluding Malacca Straits),"Belawan, Indonesia",Indonesia,2013,78,Fairchem Maverick SPLITChemical Tanker SPLITPanama SPLIT12042 SPLIT9558402,"03:58N – SPLIT098:45E, SPLITBelawan SPLITAnchorage, SPLITIndonesia"
Fairchem Stallion - 02/02/2013,02/02/2013,February,"Six robbers armed with knives in a wooden motor boat approached an anchored tanker. One of the robbers attempted to board the tanker by hooking a ladder near the mid ship manifold area. Alert duty crew spotted the robbers and informed the D/O who raised the alarm, sounded ship's whistle and crew mustered. Upon hearing the alarm and seeing the crew alertness, the robbers aborted the attempted boarding and moved away.",Attempted Attack,Attempted,Anchored,Fairchem Stallion,Chemical Tanker,Tanker,Panama,11628,9291456,04:30,"N03°55'6"",E098°48'6""",South Asia (Excluding Malacca Straits),"Belawan, Indonesia",Indonesia,2013,1,Fairchem Stallion SPLITChemical Tanker SPLITPanama SPLIT11628 SPLIT9291456,"03:55.6N – SPLIT098:48.6E, SPLITBelawan SPLITAnchorage, SPLITIndonesia"
Fairchem Stallion - 07/01/2014,07/01/2014,January,"Two robbers boarded an anchored tanker. They caught the duty watch keeper, threatened him with a knife and stole ship's stores. When robbers were noticed, alarm raised and crew mustered. Robbers then jumped overboard and escaped. All crew safe.",Actual Attack,Boarded,Anchored,Fairchem Stallion,Chemical Tanker,Tanker,Panama,11628,9291456,00:18,"S07°05',E112°39'",South Asia (Excluding Malacca Straits),"Gresik, Indonesia",Indonesia,2014,4,Fairchem Stallion Chemical Tanker Panama 11628 9291456,"07:05S – 112:39E, Gresik Inner Anchorage, Indonesia"
Fen - 16/09/2013,16/09/2013,September,"A robber boarded the berthed tanker while crew were busy connecting the cargo hoses. The robber broke into the paint store and stole ship’s stores. Duty A/B noticed the robber and informed the D/O who raised the alarm and crew mustered. Upon hearing the alarm, the robber escaped with the stolen stores in a boat.",Actual Attack,Boarded,Berthed,Fen,Chemical Tanker,Tanker,Singapore,8450,9359600,03:10,"S07°09'9"",E112°40'2""",South Asia (Excluding Malacca Straits),"Gresik, Indonesia",Indonesia,2013,71,Fen SPLITChemical Tanker SPLITSingapore SPLIT8450 SPLIT9359600,"07:09.9S – SPLIT112:40.2E, SPLITGresik Port, SPLITIndonesia"
Fiesta - 21/05/2013,21/05/2013,May,"Three robbers in a boat approached an anchored ship and attempted to board via the anchor chain. Alert duty crew noticed the robbers and raised the alarm. Seeing crew alertness, the robbers aborted the boarding and moved away. Coast guard and port control informed.",Attempted Attack,Attempted,Anchored,Fiesta,General Cargo,Cargo,Liberia,19354,9168154,02:10,"N03°50',W077°07'",Americas,"Buenaventura, Colombia",Colombia,2013,3,Fiesta SPLITGeneral Cargo SPLITLiberia SPLIT19354 SPLIT9168154,"03:50N – SPLIT077:07W, SPLITBuenaventura SPLITAnchorage, SPLITColombia"
Flag Thenia - 17/04/2014,17/04/2014,April,"Five armed pirates in a skiff approached the ship underway. Alarm raised, all crew mustered, fire hoses activated and the ship increased speed. Flares fired but the skiff continued its approach. At a distance of 0.15nm, the armed security team noticed a ladder and showed their weapons resulting in the skiff aborting and moving away.",Attempted Attack,Attempted,Steaming,Flag Thenia,Bulk Carrier,Cargo,Malta,91374,9605487,07:00 UTC,"N12°24',E043°42'",Africa (Gulf of Aden / Red Sea),Gulf of Aden,Gulf of Aden,2014,6,Flag Thenia Bulk Carrier Malta 91374 9605487,"12:24N – 043:42E, Gulf of Aden"
Fortunato - 22/10/2013,22/10/2013,October,Two robbers boarded the tanker moored to buoys. Alert duty crew noticed the robbers lowering the rescue boat's engine. Alarm sounded and the robbers immediately left the engine and escaped. The crew got hold of the line used to lower the engine and retrieved it.  Further inspection revealed a few items from the rescue boat were missing. Local agent and Mooring Master were informed.,Actual Attack,Boarded,Berthed,Fortunato,LPG Tanker,Tanker,Singapore,7732,9347736,04:00,"N18°24'.1"",W070° 01'4""",Americas,"Rio Haina, Dominican Republic",Dominican Republic,2013,13,Fortunato SPLITLPG Tanker SPLITSingapore SPLIT7732 SPLIT9347736,"18:24.1N –  SPLIT070: 01.4W, SPLITRio Haina SPLITRefidomsa, SPLITDominican SPLITRepublic"
Fortunato - 24/02/2013,24/02/2013,February,Four robbers boarded an anchored tanker via the anchor chain and hawse pipe. The robbers caught and tied up the duty A/B who had sighted and shouted at them. The robbers broke into the forecastle store and escaped with ship's property.,Actual Attack,Boarded,Anchored,Fortunato,LPG Tanker,Tanker,Singapore,7732,9347736,23:45,"N10°18'13"",W075°31'16""",Americas,"Cartagena, Colombia",Colombia,2013,4,Fortunato SPLITLPG Tanker SPLITSingapore SPLIT7732 SPLIT9347736,"10:18.13N – SPLIT075:31.16W, SPLITCartagena ‘A’ SPLITAnchorage, SPLITColombia"
Forward Fortune - 13/02/2013,13/02/2013,February,Robbers boarded the tanker carrying out STS operations and stole engine spares. They escaped when crew spotted them and raised alarm.  Port authorities informed.,Actual Attack,Boarded,Anchored,Forward Fortune,Tanker,Tanker,Panama,59158,9317717,04:40,"N01°06'5"",E103°36'2""",South Asia (Excluding Malacca Straits),"Nipah, Indonesia",Indonesia,2013,10,Forward Fortune SPLITTanker SPLITPanama SPLIT59158 SPLIT9317717,"01:06.5N – SPLIT103:36.2E, Nipah SPLITAnchorage, SPLITSingapore Straits"
FPMC 25 - 11/08/2013,11/08/2013,August,"Robbers in a small skiff approached an anchored tanker. Master raised the alarm, all crew mustered and the armed guards on board fired warning shots resulting in the skiff moving away.",Attempted Attack,Attempted,Anchored,FPMC 25,Product Tanker,Tanker,Liberia,28458,9433834,00:05,"N06°18',E003°26'",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Lagos, Nigeria",Nigeria,2013,19,FPMC 25 SPLITProduct Tanker SPLITLiberia SPLIT28458 SPLIT9433834,"06:18N – SPLIT003:26E, SPLITLagos Anchorage, SPLITNigeria"
Frio Athens - 04/05/2013,04/05/2013,May,Six to eight pirates in a speedboat chased and fired upon the ship underway. Master enforced anti-piracy measures and managed to move away. All crew safe but the ship sustained minor damage due to the firing.,Attempted Attack,Fired upon,Steaming,Frio Athens,Refrigerated Cargo,Cargo,Vanuatu,8519,8710340,11:35 UTC,"N03°49'5"",E006°41'2""",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Bonny River, Nigeria",Nigeria,2013,11,Frio Athens SPLITRefrigerated Cargo SPLITShip SPLITVanuatu SPLIT8519 SPLIT8710340,"03:49.5N – SPLIT006:41.2E, 33nm SPLITSW of Bonny SPLITRiver Fairway SPLITBuoy, SPLITNigeria"
Front Arrow - 27/09/2014,27/09/2014,September,"Four robbers armed with knives in a wooden boat boarded an anchored tanker using hooks attached with ropes. They took hostage the duty crew on routine rounds, seized his walkie-talkie and stole ship’s stores. The duty crew managed to escape with cuts on his hands and raised the alarm. All crew mustered, foghorn sounded and coast guard and port control were informed. Seeing the crew alertness, the robbers escaped with the stolen items. First aid treatment was given to the duty crew.",Actual Attack,Boarded,Anchored,Front Arrow,Product Tanker,Tanker,Marshall Islands,29993,9654555,01:30,"N21°51',E091°48'",Indian Sub Continent,"Chittagong, Bangladesh",Bangladesh,2014,23,Front Arrow Product Tanker Marshall Islands 29993 9654555,"21:51N – 091:48E, Chittagong Lighterage Anchorage, Bangladesh"
G Whale - 21/11/2013,21/11/2013,November,"Eight robbers armed with knives boarded an anchored tanker. The OOW immediately raised the alarm and alerted the crew. The robbers were observed to be throwing ship's property into their boat even after the alarm was raised. Seeing this the Master made an announcement indicating that the coast guard were on their way and upon hearing that, the robbers jumped overboard and escaped with the stolen ship's properties. Port Authorities informed.",Actual Attack,Boarded,Anchored,G Whale,Tanker,Tanker,Liberia,172146,9468853,02:40,"N22°39',E069°55'",Indian Sub Continent,"Sikka, India",India,2013,23,G Whale SPLITTanker SPLITLiberia SPLIT172146 SPLIT9468853,"22:39N – SPLIT069:55E, SPLITSikka Crude Oil SPLITAnchorage, SPLITIndia"
G. Commander - 30/06/2014,30/06/2014,June,"Six armed robbers boarded the tanker underway. They entered into the engine room and took hostage an engine room crew, tied his hands and stole engine spares. While escaping the robbers released the crew who then raised the alarm. Crew mustered and a search carried out.",Actual Attack,Boarded,Steaming,G. Commander,LPG Tanker,Tanker,South Korea,44574,9114581,05:00,"N01°07',E103°30'",South Asia (Excluding Malacca Straits),"Karimun, Indonesia",Indonesia,2014,60,G. Commander LPG Tanker Korea South 44574 9114581,"01:07N – 103:30E, 5nm East of Karimun Kecil Island, Indonesia"
Gandhi - 18/05/2013,18/05/2013,May,Duty officer on board an anchored tanker noticed a robber lowering ship’s stores into a waiting boat. Alarm raised and crew mustered. Seeing crew alertness the robber escaped with his accomplices. Port control informed.,Actual Attack,Boarded,Anchored,Gandhi,Chemical Tanker,Tanker,Liberia,25400,9323560,01:55 UTC,"Alexandria, Egypt",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Alexandria, Egypt",Egypt,2013,18,Gandhi SPLITChemical Tanker SPLITLiberia SPLIT25400 SPLIT9323560,"Alexandria SPLITWaiting SPLITAnchorage, SPLITEgypt"
Gascogne - 03/02/2013,03/02/2013,February,"Twelve heavily armed pirates with guns boarded and hijacked the tanker underway. They sailed the tanker to Nigeria and stole the oil cargo and crew / vessel’s valuables. On 05.02.2013, the tanker and her 17-crew members were released. Two crewmembers were injured. The tanker proceeded to a safe port.",Actual Attack,Hijacked,Steaming,Gascogne,Tanker,Tanker,Luxemburg,4730,9299161,06:59,"N04°07'38"",W003°54'42""",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Abidjan, Ivory Coast",Ivory Coast,2013,4,Gascogne SPLITTanker SPLITLuxemburg SPLIT4730 SPLIT9299161,"04:07.38N – SPLIT003:54.42W, SPLIT70nm South of SPLITAbidjan,  SPLITIvory Coast"
Geise - 08/02/2014,08/02/2014,February,"Twelve pirates in three skiffs approached the ship underway. The skiffs approached at high speed from the port and starboard side and closed to around 500meters from the ship. Possible ladder identified in a skiff. Alarm raised, authorities informed, crew mustered in the citadel and flares fired in the direction of the skiff. As the skiffs continued to approach, the private armed security fired warning shots resulting in the skiffs stopping and aborting the approach.",Attempted Attack,Attempted,Steaming,Geise,General Cargo,Cargo,Gibraltar,3198,9195470,04:20 UTC,"N12°24',E043°32'",Africa (Gulf of Aden / Red Sea),Gulf of Aden,Gulf of Aden,2014,1,Geise General Cargo Gibraltar 3198 9195470,"12:24N – 043:32E, Gulf of Aden"
Gemina - 03/06/2014,03/06/2014,June,"Robbers boarded an anchored tanker, stole ship’s properties and escaped.",Actual Attack,Boarded,Anchored,Gemina,Tanker,Tanker,Panama,53829,9083316,15:42 UTC,"N01°16',E104°21'",South Asia (Excluding Malacca Straits),Malaysia,Malaysia,2014,48,Gemina Tanker Panama 53829 9083316,"01:16N – 104:21E, Malaysia"
Geneva Queen - 15/09/2014,15/09/2014,September,"Four robbers boarded an anchored ship. Duty officer noticed the robbers and raised the alarm to alert the crew. Upon hearing the alarm and seeing the crew alertness, the robbers escaped with the stolen ship’s properties.",Actual Attack,Boarded,Anchored,Geneva Queen,Bulk Carrier,Cargo,Marshall Islands,44096,9638642,02:25,"N22°44',E070°02'",Indian Sub Continent,"Kandla, India",India,2014,20,Geneva Queen Bulk Carrier Marshall Islands 44096 9638642,"22:44N – 070:02E, Kandla Anchorage, India"
Giovanna Iuliano - 03/01/2014,03/01/2014,January,"Three robbers armed with a gun boarded the ship carrying out loading operations at anchor. They took hostage the duty A/B on routine rounds, tied him up and stole his personal effects. The robbers then broke into the forecastle store, stole ship's property and escaped. The A/B managed to untie himself and reported the incident to the duty officer.",Actual Attack,Boarded,Anchored,Giovanna Iuliano,Bulk Carrier,Cargo,Italy,39385,9122576,03:40,"S00°17'15"",E117°40'15""",South Asia (Excluding Malacca Straits),"Samarinda, Indonesia",Indonesia,2014,1,Giovanna Iuliano Bulk Carrier Italy 39385 9122576,"00:17.15S – 117:40.15E, Muara Berau Anchorage, Indonesia"
Giuseppe Mauro Rizzo - 08/08/2014,08/08/2014,August,"Two robbers boarded an anchored ship. Duty AB spotted the robbers and raised the alarm and crew mustered. Seeing the crew alertness, the robbers escaped. Upon searching the ship, the padlocks to the storerooms were found broken but nothing appeared to be stolen.",Actual Attack,Boarded,Anchored,Giuseppe Mauro Rizzo,Bulk Carrier,Cargo,Italy,47984,9448580,03:45,"S00°17',E117°41'",South Asia (Excluding Malacca Straits),"Samarinda, Indonesia",Indonesia,2014,75,Giuseppe Mauro Rizzo Bulk Carrier Italy 47984 9448580,"00:17S – 117:41E, Muara Berau Anchorage, Indonesia"
Glenn Mar-B - 05/07/2014,05/07/2014,July,Armed persons in a motor boat approached and fired upon the fishing boat engaged in fishing activities. The fishermen jumped overboard to save their lives. They later swam back to their boat after the armed persons left. It was reported that the Captain of the fishing boat was found dead and one fisherman missing. The incident was reported to the Philippines Coast Guard.,Attempted Attack,Fired upon,Steaming,Glenn Mar-B,Fishing Vessel,Fishing Vessel,Philippines,,,22:00,Philippines,South Asia (Excluding Malacca Straits),"Mapun Tawi-Tawi, Philippines",Philippines,2014,9,Glenn Mar-B Fishing Vessel Philippines - -,"Vicinity of Mapun de Tawi-Tawi, Philippines"
Global Andes - 21/03/2013,21/03/2013,March,"Four robbers boarded an anchored ship. They forced their way into the forward store and stole ship’s property. When noticed by the crew, the robbers jumped overboard and escaped. Port control informed.",Actual Attack,Boarded,Anchored,Global Andes,Bulk Carrier,Cargo,Panama,30660,9633032,02:20,"S07°05'3"",E112°39'4""",South Asia (Excluding Malacca Straits),"Gresik, Indonesia",Indonesia,2013,20,Global Andes SPLITBulk Carrier SPLITPanama SPLIT30660 SPLIT9633032,"07:05.3S – SPLIT112:39.4E, SPLITGresik Inner SPLITAnchorage, SPLITIndonesia"
Global F - 27/05/2013,27/05/2013,May,Alert duty crew on board the ship noticed three robbers near the forecastle and raised the alarm resulting in the robbers escaping with stolen ship’s stores.,Actual Attack,Boarded,Anchored,Global F,Bulk Carrier,Cargo,Liberia,38364,9178226,01:40,"N31°12'7"",E029°46'6""",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Alexandria, Egypt",Egypt,2013,22,Global F SPLITBulk Carrier SPLITLiberia SPLIT38364 SPLIT9178226,"31:12.7N – SPLIT029:46.6E, SPLITEl Dekheila  SPLITAnchorage, SPLITAlexandria Port, SPLITEgypt"
Global Peace - 28/07/2013,28/07/2013,July,"While at anchor, unidentified persons were spotted at the forecastle paint store entrance.  Alarm raised and crew alerted. On approaching the forecastle, the robbers jumped overboard and escaped in a small boat. Ship’s stores stolen.",Actual Attack,Boarded,Anchored,Global Peace,Chemical Tanker,Tanker,Hong Kong,11623,9409522,02:25,"S07°05',E112°39'",South Asia (Excluding Malacca Straits),"Gresik, Indonesia",Indonesia,2013,63,Global Peace SPLITChemical Tanker SPLITHong Kong SPLIT11623 SPLIT9409522,"07:05S – SPLIT112:39E, SPLITGresik Inner SPLITAnchorage, SPLITIndonesia"
Glovis Maria - 18/12/2013,18/12/2013,December,"Three robbers boarded an anchored ship, broke into the forward store and stole ship’s property. The duty officer who raised the alarm resulting in the robbers escaping in their wooden boat spotted them. All crew safe.",Actual Attack,Boarded,Anchored,Glovis Maria,Bulk Carrier,Cargo,Bahamas,32545,9543615,01:40,"S00°15'6"",E117°35'3""",South Asia (Excluding Malacca Straits),"Samarinda, Indonesia",Indonesia,2013,112,Glovis Maria SPLITBulk Carrier SPLITBahamas SPLIT32545 SPLIT9543615,"00:15.6S – SPLIT117:35.3E, SPLITMuara Berau SPLITAnchorage, SPLITSamarinda, SPLITIndonesia"
Golden Adventure - 24/07/2014,24/07/2014,July,"Three robbers boarded an anchored tanker. Ship's alarm raised, all crew mustered and port control notified. Seeing the crew alertness, the robbers escaped with stolen ship's properties.",Actual Attack,Boarded,Anchored,Golden Adventure,Product Tanker,Tanker,Liberia,6153,9510577,00:30,"N22°10',E091°46'",Indian Sub Continent,"Chittagong, Bangladesh",Bangladesh,2014,15,Golden Adventure Product Tanker Liberia 6153 9510577,"22:10N – 091:46E, Chittagong Anchorage, Bangladesh"
Golden Avenue - 15/06/2013,15/06/2013,June,"About 20 robbers armed with axe and machetes, in three wooden boats, approached and boarded the tanker during anchoring operations. Alarm raised and crew mustered. Master informed Port Control and Coast Guard who sent out two patrol boats to investigate. Seeing crew alertness the robbers escaped with ship’s stores. All crew safe.",Actual Attack,Boarded,Steaming,Golden Avenue,Chemical Tanker,Tanker,Liberia,6149,9408360,01:45,"N22°09',E091°47'",Indian Sub Continent,"Chittagong, Bangladesh",Bangladesh,2013,11,Golden Avenue SPLITChemical Tanker SPLITLiberia SPLIT6149 SPLIT9408360,"22:09N – SPLIT091:47E, SPLITChittagong SPLITAnchorage, SPLITBangladesh"
Golden Fan - 18/09/2014,18/09/2014,September,"Twenty-five robbers in a small boat, armed with knives approached an anchored ship. Ten robbers boarded via the stern ramp coaming brackets. Alarm raised and crew mustered. The robbers stole mooring ropes and escaped. No injuries to crew. Port control and coast guard informed who dispatched a patrol boat. At 0645 LT, Coast Guard contacted the ship indicating suspect vessel apprehended and mooring ropes recovered.",Actual Attack,Boarded,Anchored,Golden Fan,Vehicle Carrier,Cargo,Panama,27650,8511263,00:49,"Chittagong, Bangladesh",Indian Sub Continent,"Chittagong, Bangladesh",Bangladesh,2014,22,Golden Fan Vehicle Carrier Panama 27650 8511263,"Chittagong Outer Anchorage, Bangladesh"
Golden Ice - 09/12/2013,09/12/2013,December,"Five pirates armed with guns in a skiff approached the ship underway. Master raised alarm, activated fire hoses, sounded ship’s horn, took evasive manoeuvres and non-essential crewmembers mustered in the citadel. The on-board armed security team took their position and showed their weapons but the skiff continued to approach the ship even after the armed team fired a warning flare towards the skiff. The security team fired warning shots as the skiff came closed to the ship. The pirates responded by engaging the ship with small arms fire and the security team returned fire resulting in the pirates aborting the attempted attack. A military helicopter came to the location to assist.",Attempted Attack,Fired upon,Steaming,Golden Ice,Bulk Carrier,Cargo,Hong Kong,75750,9401362,03:48 UTC,"N12°52'5"",E047°52'4""",Africa (Gulf of Aden / Red Sea),Gulf of Aden,Gulf of Aden,2013,7,Golden Ice SPLITBulk Carrier SPLITHong Kong SPLIT75750 SPLIT9401362,"12:52.5N – SPLIT047:52.4E, SPLITGulf of Aden"
GPT 21 - 07/11/2013,07/11/2013,November,"Ten pirates armed with guns and knives boarded and hijacked the tanker underway. They tied up all the crewmembers and held them hostage in one cabin. Later they ordered the Master to steer the ship to a pre-designated position.  Another unknown orange hull tanker came alongside and the pirates forced the C/O and the bosun to use the cargo pumps and valves and the mooring winches to transfer the oil into the unknown tanker.  At around 1600LT the pirates disembarked after transferring and stealing all the gas oil. Before leaving, the pirates also stole crew personal belongings.",Actual Attack,Hijacked,Steaming,GPT 21,Chemical Tanker,Tanker,Panama,1981,8504430,03:30,"N01°20',E103°18'",South Asia (Excluding Malacca Straits),"Kukup Island, Malaysia",Malaysia,2013,97,GPT 21 SPLITChemical Tanker SPLITPanama SPLIT1981 SPLIT8504430,"01:20N – SPLIT103:18E, Around SPLIT7.3nm West of SPLITPulau Kukup, SPLITMalaysia"
Grand - 15/01/2013,15/01/2013,January,"Two robbers armed with knives disguised as fishermen boarded an anchored ship. Duty crew spotted the robbers and raised the alarm. On hearing the alarm, the robbers jumped overboard and escaped empty handed in their boat. Port control contacted but received no response.",Actual Attack,Boarded,Anchored,Grand,Container,Cargo,Malta,9601,8901925,00:30,"S04°43'9"",E011°46'7""",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Pointe Noire, Republic of the Congo",Republic of the Congo,2013,1,Grand SPLITContainer SPLITMalta SPLIT9601SPLIT8901925,"04:43.9S – SPLIT011:46.7E, Pointe SPLITNoire Anchorage,  SPLITThe Congo"
Guanabara - 11/07/2013,11/07/2013,July,"Alert duty crew, on board the tanker carrying out STS operations, noticed four robbers on the poop deck and a fifth robber in the process of climbing on board. He immediately informed the duty officer who raised the alarm and alerted the crew. Cargo operations suspended and crew mustered to carry out an inspection. Seeing the alert crew, the robbers escaped. An inspection was carried out and no robbers were found on board.  No response from the authorities for calls via VHF radio.",Actual Attack,Boarded,Anchored,Guanabara,Tanker,Tanker,Singapore,57462,9384992,02:23,"N01°06'6"",E103°37'1""",South Asia (Excluding Malacca Straits),"Nipah, Indonesia",Indonesia,2013,57,Guanabara SPLITTanker SPLITSingapore SPLIT57462 SPLIT9384992,"01:06.6N – SPLIT103:37.1E, SPLITNipah STS SPLITAnchorage Area, SPLITIndonesia"
Gulf Pearl - 09/12/2013,09/12/2013,December,"Five pirates armed with guns in a skiff approached and fired upon the tanker underway. Master raised alarm, activated fire hoses, increased speed, took evasive manoeuvres and contacted UKMTO for assistance. The on-board armed security team took their position and showed their weapons resulting in the pirates aborting the attempted attack. A military helicopter came to the location to assist and patrolled the area.",Attempted Attack,Fired upon,Steaming,Gulf Pearl,Tanker,Tanker,Bahamas,42443,9281425,03:30 UTC,"N12°50',E047°49'",Africa (Gulf of Aden / Red Sea),Gulf of Aden,Gulf of Aden,2013,6,Gulf Pearl SPLITTanker SPLITBahamas SPLIT42443 SPLIT9281425,"12:50N – SPLIT047:49E, SPLITGulf of Aden"
Hai Soon 6 - 25/07/2014,25/07/2014,July,"Ten pirates armed with guns in a wooden boat approached, boarded and hijacked the bunker barge during bunkering operations. All 21 crewmembers taken hostage. Barge sailed to an unknown location. The tanker being bunkered reported the incident to the IMB PRC, which immediately notified the regional authorities and broadcast an alert to all ships. The Owners were unable to communicate or track the tanker until 03.08.2014. The pirates released the tanker 60nm east of Lagos, after stealing part of the cargo. All crewmembers were reported safe.",Actual Attack,Hijacked,Anchored,Hai Soon 6,Product Tanker,Tanker,Kiribati,3232,9062697,23:40,"N05°00'1"",E000°49'2""",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Anloga, Ghana",Ghana,2014,17,Hai Soon 6 Product Tanker Kiribati 3232 9062697,"05:00.1N – 000:49.2E, Around 45nm South of Anloga, Ghana"
